Player,2012/2013 - Number of Injuries,2012/2013 - Games Missed,2013/2014 - Number of Injuries,2013/2014 - Games Missed,2014/2015 - Number of Injuries,2014/2015 - Games Missed,Total Number of Injuries (2012-2014),Total Games Missed (2012-2014),Age first concussion (2012-2014),Team(s) during concussion incidents 2012-2014,Roles during injuries,Current Age (approx.),Date of Birth,Biography,Wikipedia Url,Image
T.J. McDonald,,,,,1,0,1,0,23.73,St. Louis Rams,Safety,24,26/01/1991,"T. J. McDonald (born January 26, 1991) is an American football safety for the St. Louis Rams of the National Football League (NFL). McDonald played college football for the University of Southern California (USC). The St. Louis Rams chose him in the third round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/T._J._McDonald,//upload.wikimedia.org/wikipedia/commons/1/1d/T.J._McDonald_USC_vs_ASU_IMG_3530.jpg
Eric Fisher,,,1,1,,,1,1,22.73,Kansas City Chiefs,Offensive Tackle,24,5/01/1991,"Eric William Fisher (born January 5, 1991) is an American football offensive tackle for the Kansas City Chiefs of the National Football League (NFL). He played college football for Central Michigan University. The Kansas City Chiefs selected him with the first overall pick in the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Eric_Fisher_(American_football),//upload.wikimedia.org/wikipedia/commons/7/7b/Eric_Fisher_%28American_football%29.JPG
Fletcher Cox,1,1,,,,,1,1,22.03,Philadelphia Eagles,Defensive Tackle,24,13/12/1990,"Fletcher Cox (born December 13, 1990) is an American football defensive end for the Philadelphia Eagles of the National Football League. After playing college football for Mississippi State, he was selected 12th overall by the Eagles in the 2012 NFL Draft. ",http://en.wikipedia.org/wiki/Fletcher_Cox,//upload.wikimedia.org/wikipedia/commons/2/29/Fletcher_Cox.JPG
Lamin Barrow,,,,,1,0,1,0,23.90,Denver Broncos,Linebacker,24,29/11/1990,"Lamin Samboujang Barrow (born November 29, 1990) is an American football linebacker for the Denver Broncos of the National Football League (NFL). He was drafted by the Broncos in the fifth round of the 2014 NFL Draft. He played college football at LSU. ",http://en.wikipedia.org/wiki/Lamin_Barrow,//upload.wikimedia.org/wikipedia/commons/8/89/Lamin_Barrow.JPG
Daren Bates,,,1,1,,,1,1,22.99,St. Louis Rams,Linebacker,24,27/11/1990,"Daren Bates (born November 27, 1990) is an American football linebacker for the St. Louis Rams of the National Football League (NFL). Bates played college football for Auburn University. The St. Louis Rams signed him as an undrafted free agent.",http://en.wikipedia.org/wiki/Daren_Bates,https://levelupfantasy.com/Images/PlayerProfile/62eb70f6-2b04-4893-b32c-e03fc34dc0d2
Marquise Goodwin,,,,,1,1,1,1,23.86,Buffalo Bills,Wide Receiver,24,19/11/1990,"Marquise Derell Goodwin (born November 19, 1990) is an American football wide receiver and kickoff returner for the Buffalo Bills of the National Football League (NFL). Goodwin played college football and competed in track and field for the University of Texas, and won two national college championships in the long jump. The Buffalo Bills picked him in the third round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Marquise_Goodwin,//upload.wikimedia.org/wikipedia/commons/3/34/Marquise_Goodwin_2012_Olympics.jpg
Bryan Stork,,,,,1,1,1,1,23.91,New England Patriots,Center,24,15/11/1990,"Bryan Stork (born November 15, 1990) is an American football center for the New England Patriots of the National Football League (NFL). He played college football at Florida State. ",http://en.wikipedia.org/wiki/Bryan_Stork,http://a.espncdn.com/i/headshots/nfl/players/full/16826.png
Nick Kasa,,,1,0,,,1,0,23.09,Oakland Raiders,Tight End,24,5/11/1990,"Nick Kasa (born November 5, 1990) is an American football tight end for the Oakland Raiders of the National Football League. He played his college football for the Colorado Buffaloes. ",http://en.wikipedia.org/wiki/Nick_Kasa,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KAS005766.png
Dezmen Southward,,,,,1,0,1,0,23.93,Atlanta Falcons,Safety,24,1/10/1990,"Dezmen Southward (born October 1, 1990) is an American football safety for the Atlanta Falcons of the National Football League (NFL). He was drafted by the Falcons in the third round of the 2014 NFL Draft. He played college football at Wisconsin. ",http://en.wikipedia.org/wiki/Dezmen_Southward,//upload.wikimedia.org/wikipedia/commons/b/b1/Dezmen_Southward_2014.jpg
Mychal Kendricks,1,1,,,,,1,1,22.24,Philadelphia Eagles,Linebacker,24,28/09/1990,"Marvin Mychal-Christopher Kendricks (born September 28, 1990) is an American football linebacker for the Philadelphia Eagles of the National Football League (NFL). After playing college football for the California Golden Bears, he was drafted by the Eagles in the second round of the 2012 NFL Draft, 46th overall. ",http://en.wikipedia.org/wiki/Mychal_Kendricks,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KEN104336.png
Vontaze Burfict,,,1,0,2,2,3,2,23.24,Cincinnati Bengals,Linebacker,24,24/09/1990,"Vontaze DeLeon Burfict, Jr. (pronounced VONN-tez BER-fict; born September 24, 1990) plays linebacker for the Cincinnati Bengals. He attended Arizona State University. Burfict was considered the most highly ranked football prospect Arizona State ever signed to a letter of intent, but had an up-and-down career for the Sun Devils. An All-American in 2010, Burfict was projected an early first round pick for the 2012 NFL Draft on the eve of his junior season. However, a mediocre on-field performance and poor pre-draft workouts deteriorated his draft stock. Burfict eventually went undrafted in the 2012 NFL Draft, but was later signed by the Bengals. He went on to have a productive rookie season, starting 14 games and leading the team in tackles. ",http://en.wikipedia.org/wiki/Vontaze_Burfict,//upload.wikimedia.org/wikipedia/commons/8/80/LB_Vontaze_Burfict_Bengals.jpg
Mychal Rivera,,,1,0,,,1,0,23.21,Oakland Raiders,Tight End,24,8/09/1990,"Mychal Rashawn Rivera (born September 8, 1990) is an American football tight end for the Oakland Raiders of the National Football League (NFL). He played college football for the Tennessee Volunteers. He is the brother of Glee actress and singer Naya Rivera. ",http://en.wikipedia.org/wiki/Mychal_Rivera,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15923.png
Tashaun Gipson,,,,,1,0,1,0,24.25,Cleveland Browns,Safety,24,7/08/1990,"Tashaun Gipson (born August 7, 1990 in San Bernardino, California ) is an American football safety for the Cleveland Browns of the National Football League. He was signed by the Browns as an undrafted free agent in 2012. He played college football for the University of Wyoming. ",http://en.wikipedia.org/wiki/Tashaun_Gipson,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GIP543222.png
Johnathan Cyprien,,,,,1,1,1,1,24.11,Jacksonville Jaguars,Safety,24,29/07/1990,"Johnathan Cyprien (born July 29, 1990) is an American football safety for the Jacksonville Jaguars of the National Football League (NFL). He played college football for Florida International University. Cyprien was selected by the Jaguars with the 33rd overall pick in the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/John_Cyprien,http://a.espncdn.com/i/headshots/nfl/players/full/15831.png
Johnson Bademosi,,,,,1,1,1,1,24.28,Cleveland Browns,Cornerback,24,23/07/1990,"Johnson Bademosi (born July 23, 1990 in Washington, D.C. ) is an American football safety and special teamer for the Cleveland Browns of the National Football League. He was signed by the Browns as an undrafted free agent in 2012. He was a member of the football, rugby, and track and field teams at Gonzaga College High School and went on to play college football for Stanford University. ",http://en.wikipedia.org/wiki/Johnson_Bademosi,//upload.wikimedia.org/wikipedia/commons/6/67/Johnson_Bademosi.JPG
Brandon Boykin,,,1,0,,,1,0,23.42,Philadelphia Eagles,Cornerback,24,13/07/1990,"Brandon Boykin (born July 13, 1990) is an American football cornerback for the Philadelphia Eagles of the National Football League (NFL). After playing college football for Georgia, he was drafted by the Eagles in the fourth round of the 2012 NFL Draft. ",http://en.wikipedia.org/wiki/Brandon_Boykin,http://static.nfl.com/static/content/public/static/img/up/brandon%20boykin/thumbnails/200x200.jpg
Patrick Peterson,,,,,1,0,1,0,24.29,Arizona Cardinals,Cornerback,24,11/07/1990,"Patrick De'mon Peterson (born July 11, 1990) is an American football cornerback for the Arizona Cardinals of the National Football League (NFL). He played college football for Louisiana State University (LSU), earned All-American honors, and was recognized as the best college defensive back in the country. He was drafted fifth overall by the Arizona Cardinals in the 2011 NFL Draft. Patrick Peterson recently signed a 5 year, $70 million contract extension with the Arizona Cardinals, making him the highest paid defensive back in the league. Peterson is regarded by some to be the best cornerback in the NFL.",http://en.wikipedia.org/wiki/Patrick_Peterson,//upload.wikimedia.org/wikipedia/commons/c/c4/Patrick_Peterson.jpg
Jordan Reed,,,1,6,,,1,6,23.38,Washington Redskins,Tight End,24,3/07/1990,"Jordan M. Reed (born July 3, 1990) is an American football tight end for the Washington Redskins of the National Football League (NFL). He played college football for the University of Florida. He was selected by the Redskins in the third round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Jordan_Reed,//upload.wikimedia.org/wikipedia/commons/5/5d/Jordan_Reed.JPG
Melvin White,,,1,0,,,1,0,23.30,Carolina Panthers,Cornerback,24,26/06/1990,"Melvin O'Key White (born June 26, 1990) is an American football cornerback who is currently playing for the Carolina Panthers of the National Football League (NFL). He played college football at Louisiana-Lafayette. ",http://en.wikipedia.org/wiki/Melvin_White_(American_football),//upload.wikimedia.org/wikipedia/commons/8/88/2_stars.svg
Xavier Rhodes,,,1,0,,,1,0,23.43,Minnesota Vikings,Wide Receiver,24,19/06/1990,"Xavier Rhodes (born June 19, 1990) is an American football cornerback for the Minnesota Vikings of the National Football League (NFL). He played college football for Florida State University (FSU). Rhodes was drafted by the Vikings in the first round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Xavier_Rhodes,//upload.wikimedia.org/wikipedia/commons/2/28/XavierRhodes.PNG
Justin Bethel,,,1,0,,,1,0,23.42,Arizona Cardinals,Cornerback,24,17/06/1990,"Justin Andrew Bethel (born June 17, 1990) is an American football cornerback and special teamer for the Arizona Cardinals of the National Football League (NFL). He was drafted in the sixth round of the 2012 NFL Draft by the Cardinals. He played college football for Presbyterian College. ",http://en.wikipedia.org/wiki/Justin_Bethel,//upload.wikimedia.org/wikipedia/commons/c/c4/Justin_Bethel.JPG
Nate Eachus,1,1,,,,,1,1,22.37,Kansas City Chiefs,Running Back,24,15/06/1990,"Nathan Eachus (born June 15, 1990) is an American football running back who is currently a free agent. He was signed by the Chiefs as an undrafted free agent in 2012. He played college football for Colgate University. ",http://en.wikipedia.org/wiki/Nate_Eachus,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15548.png
Eddie Lacy,,,1,1,1,0,2,1,23.29,Green Bay Packers,Running Back,24,2/06/1990,"Eddie Darwin Lacy, Jr. (born June 2, 1990) is an NFL football running back for the Green Bay Packers of the National Football Conference (NFC). He played college football for the University of Alabama and was a member of three BCS National Championship teams. Lacy was drafted by the Packers in the second round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Eddie_Lacy,//upload.wikimedia.org/wikipedia/commons/4/4f/Eddie_Lacy.jpg
Robert Quinn,1,0,,,,,1,0,22.52,St. Louis Rams,Defensive End,25,18/05/1990,"Robert Quinn (born May 18, 1990) is an American football defensive end for the St. Louis Rams of the National Football League (NFL). He played college football for the University of North Carolina. He was drafted by the Rams in the first round of the 2011 NFL Draft. ",http://en.wikipedia.org/wiki/Robert_Quinn_(American_football),//upload.wikimedia.org/wikipedia/commons/4/41/Robert_Quinn_%28American_football%29.JPG
Bernard Pierce,1,0,,,1,0,2,0,22.60,Baltimore Ravens,Running Back,25,10/05/1990,"Bernard Pierce (born May 10, 1990) is an American football running back for the Baltimore Ravens of the National Football League (NFL). He played college football for Temple University. The Ravens selected him in the third round of the 2012 NFL Draft. He is a graduate of Glen Mills High School, a school for court-adjudicated youths. He had previously attended Lower Merion High School in Ardmore, PA. where it was reported that he had seriously injured someone in an assault.",http://en.wikipedia.org/wiki/Bernard_Pierce,//upload.wikimedia.org/wikipedia/commons/c/c6/Bernard_Pierce_Navy_Stadium_2012_Practice.jpg
Jerel Worthy,1,1,,,,,1,1,22.51,Green Bay Packers,Defensive End,25,26/04/1990,"Jerel Worthy (born April 26, 1990) is an American football defensive end who is currently on the Kansas City Chiefs practice squad. He was drafted by the Green Bay Packers in the second round of the 2012 NFL Draft. He played college football for Michigan State, where he was recognized as a consensus All-American. ",http://en.wikipedia.org/wiki/Jerel_Worthy,//upload.wikimedia.org/wikipedia/commons/4/44/Jerel_Worthy.jpg
Aaron Williams,,,,,1,0,1,0,24.38,Buffalo Bills,Safety,25,23/04/1990,"Aaron Williams (born April 23, 1990) is an American football safety for the Buffalo Bills of the National Football League (NFL). He was drafted by the Bills in the second round of the 2011 NFL Draft. He played college football at Texas. ",http://en.wikipedia.org/wiki/Aaron_Williams_(American_football),//upload.wikimedia.org/wikipedia/commons/3/31/Aaron_Williams_%28American_football%29.JPG
Terrell Manning,1,5,,,,,1,5,22.40,Green Bay Packers,Linebacker,25,16/04/1990,"Terrell Manning (born April 16, 1990) is an American football linebacker for the Chicago Bears of the National Football League. Manning was drafted by the Green Bay Packers in the fifth round, 163rd overall, in the 2012 NFL Draft. He played college football at North Carolina State. ",http://en.wikipedia.org/wiki/Terrell_Manning,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15110.png
George Iloka,,,1,0,,,1,0,23.69,Cincinnati Bengals,Safety,25,31/03/1990,"George Iloka (born March 31, 1990) is an American football safety for the Cincinnati Bengals of the National Football League (NFL). He played college football at Boise State. He was considered one of the best safety prospects for the 2012 NFL Draft. He was the 32nd pick in the fifth round of the 2012 NFL Draft. ",http://en.wikipedia.org/wiki/George_Iloka,//upload.wikimedia.org/wikipedia/commons/f/fa/George_Iloka.jpg
Corey Liuget,,,,,1,0,1,0,24.53,San Diego Chargers,Defensive End,25,18/03/1990,"Corey Devon Liuget (born March 18, 1990) is an American football defensive end for the San Diego Chargers of the National Football league (NFL). He played at Hialeah Senior High in Miami, Florida. He played college football at Illinois. ",http://en.wikipedia.org/wiki/Corey_Liuget,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LIU237308.png
Dwayne Gratz,,,,,1,1,1,1,24.56,Jacksonville Jaguars,Cornerback,25,8/03/1990,"Dwayne Jamar Gratz (born March 8, 1990) is an American football cornerback for the Jacksonville Jaguars of the National Football League (NFL). Gratz played college football at Connecticut. He was drafted by the Jaguars in the third round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Dwayne_Gratz,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRA546508.png
Da'Quan Bowers,,,1,1,,,1,1,23.72,Tampa Bay Buccaneers,Defensive End,25,23/02/1990,"Da'Quan Bowers (born February 23, 1990) is an American football defensive tackle for the Tampa Bay Buccaneers of the National Football League (NFL). He played college football for Clemson University, and earned unanimous All-American honors. He was chosen by the Tampa Bay Buccaneers in the second round of the 2011 NFL Draft. ",http://en.wikipedia.org/wiki/Da'Quan_Bowers,//upload.wikimedia.org/wikipedia/commons/6/64/Da%27Quan_Bowers.JPG
Robert Griffin III,1,0,,,,,1,0,22.65,Washington Redskins,Quarterback,25,12/02/1990,"Robert Lee Griffin III (born February 12, 1990), nicknamed RG3, is a professional American football quarterback for the Washington Redskins of the National Football League (NFL). He played college football for Baylor University where he won the 2011 Heisman Trophy. He was selected by the Redskins with the second overall pick of the 2012 NFL Draft. Griffin III won the 2012 NFL Offensive Rookie of the Year award. ",http://en.wikipedia.org/wiki/Robert_Griffin_III,//upload.wikimedia.org/wikipedia/commons/e/e1/RG3_2014.jpg
Morris Claiborne,1,1,,,,,1,1,22.84,Dallas Cowboys,Cornerback,25,7/02/1990,"Morris Lee Claiborne (born February 7, 1990) is an American football cornerback for the Dallas Cowboys of the National Football League (NFL). He played college football for Louisiana State University (LSU) and was recognized as an All-American. He was selected in the first round of the 2012 NFL Draft, and was considered by many to be the best defensive prospect available in the draft. ",http://en.wikipedia.org/wiki/Morris_Claiborne,//upload.wikimedia.org/wikipedia/commons/8/82/Morris_Claiborne_2011.jpg
Jacquizz Rodgers,,,1,1,,,1,1,23.87,Atlanta Falcons,Running Back,25,7/02/1990,"Jacquizz ""Quizz"" Rodgers (born February 7, 1990) is an American football running back for the Atlanta Falcons. Rodgers played for the Oregon State Beavers. During his freshman year, Rodgers was named the 2008 Pac-10 Offensive Player of the Year. Rodgers was selected as the 145th pick in the fifth round of the 2011 NFL Draft by the Atlanta Falcons. ",http://en.wikipedia.org/wiki/Jacquizz_Rodgers,//upload.wikimedia.org/wikipedia/en/8/88/Jacquizz_Rodgers_-_20090814.jpg
