Winner,http://upload.wikimedia.org/wikipedia/commons/6/6e/Kailash_Satyarthi.jpg,Known For,Field,Gender,Place of Birth,Country of Birth,Short Description,Description,Year of Birth,Age of Nobel Win,Universities,Country represented for Nobel Prize,Image,DBpedia Link,Profile
Charles Albert Gobat,1902 - Peace,,,Male,,,Swiss Politician And Lawyer,"Charles Albert Gobat (May 21, 1843 – March 16, 1914) was a Swiss lawyer, educational administrator, and politician who jointly received the Nobel Peace Prize with Élie Ducommun in 1902 for their leadership of the Permanent International Peace Bureau.",1843,59,,Switzerland,http://upload.wikimedia.org/wikipedia/commons/9/9b/Charles_Albert_Gobat2.jpg,http://dbpedia.org/page/Charles_Albert_Gobat,http://en.wikipedia.org/wiki/Charles_Albert_Gobat
Hendrik Lorentz,1902 - Physics,"Electromagnetic radiation, Lorentz force, Lorentz transformation, Length contraction",,Male,"Arnhem, Netherlands",Netherlands,,Hendrik Antoon Lorentz (18 July 1853 – 4 February 1928) was a Dutch physicist who shared the 1902 Nobel Prize in Physics with Pieter Zeeman for the discovery and theoretical explanation of the Zeeman effect. He also derived the transformation equations subsequently used by Albert Einstein to describe space and time.,1853,49,Leiden University,Netherlands,http://upload.wikimedia.org/wikipedia/commons/3/33/Hendrik_Antoon_Lorentz.jpg,http://dbpedia.org/page/Hendrik_Lorentz,http://en.wikipedia.org/wiki/Hendrik_Lorentz
Pieter Zeeman,1902 - Physics,Zeeman effect,,Male,"Zonnemaire, Netherlands",Netherlands,,Pieter Zeeman ( Dutch: [ˈzeːmɑn]; 25 May 1865 – 9 October 1943) was a Dutch physicist who shared the 1902 Nobel Prize in Physics with Hendrik Lorentz for his discovery of the Zeeman effect.,1865,37,Leiden University,Netherlands,http://upload.wikimedia.org/wikipedia/commons/a/a2/Pieter_Zeeman.jpg,http://dbpedia.org/page/Pieter_Zeeman,http://en.wikipedia.org/wiki/Pieter_Zeeman
Svante Arrhenius,1903 - Chemestry,"Arrhenius equation, Acid–base reaction, Dissociation (chemistry)",,Male,"Vik, Sweden",Sweden,,"Svante August Arrhenius (19 February 1859 – 2 October 1927) was a Swedish scientist, originally a physicist, but often referred to as a chemist, and one of the founders of the science of physical chemistry. He received the Nobel Prize for Chemistry in 1903 and in 1905 became director of the Nobel Institute where he remained until his death. The Arrhenius equation, Arrhenius definition of an acid, lunar crater Arrhenius and the Arrhenius Labs at Stockholm University are named after him.",1859,44,"Uppsala University, Stockholm University",Sweden,http://upload.wikimedia.org/wikipedia/commons/6/6c/Arrhenius2.jpg,http://dbpedia.org/page/Svante_Arrhenius,http://en.wikipedia.org/wiki/Svante_Arrhenius
Bjørnstjerne Bjørnson,1903 - Literature,,,Male,"Kvikne, Norway",Norway,Norwegian Writer,"Bjørnstjerne Martinius Bjørnson (8 December 1832 – 26 April 1910) was a Norwegian writer who received the 1903 Nobel Prize in Literature ""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"". Bjørnson is considered to be one of The Four Greats ( De Fire Store ) among Norwegian writers, the others being Henrik Ibsen, Jonas Lie, and Alexander Kielland. Bjørnson is also celebrated for his lyrics to the Norwegian National Anthem, "" Ja, vi elsker dette landet "". ",1832,71,,Norway,http://upload.wikimedia.org/wikipedia/commons/0/02/Bj%C3%B8rnson_bldsa_BB0803.jpg,http://dbpedia.org/page/Bj%C3%B8rnstjerne_Bj%C3%B8rnson,http://en.wikipedia.org/wiki/Bj%C3%B8rnstjerne_Bj%C3%B8rnson
Niels Ryberg Finsen,1903 - Medicine / Physiology,,,Male,"Tórshavn, Faroe Islands",Faroe Islands,Physician And Scientist,"Niels Ryberg Finsen (December 15, 1860 – September 24, 1904) was a Faroese physician and scientist of Icelandic descent. He was awarded the Nobel Prize in Medicine and Physiology in 1903 ""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science."" ",1860,43,,"Denmark, Faroe Islands",http://upload.wikimedia.org/wikipedia/commons//8/88/Niels_ryberg.jpg,http://dbpedia.org/page/Niels_Ryberg_Finsen,http://en.wikipedia.org/wiki/Niels_Ryberg_Finsen
Randal Cremer,1903 - Peace,,,Male,"Fareham, United Kingdom",United Kingdom,British Politician,"Sir William Randal Cremer (18 March 1828 – 22 July 1908) usually known by his middle name ""Randal"", was an English Liberal Member of Parliament, a pacifist, and a leading advocate for international arbitration.",1828,75,,United Kingdom,http://upload.wikimedia.org/wikipedia/commons//1/1e/Cremer.jpg,http://dbpedia.org/page/Randal_Cremer,http://en.wikipedia.org/wiki/Randal_Cremer
Pierre Curie,1903 - Physics,,,Male,"Paris, France",France,French Chemist,"Pierre Curie ( French: [kyʁi]; 15 May 1859 – 19 April 1906) was a French physicist, a pioneer in crystallography, magnetism, piezoelectricity and radioactivity. In 1903 he received the Nobel Prize in Physics with his wife, Marie Skłodowska-Curie, and Henri Becquerel, ""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"".",1859,44,Sorbonne,France,http://upload.wikimedia.org/wikipedia/commons/d/db/Pierre_Curie_by_Dujardin_c1906.jpg,http://dbpedia.org/page/Pierre_Curie,http://en.wikipedia.org/wiki/Pierre_Curie
Henri Becquerel,1903 - Physics,Radioactivity,,Male,"Paris, France",France,French Physicist,"Antoine Henri Becquerel (15 December 1852 – 25 August 1908) was a French physicist, Nobel laureate, and the discoverer of radioactivity along with Marie Skłodowska-Curie and Pierre Curie, for which all three won the 1903 Nobel Prize in Physics. The SI unit for radioactivity, the becquerel (Bq), is named after him.",1852,51,"Institut des sciences et technologies de Paris, École Polytechnique",France,http://upload.wikimedia.org/wikipedia/commons/8/8e/Portrait_of_Antoine-Henri_Becquerel.jpg,http://dbpedia.org/page/Henri_Becquerel,http://en.wikipedia.org/wiki/Henri_Becquerel
Marie Curie,"1903 - Physics, 1911 - Chemestry","Polonium, Radium",,Female,"Warsaw, Poland",Poland,Physicist And Chemist,"Marie Skłodowska-Curie (7 November 1867 – 4 July 1934) was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity. She was the first woman to win a Nobel Prize, the first person (and only woman) to win twice, the only person to win twice in multiple sciences, and was part of the Curie family legacy of five Nobel Prizes. She was also the first woman to become a professor at the University of Paris, and in 1995 became the first woman to be entombed on her own merits in the Panthéon in Paris.",1867,36,"University of Paris, Institut des sciences et technologies de Paris","France, France",http://upload.wikimedia.org/wikipedia/commons/7/7e/Marie_Curie_c1920.jpg,http://dbpedia.org/page/Marie_Curie,http://en.wikipedia.org/wiki/Marie_Curie
William Ramsay,1904 - Chemestry,Noble gas,,Male,"Glasgow, Scotland, United Kingdom",United Kingdom,,"Sir William Ramsay KCB FRS FRSE (1852–1916) was a Scottish chemist who discovered the noble gases and received the Nobel Prize in Chemistry in 1904 ""in recognition of his services in the discovery of the inert gaseous elements in air"" (along with his collaborator, Lord Rayleigh, who received the Nobel Prize in Physics that same year for their discovery of argon ). After the two men identified argon, Ramsay investigated other atmospheric gases. His work in isolating argon, helium, neon, krypton and xenon led to the development of a new section of the periodic table. ",1852,52,"University of Strathclyde, University of Tübingen",United Kingdom,http://upload.wikimedia.org/wikipedia/commons/d/d2/William_Ramsay_working.jpg,http://dbpedia.org/page/William_Ramsay,http://en.wikipedia.org/wiki/William_Ramsay
Frédéric Mistral,1904 - Literature,,,Male,"Maillane, France",France,French Writer And Lexicographer,"Frédéric Mistral ( Occitan: Frederic Mistral, 8 September 1830 – 25 March 1914) was a French writer and lexicographer of the Occitan language. Mistral received the 1904 Nobel Prize in Literature ""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist"". He was a founding member of Félibrige and a member of l' Académie de Marseille.",1830,74,,France,http://upload.wikimedia.org/wikipedia/commons/9/97/Frederic_Mistral_portrait_photo.jpg,http://dbpedia.org/page/Fr%C3%A9d%C3%A9ric_Mistral,http://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Mistral
José Echegaray,1904 - Literature,,,Male,"Madrid, Spain",Spain,Spanish Mathematician,"José Echegaray y Eizaguirre (April 19, 1832 – September 14, 1916) was a Spanish civil engineer, mathematician, statesman, and one of the leading Spanish dramatists of the last quarter of the 19th century. He was awarded the 1904 Nobel Prize for Literature ""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama"".",1832,72,,Spain,http://upload.wikimedia.org/wikipedia/commons//9/9b/Jos%C3%A9_Echegaray_y_Eizaguirre.jpg,http://dbpedia.org/page/Jos%C3%A9_Echegaray,http://en.wikipedia.org/wiki/Jos%C3%A9_Echegaray
Ivan Pavlov,1904 - Medicine / Physiology,"Classical conditioning, Transmarginal inhibition, Behavior modification",Physics,Male,"Ryazan, Russia",Russia,,"Ivan Petrovich Pavlov ( Russian: Ива́н Петро́вич Па́влов; IPA: [ɪˈvan pʲɪˈtrovʲɪt͡ɕ ˈpavləf]; 26 September [O.S. 14 September] 1849 – 27 February 1936) was a Russian physiologist known primarily for his work in classical conditioning. From his childhood days Pavlov demonstrated intellectual brilliance along with an unusual energy which he named ""the instinct for research"". Inspired by the progressive ideas which D. I. Pisarev, the most eminent of the Russian literary critics of the 1860s and I. M. Sechenov, the father of Russian physiology, were spreading, Pavlov abandoned his religious career and decided to devote his life to science. In 1870 he enrolled in the physics and mathematics faculty at the University of Saint Petersburg to take the course in natural science. Ivan Pavlov devoted his life to the study of physiology and sciences, making several remarkable discoveries and ideas that were passed on from generation to generation. He won the Nobel Prize for Physiology or Medicine in 1904. ",1849,55,Saint Petersburg State University,Russia,http://upload.wikimedia.org/wikipedia/commons/7/7d/Ivan_Pavlov_NLM3.jpg,http://dbpedia.org/page/Ivan_Pavlov,http://en.wikipedia.org/wiki/Ivan_Pavlov
Institut de Droit International,1904 - Peace,,,,,,,"The Institut de Droit international ( IDI; French for ""Institute of International Law"") is an organization devoted to the study and development of international law, whose membership comprises the world's leading public international lawyers. In 1904 the Institute received the Nobel Peace Prize.",,,,Belgium,http://upload.wikimedia.org/wikipedia/commons/6/61/Logo_of_Institut_de_Droit_International.svg,http://dbpedia.org/page/Institut_de_Droit_International,http://en.wikipedia.org/wiki/Institut_de_Droit_International
Lord Rayleigh,1904 - Physics,,,Male,"Maldon, United Kingdom",United Kingdom,,"John William Strutt, 3rd Baron Rayleigh, OM, PRS ( /ˈreɪli/; 12 November 1842 – 30 June 1919) was an English physicist who, with William Ramsay, discovered argon, an achievement for which he earned the Nobel Prize for Physics in 1904. He also discovered the phenomenon now called Rayleigh scattering, which can be used to explain why the sky is blue, and predicted the existence of the surface waves now known as Rayleigh waves. Rayleigh's textbook, The Theory of Sound, is still referred to by acoustic engineers today.",1842,62,University of Cambridge,United Kingdom,http://upload.wikimedia.org/wikipedia/commons/2/28/John_William_Strutt.jpg,"http://dbpedia.org/page/John_Strutt,_3rd_Baron_Rayleigh","http://en.wikipedia.org/wiki/John_Strutt,_3rd_Baron_Rayleigh"
Adolf von Baeyer,1905 - Chemestry,Synthesis of indigo,,Male,Germany,Germany,Chemist,"Johann Friedrich Wilhelm Adolf von Baeyer ( German: [ˈbaɪɐ]; October 31, 1835 – August 20, 1917) was a German chemist who synthesized indigo, and was the 1905 recipient of the Nobel Prize in Chemistry. ",1835,70,Humboldt University of Berlin,Germany,http://upload.wikimedia.org/wikipedia/commons/1/1b/Adolf_von_Baeyer_%281905%29.jpg,http://dbpedia.org/page/Adolf_von_Baeyer,http://en.wikipedia.org/wiki/Adolf_von_Baeyer
Henryk Sienkiewicz,1905 - Literature,,,Male,"Wola Okrzejska, Poland",Poland,Polish Writer,"Henryk Adam Aleksander Pius Sienkiewicz ( Polish: [ˈxɛnrɨk ˈadam alɛˈksandɛr ˈpʲus ɕɛnˈkʲevʲit͡ʂ]; also known by the pseudonym ""Litwos"" [ˈlitfɔs]; 5 May 1846 – 15 November 1916) was a Polish journalist, Nobel Prize-winning novelist, and philanthropist. He is best remembered for his historical novels.",1846,59,,Poland,http://upload.wikimedia.org/wikipedia/en9/94/Symbol_support_vote.svg,http://dbpedia.org/page/Henryk_Sienkiewicz,http://en.wikipedia.org/wiki/Henryk_Sienkiewicz
Robert Koch,1905 - Medicine / Physiology,"Bacteriology, Isolation of anthrax, Isolation of Tuberculosis, Isolation of Cholera, Koch's postulates of germ theory",Microbiology,Male,"Clausthal, Germany",Germany,German Physician And Bacteriologist,"Robert Heinrich Herman Koch (11 December 1843 – 27 May 1910) was a celebrated German physician and pioneering microbiologist. The founder of modern bacteriology, he is known for his role in identifying the specific causative agents of tuberculosis, cholera, and anthrax and for giving experimental support for the concept of infectious disease. In addition to his trail-blazing studies on these diseases, Koch created and improved laboratory technologies and techniques in the field of microbiology, and made key discoveries in public health. His research led to the creation of Koch’s postulates, a series of four generalized principles linking specific microorganisms to specific diseases that remain today the “gold standard” in medical microbiology. As a result of his groundbreaking research on tuberculosis, Koch received the Nobel Prize in Physiology or Medicine in 1905. ",1843,62,University of Göttingen,Germany,http://upload.wikimedia.org/wikipedia/commons/9/99/Robert_Koch_BeW.jpg,http://dbpedia.org/page/Robert_Koch,http://en.wikipedia.org/wiki/Robert_Koch
Bertha von Suttner,1905 - Peace,,,Female,"Prague, Czech Republic",Czech Republic,Austro-hungarian Writer,"Bertha Felicitas Sophie Freifrau von Suttner (Baroness Bertha von Suttner, née Countess Kinsky, Gräfin Kinsky von Wchinitz und Tettau; 9 June 1843 – 21 June 1914) was an Austrian pacifist and novelist. In 1905 she was the first woman to be awarded the Nobel Peace Prize, thus being the second female Nobel laureate after Marie Curie s 1903 award. ",1843,62,,"Austria, Czech Republic",http://upload.wikimedia.org/wikipedia/commons/5/50/Bertha_von_Suttner_nobel.jpg,http://dbpedia.org/page/Bertha_von_Suttner,http://en.wikipedia.org/wiki/Bertha_von_Suttner
Philipp Lenard,1905 - Physics,Cathode ray,Physics,Male,"Bratislava, Czech Republic",Czech Republic,German Physicist,"Philipp Eduard Anton von Lenard (June 7, 1862 – May 20, 1947), was a German physicist and the winner of the Nobel Prize for Physics in 1905 for his research on cathode rays and the discovery of many of their properties. He was a nationalist and anti-Semite; as an active proponent of the Nazi ideology, he had supported Adolf Hitler in the 1920s and was an important role model for the "" Deutsche Physik "" movement during the Nazi period.",1862,43,Heidelberg University,"Austria, Germany",http://upload.wikimedia.org/wikipedia/commons/1/1d/Phillipp_Lenard_in_1900.jpg,http://dbpedia.org/page/Philipp_Lenard,http://en.wikipedia.org/wiki/Philipp_Lenard
Henri Moissan,1906 - Chemestry,Isolation of fluorine,,Male,"Paris, France",France,,"Ferdinand Frederick Henri Moissan (September 28, 1852 – February 20, 1907) was a French chemist who won the 1906 Nobel Prize in Chemistry for his work in isolating fluorine from its compounds. Moissan was one of the original members of the International Atomic Weights Committee.",1852,54,"École Pratique des Hautes études, Collège de Meaux",France,http://upload.wikimedia.org/wikipedia/commons/9/92/Henri_Moissan_HiRes.jpg,http://dbpedia.org/page/Henri_Moissan,http://en.wikipedia.org/wiki/Henri_Moissan
Giosuè Carducci,1906 - Literature,,,Male,"Pietrasanta, Italy",Italy,Italian Poet,"Giosuè Alessandro Giuseppe Carducci ( Italian: [dʒozuˈɛ karˈduttʃi]; 27 July 1835 – 16 February 1907) was an Italian poet and teacher. He was very influential and was regarded as the official national poet of modern Italy. In 1906 he became the first Italian to receive the Nobel Prize in Literature ""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces"".",1835,71,,Italy,http://upload.wikimedia.org/wikipedia/commons/2/2f/Giosu%C3%A8_Carducci2.jpg,http://dbpedia.org/page/Giosu%C3%A8_Carducci,http://en.wikipedia.org/wiki/Giosu%C3%A8_Carducci
Camillo Golgi,1906 - Medicine / Physiology,,,Male,"Corteno, Italy",Italy,"Italian Neuroscientist And Anatomist, Anatomist","Camillo Golgi ( Italian: [kaˈmillo ˈɡɔldʒi]; 7 July 1843 – 21 January 1926) was an Italian physician, pathologist, scientist, and Nobel laureate. Several structures and phenomena in anatomy and physiology are named for him, including the Golgi apparatus, the Golgi tendon organ, and the Golgi tendon reflex.",1843,63,,Italy,http://upload.wikimedia.org/wikipedia/commons/5/5f/Camillo_Golgi.jpg,http://dbpedia.org/page/Camillo_Golgi,http://en.wikipedia.org/wiki/Camillo_Golgi
Santiago Ramón y Cajal,1906 - Medicine / Physiology,,Neuroscience,Male,"Aragon, Spain",Spain,Spanish Neuroscientist,"Santiago Ramón y Cajal ForMemRS ( Spanish: [sanˈtjaɣo raˈmon i kaˈxal]; 1 May 1852 – 18 October 1934) was a Spanish pathologist, histologist, neuroscientist and Nobel laureate. His original pioneering investigations of the microscopic structure of the brain have led him to be designated by many as the father of modern neuroscience. His medical artistry was legendary, and hundreds of his drawings illustrating the delicate arborizations of brain cells are still in use for educational and training purposes. ",1852,54,,Spain,http://upload.wikimedia.org/wikipedia/commons/3/30/Cajal-Restored.jpg,http://dbpedia.org/page/Santiago_Ram%C3%B3n_y_Cajal,http://en.wikipedia.org/wiki/Santiago_Ram%C3%B3n_y_Cajal
Theodore Roosevelt,1906 - Peace,,,Male,"New York City, New York, United States",United States of America,,"Theodore ""T.R."" Roosevelt, Jr. ( /ˈroʊzəvɛlt/ ROH-zə-velt ) (October 27, 1858 – January 6, 1919) was an American politician, author, naturalist, soldier, explorer, and historian who served as the 26th President of the United States. He was a leader of the Republican Party (GOP) and founder of the Progressive Party insurgency of 1912. He is known for his exuberant personality, range of interests and achievements, and his leadership of the Progressive Movement, as well as his ""cowboy"" persona and robust masculinity. Born into a wealthy family in New York City, Roosevelt was a sickly child who suffered from asthma. To overcome his physical weakness, he embraced a strenuous life. He was home-schooled and became an eager student of nature. He attended Harvard College where he studied biology, boxed, and developed an interest in naval affairs. He quickly entered politics, determined to become a member of the ruling class. In 1881 he was elected to the New York State Assembly, where he became a leader of the reform faction of the GOP. His book The Naval War of 1812 (1882) established him as a learned historian and writer.",1858,48,"Harvard University, Columbia University",United States of America,http://upload.wikimedia.org/wikipedia/commons/e/eb/T_Roosevelt.jpg,http://dbpedia.org/page/Theodore_Roosevelt,http://en.wikipedia.org/wiki/Theodore_Roosevelt
J. J. Thomson,1906 - Physics,"Plum pudding model, Mass-to-charge ratio, Thomson scattering, Thomson problem, Isotope, Delta ray, Thomson (unit), Epsilon radiation, Waveguide (electromagnetism)",,Male,"Cheetham Hill, Manchester, United Kingdom",United Kingdom,English Physicist,"Sir Joseph John ""J. J."" Thomson, OM, FRS ( /ˈtɒmsən/; 18 December 1856 – 30 August 1940) was an English physicist.",1856,50,"University of Manchester, University of Cambridge",United Kingdom,http://upload.wikimedia.org/wikipedia/commons/c/c1/J.J_Thomson.jpg,http://dbpedia.org/page/J._J._Thomson,http://en.wikipedia.org/wiki/J._J._Thomson
Eduard Buchner,1907 - Chemestry,Mannich reaction,,Male,"Munich, Germany",Germany,German Biochemist,"Eduard Buchner (20 May 1860 – 13 August 1917) was a German chemist and zymologist, awarded with the 1907 Nobel Prize in Chemistry for his work on fermentation.",1860,47,Ludwig Maximilian University of Munich,Germany,http://upload.wikimedia.org/wikipedia/commons/b/b2/Eduardbuchner.jpg,http://dbpedia.org/page/Eduard_Buchner,http://en.wikipedia.org/wiki/Eduard_Buchner
Rudyard Kipling,1907 - Literature,,,Male,"Mumbai, India",India,British Novelist And Poet,"Joseph Rudyard Kipling ( /ˈrʌdjərdˈkɪplɪŋ/ RUD-yəd KIP-ling; 30 December 1865 – 18 January 1936) was an English short-story writer, poet, and novelist. He wrote tales and poems of British soldiers in India and stories for children. He was born in Bombay, in the Bombay Presidency of British India, and was taken by his family to England when he was five years old. ",1865,42,,"India, United Kingdom",http://upload.wikimedia.org/wikipedia/commons/6/6f/Rudyard_Kipling.jpg,http://dbpedia.org/page/Rudyard_Kipling,http://en.wikipedia.org/wiki/Rudyard_Kipling
Charles Louis Alphonse Laveran,1907 - Medicine / Physiology,Trypanosomiasis,"Parasitology, Tropical medicine",Male,"Paris, France",France,French Physician,"Charles Louis Alphonse Laveran (18 June 1845 – 18 May 1922) was a French physician who won the Nobel Prize in Physiology or Medicine in 1907 for his discoveries of parasitic protozoans as causative agents of infectious diseases such as malaria and trypanosomiasis. Following his father, Louis Théodore Laveran, he took up military medicine as profession. He obtained his medical degree from University of Strasbourg in 1867.",1845,62,University of Strasbourg,France,http://upload.wikimedia.org/wikipedia/commons/7/7f/Charles_Laveran_nobel.jpg,http://dbpedia.org/page/Charles_Louis_Alphonse_Laveran,http://en.wikipedia.org/wiki/Charles_Louis_Alphonse_Laveran
