Rank,Name,Sport,Total Pay,Salary/Winnings,Endorsements,Nation,Gender,Year of birth,Birth Date,Place of Birth,Height (cm),Wikipedia Page,dbpedia Page,Image,Description
74,Carl Crawford,Baseball,"$20,500,000","$20,200,000","$300,000",United States,Male,1981,5/08/1981,"Houston, United States",188,http://en.wikipedia.org/wiki/Carl_Crawford,dbpedia.org/resource/Carl_Crawford,"http://commons.wikimedia.org/wiki/Special:FilePath/Carl_Crawford_on_April_21,_2013.jpg?width=300","Carl Demonte Crawford (born August 5, 1981), nicknamed ""The Perfect Storm"", is an American professional baseball outfielder with the Los Angeles Dodgers of Major League Baseball (MLB). He bats and throws left-handed ."
84,Carlos Dunlap,Football,"$18,750,000","$18,700,000","$50,000",United States,Male,1989,28/02/1989,"North Charleston, South Carolina",198,http://en.wikipedia.org/wiki/Carlos_Dunlap,dbpedia.org/resource/Carlos_Dunlap,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos_Dunlap.jpg?width=300,"Carlos Dunlap (born February 28, 1989) is an American football defensive end for the Cincinnati Bengals of the National Football League (NFL). He played college football for the University of Florida, and was a key member of the Florida Gators team that won the 2009 national championship . He was then drafted by the Bengals in the second round of the 2010 NFL Draft ."
24,Carmelo Anthony,Basketball,"$29,400,000","$21,400,000","$8,000,000",United States,Male,1984,29/05/1984,"Brooklyn, New York City, New York, United States",203,http://en.wikipedia.org/wiki/Carmelo_Anthony,dbpedia.org/resource/Carmelo_Anthony,http://commons.wikimedia.org/wiki/Special:FilePath/Carmelo_Anthony_Nov_2013.jpg?width=300,"Carmelo Kyam Anthony (born May 29, 1984) is an American professional basketball player who currently plays for the New York Knicks of the National Basketball Association (NBA). Anthony attended Towson Catholic High School and Oak Hill Academy before playing college basketball at Syracuse . In Anthony's freshman season, he led the Orangemen to their first ever National Championship and was named the NCAA Tournament's Most Outstanding Player . Anthony then entered the 2003 NBA Draft where he was selected with the third overall pick by the Denver Nuggets ."
37,CC Sabathia,Baseball,"$24,200,000","$23,000,000","$1,200,000",United States,Male,1980,21/07/1980,"Vallejo, California",201,http://en.wikipedia.org/wiki/CC_Sabathia,dbpedia.org/resource/CC_Sabathia,http://commons.wikimedia.org/wiki/Special:FilePath/CC_Sabathia_2009.jpg?width=300,"Carsten Charles ""CC"" Sabathia Jr (born July 21, 1980) is an American professional baseball pitcher for the New York Yankees of Major League Baseball (MLB). Upon signing with the Yankees prior to the 2009 season, Sabathia became the highest-paid pitcher in MLB history. Currently in his 14th year as a major league pitcher, Sabathia had never had more losses than wins in a season before 2014."
37,Chris Paul,Basketball,"$24,200,000","$18,700,000","$5,500,000",United States,Male,1985,6/05/1985,"Forsyth County, North Carolina, United States",183,http://en.wikipedia.org/wiki/Chris_Paul,dbpedia.org/resource/Chris_Paul,http://commons.wikimedia.org/wiki/Special:FilePath/Chris_Paul_dribbling_20131118_Clippers_v_Grizzles.jpg?width=300,"Christopher Emmanuel ""Chris"" Paul (born May 6, 1985) is an American professional basketball player for the Los Angeles Clippers of the National Basketball Association (NBA). Standing at 6 ft 0 in (1.83 m) and weighing 175 lb (79 kg), he has started at the point guard position exclusively. Paul has won the NBA Rookie of the Year Award, an Olympic gold medal, and led the NBA in assists three times and steals six times. He has also been selected to seven NBA All-Star teams, six All-NBA teams, and six All-Defensive teams."
57,Chris Bosh,Basketball,"$21,800,000","$19,300,000","$2,500,000",United States,Male,1984,24/03/1984,"Dallas, Texas, United States",211,http://en.wikipedia.org/wiki/Chris_Bosh,dbpedia.org/resource/Chris_Bosh,http://commons.wikimedia.org/wiki/Special:FilePath/Chris_Bosh_e1.jpg?width=300,"Christopher Wesson ""Chris"" Bosh (born March 24, 1984) is an American professional basketball player who currently plays for the Miami Heat of the National Basketball Association (NBA). A high school ""Mr. Basketball"" in Texas, Bosh left college at Georgia Tech after one season with the Georgia Tech Yellow Jackets men's basketball team to enter the 2003 NBA Draft . He was selected fourth overall by the Toronto Raptors in a very competitive draft class that included multiple future NBA superstars such as LeBron James, Dwyane Wade, and Carmelo Anthony . While at Toronto, Bosh emerged as one of the young stars in the league; he became a five-time NBA All-Star, was named to the All-NBA second team once, appeared for the US national team (with whom he won a gold medal at the 2008 Olympics ), and supplanted former fan-favorite Vince Carter as the face and leader of the Raptors franchise ."
30,Cliff Lee,Baseball,"$25,300,000","$25,100,000","$200,000",United States,Male,1978,30/08/1978,"Benton, Arkansas",190,http://en.wikipedia.org/wiki/Cliff_Lee,dbpedia.org/resource/Cliff_Lee,http://commons.wikimedia.org/wiki/Special:FilePath/Cliff_Lee_in_the_windup.JPG?width=300,"Clifton Phifer Lee (born August 30, 1978) is an American professional baseball player. He is a starting pitcher for the Philadelphia Phillies . He stands 6 feet 3 inches (191 cm) and weighs 205 pounds (93 kg). He was born in Benton, Arkansas . Lee played baseball at Benton High School and attended Meridian Community College and the University of Arkansas before being drafted by the Montreal Expos in the twentieth round of the 2000 draft ."
70,Cole Hamels,Baseball,"$20,700,000","$20,500,000","$200,000",United States,Male,1983,27/12/1983,"San Diego, California, United States",193,http://en.wikipedia.org/wiki/Cole_Hamels,dbpedia.org/resource/Cole_Hamels,http://en.wikipedia.org/wiki/Special:FilePath/Cole_Hamels_pitching_2010.jpg?width=300,"Colbert Michael ""Cole"" Hamels (born December 27, 1983) is an American professional baseball pitcher for the Philadelphia Phillies of Major League Baseball . Originally from San Diego, California, Hamels excelled in high school both academically and athletically. The Philadelphia Phillies drafted him out of high school in the first round of the 2002 draft (17th overall), and he began his career in the Phillies minor league system. Numerous issues, including an injury sustained in a bar fight as well as other injuries, occurred during his first few minor league seasons. Having reached the Triple-A level, he was the top pitcher in the Phillies' minor league system in 2006 ."
40,Darrelle Revis,Football,"$23,800,000","$23,000,000","$800,000",United States,Male,1985,14/07/1985,"Aliquippa, Pennsylvania, United States",180,http://en.wikipedia.org/wiki/Darrelle_Revis,dbpedia.org/resource/Darrelle_Revis,http://commons.wikimedia.org/wiki/Special:FilePath/Darrelle_Revis_ESPNWeekend2010-051.jpg?width=300,"Darrelle Shavar Revis (born July 14, 1985) is an American football cornerback for the New England Patriots of the National Football League (NFL). He played college football for the University of Pittsburgh, and was drafted in the first round (14th overall) by the New York Jets in the 2007 NFL Draft . He has also played for the Tampa Bay Buccaneers . His spot on the field is nicknamed ""Revis Island"", a phrase Revis has trademarked, for his ability to shut down the opposing number one receivers. He is considered by many to be the best cornerback in the NFL. "
80,David Ortiz,Baseball,"$19,800,000","$14,800,000","$5,000,000",Dominican Republic,Male,1975,18/11/1975,"Santo Domingo, Dominican Republic",195,http://en.wikipedia.org/wiki/David_Ortiz,dbpedia.org/resource/David_Ortiz,http://commons.wikimedia.org/wiki/Special:FilePath/David_Ortiz2.jpg?width=300,"David Américo Ortiz Arias (born November 18, 1975), nicknamed "" Big Papi "", is a Dominican-American professional baseball player. Ortiz is a designated hitter who occasionally plays first base for the Boston Red Sox of Major League Baseball (MLB). He played with the Minnesota Twins from 1997-2002."
35,Derek Jeter,Baseball,"$24,300,000","$15,300,000","$9,000,000",United States,Male,1974,26/06/1974,"Pequannock Township, New Jersey",190,http://en.wikipedia.org/wiki/Derek_Jeter,dbpedia.org/resource/Derek_Jeter,http://en.wikipedia.org/wiki/Special:FilePath/Derek_Jeter_batting_stance_allison.jpg?width=300,"Derek Sanderson Jeter ( /ˈdʒiːtər/ JEE-tər ) (born June 26, 1974) is an American former professional baseball shortstop who played 20 seasons in Major League Baseball (MLB) for the New York Yankees . A five-time World Series champion, Jeter is regarded as a central figure of the Yankees' success of the late 1990s and early 2000s for his hitting, baserunning, fielding, and leadership. He is the Yankees' all-time career leader in hits (3,465), doubles (544), games played (2,747), stolen bases (358), times on base (4,716), plate appearances (12,602) and at bats (11,195). His accolades include 14 All-Star selections, five Gold Glove Awards, five Silver Slugger Awards, two Hank Aaron Awards, and a Roberto Clemente Award . Jeter became the 28th player to reach 3,000 hits and finished his career sixth all-time in career hits and the all-time MLB leader in hits by a shortstop."
79,Deron Williams,Basketball,"$20,000,000","$18,500,000","$1,500,000",United States,Male,1984,26/06/1984,"Parkersburg, West Virginia",191,http://en.wikipedia.org/wiki/Deron_Williams,dbpedia.org/resource/Deron_Williams,http://commons.wikimedia.org/wiki/Special:FilePath/Deron_Williams_Nets_2.jpg?width=300,"Deron Michael Williams ( /ˈdɛrən/ DERR-in; born June 26, 1984) is an American professional basketball player who currently plays for the Brooklyn Nets of the National Basketball Association (NBA). In addition to the Nets, he has played for the Utah Jazz and Beşiktaş of the Turkish Basketball League . Williams was drafted 3rd overall in the 2005 draft by the Utah Jazz, for whom he played before being traded in the middle of his sixth season to the Nets. He is a three-time All-Star and was a gold medal winner at the 2008 and 2012 Summer Olympics ."
13,Derrick Rose,Basketball,"$36,600,000","$17,600,000","$19,000,000",United States,Male,1988,4/10/1988,"Chicago, Illinois, United States",191,http://en.wikipedia.org/wiki/Derrick_Rose,dbpedia.org/resource/Derrick_Rose,http://commons.wikimedia.org/wiki/Special:FilePath/Derrick_Rose_2.jpg?width=300,"Derrick Martell Rose (born October 4, 1988) is an American professional basketball player who currently plays for the Chicago Bulls of the National Basketball Association (NBA). He played one year of college basketball for the University of Memphis before being drafted first overall by Chicago in the 2008 NBA draft . Rose became the first guard to be drafted first overall in the NBA draft since Allen Iverson in 1996 and would subsequently win NBA Rookie of the Year . In 2011, Rose was named the NBA Most Valuable Player, becoming the youngest player to win this award at 22 years and 6 months old. "
45,Dirk Nowitzki,Basketball,"$23,200,000","$22,700,000","$500,000",Germany,Male,1978,19/06/1978,"West Germany, Würzburg",213,http://en.wikipedia.org/wiki/Dirk_Nowitzki,dbpedia.org/resource/Dirk_Nowitzki,http://commons.wikimedia.org/wiki/Special:FilePath/DirkNowitzki.jpg?width=300,"Dirk Werner Nowitzki ( German pronunciation: [ˈdɪʁk ˈvɛʁnɐ noˈvɪtski] ) (born June 19, 1978) is a German professional basketball player who currently plays for the Dallas Mavericks of the National Basketball Association (NBA). An alumnus of Röntgen Gymnasium and the DJK Würzburg basketball club, Nowitzki was chosen as the ninth pick in the 1998 NBA Draft by the Milwaukee Bucks and immediately traded to the Mavericks, where he has played since. Listed at 7 ft 0 in (2.13 m), Nowitzki plays mostly at power forward, where he has established a reputation as one of the greatest players in basketball history at that position. "
33,Zack Greinke,Baseball,"$24,450,000","$24,400,000","$50,000",United States,Male,1983,21/10/1983,"Orlando, Florida",188,http://en.wikipedia.org/wiki/Zack_Greinke,dbpedia.org/resource/Zack_Greinke,"http://commons.wikimedia.org/wiki/Special:FilePath/Zack_Greinke_on_September_17,_2013.jpg?width=300","Donald Zackary "" Zack "" Greinke ( /ˈɡrɪŋki/ GRING-kee; born October 21, 1983) is an American professional baseball pitcher for the Los Angeles Dodgers of Major League Baseball (MLB). He has also pitched for the Kansas City Royals, Milwaukee Brewers and Los Angeles Angels of Anaheim . Greinke has battled social anxiety disorder throughout his career, which at one point almost caused him to retire from baseball."
66,Drew Brees,Football,"$21,000,000","$10,000,000","$11,000,000",United States,Male,1979,15/01/1979,"Austin, Texas",183,http://en.wikipedia.org/wiki/Drew_Brees,dbpedia.org/resource/Drew_Brees,http://commons.wikimedia.org/wiki/Special:FilePath/Drew_Brees_at_Saints_Super_Bowl_parade_2010-02-09.jpg?width=300,"Drew Christopher Brees ( /ˈbriːs/; born January 15, 1979) is an American football quarterback for the New Orleans Saints of the National Football League (NFL). After a prolific college football career at Purdue University, he was chosen by the San Diego Chargers with the first pick in the second round of the 2001 NFL Draft . He left college as one of the most-decorated players in Purdue and Big Ten Conference history, establishing two NCAA records, 13 Big Ten Conference records and 19 Purdue University records. He remains the Big Ten record-holder in virtually every passing category, including completions (1,026), yards (11,792) and touchdowns (90). "
29,Dwight Howard,Basketball,"$25,500,000","$20,500,000","$5,000,000",United States,Male,1985,8/12/1985,"Atlanta, Georgia, United States",211,http://en.wikipedia.org/wiki/Dwight_Howard,dbpedia.org/resource/Dwight_Howard,http://commons.wikimedia.org/wiki/Special:FilePath/Dwight_Howard_March_2014.jpg?width=300,"Dwight David Howard (born December 8, 1985) is an American professional basketball player for the Houston Rockets of the National Basketball Association (NBA). Howard, who usually plays center but can also play power forward, had an outstanding high school career at Southwest Atlanta Christian Academy . He chose to forgo college and entered the 2004 NBA Draft, and was selected first overall by the Orlando Magic . An eight-time All-Star, seven-time All-NBA team selection, five-time All-Defensive member, and three-time Defensive Player of the Year, Howard has been ranked consistently as one of the best in the league in rebounds, blocks, field goal percentage and free throw attempts, and has set numerous franchise and league records. He led the Magic to three division titles and one conference title, and he was the winner of the 2008 NBA Slam Dunk Contest . In the 2008 Olympics, he was the starting center for Team USA, which went on to win the gold medal. He was traded to the Los Angeles Lakers in 2012, and signed with the Houston Rockets in 2013."
23,Dwyane Wade,Basketball,"$29,900,000","$18,900,000","$11,000,000",United States,Male,1982,17/01/1982,"Chicago, Illinois, United States",193,http://en.wikipedia.org/wiki/Dwyane_Wade,dbpedia.org/resource/Dwyane_Wade,http://commons.wikimedia.org/wiki/Special:FilePath/Dwyane_Wade.jpg?width=300,"Dwyane Tyrone Wade, Jr. (born January 17, 1982) is an American professional basketball player who currently plays for the Miami Heat of the National Basketball Association (NBA). He has established himself as one of the most well-known and popular players in the league. Wade had the top selling jersey in the NBA for nearly two years, leading the league in jersey sales from the 2005 NBA Playoffs, until the midpoint of the 2006–07 season . His first name is pronounced /dwɛɪn/, the same as the more common spellings ""Duane"" and ""Dwayne"". "
6,Tiger Woods,Golf,"$61,200,000","$6,200,000","$55,000,000",United States,Male,1975,30/12/1975,"Cypress, California",185,http://en.wikipedia.org/wiki/Tiger_Woods,dbpedia.org/resource/Tiger_Woods,http://commons.wikimedia.org/wiki/Special:FilePath/TigerWoodsOct2011.jpg?width=300,"Eldrick Tont "" Tiger "" Woods (born December 30, 1975) is an American professional golfer who is among the most successful golfers of all time. He has been one of the highest-paid athletes in the world for several years."
66,Eli Manning,Football,"$21,000,000","$13,500,000","$7,500,000",United States,Male,1981,3/01/1981,"New Orleans, Louisiana, United States",193,http://en.wikipedia.org/wiki/Eli_Manning,dbpedia.org/resource/Eli_Manning,http://commons.wikimedia.org/wiki/Special:FilePath/Eli_Manning_Giants_QB.jpg?width=300,"Elisha Nelson ""Eli"" Manning (born January 3, 1981) is an American football quarterback for the New York Giants of the National Football League and is the active iron man for consecutive starts by a quarterback. He is the son of former NFL quarterback Archie Manning and the younger brother of Denver Broncos quarterback Peyton Manning . Manning played college football at the University of Mississippi after attending prep school at Isidore Newman School in New Orleans . He was drafted as the first overall pick in the 2004 NFL Draft by the San Diego Chargers and immediately traded to the New York Giants, who in return gave up a package highlighted by fourth overall selection Philip Rivers ."
11,Manny Pacquiao,Boxing,"$41,800,000","$41,000,000","$800,000",Philippines,Male,1978,17/12/1978,"Kibawe, Bukidnon, General Santos, Philippines",152,http://en.wikipedia.org/wiki/Manny_Pacquiao,dbpedia.org/resource/Manny_Pacquiao,http://commons.wikimedia.org/wiki/Special:FilePath/Manny_Pacquiao_at_87th_NCAA_cropped.jpg?width=300,"Emmanuel "" Manny "" Dapidran Pacquiao, PLH ( /ˈpæki.aʊ/ PAK-ee-ow; Tagalog: [pɐkˈjaʊ]; born December 17, 1978) is a Filipino professional boxer and politician . He is the first and only eight-division world champion, in which he has won ten world titles, as well as the first to win the lineal championship in four different weight classes. According to Forbes, he was the 14th highest paid athlete in the world as of 2013. "
77,Felix Hernandez,Baseball,"$20,300,000","$20,100,000","$200,000",Venezuela,Male,1986,08/04/1986,"Valencia, Venezuela",190,http://en.wikipedia.org/wiki/Felix_Hernandez,dbpedia.org/resource/Felix_Hernandez,http://upload.wikimedia.org/wikipedia/commons/f/f2/F%C3%A9lix_Hern%C3%A1ndez_on_May_11%2C_2011.jpg,"Félix Abraham Hernández García (born April 8, 1986), nicknamed ""King Félix"", is a Venezuelan professional baseball starting pitcher for the Seattle Mariners of Major League Baseball ."
21,Fernando Alonso,Racing,"$31,000,000","$29,000,000","$2,000,000",Spain,Male,1981,29/07/1981,"Oviedo, Asturias, Spain",171,http://en.wikipedia.org/wiki/Fernando_Alonso,dbpedia.org/resource/Fernando_Alonso,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando-alonso-malaysia-2013.jpg?width=300,"Fernando Alonso Díaz (born 29 July 1981 in Oviedo, Asturias, Spain ) is a Spanish Formula One racing driver and a two-time World Champion who is currently racing for Scuderia Ferrari ."
63,Fernando Torres,Soccer,"$21,300,000","$17,800,000","$3,500,000",Spain,Male,1984,20/03/1984,"Fuenlabrada, Spain",186,http://en.wikipedia.org/wiki/Fernando_Torres,dbpedia.org/resource/Fernando_Torres,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando_Torres_Golden_Boot_Confederations_Cup_2013.jpg?width=300,"Fernando José Torres Sanz ( Spanish pronunciation: [ferˈnando ˈtores]; born 20 March 1984) is a Spanish professional footballer who plays for Italian club Milan, on loan from English club Chelsea, and the Spain national team as a striker ."
1,Floyd Mayweather,Boxing,"$105,000,000","$105,000,000",$0,United States,Male,1977,24/02/1977,"Grand Rapids, Michigan, United States",173,"http://en.wikipedia.org/wiki/Floyd_Mayweather,_Jr.","dbpedia.org/resource/Floyd_Mayweather,_Jr.",http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Floyd_Mayweather%2C_Jr._at_DeWalt_event.jpg/215px-Floyd_Mayweather%2C_Jr._at_DeWalt_event.jpg,"Floyd Mayweather, Jr. (born Floyd Joy Sinclair; February 24, 1977) is an American professional boxer . He is currently undefeated as a professional and is a five-division world champion, having won ten world titles and the lineal championship in four different weight classes. Mayweather is a two-time Ring magazine Fighter of the Year (winning the award in 1998 and 2007); he also won the Boxing Writers Association of America (BWAA) Fighter of the Year award in 2007 and the Best Fighter ESPY Award in 2007, 2008, 2010, 2012, 2013 and 2014. "
92,Franck Ribéry,Soccer,"$18,300,000","$16,800,000","$1,500,000",France,Male,1983,7/04/1983,"Boulogne-sur-Mer, France",170,http://en.wikipedia.org/wiki/Franck_Rib%C3%A9ry,dbpedia.org/resource/Franck_Rib%C3%A9ry,http://commons.wikimedia.org/wiki/Special:FilePath/Franck_Ribéry_20120611.jpg?width=300,"Franck Henry Pierre Ribéry ( French pronunciation: ​ [fʁɑ̃k ʁi.be.ʁi] ) (born 7 April 1983) also known as Bilal Yusuf Mohammed as an adopted name since his conversion in 2006 to Islam, is a French footballer currently playing for German Bundesliga club Bayern Munich, and a former France national team player . He primarily plays as a winger, preferably on the left side although being right-footed, and is known for pace, energy, skill and precise passing. Ribéry is described as a player who is fast, tricky and an excellent dribbler, who has great control with the ball at his feet. Since joining Bayern, he has been recognised on the world stage as one of the best French players of his generation. The previous talisman of the French national team, Zinedine Zidane, has called Ribéry the ""jewel of French football"". "
14,Gareth Bale,Soccer,"$36,400,000","$25,400,000","$11,000,000",Wales,Male,1989,16/07/1989,"Cardiff, Wales",183,http://en.wikipedia.org/wiki/Gareth_Bale,dbpedia.org/resource/Gareth_Bale,http://commons.wikimedia.org/wiki/Special:FilePath/Gareth_Bale_RM.jpg?width=300,"Gareth Frank Bale (born 16 July 1989) is a Welsh footballer who plays for Spanish club Real Madrid and the Wales national team, as a winger ."
53,Geno Atkins,Football,"$22,350,000","$22,300,000","$50,000",United States,Male,1988,28/03/1988,"Pembroke Pines, Florida, United States",185,http://en.wikipedia.org/wiki/Geno_Atkins,dbpedia.org/resource/Geno_Atkins,http://commons.wikimedia.org/wiki/Special:FilePath/GenoAtkins.jpg?width=300,"Gene Renard Atkins Jr. (born March 28, 1988) is an American football defensive tackle for the Cincinnati Bengals of the National Football League (NFL). He played college football for the University of Georgia . He was drafted by the Bengals in the fourth round of the 2010 NFL Draft ."
59,Yaya Touré,Soccer,"$21,700,000","$19,200,000","$2,500,000",Ivory Coast,Male,1983,13/05/1983,"Bouaké, Ivory Coast",191,http://en.wikipedia.org/wiki/Yaya_Tour%C3%A9,dbpedia.org/resource/Yaya_Tour%C3%A9,http://commons.wikimedia.org/wiki/Special:FilePath/Yaya_Touré.JPG?width=300,"Gnégnéri Yaya Touré (born 13 May 1983), known as Yaya Touré, is an Ivorian professional footballer who plays as a midfielder for English club Manchester City and the Ivory Coast national team . "
64,Henrik Stenson,Golf,"$21,200,000","$18,000,000","$3,200,000",Sweden,Male,1976,5/04/1976,"Gothenburg, Sweden",185,http://en.wikipedia.org/wiki/Henrik_Stenson,dbpedia.org/resource/Henrik_Stenson,http://commons.wikimedia.org/wiki/Special:FilePath/Henrik_Stenson.JPG?width=300,"Henrik Stenson (born 5 April 1976) is a Swedish professional golfer who plays both on the PGA and European Tours . He has spent over 100 weeks ranked in the World top ten and his career high ranking of second is the best by any Swedish golfer. In July 2013, Stenson finished runner-up at the 2013 Open Championship . That year he also moved up to 3rd in the Official World Golf Ranking, and he won the U.S. PGA Tour's FedEx Cup and the European Tour's Race to Dubai, thus becoming the first player to win both, and to do so in the same season, a ""historic double"". Stenson described his feat as a ""double-double"" because in the process of winning these two seasonal points crowns, he also won the season finales of both tours. "
