ID,Profile,Agency Lobbied,Year,Total Number of Clients,Number of reports listing agency
2003 - Defense Special Weapons Agency,http://www.opensecrets.org//lobby/agencysum.php?id=125&year=2003,Defense Special Weapons Agency,2003,1,1
2003 - Employment Standards Administration,http://www.opensecrets.org//lobby/agencysum.php?id=166&year=2003,Employment Standards Administration,2003,1,1
2003 - Federal Management Service,http://www.opensecrets.org//lobby/agencysum.php?id=187&year=2003,Federal Management Service,2003,1,1
2003 - Legal Services Corp,http://www.opensecrets.org//lobby/agencysum.php?id=100&year=2003,Legal Services Corp,2003,1,1
2003 - National Capital Planning Commission,http://www.opensecrets.org//lobby/agencysum.php?id=070&year=2003,National Capital Planning Commission,2003,1,1
2003 - Office of Administration,http://www.opensecrets.org//lobby/agencysum.php?id=017&year=2003,Office of Administration,2003,1,1
2003 - Selective Service System,http://www.opensecrets.org//lobby/agencysum.php?id=089&year=2003,Selective Service System,2003,1,1
2003 - St Lawrence Seaway Development Corp,http://www.opensecrets.org//lobby/agencysum.php?id=178&year=2003,St Lawrence Seaway Development Corp,2003,1,1
2003 - Violence Against Women Office,http://www.opensecrets.org//lobby/agencysum.php?id=162&year=2003,Violence Against Women Office,2003,1,1
2002 - Agency for Toxic Substances & Disease,http://www.opensecrets.org//lobby/agencysum.php?id=133&year=2002,Agency for Toxic Substances & Disease,2002,1,1
2002 - Bureau of Economic Analysis,http://www.opensecrets.org//lobby/agencysum.php?id=106&year=2002,Bureau of Economic Analysis,2002,1,1
2002 - Bureau of Engraving & Printing,http://www.opensecrets.org//lobby/agencysum.php?id=185&year=2002,Bureau of Engraving & Printing,2002,1,1
2002 - Defense Nuclear Facilities Safety Board,http://www.opensecrets.org//lobby/agencysum.php?id=048&year=2002,Defense Nuclear Facilities Safety Board,2002,1,1
2002 - Employment Standards Administration,http://www.opensecrets.org//lobby/agencysum.php?id=166&year=2002,Employment Standards Administration,2002,1,1
2002 - Fed Retirement Thrift Investment Board,http://www.opensecrets.org//lobby/agencysum.php?id=063&year=2002,Fed Retirement Thrift Investment Board,2002,1,1
2002 - Federal Law Enforcement Training Center,http://www.opensecrets.org//lobby/agencysum.php?id=186&year=2002,Federal Law Enforcement Training Center,2002,1,1
2002 - Office for Victims of Crime,http://www.opensecrets.org//lobby/agencysum.php?id=161&year=2002,Office for Victims of Crime,2002,1,1
2002 - Office of Government Ethics,http://www.opensecrets.org//lobby/agencysum.php?id=080&year=2002,Office of Government Ethics,2002,1,1
2002 - Office of Juvenile Justice & Delinq Prev,http://www.opensecrets.org//lobby/agencysum.php?id=160&year=2002,Office of Juvenile Justice & Delinq Prev,2002,1,1
2002 - Office of Policy Development,http://www.opensecrets.org//lobby/agencysum.php?id=020&year=2002,Office of Policy Development,2002,1,1
2002 - Panama Canal Commission,http://www.opensecrets.org//lobby/agencysum.php?id=083&year=2002,Panama Canal Commission,2002,1,1
2002 - Research & Special Programs Administra,http://www.opensecrets.org//lobby/agencysum.php?id=179&year=2002,Research & Special Programs Administra,2002,1,1
2002 - St Lawrence Seaway Development Corp,http://www.opensecrets.org//lobby/agencysum.php?id=178&year=2002,St Lawrence Seaway Development Corp,2002,1,1
2002 - US Botanic Garden,http://www.opensecrets.org//lobby/agencysum.php?id=004&year=2002,US Botanic Garden,2002,1,1
2001 - Architect of the Capitol,http://www.opensecrets.org//lobby/agencysum.php?id=003&year=2001,Architect of the Capitol,2001,1,1
2001 - Ballistic Missile Defense Organization,http://www.opensecrets.org//lobby/agencysum.php?id=115&year=2001,Ballistic Missile Defense Organization,2001,1,1
2001 - Bureau of Economic Analysis,http://www.opensecrets.org//lobby/agencysum.php?id=106&year=2001,Bureau of Economic Analysis,2001,1,1
2001 - Bureau of Prisons,http://www.opensecrets.org//lobby/agencysum.php?id=151&year=2001,Bureau of Prisons,2001,1,1
2001 - Defense Commissary Agency,http://www.opensecrets.org//lobby/agencysum.php?id=117&year=2001,Defense Commissary Agency,2001,1,1
2001 - Defense Logistics Agency,http://www.opensecrets.org//lobby/agencysum.php?id=123&year=2001,Defense Logistics Agency,2001,1,1
2001 - Federal Management Service,http://www.opensecrets.org//lobby/agencysum.php?id=187&year=2001,Federal Management Service,2001,1,1
2001 - Federal Motor Carrier Safety Admin,http://www.opensecrets.org//lobby/agencysum.php?id=216&year=2001,Federal Motor Carrier Safety Admin,2001,1,1
2001 - Inter-American Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=066&year=2001,Inter-American Foundation,2001,1,1
2001 - National Capital Planning Commission,http://www.opensecrets.org//lobby/agencysum.php?id=070&year=2001,National Capital Planning Commission,2001,1,1
2001 - National Geospatial-Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=126&year=2001,National Geospatial-Intelligence Agency,2001,1,1
2001 - National Indian Gaming Commission,http://www.opensecrets.org//lobby/agencysum.php?id=208&year=2001,National Indian Gaming Commission,2001,1,1
2001 - Occupational Safety & Health Review Co,http://www.opensecrets.org//lobby/agencysum.php?id=079&year=2001,Occupational Safety & Health Review Co,2001,1,1
2001 - Office of Government Ethics,http://www.opensecrets.org//lobby/agencysum.php?id=080&year=2001,Office of Government Ethics,2001,1,1
2001 - Office of Justice Program,http://www.opensecrets.org//lobby/agencysum.php?id=156&year=2001,Office of Justice Program,2001,1,1
2001 - Panama Canal Commission,http://www.opensecrets.org//lobby/agencysum.php?id=083&year=2001,Panama Canal Commission,2001,1,1
2001 - Research & Special Programs Administra,http://www.opensecrets.org//lobby/agencysum.php?id=179&year=2001,Research & Special Programs Administra,2001,1,1
2001 - Technology Administration,http://www.opensecrets.org//lobby/agencysum.php?id=114&year=2001,Technology Administration,2001,1,1
2001 - Transportation Security Administration,http://www.opensecrets.org//lobby/agencysum.php?id=204&year=2001,Transportation Security Administration,2001,1,1
2001 - US Arms Control & Disarmament Agency,http://www.opensecrets.org//lobby/agencysum.php?id=094&year=2001,US Arms Control & Disarmament Agency,2001,1,1
2000 - Agency for Toxic Substances & Disease,http://www.opensecrets.org//lobby/agencysum.php?id=133&year=2000,Agency for Toxic Substances & Disease,2000,1,1
2000 - Bureau of Labor Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=169&year=2000,Bureau of Labor Statistics,2000,1,1
2000 - Bureau of Transportation Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=180&year=2000,Bureau of Transportation Statistics,2000,1,1
2000 - Corrections Program Office,http://www.opensecrets.org//lobby/agencysum.php?id=164&year=2000,Corrections Program Office,2000,1,1
2000 - Def Advanced Research Projects Agency,http://www.opensecrets.org//lobby/agencysum.php?id=116&year=2000,Def Advanced Research Projects Agency,2000,1,1
2000 - Defense Field Activities,http://www.opensecrets.org//lobby/agencysum.php?id=028&year=2000,Defense Field Activities,2000,1,1
2000 - Defense Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=120&year=2000,Defense Intelligence Agency,2000,1,1
2000 - Fed Retirement Thrift Investment Board,http://www.opensecrets.org//lobby/agencysum.php?id=063&year=2000,Fed Retirement Thrift Investment Board,2000,1,1
2000 - Federal Mine Safety & Health Review Cmsn,http://www.opensecrets.org//lobby/agencysum.php?id=061&year=2000,Federal Mine Safety & Health Review Cmsn,2000,1,1
2000 - National Archives & Records Admin,http://www.opensecrets.org//lobby/agencysum.php?id=069&year=2000,National Archives & Records Admin,2000,1,1
2000 - National Geospatial-Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=126&year=2000,National Geospatial-Intelligence Agency,2000,1,1
2000 - Office of Justice Program,http://www.opensecrets.org//lobby/agencysum.php?id=156&year=2000,Office of Justice Program,2000,1,1
2000 - Office of Juvenile Justice & Delinq Prev,http://www.opensecrets.org//lobby/agencysum.php?id=160&year=2000,Office of Juvenile Justice & Delinq Prev,2000,1,1
2000 - Office of Policy Development,http://www.opensecrets.org//lobby/agencysum.php?id=020&year=2000,Office of Policy Development,2000,1,1
2000 - Overseas Private Investment Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=203&year=2000,Overseas Private Investment Corporation,2000,1,1
2000 - St Lawrence Seaway Development Corp,http://www.opensecrets.org//lobby/agencysum.php?id=178&year=2000,St Lawrence Seaway Development Corp,2000,1,1
2000 - US Botanic Garden,http://www.opensecrets.org//lobby/agencysum.php?id=004&year=2000,US Botanic Garden,2000,1,1
2000 - US International Development Cooperation,http://www.opensecrets.org//lobby/agencysum.php?id=097&year=2000,US International Development Cooperation,2000,1,1
2000 - US Secret Service,http://www.opensecrets.org//lobby/agencysum.php?id=191&year=2000,US Secret Service,2000,1,1
1999 - ACCESS Board,http://www.opensecrets.org//lobby/agencysum.php?id=199&year=1999,ACCESS Board,1999,1,1
1999 - Administration for Children & Families,http://www.opensecrets.org//lobby/agencysum.php?id=131&year=1999,Administration for Children & Families,1999,1,1
1999 - Bureau of Prisons,http://www.opensecrets.org//lobby/agencysum.php?id=151&year=1999,Bureau of Prisons,1999,1,1
1999 - Defense Commissary Agency,http://www.opensecrets.org//lobby/agencysum.php?id=117&year=1999,Defense Commissary Agency,1999,1,1
1999 - Federal Management Service,http://www.opensecrets.org//lobby/agencysum.php?id=187&year=1999,Federal Management Service,1999,1,1
