Video Game,Profile,Descritpion,Release Year,Users' Review (stars),Image,Genre,Theme,Platform Manufacturer(s),Platform(s),Developers
Altered Beast,http://www.giantbomb.com/altered-beast/3030-2536/,"Altered Beast is a side-scrolling beat-'em-up that puts the player in control of a resurrected centurion who possesses the ability to shape shift into many beasts, such as a wolf, dragon, tiger and bear. Altered Beast was the original pack-in game for the Genesis in North America.",1988,1.5,http://static.giantbomb.com/uploads/scale_small/9/93770/2368989-genesis_alteredbeast.jpg,"Action, Brawler, Platformer","Fantasy, Alternate Historical","Sega, Amstrad, Atari, Commodore, Microsoft, Sinclair Research, Nintendo, NEC, Arcade, Nintendo, Sony, PC","Amiga, Genesis, Sega Master System, Amstrad CPC, Atari ST, Commodore 64, MSX, ZX Spectrum, Nintendo Entertainment System, TurboGrafx-CD, TurboGrafx-16, Arcade, Xbox 360 Games Store, Wii Shop, PlayStation Network (PS3), PC","Sega, Software Studios, Asmik"
Arabian,http://www.giantbomb.com/arabian/3030-22221/,"Journey as an Arabian prince to save the princess, who is imprisoned in the tower of a castle.",1983,,http://static.giantbomb.com/uploads/scale_small/0/7439/737766-arabian_arcadeflyer.png,Platformer,"Fantasy, Alternate Historical, Medieval",Arcade,Arcade,"SunSoft, Sun Electronics"
Arabian Fight,http://www.giantbomb.com/arabian-fight/3030-41457/,"An Arabian-themed, side-scrolling beat-em-up released by Sega in 1991. Running on the 32-bit Sega System 32 arcade system, it featured four-player co-op gameplay and impressive psuedo-3D sprite-scaling effects.",1991,,http://static.giantbomb.com/uploads/scale_small/9/97089/2425550-poster.png,"Action, Fighting","Fantasy, Egyptian, Anime",Arcade,Arcade,Sega
Art of Fighting,http://www.giantbomb.com/art-of-fighting/3030-2760/,"Art of Fighting is SNK's second foray into the fighting game genre, known for its large character sprites and use of a super gauge.",1992,,http://static.giantbomb.com/uploads/scale_small/0/8072/287432-aof.jpg,Fighting,Martial Arts,"Sega, Nintendo, Sony, SNK, NEC, Arcade","Genesis, Super Nintendo Entertainment System, PlayStation 2, Neo Geo, TurboGrafx-CD, Neo Geo CD, Arcade, Wii Shop, PlayStation Network (PS3), PlayStation Network (PSP)","SNK Playmore, Monolith"
Banana,http://www.giantbomb.com/banana/3030-8997/,A puzzle game featuring moles developed by Victor.,1986,,http://static.giantbomb.com/uploads/scale_small/4/44493/1665063-bananafront.jpg,"Action, Strategy, Puzzle",Abstract,Nintendo,Nintendo Entertainment System,Victor Entertainment
Banjo-Kazooie,http://www.giantbomb.com/banjo-kazooie/3030-10920/,"Play as lovable goofball Banjo the bear and his bird pal Kazooie in the first of many adventures as they collect valuable ""Jiggies"" in order to face the vile witch, Gruntilda and save Banjo's sister Tooty.",1998,4.64,http://static.giantbomb.com/uploads/scale_small/8/87790/1841430-box_bkazooie.png,"Action, Adventure, Platformer","Fantasy, Comedy","Microsoft, Nintendo","Nintendo 64, Xbox 360 Games Store","Rare, 4J Studios"
Barbarian,http://www.giantbomb.com/barbarian/3030-4996/,Barbarian is a side-scrolling platformer that gives the player the ability to control a sword wielding barbarian.,1987,,http://static.giantbomb.com/uploads/scale_small/0/9979/1121009-513px_barbarianpsygnosis.jpg,"Action, Fighting, Platformer",Fantasy,"Amstrad, Atari, Commodore, Sinclair Research, PC","Amiga, Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum, PC",Krome Studios Melbourne
Battletoads in Battlemaniacs,http://www.giantbomb.com/battletoads-in-battlemaniacs/3030-19860/,"The first SNES entry in Rare's popular brawler series Battletoads, infamous both for its unique humor and brutal difficulty.",1993,3,http://static.giantbomb.com/uploads/scale_small/9/93770/2363657-snes_battletoadsinbattlemaniacs.jpg,"Action, Brawler","Fantasy, Sci-Fi, Cyberpunk","Nintendo, Sega","Sega Master System, Super Nintendo Entertainment System",Rare
Bean's Quest,http://www.giantbomb.com/beans-quest/3030-37523/,A wizard has turned Emilio into a jumpinh bean and kidnapped his girlfriend. Embark on a platforming adventure through fifty levels to save her.,2012,,http://static.giantbomb.com/uploads/scale_small/0/1992/2131367-beansquest02.png,Platformer,,"Apple, PC","Mac, PC, iPhone, iPad",Kumobius
Beyond Shadowgate,http://www.giantbomb.com/beyond-shadowgate/3030-20430/,The sequel to the original Shadowgate. ICOM developed it exclusively for the NEC TurboGrafx-CD. It was one of a handful of US exclusives for the system.,1993,,http://static.giantbomb.com/uploads/scale_small/9/93770/2365510-tg16_beyondshadowgate.jpg,Adventure,"Fantasy, Medieval",NEC,TurboGrafx-CD,ICOM Simulations
BioShock Infinite,http://www.giantbomb.com/bioshock-infinite/3030-32317/,"Booker's main objective is to rescue and protect Elizabeth, though she is perfectly capable of looking after herself.",2013,4.6,http://static.giantbomb.com/uploads/scale_small/0/4344/2379677-bioshockinfinite_boxart.jpg,"Shooter, Action, Adventure","Sci-Fi, Alternate Historical, Steampunk","Apple, Microsoft, Sony, PC, Linux","Mac, Xbox 360, PlayStation 3, Xbox 360 Games Store, PlayStation Network (PS3), PC, Linux","Irrational Games, 2K Australia, Darkside Game Studios"
Braid,http://www.giantbomb.com/braid/3030-20716/,"Manipulate time to complete puzzles in this 2D platform game made by indie developer, Jonathan Blow.",2008,4.75,http://static.giantbomb.com/uploads/scale_small/8/87790/1331143-braid_box.png,"Puzzle, Platformer",Fantasy,"Apple, Microsoft, Sony, PC, Linux","Mac, Xbox 360 Games Store, PlayStation Network (PS3), PC, Linux","Number None, Hothead Games"
Bubble: Journey to the End of the World,http://www.giantbomb.com/bubble-journey-to-the-end-of-the-world/3030-45623/,"A tilt-controlled action game for iOS devices, in which a bubble evades various types of irate birds to rescue a girl.",2011,,http://static.giantbomb.com/uploads/scale_small/0/1501/2607598-img_2794.png,Action,Comedy,Apple,iPhone,Full Circle Game Studios
Cacoma Knight in Bizyland,http://www.giantbomb.com/cacoma-knight-in-bizyland/3030-13972/,"Cacoma Knight is a hybrid of action and puzzle elements. At the beginning you must choose between either Jack, Jean or RB93 as your character as you compete to purify the most land",1992,,http://static.giantbomb.com/uploads/scale_small/0/4430/420459-cacoma.jpg,"Action, Puzzle",Fantasy,Nintendo,Super Nintendo Entertainment System,Datam Polystar
Cadash,http://www.giantbomb.com/cadash/3030-18068/,An side-scrolling Action/RPG fantasy game.,1989,4,http://static.giantbomb.com/uploads/scale_small/9/93770/2369911-genesis_cadash_none.jpg,"Action, Platformer","Fantasy, Anime","Sega, NEC, Arcade, Nintendo","Genesis, TurboGrafx-16, Arcade, Wii Shop","Taito Corporation, ITL"
Castle Crashers,http://www.giantbomb.com/castle-crashers/3030-20733/,Players go through the game rescuing 4 princesses.,2008,4.42,http://static.giantbomb.com/uploads/scale_small/8/87790/1331136-ccrasher_box.png,"Role-Playing, Brawler, Action, Adventure","Fantasy, Comedy","Apple, Microsoft, Sony, PC, Browser","Mac, Xbox 360 Games Store, PlayStation Network (PS3), PC, Browser",The Behemoth
Castle of Illusion starring Mickey Mouse,http://www.giantbomb.com/castle-of-illusion-starring-mickey-mouse/3030-9513/,"Minnie Mouse has been kidnapped by the evil witch Mizrabel, and it's up to Mickey Mouse to venture through the mysterious worlds of the Castle of Illusion to rescue her in this 2D platformer (and collaboration between Disney and Sega).",1990,4,http://static.giantbomb.com/uploads/scale_small/9/93770/2370009-genesis_castleofillusion.jpg,"Action, Platformer",Fantasy,"Sony, Sega","Game Gear, Genesis, Sega Master System, PlayStation Network (PS3)","Sega, Sega"
Castlevania: Harmony of Dissonance,http://www.giantbomb.com/castlevania-harmony-of-dissonance/3030-18040/,"The second Castlevania installment for the Game Boy Advance, Castlevania: Harmony of Dissonance tells the tale of whip-bearing Juste Belmont, grandson of Simon Belmont.",2002,3.5,http://static.giantbomb.com/uploads/scale_small/8/87790/1773368-box_cvhodi.png,"Platformer, Action, Adventure","Horror, Fantasy",Nintendo,"Game Boy Advance, Wii U",Konami
Castlevania: Legacy of Darkness,http://www.giantbomb.com/castlevania-legacy-of-darkness/3030-6467/,Castlevania: Legacy of Darkness is a remastered version of Castlevania 64 that also features a new story and new characters. It has new stages as well as redesigned stages from the original.,1999,,http://static.giantbomb.com/uploads/scale_small/8/87790/2111575-box_cvlod.png,Action,,Nintendo,Nintendo 64,Konami
Castlevania: Rondo of Blood,http://www.giantbomb.com/castlevania-rondo-of-blood/3030-12673/,Castlevania: Rondo of Blood is a traditional Castlevania platformer for the PC-Engine Super CD-ROM² that takes place before Castlevania: Symphony of the Night.,1993,5,http://static.giantbomb.com/uploads/scale_small/9/93770/2365515-tg16_castlevaniarondofblood_jp.jpg,"Action, Platformer","Horror, Fantasy, Anime","NEC, Nintendo","TurboGrafx-CD, Wii Shop",Konami
Castlevania: The Dracula X Chronicles,http://www.giantbomb.com/castlevania-the-dracula-x-chronicles/3030-16851/,"Dracula is still a threat in this updated version of Castlevania: Rondo of Blood, remade with 3D graphics for the Playstation Portable. Also included on the disc is the original PC-Engine Super CD-ROM2 version of Rondo of Blood as well as the sequel, Symphony of the Night.",2007,3.67,http://static.giantbomb.com/uploads/scale_small/8/87790/1773366-box_cvdxc.png,"Action, Role-Playing, Compilation",,Sony,PlayStation Portable,Konami
Choose an Enemy,http://www.giantbomb.com/choose-an-enemy/3030-13144/,"After picking one of three opponents to fight, you must knock out all 32 teeth from your opponent to save a damsel in distress.",1991,,http://static.giantbomb.com/uploads/scale_small/0/8273/781485-1169909117_00.gif,"Action, Fighting",,PC,PC,Russian Soft
Chuck Rock,http://www.giantbomb.com/chuck-rock/3030-2941/,Caveman Chuck Rock must save his wife from dinosaurs by beating down enemies with his stomach and by hurling rocks in this side-scrolling action game.,1992,,http://static.giantbomb.com/uploads/scale_small/9/93770/2370453-genesis_chuckrock.jpg,"Action, Platformer",Prehistoric,"Nintendo, Atari, Commodore, Sega, Acorn Computers","Amiga, Game Boy, Game Gear, Genesis, Sega Master System, Super Nintendo Entertainment System, Atari ST, Commodore 64, Sega CD, Amiga CD32, Acorn Archimedes",Core Design
Cid the Dummy,http://www.giantbomb.com/cid-the-dummy/3030-25451/,"CID is a crash test dummy, take part in his adventures across wacky platforming stages to save a damsel in distress.",2009,,http://static.giantbomb.com/uploads/scale_small/1/14741/952991-cid_the_dummy_cover.jpg,"Action, Brawler, Platformer, Action, Adventure","Comedy, Martial Arts, Superhero","Sony, Nintendo, PC","PlayStation Portable, PlayStation 2, Wii, PC",Twelve Interactive
Cirque de Zale,http://www.giantbomb.com/cirque-de-zale/3030-6113/,Alexander Zale embarks on a quest to start his own circus.,2004,,http://static.giantbomb.com/uploads/scale_small/1/17172/937207-001.jpg,Adventure,"Fantasy, Comedy",PC,PC,
Clash at Demonhead,http://www.giantbomb.com/clash-at-demonhead/3030-16188/,Clash at Demonhead is an action platformer for the NES featuring non-linear gameplay and an absurd story.,1989,,http://static.giantbomb.com/uploads/scale_small/9/93770/2361223-nes_clashatdemonhead.jpg,"Action, Adventure, Platformer","Fantasy, Sci-Fi",Nintendo,Nintendo Entertainment System,Vic Tokai
Cloudberry Kingdom,http://www.giantbomb.com/cloudberry-kingdom/3030-38839/,An insane Kickstarter-funded hardcore platformer by Pwnee Studios.,2013,,http://static.giantbomb.com/uploads/scale_small/8/87790/2525159-box_cbk.png,Platformer,Comedy,"Apple, Microsoft, Sony, PC, Nintendo, Linux","Mac, Xbox 360 Games Store, PlayStation Network (PS3), PC, Nintendo 3DS eShop, Wii U, PlayStation Network (Vita), Linux",Pwnee Studios
Cocoron,http://www.giantbomb.com/cocoron/3030-25681/,A platformer for the NES which is notable for allowing customization of the main character.,1991,,http://static.giantbomb.com/uploads/scale_small/0/7465/961167-cocoron.gif,Platformer,Fantasy,Nintendo,Nintendo Entertainment System,K2
Comix Zone,http://www.giantbomb.com/comix-zone/3030-1416/,"All was swell for the comic book artist and part-time rock musician Sketch Turner until his apartment got struck by lightning and he gets sucked into his own comic, where he has to fight off mutants and other monstrosities to save himself, as well as ""the girl"".",1995,4,http://static.giantbomb.com/uploads/scale_small/9/93770/2370471-genesis_comixzone.jpg,"Action, Brawler","Cyberpunk, Post-Apocalyptic, Superhero, Comic Book","Sega, Microsoft, Nintendo, Sony, PC","Game Boy Advance, Genesis, Xbox 360 Games Store, Wii Shop, PlayStation Network (PS3), PC",Sega
Conan,http://www.giantbomb.com/conan/3030-21210/,Conan is an action adventure game that has you slicing and dicing your way through hordes of enemies.,2007,2.8,http://static.giantbomb.com/uploads/scale_small/8/87790/2116210-box_conan.png,"Action, Adventure",Fantasy,"Microsoft, Sony","Xbox 360, PlayStation 3",Nihilistic Software
Conan: The Cimmerian,http://www.giantbomb.com/conan-the-cimmerian/3030-10141/,"An action-adventure title with some RPG elements, based on the Conan fiction. In it Conan is on a revenge hunt after high priest of the Cult of Set, Thoth Amon, massacres his wife and friends.",1991,,http://static.giantbomb.com/uploads/scale_small/1/15693/639498-565092_29901_front_1_.jpg,"Action, Adventure",Fantasy,"Commodore, PC","Amiga, PC",Synergistic Software
Crime Fighters,http://www.giantbomb.com/crime-fighters/3030-26595/,Several women have been kidnapped by a crime boss. It's your job to rescue them by beating up everyone in your way.,1989,,http://static.giantbomb.com/uploads/scale_small/0/6182/1034402-crimefighters.jpg,Brawler,"Comedy, Martial Arts",Arcade,Arcade,Konami
Crossed Swords,http://www.giantbomb.com/crossed-swords/3030-18841/,"An action-RPG for the Neo Geo, notable for its unusual behind-the-back, one-on-one combat system.",1990,,http://static.giantbomb.com/uploads/scale_small/8/87790/1409204-crossedswords_box.jpg,Action,Fantasy,SNK,"Neo Geo, Neo Geo CD",Alpha Denshi
Crysis,http://www.giantbomb.com/crysis/3030-11757/,"As Nomad, an elite soldier outfitted in a state-of-the-art Nanosuit that gives him superhuman abilities, infiltrate a North Korean-held island to rescue captured scientists... and face a reawakening ancient evil that threatens the entire world. Crysis is well known for its high system requirements and top of the line graphics.",2007,4.32,http://static.giantbomb.com/uploads/scale_small/9/93770/2392174-crysis_01_artwork.jpg,"Action, Shooter","Sci-Fi, Modern Military","Microsoft, Sony, PC","Xbox 360 Games Store, PlayStation Network (PS3), PC",Crytek
Dante's Inferno,http://www.giantbomb.com/dantes-inferno/3030-24827/,Traverse the nine circles of hell in EA's God of War clone named after the first cycle of Dante Alighieri's epic poem The Divine Comedy.,2010,3.41,http://static.giantbomb.com/uploads/scale_small/8/87790/1871436-box_dinferno.png,Action,"Horror, Fantasy","Microsoft, Sony","PlayStation Portable, Xbox 360, PlayStation 3, PlayStation Network (PS3), PlayStation Network (PSP)","Visceral Games, Behaviour Interactive"
Dead Space,http://www.giantbomb.com/dead-space/3030-20800/,"Engineer Isaac Clarke battles a polymorphic virus-like alien infestation which turns human corpses into grotesque undead alien monsters called ""Necromorphs"", while trying to survive on board an infested interstellar mining ship named the USG Ishimura.",2008,4.68,http://static.giantbomb.com/uploads/scale_small/8/82063/2529747-deadspaceclean.jpg,"Shooter, Action, Adventure","Horror, Sci-Fi","Microsoft, Sony, PC","Xbox 360, PlayStation 3, Xbox 360 Games Store, PlayStation Network (PS3), PC",Visceral Games
Deadfall Adventures,http://www.giantbomb.com/deadfall-adventures/3030-41794/,"A first-person action-adventure game by Polish developer, Farm 51 and publisher, Nordic Games.",2013,,http://static.giantbomb.com/uploads/scale_small/8/87790/2560198-box_dfa.png,"Puzzle, Shooter, Action, Adventure","Alternate Historical, Mayan","Microsoft, Sony, PC","Xbox 360, PlayStation Network (PS3), PC",The Farm 51
Devil May Cry 4,http://www.giantbomb.com/devil-may-cry-4/3030-6681/,"The fourth game in the popular Capcom action franchise, Devil May Cry. Take on the role of new playable character Nero, as he uses his swanky demon arm to beat the hell out of a demon invasion in the castle town of Fortuna.",2008,4,http://static.giantbomb.com/uploads/scale_small/8/87790/2372454-box_dmc4.png,"Action, Adventure","Horror, Fantasy","Microsoft, Sony, PC","Xbox 360, PlayStation 3, Xbox 360 Games Store, PC, Xbox One, PlayStation 4",Capcom
Die by the Sword,http://www.giantbomb.com/die-by-the-sword/3030-1567/,"A third-person hack 'n' slash action game best known for enabling the player to use a variety of different sword swings to chop off limbs, heads and arms of opponents.",1998,,http://static.giantbomb.com/uploads/scale_small/0/5911/764239-dieby.jpg,"Action, Adventure","Fantasy, Alternate Historical, Medieval",PC,PC,Treyarch
Disaster Report,http://www.giantbomb.com/disaster-report/3030-2407/,"Disaster Report (or SOS The Final Escape) is a survival action/adventure game where you play Keith, a newspaper editor, trying to escape a city hit by an earthquake.",2002,3.5,http://static.giantbomb.com/uploads/scale_small/8/87790/2139773-box_dreport.png,"Action, Adventure, Action, Adventure",Post-Apocalyptic,Sony,PlayStation 2,Irem
Disney's Donald Duck: Goin' Quackers,http://www.giantbomb.com/disneys-donald-duck-goin-quackers/3030-9551/,An action platform game starring Donald Duck.,2000,,http://static.giantbomb.com/uploads/scale_small/8/87790/2543550-box_ddgq.png,"Action, Platformer","Comedy, Mayan","Sony, Nintendo, Sega, PC","PlayStation 2, PlayStation, GameCube, Dreamcast, Nintendo 64, Game Boy Color, PC","Ubisoft, Disney Interactive, Ubisoft"
Disney's Hercules: Action Game,http://www.giantbomb.com/disneys-hercules-action-game/3030-17124/,"Disney's Hercules is a movie based action game for the PlayStation and PC. In it, the player takes control of Hercules, who must complete various feats in order to be admitted into Olympus and sit alongside the gods.",1997,,http://static.giantbomb.com/uploads/scale_small/15/155745/2173622-197544_6404_front.jpg,"Action, Platformer",Fantasy,"Sony, PC","PlayStation, PC",Eurocom Entertainment Software
DJ Boy,http://www.giantbomb.com/dj-boy/3030-16660/,"DJ Boy is a side-scrolling Beat 'em up, released in 1989 by Kaneko for the Arcade, and later, Genesis. The game features a uniquely Japanese take on mid-to-late 80s Hip-hop/Urban culture. You play as DJ Boy, a rollerskater hoping to win the ""Rollergame"" fight-race competition in Cigaretch city.",,,http://static.giantbomb.com/uploads/scale_small/9/93770/2370500-genesis_djboy_eu.jpg,Brawler,,"Sega, Arcade","Genesis, Arcade",Kaneko
Dokuro,http://www.giantbomb.com/dokuro/3030-38924/,"Dokuro is a a 2D puzzle platformer for the PlayStation Vita where, as the titular skeletal hero Dokuro, you must escort the princess through myriad traps and obstacles using your chalk powers and ability to transform into a handsome prince.",2012,5,http://static.giantbomb.com/uploads/scale_small/9/93770/2340746-dokura.png,"Puzzle, Platformer, Action, Adventure",Horror,"Android, Sony","Android, PlayStation Vita, PlayStation Network (Vita)",Game Arts
Donkey King,http://www.giantbomb.com/donkey-king/3030-1682/,A clone of Donkey Kong for the Welsh made Dragon32/64 computer and the Tandy CoCo.,1982,,http://static.giantbomb.com/uploads/scale_small/16/164924/2409200-screen_shot_2013_01_07_at_9.05.28_am.jpg,Action,,"Dragon Data, Tnady, Motorola","Dragon 32/64, TRS-80 CoCo",Tom Mix
Donkey Kong Classics,http://www.giantbomb.com/donkey-kong-classics/3030-14664/,"Donkey Kong Classics is an early NES compilation cartridge featuring both the original Donkey Kong, and Donkey Kong Jr.",1988,,http://static.giantbomb.com/uploads/scale_small/9/93770/2361673-nes_donkeykongclassics.jpg,"Action, Compilation",,Nintendo,Nintendo Entertainment System,Nintendo
Double Dragon,http://www.giantbomb.com/double-dragon/3030-20752/,"Double Dragon is a game credited, in part, with the popularity of the beat-em-up genre in the arcade craze of the 1980s and 1990s.",1987,4,http://static.giantbomb.com/uploads/scale_small/13/139866/2707396-8472411611-67489.jpg,"Fighting, Brawler",Martial Arts,"Sega, Amstrad, Atari, Commodore, Microsoft, Sinclair Research, Nintendo, Arcade, PC, Apple, Zeebo, Android","Amiga, Game Boy, Game Gear, Genesis, Atari Lynx, Sega Master System, Amstrad CPC, Atari ST, Commodore 64, MSX, ZX Spectrum, Nintendo Entertainment System, Atari 2600, Atari 7800, Arcade, Xbox 360 Games Store, Wii Shop, PC, iPhone, Zeebo, Android, Nintendo 3DS eShop, Wii U",Technos Japan
Double Dragon Neon,http://www.giantbomb.com/double-dragon-neon/3030-37884/,Journey back to the bodacious 80s in this long-awaited reboot of the Double Dragon beat 'em up series.,2012,4,http://static.giantbomb.com/uploads/scale_small/8/87790/2275980-box_ddneon.png,"Fighting, Brawler","Comedy, Martial Arts","Microsoft, Sony, PC","Xbox 360 Games Store, PlayStation Network (PS3), PC","WayForward Technologies, Million, Abstraction Games"
Dragon Warrior,http://www.giantbomb.com/dragon-warrior/3030-16305/,Rescue the princess and defeat the evil Dragonlord in this landmark RPG from Enix.,1986,3,http://static.giantbomb.com/uploads/scale_small/9/93770/2361686-nes_dragonwarriror.jpg,Role-Playing,"Fantasy, Anime, Medieval","Nintendo, Microsoft, Sharp, Apple, NEC","Super Nintendo Entertainment System, MSX, Nintendo Entertainment System, Game Boy Color, Sharp X68000, iPhone, NEC PC-9801",Chunsoft
Dragon Warrior Monsters,http://www.giantbomb.com/dragon-warrior-monsters/3030-13470/,"A monster collecting, breeding, and fighting game for the Game Boy Color. Terry's sister has been kidnapped and he must find and save her at any cost.",1998,,http://static.giantbomb.com/uploads/scale_small/8/87790/1875229-box_dwm.png,Role-Playing,"Fantasy, Comedy",Nintendo,Game Boy Color,TOSE
