Character,Series,Description,Profile,Image
Rinoa Heartilly,Final Fantasy,"Rinoa Heartilly (リノア・ハーティリー,Rinoa Hātirī?) is the co-protagonist of Square s (now Square Enix ) Final Fantasy VIII. Rinoa is a 17-year-old member of a resistance faction known as the Forest Owls. When the main protagonist Squall Leonhart and his party of SeeD help the resistance movement, Rinoa decides to stay with them and ends up falling in love with Squall.",http://en.wikipedia.org/wiki/Rinoa_Heartilly,//upload.wikimedia.org/wikipedia/en/thumb/e/e4/Rinoa_Heartilly.png/220px-Rinoa_Heartilly.png
Hana Tsu-Vachel,Fear Effect,Hana Tsu-Vachel is a player character in the Fear Effect horror video game series for the PlayStation. She was introduced in Fear Effect in 1999 and is most notable and remembered because of her controversial bisexual relationship in the game's 2001 prequel Fear Effect 2: Retro Helix. She was supposed to return in the canceled sequel Fear Effect Inferno for the PlayStation 2.,http://en.wikipedia.org/wiki/Hana_Tsu-Vachel,//upload.wikimedia.org/wikipedia/en/thumb/e/e9/Hana_Tsu-Vachel.jpg/210px-Hana_Tsu-Vachel.jpg
Miranda Lawson,Mass Effect,"Miranda Lawson is a fictional character in the role-playing video game series Mass Effect by BioWare. In it, Miranda is an officer of the pro-human group Cerberus, first appearing in Mass Effect Galaxy and then serving as a squadmate in Mass Effect 2. In addition to these, the character also makes an appearance in the Mass Effect: Redemption comic series, in Mass Effect 3 (provided the player does not import a save where she dies), and in issues 5, 6, 8 and 9 of the Mass Effect: Foundation comic series. She is revealed to have been genetically designed by her father (Henry Lawson) to be perfect, and ran away from home to join Cerberus.",http://en.wikipedia.org/wiki/Miranda_Lawson,//upload.wikimedia.org/wikipedia/en/thumb/f/f4/MirandaLawson.png/150px-MirandaLawson.png
Alma Wade,F.E.A.R.,"Alma Wade is a fictional character, the main antagonist, and a key figure in the F.E.A.R. first-person shooter horror video game series by Monolith Productions, introduced in F.E.A.R. in 2005. The mystery of Alma is the very core of the series.",http://en.wikipedia.org/wiki/Alma_Wade,//upload.wikimedia.org/wikipedia/en/thumb/f/ff/Alma_Wade_Project_Origin.jpg/250px-Alma_Wade_Project_Origin.jpg
Jynx,Pokémon,"Jynx, known in Japan as Rougela (ルージュラ, Rūjura), is a Pokémon species in Nintendo and Game Freak's Pokémon franchise. Created by Ken Sugimori, Jynx first appeared in the video games Pokémon Red and Blue and subsequent sequels, later appearing in various merchandise, spinoff titles, or animated and printed adaptations of the franchise. The character is voiced in Japanese by Mayumi Tanaka and by Rachael Lillis in English.Jynx's design and humanoid appearance has been heavily criticized by the Western media, most notably by cultural critic Carole Boston Weatherford, who described Jynx as representing blackface after seeing the character's depiction in the anime. Due to complaints, Game Freak modified its appearance by changing the original color of its face from black to the current color, purple. Criticisms from 1UP.com and similar sources have persisted.",http://en.wikipedia.org/wiki/Jynx,//upload.wikimedia.org/wikipedia/en/thumb/a/af/Pok%C3%A9mon_Jynx_%28purple%29_art.png/220px-Pok%C3%A9mon_Jynx_%28purple%29_art.png
Misty (Pokémon),Pokémon,"Misty, known as Kasumi (カスミ) in Japan, is a fictional character in the Pokémon franchise owned by Nintendo. She has appeared as a Gym Leader in the Pokémon video games, several seasons of the Pokémon anime, The Electric Tale of Pikachu manga, the Ash & Pikachu manga, toys, books, and other media.",http://en.wikipedia.org/wiki/Misty_(Pok%C3%A9mon),//upload.wikimedia.org/wikipedia/en/thumb/b/b1/MistyEP.png/129px-MistyEP.png
Latias and Latios,Pokémon,"Latios (ラティオス, Ratiosu) and Latias (ラティアス, Ratiasu) are Pokémon species in Nintendo and Game Freak's Pokémon franchise. Created by Ken Sugimori, Latios and Latias first appeared as central characters in the film Pokémon Heroes, and later appeared in the video games Pokémon Ruby and Sapphire, also appearing in various merchandise, spinoff titles and animated and printed adaptations of the franchise. They are voiced in Japan by Masashi Ebara and Megumi Hayashibara respectively.Known as the Eon Pokémon, Latios and Latias are two legendary Pokémon originating from the Ruby, Sapphire, and Emerald series of games. They are male and female respectively, and the first legendary Pokémon to have genders. While Latias is red and white, Latios is blue and grey, as well as being larger and more angular. While Latios and Latias have received significant criticism for their role in the film Pokémon Heroes, critics citing their voices as well as Latias' human transformation, they have received positive reception for their role in the video games.",http://en.wikipedia.org/wiki/Latias_and_Latios,//upload.wikimedia.org/wikipedia/en/thumb/b/ba/Latias_and_Latios.png/200px-Latias_and_Latios.png
Elena Fisher,Uncharted,"Elena Fisher is a fictional character in the Uncharted series, developed by Naughty Dog. Fisher appears in all three video games in the main series: Uncharted: Drake's Fortune, Uncharted 2: Among Thieves, and Uncharted 3: Drake's Deception. While a playable character for short sections in two of the games, Fisher also acts as both a sidekick and love interest for Nathan Drake. Emily Rose both voiced Fisher and did the motion capture work for the character.Though originally a brunette, Naughty Dog made her a blonde with a more severe chin before the first game's release. She is an independent, strong female who acts as an equal to the series' protagonist Drake. In the games, she is a reporter who accompanies Drake on his adventures. Reception to Fisher has been mostly positive. She has been called one of the strongest video game females and her equality with male characters has been praised; however, the character has drawn criticism for her unrealistic combat prowess and abrasive personality. She has also drawn attention for her attractiveness, and has made multiple lists of most attractive video game characters.",http://en.wikipedia.org/wiki/Elena_Fisher,//upload.wikimedia.org/wikipedia/en/6/6c/Elena_Fisher.png
Midna,The Legend of Zelda,"Midna (ミドナ, Midona) is one of the main characters of the 2006 Nintendo game The Legend of Zelda: Twilight Princess. She is a member of the Twili, a fictional race of magic-wielders, who chooses Link to help her accomplish her goals. While appearing as a diminutive imp monster, her actual form is human-shaped. She was voiced by Akiko Koumoto and illustrated by Yusuke Nakano. She has also appeared in Super Smash Bros. Brawl as a collectible item and in Super Smash Bros. for Nintendo 3DS and Wii U as an assist trophy. Midna's first appearance was in a trailer for Twilight Princess at the E3 2005. At the time, her gender was unknown, leaving some journalists confused about it.Since appearing in Twilight Princess, she has had some merchandise, and has been generally well received by the public and press alike. She is an important character in Twilight Princess and has been compared to an earlier character called Navi, amongst other similar characters, the former having accompanied Link in The Legend of Zelda: Ocarina of Time.",http://en.wikipedia.org/wiki/Midna,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Midna.png/225px-Midna.png
Princess Daisy (character),Mario,"Princess Daisy (デイジー姫, Deiji-hime) is a fictional character in the Mario series of video games, where she is the princess of the fictional region of Sarasaland. She first appeared in Super Mario Land as the game's damsel in distress, a role usually played by Princess Peach. Since her appearance in Mario Tennis, she has become a staple playable character in the Mario spin-off games, in which she is often paired up with Peach. It is often speculated that she is Luigi's love interest. Her official description for Mario Party 4 states that Luigi has a crush on her, but Waluigi does too, which may cause trouble.",http://en.wikipedia.org/wiki/Princess_Daisy_(character),//upload.wikimedia.org/wikipedia/en/thumb/3/3b/DaisyMarioParty8.png/180px-DaisyMarioParty8.png
Rosalina,Mario,"Rosalina (known as Rosetta (ロゼッタ, Rozetta) in Japan) is a fictional character in the Mario franchise developed by Nintendo. She first appeared in Super Mario Galaxy and Super Mario Galaxy 2, and later made her playable debut in the main Super Mario series in Super Mario 3D World. In the Mario Kart series, she has appeared in the last two games, namely Mario Kart Wii and Mario Kart 7 as an unlockable character, and is due to appear in Mario Kart 8. Her latest appearance is in the new Super Smash Bros. currently in development. In the mainstream games, she is a powerful figure as it is her role to watch over the Lumas in the Comet Observatory. The character was voiced by Mercedes Rose until 2011's Mario Kart 7, in which she was voiced by Kerri Kane. Laura Faye Smith has provided the character's voice in all subsequent appearances.",http://en.wikipedia.org/wiki/Rosalina_(character),//upload.wikimedia.org/wikipedia/en/thumb/9/9b/Rosalina_from_Super_Mario_Galaxy.png/235px-Rosalina_from_Super_Mario_Galaxy.png
Birdo (character),Mario,"Birdo, known in Japan as Catherine (キャサリン,Kyasarin?), is a fictional character in the Mario franchise. Her first appearance was as an enemy to Mario in Yume Kōjō: Doki Doki Panic, which was localized for English audiences as Super Mario Bros. 2. Since then, Birdo has been a recurring character in various franchise spin-offs. Initially, she was depicted as an antagonist, but has since been depicted as an ally. Birdo has also made several cameos, particularly in the Mario Kart series and the Japan-only Wii video game Captain Rainbow .",http://en.wikipedia.org/wiki/Birdo,//upload.wikimedia.org/wikipedia/en/thumb/f/f9/Birdo-MP9.png/200px-Birdo-MP9.png
Mother Brain (Metroid),Metroid,"Mother Brain (Japanese: マザーブレイン?) is a fictional character created by Nintendo for the Metroid series. She is one of the most prominent antagonists within the series, serving as the main antagonist of Metroid and Super Metroid .",http://en.wikipedia.org/wiki/Mother_Brain,//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Nintendo.svg/32px-Nintendo.svg.png
Epona (The Legend of Zelda),The Legend of Zelda,"Epona (エポナ) is a fictional horse in The Legend of Zelda series of video games. She originally appeared in The Legend of Zelda: Ocarina of Time. She usually acts as a mode of transportation forLink, the series protagonist, and is often found in the company of the ranch hand character, Malon. Her name is derived from the Celtic goddess of horses of the same name.",http://en.wikipedia.org/wiki/Epona_(The_Legend_of_Zelda),//upload.wikimedia.org/wikipedia/commons/thumb/8/86/Triforce.svg/32px-Triforce.svg.png
Cortana,Halo,"Cortana is a fictional artificially intelligent (AI) character in the Halo video game series. Voiced by Jen Taylor, she appears in Halo: Combat Evolved and its sequels, Halo 2, Halo 3 and Halo 4. She also appears in a cutscene and the epilogue of the prequel Halo: Reach, and several of the franchise's novels and comics. During gameplay, Cortana provides backstory and tactical information to the player, who assumes the role of Master Chief Petty Officer John-117. In the story, she is instrumental in preventing the activation of the Halo installations, which would have destroyed all sentient life in the galaxy.Cortana's original design was based on the Egyptian queen Nefertiti; the character's holographic representation always takes the form of a woman. Taylor, despite her extensive voice acting for video games, is not a gamer; she described portraying Cortana as challenging, due to the character's lack of a physical form. Bungie first introduced Cortana—and Halo—through the Cortana Letters, cryptic emails sent during Combat Evolved's production in 1999. Since then, the character has been used extensively to advertise the series. Cortana has been recognized for her sex appeal, believability and character depth.Windows Phone now includes a digital assistant called Cortana, named after this character.",http://en.wikipedia.org/wiki/Cortana_(Halo),//upload.wikimedia.org/wikipedia/en/9/9a/Cortana_H4.png
Elizabeth (BioShock),BioShock,"Elizabeth is a fictional character and A.I. companion in BioShock Infinite, the third in Irrational Games' BioShock franchise. With the game set in 1912 on a sky city (named Columbia) based on American exceptionalism, Elizabeth is to take over the city once its current leader (or ""Prophet""), Father Comstock, dies. Elizabeth can also make and exploit ""tears"", rips to other universes, allowing her to move between them and/or bring in items from them. To prevent her from leaving Columbia, a remote ""Siphon"" is made which limits her powers, and she is locked in a tower under study and guarded by a giant mechanical bird known as Songbird. In addition to the main game, Elizabeth also appears in the two-episode downloadable content campaign ""Burial at Sea"", set in the underwater city of Rapture and evocative of film noir. In it, she takes on a more femme fatale role and serves as the player character in the second episode.The character is voiced by Courtnee Draper, while motion capture was done by Heather Gordon. Russian cosplayer Anna Moleva was brought in to be her ""face"" and used in live-action adverts, after developers saw her incredibly accurate cosplay. Her relationship with Songbird was partly based on Ken Levine's personal experiences, and she is slightly naive after having lived most of her life in a tower. Developers repeatedly considered simply cutting her due to the hassle in making her ""work"". Great work was put into her artificial intelligence, with the developers believing there had been no real great A.I. companion in video games since Half-Life 2's Alyx Vance. The character has hyper-realistic expressions to help players see her from across the battlefield, as well as a two-tone colour scheme and unique silhouette.Elizabeth was heavily featured in news and media prior to the release of the game, and plastic figures of her have been made. She has been positively received, and Infinite reviews particularly highlighted her role. Her A.I. was praised, as was her character and narrative role. However, GamesRadar's Matt Bradford criticised the inconsistencies of her lockpicking lines, and bit-tech's Edward Chester felt her resource-gathering abilities and other elements of the A.I could break immersion at times.",http://en.wikipedia.org/wiki/Elizabeth_(BioShock),//upload.wikimedia.org/wikipedia/en/a/a1/Elizabeth_%28BioShock%29.png
Rouge the Bat,Sonic the Hedgehog,"Rouge the Bat (ルージュ・ザ・バット, Rūju za Batto) is a video game character in the Sonic the Hedgehog series released by Sega. She is a well-determined treasure hunter and part-time government agent who plans to make all the gems and treasures of the world hers. Her main jewel obsessions are the Master Emerald and Chaos Emeralds. She made her debut in Sonic Adventure 2 and has been featured in several games.Rouge is an 18 year old anthropomorphic bat with white hair and her main outfit consists of a black bodystocking with a pink heart-shaped breastplate along with arm-length gauntlets and metal-heeled thigh-high boots, both of which are white and have pink at the top. Her boots also have pink heart-shapes over the toes that are used for digging.In Sonic Heroes and the two Sonic Riders games, she wears different outfits, but often with similar color schemes and heart-shaped details. She also has an unlockable costume in Sonic Adventure 2.",http://en.wikipedia.org/wiki/Rouge_the_Bat,//upload.wikimedia.org/wikipedia/en/9/9f/Rouge2006.png
Amy Rose,Sonic the Hedgehog,"Amy Rose (エミー・ローズ・ザ·ヘッジホッグ, Emī Rōzu za Hejjihoggu, lit. Amy Rose the Hedgehog), originally nicknamed Rosy the Rascal, is a fictional character in Sega's Sonic the Hedgehog series of video games. She is a pink anthropomorphic hedgehog who has a cheerful and competitive personality. Amy is marked by her unrequited infatuation with the series' main character, Sonic, and they have saved each other's lives on numerous occasions. In the series' early years, her visual design was changed multiple times.Amy debuted in the Sonic the Hedgehog manga series created by Kenji Terada in 1992; her first video game appearance came in 1993 with Sonic the Hedgehog CD, while she was first playable in Sonic Drift in 1994. She has since become one of the series' most popular and recognizable characters, appearing in dozens of main-series and spinoff titles as well as several comic book series, the anime Sonic X, and the CG-animated Sonic Boom.She has received mixed opinions from critics; some have found her cute and powerful, while others have criticized her voice acting and personality. She has also drawn unfavorable remarks as a female video game character, owing to perceived stereotypes in her personality and appearance. Her likeness has frequently appeared in Sonic merchandise.",http://en.wikipedia.org/wiki/Amy_Rose,//upload.wikimedia.org/wikipedia/en/thumb/a/ab/Amy_Rose_with_hammer.png/200px-Amy_Rose_with_hammer.png
Yuri Sakazaki,"Art of Fighting, The King of Fighters","Yuri Sakazaki (ユリ・サカザキ, Yuri Sakazaki, sometimes written as 坂崎 ゆり Sakazaki Yuri) is a video game character from SNK Playmore's (formerly known as SNK) Art of Fighting series. She first appears in the original Art of Fighting being kidnapped by Mr. Big, a criminal from the fictional city of South Town. The players, Yuri's brother Ryo and his friend Robert Garcia spend the game searching for her. In the sequel, Yuri appears for the first time as a playable character, having been trained by her father Takuma in the art of the Kyokugenryu Karate. Yuri has also starred in the anime adaptation from Art of Fighting, in which she reprises her role from the first game.She has also appeared in most games from The King of Fighters series, with the notable exception of the non-canon The King of Fighters XII, participating in the annual tournaments from each title. She initially starts in the Women Fighters Team (composed exclusively by women), but she later moves to the Art of Fighting Team along with her family. She was also featured in the SNK vs. Capcom crossover series as well as in SNK Gals' Fighters.",http://en.wikipedia.org/wiki/Yuri_Sakazaki,//upload.wikimedia.org/wikipedia/en/9/93/Yuri_Sakazaki.png
Mai Shiranui,"Fatal Fury, The King of Fighters","Mai Shiranui (Japanese: 不知火舞, Hepburn: Shiranui Mai) is a player character in the Fatal Fury and The King of Fighters series of fighting games developed by SNK. She has also appeared in other media of these franchises and in a number of other games since her debut in 1993's Fatal Fury 2. Mai is a modern female ninja and the granddaughter of the ninjutsu master Hanzo Shiranui, with the ability to create and control fire. She is a founding member of the King of Fighters Tournament's Women Fighters Team and likes Andy Bogard but he is ambiguous about their relationship.The character became SNK's primary sex symbol, often representing the company in crossover and spin-off titles. Due to her sex appeal, Mai become one of the most popular and recognizable female characters of the fighting genre and video gaming in general.",http://en.wikipedia.org/wiki/Mai_Shiranui,//upload.wikimedia.org/wikipedia/en/9/9a/Mai_Shiranui.png
Aerith Gainsborough,Final Fantasy,"Aerith Gainsborough (エアリス・ゲインズブール, Earisu Geinzubūru) — transliterated Aeris Gainsborough in the English releases of Final Fantasy VII and Final Fantasy Tactics — is a player character in Square's (now Square Enix) role-playing video game Final Fantasy VII. She was designed by Tetsuya Nomura with influence from Yoshinori Kitase, Hironobu Sakaguchi and Yoshitaka Amano.In Final Fantasy VII, she is a 22-year-old woman who joins the eco-terrorist organization AVALANCHE. As the story progresses, AVALANCHE begin to pursue the game's antagonist Sephiroth, and the player learns that she is the last surviving Cetra, or ""Ancient"", one of the planet's oldest races. She has also appeared in the later-released Compilation of Final Fantasy VII and Kingdom Hearts series.Her voice actor is Maaya Sakamoto in Japanese. In English releases, her voice actors are singer and actress Mandy Moore in Kingdom Hearts, actress Mena Suvari in Kingdom Hearts II and Final Fantasy VII Advent Children, and actress Andrea Bowen in Crisis Core: Final Fantasy VII. The character and the events surrounding her death in Final Fantasy VII have met with an overall positive reception from critics and fans.",http://en.wikipedia.org/wiki/Aerith_Gainsborough,//upload.wikimedia.org/wikipedia/en/2/2f/Aerith_Gainsborough.png
Tifa Lockhart,Final Fantasy,"Tifa Lockhart (ティファ・ロックハート, Tifa Rokkuhāto) is a fictional character in Square's (now Square Enix) role-playing video game Final Fantasy VII. Created and designed by Tetsuya Nomura, she has since appeared in the fighting game Ehrgeiz and made cameo appearances in several other titles, as well as the CGI film sequel to Final Fantasy VII, Advent Children and related games and media in the Compilation of Final Fantasy VII series.A member of the eco-terrorist group AVALANCHE and owner of the 7th Heaven bar in the slums of Midgar, Tifa is the childhood friend of Cloud Strife, the main protagonist of Final Fantasy VII. Convincing him to join the group to keep him close and safe, she later assists him in saving the Planet from the game's villain, Sephiroth. Installments in The Compilation of Final Fantasy VII later expanded upon her character, such as in the film Advent Children, where she attempts to convince Cloud to let go of his self-imposed guilt, and move on with his life after Sephiroth's defeat.Named the pin-up girl of the ""cyber generation"" by The New York Times, Tifa has been compared to Lara Croft as an example of a strong, independent and attractive female character in video games. Media have repeatedly praised both the character's strength and appearance and described her as one of the best female characters in gaming.",http://en.wikipedia.org/wiki/Tifa_Lockhart,//upload.wikimedia.org/wikipedia/en/6/61/Tifa_Lockhart_art.png
Yuna (Final Fantasy),Final Fantasy,"Yuna (ユウナ, Yūna) is a fictional character from Square Enix's Final Fantasy series. She was first introduced as the female protagonist and one of the main playable characters of the 2001 role-playing video game Final Fantasy X, appearing as a summoner embarking on a journey to defeat the world-threatening monster Sin alongside her companions, including the male protagonist Tidus. Yuna reappears in Final Fantasy X-2, where she becomes the main protagonist, searching for a way to find Tidus two years following his disappearance. Yuna has also been featured in other Square Enix games, notably Dissidia 012 Final Fantasy.Tetsuya Nomura based Yuna's overall design on hakama, but also wanted to give her outfit something that would flow and so gave her a furisode. Nomura said that her name carried the night in the Okinawan language in contrast to Tidus, which translates to sun. For Final Fantasy X-2, the game's staff wanted Tetsu Tsukamoto to redesign her costume to reflect her personality and the game's atmosphere. Yuna's character was well received by many media critics and fans and in particular praised for her relationship to Tidus, as well as her characterization and sex appeal. Despite this positive reception, there was a mixed reception for her role in Final Fantasy X-2 due to her redesign.",http://en.wikipedia.org/wiki/Yuna_(Final_Fantasy),//upload.wikimedia.org/wikipedia/en/7/71/Yuna.png
Lulu (Final Fantasy),Final Fantasy,"Lulu (ルールー, Rūrū) is a fictional black magic user in the Final Fantasy series, and one of the main characters in Final Fantasy X, where she appears as one of player character and the guardian to the lead female protagonist, Yuna. She also appears in a reduced role for Final Fantasy X-2, where she has a child with Wakka named Vidina. She has received mostly positive critical reception.",http://en.wikipedia.org/wiki/Lulu_(Final_Fantasy),//upload.wikimedia.org/wikipedia/en/thumb/1/1f/Lulu.png/225px-Lulu.png
Yuffie Kisaragi,Final Fantasy,"Yuffie Kisaragi (ユフィ・キサラギ, Yufi Kisaragi) a video game character from Square Enix's Final Fantasy series. Designed by Tetsuya Nomura, she was first introduced in the 1997 role-playing video game Final Fantasy VII as a young female ninja princess and thief. She can become one of the game's player characters after finishing a special sidequest. Yuffie reappears in the Compilation of Final Fantasy VII series, expanding her background and showing her after the events of the original game.Yuffie has also been featured in other Square Enix games, most notably the Kingdom Hearts crossover series, voiced by Yumi Kakazu in the Japanese versions of the games. In the English versions, Christy Carlson Romano provides her voice for Kingdom Hearts and Final Fantasy VII: Advent Children, and Mae Whitman is Yuffie's voice for Kingdom Hearts II and Dirge of Cerberus: Final Fantasy VII. The character has achieved a high level of popularity in Japan, but the English-language media reception has been more mixed.",http://en.wikipedia.org/wiki/Yuffie_Kisaragi,//upload.wikimedia.org/wikipedia/en/thumb/6/6a/Yuffie_Kisaragi.png/235px-Yuffie_Kisaragi.png
Franziska von Karma,Ace Attorney,"Franziska von Karma, known as Mei Karuma (狩魔 冥, Karuma Mei) in Japan, is a fictional character in the Ace Attorney series. She is a prosecuting attorney, first appearing in Phoenix Wright: Ace Attorney: Justice for All. She later appears in the sequel Phoenix Wright: Ace Attorney: Trials and Tribulations and the spin-off, Ace Attorney Investigations: Miles Edgeworth. She is the daughter of Manfred von Karma, an antagonist from Phoenix Wright: Ace Attorney. She wears regal clothing, notably wielding a whip which she uses frequently in and out of court on other characters. The producer of Justice for All described her as a ""cute girl"" and as a ""shocking character,"" while Janet Hsu, a member of the localization team for the series and her voice actress, commented that she was one of her favourite characters to write for, commenting that she ""has a lot more depth than people give her credit for.""Since appearing in Justice for All, Franziska has received mixed reception. While Game Informer described her as one of the ""series' mainstays"" and GamesRadar praised her as one of the most attractive females in video games from 2000 to 2010, she has been criticized for her personality and behaviour. She has also been considered humorous by UGO Networks.",http://en.wikipedia.org/wiki/Franziska_von_Karma,http://upload.wikimedia.org/wikipedia/en/thumb/1/19/Franziska_von_Karma.png/200px-Franziska_von_Karma.png
