Id,Game,Series,Country,Details,Ban Category,Ban Status,Wikipedia Profile,Image,Summary,Developer,Publisher,Genre,Homepage
Call of Duty IV: Modern Warfare - United Arab Emirates,Call of Duty IV: Modern Warfare,Call of Duty,United Arab Emirates,Banned possibly due to violence against Muslims. The ban has since been lifted.,Graphic Violence and Cruelty|Ideological and/or Religious Reasons,Ban Lifted,https://en.wikipedia.org/wiki/Call_of_Duty_4:_Modern_Warfare,//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Call_of_Duty_4_Modern_Warfare.jpg/250px-Call_of_Duty_4_Modern_Warfare.jpg,"Call of Duty 4: Modern Warfare is a 2007 first-person shooter video game, developed by Infinity Ward and published by Activision for Microsoft Windows, Mac OS X, PlayStation 3, Xbox 360 and Wii. A handheld game was made for the Nintendo DS. The game was released in North America, Australia, and Europe in November 2007 for video game consoles and Microsoft Windows. It was released for the Mac in September 2008, then released for the Wii in November 2009, given the subtitle Reflex Edition. It is the fourth installment in the Call of Duty video game series, excluding expansion packs, and is the first in the Modern Warfare line of the franchise, followed by a direct sequel, Call of Duty: Modern Warfare 2 as well as the first game in the series to have a Mature rating. The game breaks away from the World War II setting of previous games in the series and is instead set in modern times. Developed for over two years, the game uses a proprietary game engine. On September 10, 2009, it was re-released in Japan by Square Enix.The story takes place in the year 2011, where a radical leader has executed the president of an unnamed country in the Middle East, and an ultranationalist movement starts a civil war in Russia. The conflicts are seen from the perspectives of a U.S. Force Reconnaissance Marine and a British SAS commando, and are set in various locales, such as the United Kingdom, the Middle East, Azerbaijan, Russia, and Ukraine. The multiplayer portion of the game features various game modes, and contains a leveling system that allows the player to unlock additional weapons, weapon attachments, and camouflage schemes as they advance.Critically acclaimed, the game received an aggregated score of 94% from both GameRankings and Metacritic, and is considered by many to be the best Call of Duty in the series. The gameplay and story received particular praise, while criticism targeted the failure of the game to substantially innovate the first-person shooter genre. The game won numerous awards from gaming websites, including IGN's Best Xbox 360 Game. It was the top-selling game worldwide for 2007, selling around seven million copies by January 2008 and over thirteen million by May 2009.",Infinity Ward|Aspyr|Treyarch,Activision|Square Enix,First-person shooter,http://www.callofduty.com/codmw?path=codmw
Call of Duty: Black Ops II - Pakistan,Call of Duty: Black Ops II,Call of Duty,Pakistan,Banned for portraying Pakistanis negatively.,Ideological and/or Religious Reasons,Active,https://en.wikipedia.org/wiki/Call_of_Duty:_Black_Ops_II,//upload.wikimedia.org/wikipedia/en/0/05/Call_of_Duty_Black_Ops_II_box_artwork.png,"Call of Duty: Black Ops II is a 2012 first-person shooter video game, developed by Treyarch and published by Activision (Square Enix for Japan). It was released on November 13, 2012 for PlayStation 3, Xbox 360, and Microsoft Windows and on November 18, 2012 in North America, November 30, 2012 in Europe and Australia for the Wii U. Square Enix released the game for the Japanese market on November 22, 2012 as a subbed version. A Japanese voice-dubbed version was released separately on December 20, 2012.The Japanese release of the Wii U port is only the dubbed version since the console was not available in Japan in November. Black Ops II is the ninth game in the Call of Duty franchise of video games and a sequel to the 2010 game Call of Duty: Black Ops. The game was launched at 16,000 stores worldwide at midnight on November 13, 2012.Black Ops II is the first game in the Call of Duty franchise to feature future warfare technology and the first to present branching storylines driven by player choice as well as selecting weapons before starting story mode missions. It also offers a 3D display option. A corresponding game, Call of Duty: Black Ops – Declassified, was released simultaneously on the PlayStation Vita. Within 24 hours of going on sale, the game grossed over $500 million. It had remained the largest entertainment launch of all time until September 2013, when Take-Two announced that Grand Theft Auto V had grossed $800 million in its first day of release. It went on to sell 7.5 million copies in the U.S. in November 2012, making it the highest grossing game of the month. As of November 5, 2013, the game has sold 24.2 million copies.The game is the first in the series to feature significant elements of nonlinear gameplay, most notably multiple endings.",Treyarch,Activision|Square Enix,First-person shooter,http://callofduty.com/blackops2
Carmageddon - Brazil,Carmageddon,Carmageddon,Brazil,Banned because of high impact violence against pedestrians.,Graphic Violence and Cruelty,Active,https://en.wikipedia.org/wiki/Carmageddon,//upload.wikimedia.org/wikipedia/en/1/16/Carmageddon_box.jpg,"Carmageddon is a graphically violent vehicular combat 1997 PC video game. It was later ported to other platforms, and spawned a series of follow-up titles. It was inspired by the 1975 cult classic movie Death Race 2000. The game was produced by Stainless Games, published by Interplay and SCi.In early 2012, it was announced that a new port of the game would be released for iOS and certain Android mobile devices. The game was released as both a free demo and paid game in 2013.",Stainless Games,Square Enix|Interplay Entertainment,Combat|Open world,http://www.carmageddon.com/
Carmageddon - United Kingdom,Carmageddon,Carmageddon,United Kingdom,"Was threatened with being refused certification in its uncut form. Was subsequently altered to replace humans with zombies. The restriction was later lifted, and a patch was released to restore the original human content.",,Ban Lifted,https://en.wikipedia.org/wiki/Carmageddon,//upload.wikimedia.org/wikipedia/en/1/16/Carmageddon_box.jpg,"Carmageddon is a graphically violent vehicular combat 1997 PC video game. It was later ported to other platforms, and spawned a series of follow-up titles. It was inspired by the 1975 cult classic movie Death Race 2000. The game was produced by Stainless Games, published by Interplay and SCi.In early 2012, it was announced that a new port of the game would be released for iOS and certain Android mobile devices. The game was released as both a free demo and paid game in 2013.",Stainless Games,Square Enix|Interplay Entertainment,Combat|Open world,http://www.carmageddon.com/
Carmageddon II: Carpocalypse Now - Brazil,Carmageddon II: Carpocalypse Now,Carmageddon,Brazil,Banned because of high impact violence against pedestrians.,Graphic Violence and Cruelty,Active,https://en.wikipedia.org/wiki/Carmageddon_II,//upload.wikimedia.org/wikipedia/en/b/bc/Carmageddon2Box.jpg,"Carmageddon II: Carpocalypse Now is the sequel to the graphically violent vehicular combat video game Carmageddon, released on November 30, 1998. The game was developed by Stainless Games and published by Sales Curve Interactive. It has been released for both PC and Macintosh.",Stainless Games,Square Enix,Combat|Racing,
Catherine - United Arab Emirates,Catherine,Catherine,United Arab Emirates,Banned likely due to sexual themes and nudity.,Sex and Nudity,Active,https://en.wikipedia.org/wiki/Catherine_(video_game),//upload.wikimedia.org/wikipedia/en/2/20/Catherine_Cover_Art.png,"Catherine (キャサリン, Kyasarin) is a puzzle-platformer adventure video game developed by Atlus Persona Team and published by Atlus for the PlayStation 3 and Xbox 360. It is Atlus' first internally developed game for seventh-generation consoles in high definition, and is described as an ""adult-oriented"" title by the game's character designer, Shigenori Soejima. The cinematic portion of the game is handled by Studio 4°C. The game was released in Japan on February 17, 2011, and in North America on July 26, 2011. Deep Silver released the game in Europe on February 10, 2012. It was also released in Australia on February 23, 2012. Catherine was later released as a full downloadable game for the PlayStation Store in February 2012 and came out on the Games on Demand service for the Xbox 360 in April 2012.",Atlus,Atlus,Platform|Adventure,http://catherinethegame.com
Command & Conquer Generals - China,Command & Conquer Generals,Command & Conquer Generals,China,"Banned for ""smearing the image of China and the Chinese army"" despite the fact that the game presents China as a quasi-protagonist. Additionally, the GLA campaign has the player destroy questionable targets such as the Three Gorges Dam and the Hong Kong Convention and Exhibition Centre.",Ideological and/or Religious Reasons,Active,https://en.wikipedia.org/wiki/Command_%26_Conquer_Generals,//upload.wikimedia.org/wikipedia/en/0/0f/Cncgen-win-cover.jpg,"Command & Conquer: Generals is a real-time strategy video game and the seventh installment in the Command & Conquer series.[1] It was released for Microsoft Windows and Mac OS operating systems in 2003 and 2004. While the Windows version of Generals was developed by EA Pacific and published by EA Games, the Mac OS version was developed and published by Aspyr Media. In the game, the player can choose from three different factions: the United States, China and the Global Liberation Army (GLA).",Electronic Arts|Aspyr,Electronic Arts|Aspyr,Strategy,
Commandos I: Behind Enemy Lines - Germany,Commandos I: Behind Enemy Lines,Commandos,Germany,Was banned because of Nazi references.,Ideological and/or Religious Reasons,Active,https://en.wikipedia.org/wiki/Commandos:_Behind_Enemy_Lines,//upload.wikimedia.org/wikipedia/en/d/d2/Commandos_Behind_Enemy_Lines.jpg,"Commandos: Behind Enemy Lines is a single-player real-time tactics video game developed by Spanish company Pyro Studios and published by Eidos Interactive. The first installment in the Commandos series series, the game was released in 1998 and is set in wartime Europe and Africa where a group of six Allied Commandos performs missions using small unit tactics. Each Commando has a unique set of skills and tools determined by his class which forces the player to establish cooperation among them so that further progress can be made. The objectives vary from sabotages to rescuing allied informants and assassinations.Commandos employs an isometric view with a whole map visible, thus allowing player to think out a strategy and its execution in advance. The same system was later used in the expansion pack Commandos: Beyond the Call of Duty released in 1999 as well as in two installments Commandos 2: Men of Courage and Commandos 3: Destination Berlin released in 2001 and 2003 respectively.",Pyro Studios,Eidos Interactive,Strategy,https://web.archive.org/web/20090505153915/http:/www.eidosinteractive.com/games/info.html?gmid=31
Condemned I: Criminal Origins - Germany,Condemned I: Criminal Origins,Condemned,Germany,Banned because of high impact violence and cruelty.,Graphic Violence and Cruelty,Active,https://en.wikipedia.org/wiki/Condemned:_Criminal_Origins,//upload.wikimedia.org/wikipedia/en/8/83/Condemned.jpg,"Condemned: Criminal Origins (known in Japan as Condemned: Psycho Crime and in Europe and Australia simply as Condemned) is a first-person brawler action video game with psychological horror elements, developed by Monolith Productions and published by Sega. It was launched worldwide in 2005 on the Xbox 360, with a Microsoft Windows version released later in 2006. As of October 29, 2012, the game was released on Steam.Condemned: Criminal Origins places an emphasis on melee combat (as opposed to gunplay) and puzzle solving, including searching for fingerprints and gathering evidence.Upon release, Condemned was met with moderate to good reviews by many aggregates and critics. Many reviewers cited its questionable storyline and lack of progression as the game's biggest fault. As a reprieve, the game's solid controls and fresh approach to the horror genre were praised. A sequel, entitled Condemned 2: Bloodshot, was released on March 11, 2008, for the Xbox 360 and PlayStation 3. Other media forms include an internet prequel and a planned film adaptation to expand the Condemned franchise. The developers have cited films such as The Silence of the Lambs and Seven as inspiration for the game.",Monolith Productions,Warner Bros.|Sega,Action|Beat 'em up,
Condemned II: Bloodshot - Germany,Condemned II: Bloodshot,Condemned,Germany,Banned because of high impact violence and cruelty.,Graphic Violence and Cruelty,Active,https://en.wikipedia.org/wiki/Condemned_2:_Bloodshot,//upload.wikimedia.org/wikipedia/en/thumb/4/42/Condemned_2_Bloodshot.jpg/256px-Condemned_2_Bloodshot.jpg,"Condemned 2: Bloodshot (titled Condemned 2 in Australia, Europe and Asia) is a brawler action video game with psychological horror elements, developed by Monolith Productions and published by Sega for the PlayStation 3 and Xbox 360 video game consoles. Condemned 2 was released on March 11, 2008, in North America, on the Xbox 360 on March 27, 2008, in Australia and later on April 4, 2008, on PlayStation 3, and April 4, 2008, in Europe for both platforms. It is the sequel to the 2005 game Condemned: Criminal Origins. Due to its violent content, the game was indexed in Germany by the BPjM in April 2008 and subsequently banned in October 2008.Greg Grunberg does not reprise his role as Ethan in Condemned 2. Instead, Ethan is voiced by André Sogliuzzo.",Monolith Productions,Warner Bros.|Sega,Action|Beat 'em up,
Counter-Strike - Brazil,Counter-Strike,Counter-Strike,Brazil,Banned because of high impact violence. The ban was later lifted and game is now being sold once again.,Graphic Violence and Cruelty,Ban Lifted,https://en.wikipedia.org/wiki/Counter-Strike,//upload.wikimedia.org/wikipedia/en/thumb/6/67/Counter-Strike_Box.jpg/250px-Counter-Strike_Box.jpg,"Counter-Strike is a first-person shooter video game developed by Valve Corporation. It was initially developed and released as a Half-Life modification by Minh ""Gooseman"" Le and Jess ""Cliffe"" Cliffe in 1999, before Le and Cliffe were hired and the game's intellectual property acquired. Counter-Strike was first released by Valve on the Microsoft Windows platform in 2000. The game later spawned a franchise, and is the first installment in the Counter-Strike series. Several remakes and Ports of Counter-Strike have been released on the Xbox console, as well as OS X and Linux.Set in various locations around the globe, players assume the roles of members of combating teams that include counter-terrorists and terrorists. During each independent match, the two teams of five players are tasked with defeating the other by the means of either achieving the map's objectives, or else killing the enemy combatants. Each player may customize their arsenal of weapons and accessories at the beginning of every match, with the currency earned through each map reset, killing other players and achieving objectives.As of August 2011, the Counter-Strike franchise has sold over 25 million units.",Valve Corporation|Turtle Rock Studios,Sierra|Valve Corporation|Microsoft Studios,First-person shooter,
Dante's Inferno - Malaysia,Dante's Inferno,Dante's Inferno,Malaysia,"Cruelty, hellish visions, sexuality and content that was against Sharia.",Graphic Violence and Cruelty|Sex and Nudity|Ideological and/or Religious Reasons,Active,https://en.wikipedia.org/wiki/Dante's_Inferno_(video_game),//upload.wikimedia.org/wikipedia/en/c/c6/Dante%27s_Inferno.jpg,"Dante's Inferno is a 2010 action-adventure video game developed by Visceral Games and published by Electronic Arts for the Xbox 360 and PlayStation 3 consoles. The game was also released on the PlayStation Portable and was developed by Artificial Mind and Movement. The story is based on Inferno, the first canticle of Dante Alighieri's Divine Comedy, and shares many similarities with the poem. The game includes damned found in appropriate circles of hell and various other monsters from the poem. The game follows the exploits of Dante (reimagined as a Templar knight) as he journeys through the nine circles of Hell to reclaim the soul of his beloved Beatrice from the hands of Lucifer.",Visceral Games|Behaviour Interactive,Electronic Arts,Hack and slash|Action|Adventure,http://www.dantesinferno.com/
Dark Sector - Australia,Dark Sector,Dark Sector,Australia,"Banned because of high impact gory violence involving mutilations.
A censored version was later released.",Graphic Violence and Cruelty,Censored Version Released,https://en.wikipedia.org/wiki/Dark_Sector,//upload.wikimedia.org/wikipedia/en/4/43/Darksector.jpg,"Dark Sector (stylized as darkSectOr) is a third-person shooter video game developed by Digital Extremes for the Xbox 360, PlayStation 3 and Microsoft Windows.The game is set in the fictional Eastern Bloc country of Lasria, and centers on protagonist Hayden Tenno (voiced by Michael Rosenbaum), a morally ambivalent CIA ""clean-up man"". While trying to intercept rogue agent named Robert Mezner, Hayden's right arm is infected with the fictional Technocyte virus, which gives him the ability to grow a three-pronged ""Glaive"" at will.Dark Sector received mixed to positive reviews for its visual design, originality of action and weapon-based gameplay. Many critics have compared the game to Resident Evil 4 and Gears of War, for their similar style of play and story.",Digital Extremes,Aspyr|D3 Publisher,Third-person shooter,http://www.darksector.com/
Darksiders - United Arab Emirates,Darksiders,Darksiders,United Arab Emirates,"Banned likely due to contradicting with customs and traditions. Its sequel, which feature similar themes, was released without issues however, and even had a localised print release for the PlayStation 3 version.",Ideological and/or Religious Reasons,Active,https://en.wikipedia.org/wiki/Darksiders,//upload.wikimedia.org/wikipedia/en/thumb/4/42/Darksiders_Cover.jpg/220px-Darksiders_Cover.jpg,"Darksiders, originally subtitled Wrath of War, is an action-adventure hack and slash video game developed by Vigil Games and published by THQ. The game takes its inspiration from the apocalypse, with the player taking the role of War, one of the Four Horsemen of the Apocalypse. The game was released for the Xbox 360 and PlayStation 3 on January 5, 2010 in North America, January 7, 2010 in Australia, January 8, 2010 in Europe and March 18, 2010 in Japan. The PC version was released in North America and Australia on September 23, 2010 and in Europe September 24, 2010. A parallel sequel was released on August 14, 2012.",Vigil Games,THQ,Hack and slash|Action|Adventure,http://www.darksiders.com/
Dead Island - United Arab Emirates,Dead Island,Dead Island,United Arab Emirates,"Banned likely due to ""extreme depictions of violence and scantily-clad game characters."" Ban did not extend to digital versions of the games however.",Graphic Violence and Cruelty,Active,https://en.wikipedia.org/wiki/Dead_Island,//upload.wikimedia.org/wikipedia/en/4/43/Dead_island_PC_packshot.png,"Dead Island is an action role-playing survival horror video game developed by Polish developer Techland and published by German studio Deep Silver for Microsoft Windows, PlayStation 3 and Xbox 360. It is centered on the challenge of surviving a zombie-infested open world island with a major emphasis on melee combat. It was originally announced at E3 2006, but was pushed back to 2011. It was released on 6 September 2011 in North America, 9 September 2011 in the PAL regions and 20 October 2011 in Japan. A sequel, Dead Island: Riptide, was released in 2013.",Techland,Deep Silver,Survival|Horror|Action|Role-playing,http://deadisland.deepsilver.com/dead-island/deadisland.php
