Facility,Duplicates note,Owner / Operator of Facility,Address,State,Coordinates,Total Penalties,Last Penalty Amount,Clean Air Act Compliance,Clean Water Act Compliance,Resource Conservation and Recovery Act Compliance,Safe Drinking Water Act Compliance,Significant Noncompliance,Quarters in Noncompliance
Dow Chemical - Michigan,,Dow Chemical,"1261 BuildingMidland, Mi 48667",Michigan,"43.6087973490005, -84.23837821799964","$2,717,400","$67,400","Addressed Violation, State/Local Lead Enforcement",Noncompliance,Noncompliance,,Yes,12
Dow Chemical - Louisiana,,Dow Chemical,"21255 Hwy 1Plaquemine, La 70764",Louisiana,"30.321701393000467, -91.2521004359997","$400,000","$200,000",Noncompliance,No Violation,Significant Violation,,Yes,12
ESSROC - Cement (1),,ESSROC,"3084 W 225 SLogansport, In 46947",Indiana,"40.73219289400049, -86.43194926499967","$509,163",$0,"Unaddressed Violation, State/Local Lead Enforcement",No Violation,Noncompliance,,Yes,12
ESSROC - Cement (2),,ESSROC,"301 Us 31Speed, In 47172",Indiana,"38.41108330400044, -85.75258524699967","$502,463","$502,463","Addressed Violation, State/Local Lead Enforcement",No Violation,No Violation,,Yes,12
LaFarge - Building Materials - New York,,LaFarge,"1916 Route 9 WestRavena, Ny 12143",New York,"42.469728087000476, -73.83021734799968","$682,354","$260,231",No Violation,"Significant Noncompliance Category I, Effluent violations of monthly average limits",No Violation,,Yes,12
LaFarge - Building Materials - Oklahoma,,LaFarge,"2609 N. 145th E. Ave.Tulsa, Ok 74116",Oklahoma,"36.197060241000486, -95.81527629299967","$315,481","$315,481","Unaddressed Violation, State/Local Lead Enforcement",No Violation,,,Yes,9
LaFarge - Midwest - Michigan,,LaFarge,"1435 Ford AvenueAlpena, Mi 49707",Michigan,"45.070175246000474, -83.41532163599965","$1,460,942","$1,460,942","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
LaFarge - Midwest - Kansas,,LaFarge,"1400 South Cement RoadFredonia, Ks 66736",Kansas,"37.51577183900048, -95.82434755099968","$1,026,192","$1,026,192","Addressed Violation, EPA Lead Enforcement",Unknown,No Violation,,Yes,12
LaFarge - North America - Ohio,,LaFarge,"11435 County Road 176Paulding, Oh 45879",Ohio,"41.17939215600046, -84.62680748799966","$1,460,942","$1,460,942","Addressed Violation, EPA Lead Enforcement",Unknown,No Violation,,Yes,12
LaFarge - North America - Iowa,,LaFarge,"301 East Front StreetBuffalo, Ia 52728",Iowa,"41.463335034000465, -90.68560985999966","$1,026,192","$1,026,192","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Marathon Petroleum - Texas,,Marathon Petroleum,"1320 Loop 197 S.Texas City, Tx 77590",Texas,"29.372425545000453, -94.90941535399969","$4,186,384","$4,004,000",No Violation,Noncompliance,No Violation,,No,9
Marathon Petroleum - Louisiana,,Marathon Petroleum,"Hwy. 61 &amp; Marathon Ave.Garyville, La 70051",Louisiana,"30.052910279000457, -90.61793688799969","$4,157,334","$4,004,000",Noncompliance,No Violation,No Violation,,No,9
Saint-Gobain Containers (1),,Saint-Gobain Containers,"1200 North Logan StreetLincoln, Il 62656",Illinois,"40.15725060400047, -89.35510275499968","$606,667","$606,667","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Saint-Gobain Containers (2),,Saint-Gobain Containers,"815 S Mchenry StBurlington, Wi 53105",Wisconsin,"42.663448005000475, -88.28580830499965","$606,667","$606,667","Addressed Violation, EPA Lead Enforcement",,No Violation,,Yes,12
Saint-Gobain Containers (3),,Saint-Gobain Containers,"524 E. Center StreetDunkirk, In 47336",Indiana,"40.3726655750005, -85.20303697999964","$606,667","$606,667","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Saint-Gobain Containers (4),,Saint-Gobain Containers,"13850 Cottage Grove AvenueDolton, Il 60419",Illinois,"41.643572770000446, -87.59785606999964","$606,667","$606,667",No Violation,No Violation,Noncompliance,,No,12
Saint-Gobain Containers (5),,Saint-Gobain Containers,"1000 North Mission StreetSapulpa, Ok 74066",Oklahoma,"36.01256547900044, -96.09873902299967","$430,000","$430,000","Unaddressed Violation, State/Local Lead Enforcement",No Violation,No Violation,,Yes,6
Saint-Gobain Containers (6),,Saint-Gobain Containers,"4241 Highway 563Simsboro, La 71275",Louisiana,"32.54329092100045, -92.76700346199965","$430,000","$430,000",Noncompliance,No Violation,No Violation,,No,3
Trident Seafoods,,Trident Seafoods,"301 Seafood LnCordova, Ak 99574",Alaska,"60.54882488800047, -145.76388691699972","$2,500,000","$2,500,000",,Noncompliance,,,No,6
Trident Seafoods (1),,Trident Seafoods,"303 Harbor DrSaint Paul Island, Ak 99660",Alaska,"57.182989926000516, -170.28282628499974","$2,500,000","$2,500,000",No Violation,Noncompliance,,,No,12
Trident Seafoods (2),,Trident Seafoods,"Kuluk Bay, About 6 Miles OffshoreBering Sea, Ak 99546",Alaska,"52.86390672900046, 172.9370400000006","$2,500,000","$2,500,000",,Noncompliance,,,No,12
Tyson Foods (1),,Tyson Foods,"13076 Renfro CircleOmaha, Ne 68137",Nebraska,"41.20329058600049, -96.1181766469997","$3,950,000","$3,950,000",No Violation,Noncompliance,No Violation,,No,11
Tyson Foods (2),,Tyson Foods,"19571 MenefeeSedalia, Mo 65301",Missouri,"38.7511443410005, -93.3199977919997","$3,950,000","$3,950,000",No Violation,Noncompliance,No Violation,,No,12
Tyson Foods (3),,Tyson Foods,"800 County Rd.Monett, Mo 65708",Missouri,"36.917665790000456, -93.91419528299969","$3,950,000","$3,950,000",No Violation,Unknown,Noncompliance,,No,1
Tyson Foods - Fresh Meats (1),,Tyson Foods,"Highway 35 NorthDakota City, Ne 68731",Nebraska,"42.41549116600049, -96.4782462499997","$9,900,000","$3,950,000",No Violation,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,11
Tyson Foods - Fresh Meats (2),,Tyson Foods,"1200 Industrial ParkMadison, Ne 68748",Nebraska,"41.8170671420005, -97.46502880799966","$3,955,000","$3,950,000",No Violation,Noncompliance,No Violation,,No,3
Tyson Foods - Fresh Meats (3),,Tyson Foods,"3105 North Ibp RoadHolcomb, Ks 67851",Kansas,"38.00216415400047, -101.01162593599969","$3,952,500","$3,950,000",No Violation,No Violation,Significant Violation,,Yes,12
Tyson Foods - Fresh Meats (4),,Tyson Foods,"1500 Plum Creek PkwyLexington, Ne 68850",Nebraska,"40.76333495600045, -99.73959129499968","$3,950,000","$3,950,000",No Violation,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,,Yes,9
Tyson Foods - Fresh Meats (5),,Tyson Foods,"1350 I CourtPerry, Ia 50220",Iowa,"41.83954627100047, -94.12590294399968","$3,950,000","$3,950,000",No Violation,Noncompliance,No Violation,,No,8
Tyson Foods - Fresh Meats (6),,Tyson Foods,"Highway 70 NorthColumbus Junction, Ia 52738",Iowa,"41.287014386000465, -91.36137057499968","$3,950,000","$3,950,000",No Violation,Noncompliance,No Violation,,No,9
21st Century Environmental Management Of Nevada,,21st Century Environmental Management,"2095 Newlands Drive E.Fernley, Nv 89408",Nevada,"39.61030334200046, -119.20295131799969","$418,968","$151,493",,,Significant Violation,,Yes,12
26th Ward Water Pollution Control Plant,,City of New York City,"12266 Flatlands AvenueBrooklyn, Ny 11207",New York,"40.65497471100048, -73.88091901099966","$340,000","$100,000",No Violation,Noncompliance,,,No,12
A Finkl & Sons,,A Finkl & Sons,"2011 N. Southport Ave.Chicago, Il 60614",Illinois,"41.918139452000446, -87.66296426299965","$312,477","$104,159","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Action Manufacturing,,Action Manufacturing,"500 Bailey Cross RoadAtglen, Pa 19310",Pennsylvania,"39.902513945000464, -75.96780623599966","$450,000",$0,Noncompliance,,Significant Violation,,Yes,12
Agrifos Fertilizer Pasadena,,AGRIFOS,"2001 Jackson RoadPasadena, Tx 77506",Texas,"29.740383557000484, -95.19154216799967","$2,435,206","$1,800,000","Unaddressed Violation, State/Local Lead Enforcement","Significant Noncompliance Category I, Effluent violations of monthly average limits",Significant Violation,,Yes,12
Agrium US,,Agrium,"#1 Commerce StreetFlorence, Al 35631",Alabama,"34.80390964100047, -87.65569717999966","$483,600","$3,600",No Violation,Noncompliance,Significant Violation,,Yes,12
Air Products - Pasadena Plant,,Air Products,"1435 Pasadena FwyPasadena, Tx 77506",Texas,"29.713119408000466, -95.19309730299966","$2,835,000","$1,350,000",Noncompliance,Noncompliance,No Violation,,No,12
"AK Steel - Ashland Works, Coke Plant",,AK Steel,"40th St &amp; Winchester AveAshland, Ky 41101",Kentucky,"38.469099033000475, -82.64421742499968","$1,654,500","$1,650,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,Noncompliance,,Yes,12
Akron City,,City of Akron City,"2460 Akron-peninsula RoadAkron, Oh 44313",Ohio,"41.15807132200047, -81.56516379699968","$500,000","$500,000",No Violation,Noncompliance,No Violation,,No,12
Akzo Nobel Functional Chemicals,,Akzo Nobel Functional Chemicals,"13440 Hwy 43 NAxis, Al 36505",Alabama,"30.96782068300047, -88.02689981099968","$803,914","$785,714",No Violation,Noncompliance,No Violation,No Violation,No,5
Alaska Department of Tranportation & Public Facilities - Abbott Loop Extension Project,,Alaska Department of Tranportation & Public Facilities,"64th Avenue And Abbott Loop RoadAnchorage, Ak 99507",Alaska,"61.1477162000005, -149.81453948499973","$440,000","$440,000",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,4
Alaska Department of Tranportation & Public Facilities - Soldotna,,Alaska Department of Tranportation & Public Facilities,"Mile Post 96 Sterling HighwaySoldotna, Ak 99669",Alaska,"60.48683651900052, -151.05848849099974","$440,000","$440,000",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,,Yes,4
Allegheny Ludlum,,Allegheny Ludlum,"100 River RoadBrackenridge, Pa 15014",Pennsylvania,"40.603484954000464, -79.73691585299963","$1,839,400","$54,500",Noncompliance,No Violation,Noncompliance,,No,12
American Electric Power - Conesville Plant,,American Electric Power,"47201 County Rd. 273Conesville, Oh 43811",Ohio,"40.19015690200047, -81.87906264799966","$8,025,000","$8,025,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
American Electric Power - Gavin Plant,,American Electric Power,"7397 State Rt 7 NCheshire, Oh 45620",Ohio,"38.936303749000444, -82.11415118399964","$8,025,000","$8,025,000","Addressed Violation, EPA Lead Enforcement","Significant Noncompliance Category I, Effluent violations of monthly average limits",No Violation,,Yes,12
American Electric Power - Muskingum River Power Plant,,American Electric Power,"1501 Sparling RdWaterford, Oh 45786",Ohio,"39.58625752600045, -81.68488472499968","$8,025,000","$8,025,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
American Environmental Management,,American Environmental Management,"11855 White Rock RdRancho Cordova, Ca 95742",California,"38.592317669000465, -121.2362701129997","$600,000",$0,,,Noncompliance,,No,8
American Honda Motor,,American Honda Motor,"1919 Torrance BlvdTorrance, Ca 90501",California,"33.83641505500049, -118.3150340629997","$580,000","$580,000",,,Noncompliance,,No,12
American Laboratories,,American Laboratories,"5020 South 33rd StreetOmaha, Ne 68107",Nebraska,"41.207859115000474, -95.9630967659997","$440,000","$440,000",Noncompliance,,No Violation,,No,12
American Sugar Domino - Sugar Refinery,,American Sugar Domino,"1100 Key Highway EastBaltimore, Md 21230",Maryland,"39.27686108600045, -76.60641291099967","$350,000","$200,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Ampersand Chowchilla Biomass,,Ampersand Chowchilla Biomass,"16457 Ave 24Chowchilla, Ca 93610",California,"37.098300434000464, -120.24842502099972","$343,000","$343,000","Addressed Violation, EPA Lead Enforcement",,,,Yes,12
Argos Cement - Harleyville Plant,,Argos Cement,"463 Judge StHarleyville, Sc 29448",South Carolina,"33.22833927000045, -80.44689689499967","$891,192","$891,192",No Violation,Noncompliance,No Violation,,No,3
Arvada Treatment Center,,Arvada Treatment Center,"5550 West 56th AvenueArvada, Co 80002",Colorado,"39.79828314100047, -105.05771029499971","$460,400","$230,200",,No Violation,Significant Violation,,Yes,5
Ash Grove Cement - Texas,,Ash Grove Cement,"900 Gifco RoadMidlothian, Tx 76065",Texas,"32.51856762800048, -97.00380313299968","$646,745","$630,495","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Astro Plating San Antonio,,Astro Plating,"915 RooseveltSan Antonio, Tx 78210",Texas,"29.39496208300045, -98.48598207799967","$307,220","$307,220",,,Significant Violation,,Yes,12
Bacardi,,Bacardi,"Rd 165 Km 2.6Catano, Pr 00962",Puerto Rico,"18.45104498100045, -66.14599001999966","$570,000","$550,000",No Violation,Noncompliance,No Violation,,No,12
Battery Recycling Company,,Battery Recycling Company,"St 2 Km 72.2 Bo CambalacheArecibo, Pr 00612",Puerto Rico,"18.436573739000437, -66.75897291999962","$555,825","$5,000",Noncompliance,No Violation,Noncompliance,,No,12
Big Cajun 2,,Big Cajun 2,"9951 Cajun 2 RoadNew Roads, La 70760",Louisiana,"30.699881599000435, -91.44153702599965","$3,500,000","$3,500,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Big River Zinc,,Big River Zinc,"2401 Mississippi AveSauget, Il 62201",Illinois,"38.60147971800046, -90.17258823099968","$322,162","$250,000","Addressed Violation, EPA Lead Enforcement",,No Violation,,Yes,12
"Bissell Point - Wastewater Treatment Plant, St. Louis",,Metropolitan St. Louis Sewer District,"10 E Grand BlvdSaint Louis, Mo 63147",Missouri,"38.677525491000495, -90.19557928399968","$1,200,000","$1,200,000",No Violation,Noncompliance,No Violation,,No,12
Blue River Treatment Plant,,City of Kansas City,"7300 Hawthorne RoadKansas City, Mo 64120",Missouri,"39.12102613200045, -94.4970648209997","$600,000","$600,000",No Violation,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,12
BP - Amoco Whiting Refinery,,BP,"2815 Indianapolis BoulevardWhiting, In 46394",Indiana,"41.66263910100048, -87.48387261899967","$8,680,000","$8,000,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
BP - Chemical Plant Texas City,,BP,"2401 5th Avenue SouthTexas City, Tx 77590",Texas,"29.389923155000474, -94.92932022199966","$31,496,745","$3,450,000","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,Noncompliance,,Yes,12
BP - Exploration (Alaska),,BP,"900 East Benson BoulevardAnchorage, Ak 99508",Alaska,"61.19339212200049, -149.86365862199972","$25,411,500","$386,000","Addressed Violation, State/Local Lead Enforcement",,No Violation,,Yes,12
"BP - Exploration (Alaska), Badami Unit",,BP,"North Slope Of AlaskaPrudhoe Bay, Ak 99734",Alaska,"69.1007881970005, -147.58906677399972","$25,025,500","$25,500",,Noncompliance,No Violation,,No,3
BP - Exploration & Oil,,BP,"Mississippi Canyon 725Gulf Of Mexico, Gm 99999",Not Applicable - Gulf of Mexico,"28.498134,-89.7510","$1,070,000,000","$537,500,000",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,8
BP - Products Toledo Refinery,,BP,"4001 Cedar Point Rd.Oregon, Oh 43616",Ohio,"41.673738175000494, -83.45113109799968","$8,386,000","$8,000,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,Significant Violation,,Yes,12
BP - Texas City Refinery Docks,,BP,"Loop 197 S. Between Hwy. 6 &amp; 519Texas City, Tx 77590",Texas,"29.39710122000048, -94.92080886999969","$325,000","$325,000",,,Noncompliance,,No,12
Brawley Wastewater Treatment Plant,,"City of Brawley, California","1550 Best RoadBrawley, Ca 92227",California,"33.01665099200045, -115.50923909499971","$1,000,000","$1,000,000",,Noncompliance,,,No,12
Brushy Creek Mine/Mill,,Doe Run,"Highway KkBunker, Mo 63629",Missouri,"37.46009751000048, -91.24815821099969","$7,000,000","$7,000,000",No Violation,"Significant Noncompliance Category I, Effluent violations of monthly average limits",No Violation,No Violation,Yes,11
Buckhorn Mountain Mine,,Kinross,"Approx 3.5 Miles East Of ChesawChesaw, Wa 98844",Washington,"48.93159854100048, -119.3371762269997","$812,000",$0,,Noncompliance,,,No,11
Buick Resource Recycling Facility,,Doe Run,"Hwy Kk MillBoss, Mo 65440",Missouri,"37.63191640800045, -91.21827760799965","$7,000,000","$7,000,000","Addressed Violation, State/Local Lead Enforcement","Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",Significant Violation,,Yes,12
Bunge Milling,,Bunge,"321 E North StDanville, Il 61832",Illinois,"40.126371262000475, -87.62573076699965","$364,583","$364,583",No Violation,Noncompliance,No Violation,,No,6
Bunge North America,,Bunge,"700 N. Rangeline Rd.Morristown, In 46161",Indiana,"39.67216716200045, -85.68714703399968","$364,583","$364,583",No Violation,Noncompliance,No Violation,,No,8
Burlington Environmental,,Burlington Environmental,"20245 77th Avenue SouthKent, Wa 98032",Washington,"47.418171834000475, -122.2376882799997","$1,746,400","$6,000",No Violation,,Significant Violation,,Yes,9
C Street Extension Project,,Alaska Department of Tranportation & Public Facilities,"C Street (diamond To O'malley)Anchorage, Ak 99502",Alaska,"61.150166783000486, -149.95118990899974","$440,000","$440,000",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,4
Cabot - Canal Plant Specialty Carbons,,Cabot,"272 Cabot Plant Lane (off Highway 317)Franklin, La 70538",Louisiana,"29.78808219400048, -91.51958635999966","$975,000","$975,000","Addressed Violation, State/Local Lead Enforcement",No Violation,No Violation,,Yes,12
Cabot - Pampa Plant,,Cabot,"3 Mile West On U.S. Highway 60Pampa, Tx 79065",Texas,"35.54235112300046, -100.9653198209997","$975,000","$975,000","Unaddressed Violation, State/Local Lead Enforcement",,No Violation,,Yes,12
Cabot - Ville Platte Plant,,Cabot,"2066 Cabot RoadVille Platte, La 70586",Louisiana,"30.744258555000442, -92.24709951099965","$975,000","$975,000","Addressed Violation, EPA Lead Enforcement",Unknown,No Violation,,Yes,12
Caguas - Prasa,,Caguas,"Road 1 R-786, Km 0.6Caguas, Pr 00725",Puerto Rico,"18.21132221600044, -66.10852960799963","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Calera Creek Water Recycling Plant,,City of Pacifica,"700 Pacific Coast HwyPacifica, Ca 94044",California,"37.62145798000046, -122.48581922299968","$1,718,000","$18,000",,Noncompliance,,,No,12
Calgon Carbon,,Calgon Carbon,"Us Highway 23Catlettsburg, Ky 41129",Kentucky,"38.250502662000486, -82.60188203899963","$1,696,752","$1,600,000",No Violation,Noncompliance,Significant Violation,,Yes,12
California and Hawaiian Sugar,,California and Hawaiian Sugar,"830 Loring AvenueCrockett, Ca 94525",California,"38.05592817900049, -122.21871019799971","$588,200","$9,000","Addressed Violation, State/Local Lead Enforcement",Noncompliance,No Violation,,Yes,12
California Portland Cement Company - Mojave Plant,,California Portland Cement Company,"9350 Oak Creek RoadMojave, Ca 93501",California,"35.03835468300048, -118.29781119399968","$1,425,000","$1,425,000","Addressed Violation, EPA Lead Enforcement",,No Violation,,Yes,12
California Portland Cement Company - Rillito Plant,,California Portland Cement Company,"11115 Casa Grande HighwayRillito, Az 85654",Arizona,"32.41470319400048, -111.15549610999972","$350,000","$350,000","Addressed Violation, State/Local Lead Enforcement",,No Violation,No Violation,Yes,12
Calumet - Lubricants & Waxes,,Calumet,"3333 Midway StreetShreveport, La 71109",Louisiana,"32.470982997000476, -93.79395044599966","$1,594,262","$326,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,Significant Violation,,Yes,12
Calumet-  Lubricants Refinery,,Calumet,"1756 Old Hwy. 7Cotton Valley, La 71018",Louisiana,"32.79754107600047, -93.4151104989997","$1,000,000","$1,000,000",Unknown,Noncompliance,No Violation,,No,12
Camarillo Sanitary Dist Water Reclamation Plant,,City of Camarillo,"150 Howard RoadCamarillo, Ca 93012",California,"34.19086423000044, -119.0149846219997","$321,000","$321,000",,Noncompliance,,,No,12
Cardinal Power Plant,,American Electric Power,"306 County Road 7 EastBrilliant, Oh 43913",Ohio,"40.26511574600045, -80.63046814099965","$8,025,000","$8,025,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Cargill - Corn Plant,,Cargill,"3201 Needmore Rd.Dayton, Oh 45414",Ohio,"39.820089203000464, -84.16908943999965","$307,690","$307,690","Addressed Violation, EPA Lead Enforcement",Unknown,No Violation,,Yes,12
Cargill - Texturizing Solutions,,Cargill,"1100 Indianapolis BlvdHammond, In 46320",Indiana,"41.6933501040005, -87.51440280999964","$307,690","$307,690","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,No Violation,,Yes,12
Caribbean Petroleum Refining,,Caribbean Petroleum Refining,"Carr 28 Km 2 Urb Industrial LuchettiCatano, Pr 00963",Puerto Rico,"18.44045999700046, -66.12143002199963","$1,500,000","$1,500,000",No Violation,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",Noncompliance,,Yes,12
Carmeuse Lime - South Chicago,,Carmeuse Lime,"3245 East 103rd StreetChicago, Il 60617",Illinois,"41.70816606000045, -87.54197482799964","$350,000","$350,000","Unaddressed Violation, State/Local Lead Enforcement",,No Violation,,Yes,12
Catlettsburg Refining,,Catlettsburg Refining,"11631 Us Route 23Catlettsburg, Ky 41129",Kentucky,"38.37673611100047, -82.60577682899964","$4,335,770","$4,004,000",No Violation,Noncompliance,No Violation,,No,12
Cedar Creek Water Pollution Control Plant,,Nassau County,"3340 Merrick Road And Cedar Creek ParkWantagh, Ny 11793",New York,"40.66483489000046, -73.50708305099965","$475,000","$400,000","Addressed Violation, State/Local Lead Enforcement",Noncompliance,No Violation,,Yes,12
Cemex - Construction Materials South,,Cemex,"5134 Ute HighwayLyons, Co 80540",Colorado,"40.21650370000049, -105.2570330319997","$1,000,000","$1,000,000","Addressed Violation, State/Local Lead Enforcement",Unknown,No Violation,,Yes,12
Cemex - Fairborn Cement Plant,,Cemex,"3250 Linebaugh RoadXenia, Oh 45385",Ohio,"39.7783774720005, -83.97450556499967","$1,400,000","$1,400,000","Addressed Violation, EPA Lead Enforcement",,No Violation,,Yes,12
Central District Wastewater Treatment Plant,,Miami-Dade County,"3869 Rickenbacker CswyKey Biscayne, Fl 33149",Florida,"25.738793548000444, -80.16790613799964","$978,100","$978,100",No Violation,Noncompliance,No Violation,,No,12
Central Soya,,Central Soya,"1200 N 2nd StDecatur, In 46733",Indiana,"40.84127822000045, -84.93077134099968","$364,583","$364,583",Unknown,Noncompliance,No Violation,,No,6
Century Aluminum Of Kentucky,,Century Aluminum of Kentucky,"1627 State Route 271 NorthHawesville, Ky 42348",Kentucky,"37.93301961500049, -86.79159980799966","$515,500","$178,000",Noncompliance,Noncompliance,No Violation,,No,12
CES Environmental Services,,CES Environmental Services,"4904 Griggs RoadHouston, Tx 77021",Texas,"29.69990424700046, -95.34290873299966","$3,234,163","$3,234,163",,No Violation,Noncompliance,,No,12
CF Industries - City Phosphate Complex,,CF Industries,"10608 Paul Buchman HighwayPlant City, Fl 33565",Florida,"28.150376734000474, -82.15197022499967","$1,753,720","$701,500","Unaddressed Violation, State/Local Lead Enforcement",No Violation,No Violation,,Yes,7
ChemTrade Refinery,,ChemTrade Refinery,"1400 Otter Creek RoadOregon, Oh 43616",Ohio,"41.679060680000475, -83.46086242799964","$549,794","$164,285","Addressed Violation, EPA Lead Enforcement",,No Violation,,Yes,12
Chevron - Products,,Chevron,"1200 State StreetPerth Amboy, Nj 08861",New Jersey,"40.53472038300049, -74.26262561499965","$463,745","$463,745",Unknown,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,6
Chevron - Salt Lake Refinery,,Chevron,"2351 N 1100 WSalt Lake City, Ut 84116",Utah,"40.8214702140005, -111.92165717899968","$384,000","$384,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Chrome Tech,,Chrome Tech,"2310 West Cape Cod WaySanta Ana, Ca 92703",California,"33.747592564000456, -117.8997102139997","$300,000","$300,000",,,Noncompliance,,No,12
Ciales Urbano System,,Ciales Urbano System,"Pr-146 Km 27.2Ciales, Pr 00638",Puerto Rico,"18.34178586400043, -66.46869818099964","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Cidra Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 173, Km 3.3Cidra, Pr 00739",Puerto Rico,"18.175792518000435, -66.16219751699964","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,11
Citgo - Petroleum,,CITGO,"4401 Highway 108Lake Charles, La 70601",Louisiana,"30.22391231600045, -93.20497923299968","$1,077,000","$737,000","Addressed Violation, EPA Lead Enforcement",No Violation,Noncompliance,,Yes,12
"Citgo - Refining & Chemicals, East Plant",,CITGO,"1801 Nueces Bay Blvd.Corpus Christi, Tx 78407",Texas,"27.806303983000475, -97.42070782799965","$551,754","$303,294","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,Noncompliance,,Yes,12
