Owner / Operator of Facility,Total Penalties,Number of EPA Violating Facilities,Average Penalty
Holcim Cement,"$700,000",1,"$700,000"
Holly Refining & Marketing,"$1,130,500",2,"$565,250"
Honeywell International,"$4,587,158",3,"$1,529,053"
Hoosier Energy,"$1,900,000",2,"$950,000"
Houston Refining,"$652,500",1,"$652,500"
Hovensa,"$5,480,000",1,"$5,480,000"
Hyundai-Kia,"$420,000",1,"$420,000"
IMCO Recycling of Ohio,"$1,601,724",1,"$1,601,724"
Indiana & Michigan Power Company,"$8,025,000",1,"$8,025,000"
INEOS ABS,"$3,100,000",1,"$3,100,000"
Integrys,"$2,400,000",2,"$1,200,000"
International Petroleum,"$435,452",1,"$435,452"
Invista S.A.R.L.,"$2,363,000",4,"$590,750"
Jeld-Wen,"$426,782",1,"$426,782"
Jerome Cheese,"$304,000",1,"$304,000"
Jupiter Aluminum,"$2,000,000",1,"$2,000,000"
Kellogg's,"$1,000,000",2,"$500,000"
King County,"$447,449",1,"$447,449"
Kinross,"$812,000",1,"$812,000"
LaFarge,"$8,686,491",11,"$789,681"
Lee Lake Water District,"$336,000",1,"$336,000"
Lifoam Industries,"$450,000",1,"$450,000"
Lima Refining,"$516,084",1,"$516,084"
Lion Oil,"$504,500",1,"$504,500"
Los Angeles County,"$1,248,000",4,"$312,000"
Luminous Recycling,"$570,000",1,"$570,000"
LWD Industrial Parkway,"$785,714",1,"$785,714"
Marathon Petroleum,"$21,045,718",5,"$4,209,144"
Marisco,"$859,250",1,"$859,250"
Maynard C. Stiles,"$1,290,000",1,"$1,290,000"
Merck Sharp & Dohme,"$1,500,000",1,"$1,500,000"
Metropolitan St. Louis Sewer District,"$7,200,000",6,"$1,200,000"
Metropolitan Water Reclamation District of Greater Chicago,"$3,375,000",5,"$675,000"
Miami-Dade County,"$1,956,200",2,"$978,100"
Mobil Oil,"$2,403,443",1,"$2,403,443"
Moyer Packing,"$1,928,446",1,"$1,928,446"
MTA Long Island Bus,"$400,000",1,"$400,000"
Murphy Oil,"$367,188",1,"$367,188"
Nassau County,"$1,475,000",2,"$737,500"
National Cooperative Refinery,"$803,146",1,"$803,146"
Native Chemicals,"$1,024,427",1,"$1,024,427"
Navajo Refining,"$747,279",1,"$747,279"
Nebraska By-Products,"$1,142,937",1,"$1,142,937"
NIPSCO,"$14,000,000",4,"$3,500,000"
Northern Tier Energy,"$4,004,000",1,"$4,004,000"
Owens Brockway Glass Container,"$2,279,222",3,"$759,741"
Placid Refining Company,"$679,000",1,"$679,000"
Port Aggregates,"$435,566",1,"$435,566"
PotashCorp,"$1,178,853",1,"$1,178,853"
PPG Industries,"$342,793",1,"$342,793"
Premix,"$400,000",1,"$400,000"
Pryor Chem,"$478,125",1,"$478,125"
Puerto Rico Aqueduct and Sewer Authority,"$94,722,284",92,"$1,029,590"
Puerto Rico Metropolitan Bus Authority,"$1,200,000",1,"$1,200,000"
Pure Earth Recycling NJ,"$750,000",1,"$750,000"
PVS Chemicals,"$311,600",1,"$311,600"
Questar,"$18,250,000",5,"$3,650,000"
Ralcorp Holdings (formerly Kraft Foods),"$635,000",1,"$635,000"
Rand-Whitney,"$300,000",1,"$300,000"
Randolph Products,"$307,834",1,"$307,834"
Raybestos Powertrain,"$337,500",1,"$337,500"
Rensselaer County,"$783,900",1,"$783,900"
Rineco Chemical,"$2,702,063",1,"$2,702,063"
Roquette America,"$4,100,000",1,"$4,100,000"
Sabic Innovative Plastics,"$868,924",1,"$868,924"
Saint-Gobain Containers,"$3,286,668",6,"$547,778"
San Antonio Water System,"$10,446,000",4,"$2,611,500"
Schott Metal Products,"$375,000",1,"$375,000"
Scotts Miracle-Gro,"$6,050,000",1,"$6,050,000"
Shell,"$7,510,266",4,"$1,877,567"
Shenango,"$2,000,000",1,"$2,000,000"
Shintech,"$1,303,536",1,"$1,303,536"
Sinclair,"$4,975,899",2,"$2,487,950"
Solutia,"$970,000",1,"$970,000"
Sonoma County,"$392,000",1,"$392,000"
South San Luis Obispo County,"$1,109,813",1,"$1,109,813"
Southwest ShipYard,"$318,285",1,"$318,285"
Spec Plating,"$338,757",1,"$338,757"
Spectro Alloys,"$952,588",1,"$952,588"
State Correctional Institution,"$678,000",2,"$339,000"
State Line Energy,"$2,000,000",1,"$2,000,000"
State of California,"$438,000",1,"$438,000"
Stoney Creek Technologies,"$8,137,500",1,"$8,137,500"
Suffolk County,"$500,000",1,"$500,000"
Sun Drilling Products,"$415,620",1,"$415,620"
Sunoco,"$5,525,042",3,"$1,841,681"
Superior Forge & Steel,"$319,668",1,"$319,668"
Supreme Asset Management & Recovery,"$360,000",1,"$360,000"
Suraci Metal Finishing,"$700,000",1,"$700,000"
TDY Industries,"$825,000",1,"$825,000"
Tennessee Valley Authority,"$64,625,000",8,"$8,078,125"
Tesoro,"$4,795,000",5,"$959,000"
Teva Pharmaceuticals,"$2,860,733",1,"$2,860,733"
Tin - DBA International Paper Bogalusa Mill,"$1,758,905",1,"$1,758,905"
TOTAL,"$2,900,000",1,"$2,900,000"
Town of Discovery Bay,"$1,250,500",1,"$1,250,500"
Township of West Goshen,"$332,750",1,"$332,750"
Trident Seafoods,"$25,000,000",10,"$2,500,000"
Tronox,"$4,202,879",1,"$4,202,879"
Tyler Pipe,"$386,525",1,"$386,525"
Tyson Foods,"$41,507,500",9,"$4,611,944"
Union Foundry,"$1,268,357",1,"$1,268,357"
US Ecology Texas,"$1,071,577",1,"$1,071,577"
Valero Refining,"$1,110,990",1,"$1,110,990"
Veolia Water,"$645,750",1,"$645,750"
Vertellus Agriculture & Nutrition Specialties,"$425,000",1,"$425,000"
Vineland Municipal Electric Utility,"$850,000",1,"$850,000"
Washington Beef,"$1,506,500",1,"$1,506,500"
Westar Energy,"$3,000,000",1,"$3,000,000"
Western Lake Superior Sanitary District,"$400,000",1,"$400,000"
Western Refining,"$2,970,280",2,"$1,485,140"
Westlake Chemical,"$1,308,000",2,"$654,000"
Westward Seafoods,"$570,000",1,"$570,000"
Weylchem US,"$523,348",1,"$523,348"
Wheelabrator,"$4,000,000",2,"$2,000,000"
Wisconsin Power & Light,"$4,900,000",2,"$2,450,000"
Wyoming Refining,"$1,736,411",1,"$1,736,411"
