ID,Traded Currencies,Percentage of Market,Source,Volume (17 Oct. '14),Price,Volume (%)
BTC - Anoncoin / Chinese Yuan,"Anoncoin, Chinese Yuan",0.07%,BTC,"$6,584",$0.98,26.53 %
Cryptsy - Anoncoin / Litecoin,"Anoncoin, Litecoin",0.07%,Cryptsy,$565,$0.98,2.28 %
Cryptsy - Anoncoin / Ripple,"Anoncoin, Ripple",0.07%,Cryptsy,$18,$0.97,0.07 %
Bittrex - ApexCoin / Bitcoin,"ApexCoin, Bitcoin",0.01%,Bittrex,"$3,220",$0.01,95.73 %
Cryptsy - ApexCoin / Bitcoin,"ApexCoin, Bitcoin",0.01%,Cryptsy,$143,$0.01,4.27 %
MasterXchange - APICoin / Bitcoin,"APICoin, Bitcoin",0.00%,MasterXchange,$0,$0.02,0.00 %
Poloniex - APICoin / Bitcoin,"APICoin, Bitcoin",0.00%,Poloniex,$85,$0.02,100.00 %
Poloniex - AppleByte / Bitcoin,"AppleByte, Bitcoin",0.00%,Poloniex,$452,$0.00,100.00 %
BTC - Applecoin / Chinese Yuan,"Applecoin, Chinese Yuan",0.01%,BTC,"$2,906",$0.01,100.00 %
Bittrex - ARCHcoin / Bitcoin,"ARCHcoin, Bitcoin",0.06%,Bittrex,"$21,371",$0.03,99.66 %
BTER - ARCHcoin / Bitcoin,"ARCHcoin, Bitcoin",0.06%,BTER,$73,$0.03,0.34 %
Bittrex - ARCoin / Bitcoin,"ARCoin, Bitcoin",0.00%,Bittrex,$4,$0.06,100.00 %
Cryptsy - Argentum / Bitcoin,"Argentum, Bitcoin",0.00%,Cryptsy,$29,$0.01,100.00 %
Cryptex - Aricoin / Bitcoin,"Aricoin, Bitcoin",0.00%,Cryptex,$84,$0.00,100.00 %
BTER - AsiaCoin / Bitcoin,"AsiaCoin, Bitcoin",0.00%,BTER,$1,$0.00,14.75 %
Coin-Swap - AsiaCoin / Bitcoin,"AsiaCoin, Bitcoin",0.00%,Coin-Swap,$0,$0.00,0.50 %
Cryptsy - AsiaCoin / Bitcoin,"AsiaCoin, Bitcoin",0.00%,Cryptsy,$7,$0.00,84.75 %
Cryptsy - AsicCoin / Litecoin,"AsicCoin, Litecoin",0.00%,Cryptsy,$97,$0.00,100.00 %
BTER - ATOMIC / Bitcoin,"ATOMIC, Bitcoin",0.00%,BTER,$9,$0.95,7.89 %
Nxt Asset Exchange - ATOMIC / Nxt,"ATOMIC, Nxt",0.00%,Nxt Asset Exchange,$102,$0.97,92.11 %
BTER - Auroracoin / Bitcoin,"Auroracoin, Bitcoin",0.00%,BTER,$0,$0.03,0.00 %
Coins-E - Auroracoin / Bitcoin,"Auroracoin, Bitcoin",0.00%,Coins-E,$0,$0.02,0.00 %
Cryptsy - Auroracoin / Bitcoin,"Auroracoin, Bitcoin",0.00%,Cryptsy,"$1,360",$0.05,92.37 %
Poloniex - Auroracoin / Bitcoin,"Auroracoin, Bitcoin",0.00%,Poloniex,$13,$0.05,0.91 %
SwissCEX - Auroracoin / Bitcoin,"Auroracoin, Bitcoin",0.00%,SwissCEX,$0,$0,0.00 %
Vircurex - Auroracoin / Bitcoin,"Auroracoin, Bitcoin",0.00%,Vircurex,$0,$0.05,0.00 %
Bittylicious - Auroracoin / British Pound,"Auroracoin, British Pound",0.00%,Bittylicious,$0,$0.25,0.00 %
Vault of Satoshi - Auroracoin / Canadian Dollars,"Auroracoin, Canadian Dollars",0.00%,Vault of Satoshi,$0,$0.21,0.00 %
Cryptsy - Auroracoin / Litecoin,"Auroracoin, Litecoin",0.00%,Cryptsy,$94,$0.05,6.41 %
Cryptsy - Auroracoin / Ripple,"Auroracoin, Ripple",0.00%,Cryptsy,$5,$0.05,0.31 %
AllCoin - AurumCoin / Bitcoin,"AurumCoin, Bitcoin",0.00%,AllCoin,$286,$0.04,96.07 %
C-CEX - AurumCoin / Bitcoin,"AurumCoin, Bitcoin",0.00%,C-CEX,$12,$0.08,3.93 %
Bittrex - Axron / Bitcoin,"Axron, Bitcoin",0.00%,Bittrex,$282,$0.00,100.00 %
AllCoin - Bancorcoin / Bitcoin,"Bancorcoin, Bitcoin",0.00%,AllCoin,$34,$0.00,57.51 %
Bittrex - Bancorcoin / Bitcoin,"Bancorcoin, Bitcoin",0.00%,Bittrex,$23,$0.00,38.51 %
Cryptsy - Bancorcoin / Bitcoin,"Bancorcoin, Bitcoin",0.00%,Cryptsy,$2,$0.00,3.99 %
BANX.IO - BanxShares / Bitcoin,"BanxShares, Bitcoin",0.00%,BANX.IO,"$1,078",$0.84,91.90 %
C-CEX - BanxShares / Bitcoin,"BanxShares, Bitcoin",0.00%,C-CEX,$95,$0.84,8.10 %
Cryptsy - BatCoin / Litecoin,"BatCoin, Litecoin",0.00%,Cryptsy,$24,$0.00,100.00 %
Cryptsy - BattleCoin / Bitcoin,"BattleCoin, Bitcoin",0.00%,Cryptsy,$1,$0.00,100.00 %
BTER - BBQCoin / Bitcoin,"BBQCoin, Bitcoin",0.00%,BTER,$3,$0.00,28.88 %
Coins-E - BBQCoin / Bitcoin,"BBQCoin, Bitcoin",0.00%,Coins-E,$0,$0.00,0.00 %
Cryptsy - BBQCoin / Bitcoin,"BBQCoin, Bitcoin",0.00%,Cryptsy,$5,$0.00,42.23 %
BTER - BBQCoin / Chinese Yuan,"BBQCoin, Chinese Yuan",0.00%,BTER,$3,$0.00,28.89 %
AllCoin - BCT Coin / Bitcoin,"BCT Coin, Bitcoin",0.00%,AllCoin,$0,$0.00,100.00 %
Bleutrade - BeaverCoin / Bitcoin,"BeaverCoin, Bitcoin",0.00%,Bleutrade,$9,$0.00,45.65 %
Bleutrade - BeaverCoin / Dogecoin,"BeaverCoin, Dogecoin",0.00%,Bleutrade,$11,$0.00,54.35 %
Coin-Swap - BellaCoin / Bitcoin,"BellaCoin, Bitcoin",0.00%,Coin-Swap,$0,$0.00,0.33 %
Poloniex - BellaCoin / Bitcoin,"BellaCoin, Bitcoin",0.00%,Poloniex,$114,$0.00,99.67 %
Cryptsy - Benjamins / Bitcoin,"Benjamins, Bitcoin",0.00%,Cryptsy,$0,$0.00,0.00 %
Coins-E - BetaCoin / Bitcoin,"BetaCoin, Bitcoin",0.00%,Coins-E,$0,$0.00,0.00 %
Cryptsy - BetaCoin / Bitcoin,"BetaCoin, Bitcoin",0.00%,Cryptsy,$1,$0.00,100.00 %
Bittrex - BigBullion / Bitcoin,"BigBullion, Bitcoin",0.00%,Bittrex,$62,$0.07,100.00 %
BTC - BilShares / Chinese Yuan,"BilShares, Chinese Yuan",0.02%,BTC,"$7,165",$0.00,100.00 %
BTER - BitBar / Bitcoin,"BitBar, Bitcoin",0.00%,BTER,$10,$2.29,14.18 %
Cryptsy - BitBar / Bitcoin,"BitBar, Bitcoin",0.00%,Cryptsy,$42,$2.07,61.89 %
BTER - BitBar / Chinese Yuan,"BitBar, Chinese Yuan",0.00%,BTER,$16,$2.12,23.93 %
BitShares Asset Exchange - BitBTC / BitSharesX,"BitBTC, BitSharesX",0.00%,BitShares Asset Exchange,"$1,255",$380.81,100.00 %
Cryptex - BitCentavo / Litecoin,"BitCentavo, Litecoin",0.00%,Cryptex,$10,$0.00,100.00 %
BitShares Asset Exchange - BitCNY / BitSharesX,"BitCNY, BitSharesX",0.02%,BitShares Asset Exchange,"$7,406",$0.16,90.66 %
BTER - BitCNY / Chinese Yuan,"BitCNY, Chinese Yuan",0.02%,BTER,$763,$0.16,9.34 %
BitcoinAverage - Bitcoin / British Pound,"Bitcoin, British Pound",78.46%,BitcoinAverage,"$320,725",$395.95,1.18 %
BitcoinAverage - Bitcoin / Canadian Dollars,"Bitcoin, Canadian Dollars",78.46%,BitcoinAverage,"$308,284",$386.54,1.14 %
BitcoinAverage - Bitcoin / Chinese Yuan,"Bitcoin, Chinese Yuan",78.46%,BitcoinAverage,"$328,751",$381.97,1.21 %
BitcoinAverage - Bitcoin / Euro,"Bitcoin, Euro",78.46%,BitcoinAverage,"$1,698,910",$384.61,6.26 %
BitcoinAverage - Bitcoin / Russian Ruble,"Bitcoin, Russian Ruble",78.46%,BitcoinAverage,"$128,438",$396.92,0.47 %
BitcoinAverage - Bitcoin / US Dollar,"Bitcoin, US Dollar",78.46%,BitcoinAverage,"$24,355,300",$381.39,89.74 %
Poloniex - Bitcoin Plus / Bitcoin,"Bitcoin Plus, Bitcoin",0.00%,Poloniex,$642,$0.91,100.00 %
AllCrypt - Bitcoin Scrypt / Bitcoin,"Bitcoin Scrypt, Bitcoin",0.00%,AllCrypt,$9,$0.00,99.84 %
Comkort - Bitcoin Scrypt / Bitcoin,"Bitcoin Scrypt, Bitcoin",0.00%,Comkort,$0,$0.00,0.16 %
AllCoin - BitcoinDark / Bitcoin,"BitcoinDark, Bitcoin",0.04%,AllCoin,$327,$2.57,2.35 %
Atomic Trade - BitcoinDark / Bitcoin,"BitcoinDark, Bitcoin",0.04%,Atomic Trade,$0,$4.01,0.00 %
Bittrex - BitcoinDark / Bitcoin,"BitcoinDark, Bitcoin",0.04%,Bittrex,"$10,648",$2.52,76.48 %
BTER - BitcoinDark / Bitcoin,"BitcoinDark, Bitcoin",0.04%,BTER,$57,$2.60,0.41 %
Cryptsy - BitcoinDark / Bitcoin,"BitcoinDark, Bitcoin",0.04%,Cryptsy,"$2,576",$2.51,18.51 %
Poloniex - BitcoinDark / Bitcoin,"BitcoinDark, Bitcoin",0.04%,Poloniex,$314,$2.57,2.25 %
Poloniex - BitcoinDark / Monero,"BitcoinDark, Monero",0.04%,Poloniex,$0,$1.95,0.00 %
Cryptsy - BitcoinDark / Ripple,"BitcoinDark, Ripple",0.04%,Cryptsy,$0,$2.40,0.00 %
Cryptsy - Bitgem / Bitcoin,"Bitgem, Bitcoin",0.00%,Cryptsy,$5,$0.23,100.00 %
AllCoin - Bitleu / Bitcoin,"Bitleu, Bitcoin",0.00%,AllCoin,$0,$0.00,100.00 %
Bittrex - Bitmark / Bitcoin,"Bitmark, Bitcoin",0.00%,Bittrex,$557,$0.41,33.23 %
Cryptsy - Bitmark / Bitcoin,"Bitmark, Bitcoin",0.00%,Cryptsy,$86,$0.41,5.10 %
Poloniex - Bitmark / Bitcoin,"Bitmark, Bitcoin",0.00%,Poloniex,"$1,034",$0.42,61.67 %
Bittrex - BitMo / Bitcoin,"BitMo, Bitcoin",0.00%,Bittrex,$15,$0.00,100.00 %
BTC - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,BTC,$375,$2.87,1.30 %
BTER - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,BTER,"$3,362",$2.84,11.69 %
Coins-E - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,Coins-E,$0,$4.64,0.00 %
Cryptsy - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,Cryptsy,$613,$2.81,2.13 %
Poloniex - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,Poloniex,$114,$2.73,0.40 %
BTC - BitShares PTS / Chinese Yuan,"BitShares PTS, Chinese Yuan",0.08%,BTC,"$19,215",$2.86,66.84 %
BTER - BitShares PTS / Chinese Yuan,"BitShares PTS, Chinese Yuan",0.08%,BTER,$992,$2.86,3.45 %
Yunbi - BitShares PTS / Chinese Yuan,"BitShares PTS, Chinese Yuan",0.08%,Yunbi,"$4,079",$3.02,14.19 %
Bittrex - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,Bittrex,$126,$0.03,0.04 %
BTC - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,BTC,"$18,449",$0.03,6.46 %
BTER - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,BTER,"$35,500",$0.03,12.42 %
Crypto-Trade - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,Crypto-Trade,$0,$0.27,0.00 %
Poloniex - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,Poloniex,$751,$0.03,0.26 %
BTC - BitSharesX / Chinese Yuan,"BitSharesX, Chinese Yuan",0.83%,BTC,"$180,573",$0.03,63.20 %
BTER - BitSharesX / Chinese Yuan,"BitSharesX, Chinese Yuan",0.83%,BTER,"$5,732",$0.03,2.01 %
Yunbi - BitSharesX / Chinese Yuan,"BitSharesX, Chinese Yuan",0.83%,Yunbi,"$44,510",$0.03,15.58 %
BTER - BitSharesX / Nxt,"BitSharesX, Nxt",0.83%,BTER,$93,$0.02,0.03 %
Crypto-Trade - BitSharesX / US Dollar,"BitSharesX, US Dollar",0.83%,Crypto-Trade,$0,$0.03,0.00 %
Bittrex - Bitstar / Bitcoin,"Bitstar, Bitcoin",0.00%,Bittrex,$71,$0.01,75.15 %
Poloniex - Bitstar / Bitcoin,"Bitstar, Bitcoin",0.00%,Poloniex,$23,$0.01,24.85 %
Bittrex - BitSwift / Bitcoin,"BitSwift, Bitcoin",0.07%,Bittrex,"$24,113",$0.14,100.00 %
BitShares Asset Exchange - BitUSD / BitSharesX,"BitUSD, BitSharesX",0.02%,BitShares Asset Exchange,"$5,146",$0.99,98.15 %
BTER - BitUSD / US Dollar,"BitUSD, US Dollar",0.02%,BTER,$97,$0.97,1.85 %
AllCoin - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,AllCoin,"$1,022",$0.04,5.64 %
Bittrex - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,Bittrex,"$3,804",$0.04,21.00 %
BTER - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,BTER,"$1,273",$0.04,7.03 %
Cryptsy - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,Cryptsy,"$3,179",$0.04,17.55 %
Melotic - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,Melotic,$10,$0.04,0.06 %
Poloniex - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,Poloniex,$29,$0.04,0.16 %
Bittylicious - BlackCoin / British Pound,"BlackCoin, British Pound",0.05%,Bittylicious,$164,$0.05,0.91 %
BTC - BlackCoin / Chinese Yuan,"BlackCoin, Chinese Yuan",0.05%,BTC,"$7,238",$0.04,39.95 %
BTER - BlackCoin / Chinese Yuan,"BlackCoin, Chinese Yuan",0.05%,BTER,"$1,269",$0.04,7.00 %
Cryptsy - BlackCoin / Litecoin,"BlackCoin, Litecoin",0.05%,Cryptsy,$113,$0.04,0.62 %
Bittrex - BlackToken / Bitcoin,"BlackToken, Bitcoin",0.00%,Bittrex,$0,$0.00,100.00 %
Atomic Trade - Blakecoin / Bitcoin,"Blakecoin, Bitcoin",0.00%,Atomic Trade,$3,$0.01,8.00 %
Bittrex - Blakecoin / Bitcoin,"Blakecoin, Bitcoin",0.00%,Bittrex,$36,$0.01,92.00 %
Coin-Swap - BlazeCoin / Bitcoin,"BlazeCoin, Bitcoin",0.00%,Coin-Swap,$9,$0.00,64.78 %
Coin-Swap - BlazeCoin / Dogecoin,"BlazeCoin, Dogecoin",0.00%,Coin-Swap,$0,$0.00,0.61 %
Cryptex - BlazeCoin / Litecoin,"BlazeCoin, Litecoin",0.00%,Cryptex,$5,$0.00,34.61 %
Bittrex - BlueCoin / Bitcoin,"BlueCoin, Bitcoin",0.00%,Bittrex,$68,$0.00,12.83 %
Coin-Swap - BlueCoin / Bitcoin,"BlueCoin, Bitcoin",0.00%,Coin-Swap,$0,$0.00,0.01 %
Cryptsy - BlueCoin / Bitcoin,"BlueCoin, Bitcoin",0.00%,Cryptsy,$458,$0.00,87.06 %
Poloniex - BlueCoin / Bitcoin,"BlueCoin, Bitcoin",0.00%,Poloniex,$1,$0.00,0.10 %
Cryptex - Bongger / Litecoin,"Bongger, Litecoin",0.00%,Cryptex,$22,$0.00,100.00 %
Bittrex - Boolberry / Bitcoin,"Boolberry, Bitcoin",0.03%,Bittrex,$317,$0.12,3.43 %
BTER - Boolberry / Bitcoin,"Boolberry, Bitcoin",0.03%,BTER,$27,$0.12,0.29 %
Poloniex - Boolberry / Bitcoin,"Boolberry, Bitcoin",0.03%,Poloniex,"$8,866",$0.11,96.13 %
Poloniex - Boolberry / Monero,"Boolberry, Monero",0.03%,Poloniex,$14,$0.23,0.15 %
Bittrex - Boomcoin / Bitcoin,"Boomcoin, Bitcoin",0.05%,Bittrex,"$16,790",$0.02,100.00 %
Cryptsy - BoostCoin / Bitcoin,"BoostCoin, Bitcoin",0.01%,Cryptsy,$0,$0.01,0.00 %
BTC - BoostCoin / Chinese Yuan,"BoostCoin, Chinese Yuan",0.01%,BTC,"$1,825",$0.01,100.00 %
Coin-Swap - Bottlecaps / Bitcoin,"Bottlecaps, Bitcoin",0.00%,Coin-Swap,$0,$0.01,0.00 %
Cryptsy - Bottlecaps / Bitcoin,"Bottlecaps, Bitcoin",0.00%,Cryptsy,$228,$0.01,100.00 %
AllCoin - BritCoin / Bitcoin,"BritCoin, Bitcoin",0.00%,AllCoin,$0,$0.00,0.00 %
Bittrex - BritCoin / Bitcoin,"BritCoin, Bitcoin",0.00%,Bittrex,$74,$0.00,100.00 %
Coin-Swap - BunnyCoin / Dogecoin,"BunnyCoin, Dogecoin",0.00%,Coin-Swap,$1,$0.00,55.04 %
Comkort - BunnyCoin / Dogecoin,"BunnyCoin, Dogecoin",0.00%,Comkort,$1,$0.00,44.96 %
AllCoin - BurnerCoin / Bitcoin,"BurnerCoin, Bitcoin",0.00%,AllCoin,$0,$0.01,0.00 %
Bittrex - BurnerCoin / Bitcoin,"BurnerCoin, Bitcoin",0.00%,Bittrex,$1,$0.00,100.00 %
Coins-E - BurnerCoin / Bitcoin,"BurnerCoin, Bitcoin",0.00%,Coins-E,$0,$0,0.00 %
Bittrex - Burst / Bitcoin,"Burst, Bitcoin",0.00%,Bittrex,$432,$0.00,48.20 %
C-CEX - Burst / Bitcoin,"Burst, Bitcoin",0.00%,C-CEX,$246,$0.00,27.47 %
Poloniex - Burst / Bitcoin,"Burst, Bitcoin",0.00%,Poloniex,$218,$0.00,24.33 %
Cryptsy - Bytecoin / Bitcoin,"Bytecoin, Bitcoin",0.00%,Cryptsy,$3,$0.01,100.00 %
HitBTC - Bytecoin / Bitcoin,"Bytecoin, Bitcoin",0.02%,HitBTC,"$6,934",$0.00,98.92 %
Poloniex - Bytecoin / Bitcoin,"Bytecoin, Bitcoin",0.02%,Poloniex,$25,$0.00,0.35 %
Poloniex - Bytecoin / Monero,"Bytecoin, Monero",0.02%,Poloniex,$51,$0.00,0.73 %
Cryptsy - CacheCoin / Bitcoin,"CacheCoin, Bitcoin",0.00%,Cryptsy,$51,$0.00,100.00 %
Bleutrade - CageCoin / Dogecoin,"CageCoin, Dogecoin",0.00%,Bleutrade,$0,$0.00,100.00 %
Bleutrade - CageCoin / Litecoin,"CageCoin, Litecoin",0.00%,Bleutrade,$0,$0,0.00 %
Coin-Swap - CAIx / Bitcoin,"CAIx, Bitcoin",0.00%,Coin-Swap,$0,$0.01,0.00 %
Comkort - CAIx / Bitcoin,"CAIx, Bitcoin",0.00%,Comkort,$0,$0.08,0.00 %
Cryptsy - CAIx / Bitcoin,"CAIx, Bitcoin",0.00%,Cryptsy,$3,$0.02,100.00 %
SwissCEX - CaliforniaCoin / Dogecoin,"CaliforniaCoin, Dogecoin",0.00%,SwissCEX,$9,$0.00,49.97 %
SwissCEX - CaliforniaCoin / Litecoin,"CaliforniaCoin, Litecoin",0.00%,SwissCEX,$9,$0.00,50.03 %
Bleutrade - Canada eCoin / Bitcoin,"Canada eCoin, Bitcoin",0.00%,Bleutrade,$24,$0.00,38.18 %
SwissCEX - Canada eCoin / Bitcoin,"Canada eCoin, Bitcoin",0.00%,SwissCEX,$38,$0.00,60.77 %
Bleutrade - Canada eCoin / Dogecoin,"Canada eCoin, Dogecoin",0.00%,Bleutrade,$1,$0.00,1.05 %
AllCrypt - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,AllCrypt,$0,$0.02,0.00 %
Bittrex - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,Bittrex,"$87,343",$0.04,79.82 %
Bleutrade - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,Bleutrade,$163,$0.04,0.15 %
C-CEX - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,C-CEX,$772,$0.04,0.71 %
Coin-Swap - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,Coin-Swap,$1,$0.03,0.00 %
Cryptoine - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,Cryptoine,$0,$0.02,0.00 %
Cryptsy - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,Cryptsy,"$21,131",$0.04,19.31 %
Bleutrade - CannabisCoin / Dogecoin,"CannabisCoin, Dogecoin",0.32%,Bleutrade,$5,$0.02,0.00 %
Cryptsy - CannabisCoin / Ripple,"CannabisCoin, Ripple",0.32%,Cryptsy,$10,$0.04,0.01 %
Bittrex - Cannacoin / Bitcoin,"Cannacoin, Bitcoin",0.04%,Bittrex,"$14,839",$0.04,99.97 %
Coin-Swap - Cannacoin / Bitcoin,"Cannacoin, Bitcoin",0.04%,Coin-Swap,$0,$0.00,0.00 %
SwissCEX - Cannacoin / Bitcoin,"Cannacoin, Bitcoin",0.04%,SwissCEX,$5,$0.03,0.03 %
Bittrex - CAPTcoin / Bitcoin,"CAPTcoin, Bitcoin",0.00%,Bittrex,$56,$0.00,79.08 %
Coin-Swap - CAPTcoin / Bitcoin,"CAPTcoin, Bitcoin",0.00%,Coin-Swap,$15,$0.00,20.92 %
Crypto-Trade - Carboncoin / Bitcoin,"Carboncoin, Bitcoin",0.00%,Crypto-Trade,$0,$0.00,0.00 %
Crypto-Trade - Carboncoin / US Dollar,"Carboncoin, US Dollar",0.00%,Crypto-Trade,$0,$0.00,100.00 %
Poloniex - CarpeDiemCoin / Bitcoin,"CarpeDiemCoin, Bitcoin",0.00%,Poloniex,$2,$0.00,9.84 %
Poloniex - CarpeDiemCoin / Monero,"CarpeDiemCoin, Monero",0.00%,Poloniex,$19,$0.00,90.16 %
Cryptsy - Cashcoin / Bitcoin,"Cashcoin, Bitcoin",0.00%,Cryptsy,$79,$0.00,100.00 %
Cryptsy - CasinoCoin / Bitcoin,"CasinoCoin, Bitcoin",0.00%,Cryptsy,$47,$0.00,100.00 %
Cryptsy - Catcoin / Bitcoin,"Catcoin, Bitcoin",0.00%,Cryptsy,$4,$0.00,100.00 %
Poloniex - Chancecoin / Bitcoin,"Chancecoin, Bitcoin",0.00%,Poloniex,$0,$0.25,100.00 %
Bittrex - CHCCoin / Bitcoin,"CHCCoin, Bitcoin",0.00%,Bittrex,$6,$0.00,100.00 %
Bittrex - Checkcoin / Bitcoin,"Checkcoin, Bitcoin",0.00%,Bittrex,"$1,350",$0.01,91.02 %
BTER - Checkcoin / Bitcoin,"Checkcoin, Bitcoin",0.00%,BTER,$3,$0.01,0.21 %
C-CEX - Checkcoin / Bitcoin,"Checkcoin, Bitcoin",0.00%,C-CEX,$121,$0.01,8.15 %
Cryptsy - Checkcoin / Bitcoin,"Checkcoin, Bitcoin",0.00%,Cryptsy,$9,$0.01,0.62 %
BTER - CHNCoin / Bitcoin,"CHNCoin, Bitcoin",0.00%,BTER,$2,$0.00,1.47 %
Cryptsy - CHNCoin / Bitcoin,"CHNCoin, Bitcoin",0.00%,Cryptsy,$43,$0.00,29.97 %
BTER - CHNCoin / Chinese Yuan,"CHNCoin, Chinese Yuan",0.00%,BTER,$91,$0.00,63.66 %
Cryptsy - CHNCoin / Litecoin,"CHNCoin, Litecoin",0.00%,Cryptsy,$7,$0.00,4.90 %
Coins-E - Cinni / Bitcoin,"Cinni, Bitcoin",0.00%,Coins-E,$0,$0.05,0.00 %
Crypto-Trade - Cinni / Bitcoin,"Cinni, Bitcoin",0.00%,Crypto-Trade,$1,$0.00,1.15 %
Cryptsy - Cinni / Bitcoin,"Cinni, Bitcoin",0.00%,Cryptsy,$122,$0.00,95.58 %
