Name,Image,Type,Status,Symbol,Platform,Market Capitalization,Price,Available suppy,Volume (17 Oct. '14),More Information,Profile
BBQCoin,https://coinmarketcap.com/static/img/coins/16x16/bbqcoin.png,Cryptocurrency,Minable,BQC,,"$60,379",$0.00,"36,458,386",$11,http://bbqcoin.org/,https://coinmarketcap.com/currencies/bbqcoin/
BetaCoin,https://coinmarketcap.com/static/img/coins/16x16/betacoin.png,Cryptocurrency,Minable,BET,,"$12,298",$0.00,"17,388,102",Low,http://betacoin.org/,https://coinmarketcap.com/currencies/betacoin/
BigBullion,https://coinmarketcap.com/static/img/coins/16x16/bigbullion.png,Cryptocurrency,Minable,BIG,,"$19,052",$0.07,"269,280",$62,http://bigbullion.co,https://coinmarketcap.com/currencies/bigbullion/
BitCentavo,https://coinmarketcap.com/static/img/coins/16x16/bitcentavo.png,Cryptocurrency,Minable,NBE,,$976,$0.00,"843,640,253",$10,http://bitcentavo.com,https://coinmarketcap.com/currencies/bitcentavo/
BitLion,https://coinmarketcap.com/static/img/coins/16x16/bitlion.png,Cryptocurrency,Minable,XBL,,Unknown,$0.00,Unknown,Unknown,http://bitlion.org/,https://coinmarketcap.com/currencies/bitlion/
BitMo,https://coinmarketcap.com/static/img/coins/16x16/bitmo.png,Cryptocurrency,,XBM,,"$1,815",$0.00,"4,746,538",$15,http://bitmo.net,https://coinmarketcap.com/currencies/bitmo/
BitSharesX,https://coinmarketcap.com/static/img/coins/16x16/bitshares-x.png,Cryptocurrency,,BTSX,,"$52,676,332",$0.03,"1,999,883,512","$286,116",http://bitshares-x.info,https://coinmarketcap.com/currencies/bitshares-x/
BitShares PTS,https://coinmarketcap.com/static/img/coins/16x16/bitshares-pts.png,Cryptocurrency,Minable,PTS,,"$5,065,466",$2.88,"1,760,762","$28,754",http://bitshares.org,https://coinmarketcap.com/currencies/bitshares-pts/
BlazeCoin,https://coinmarketcap.com/static/img/coins/16x16/blazecoin.png,Cryptocurrency,Minable,BLZ,,"$1,770",$0.00,"186,854,501",$14,http://blazeco.in/,https://coinmarketcap.com/currencies/blazecoin/
BanxShares,https://coinmarketcap.com/static/img/coins/16x16/banxshares.png,Cryptocurrency,,BANX,,"$2,175,790",$0.84,"2,586,882","$1,174",http://block.banxcapital.com/,https://coinmarketcap.com/currencies/banxshares/
CaliforniaCoin,https://coinmarketcap.com/static/img/coins/16x16/californiacoin.png,Cryptocurrency,Minable,CAC,,$594,$0.00,"2,058,600,050",$18,http://block.thecaliforniacoin.net,https://coinmarketcap.com/currencies/californiacoin/
BeaverCoin,https://coinmarketcap.com/static/img/coins/16x16/beavercoin.png,Cryptocurrency,Minable,BVC,,$995,$0.00,"1,613,608",$20,http://blockchain.beavercoin.org,https://coinmarketcap.com/currencies/beavercoin/
X-Children,https://coinmarketcap.com/static/img/coins/16x16/x-children.png,Cryptocurrency,Minable,CHILD,,"$21,010",$0.02,"1,272,422",$91,http://blockexperts.com/child,https://coinmarketcap.com/currencies/x-children/
Darkpeer,https://coinmarketcap.com/static/img/coins/16x16/darkpeer.png,Cryptocurrency,Minable,DPC,,"$1,753",$0.00,"3,775,303",$22,http://blockexperts.com/dpc,https://coinmarketcap.com/currencies/darkpeer/
Lightspeed,https://coinmarketcap.com/static/img/coins/16x16/lightspeed.png,Cryptocurrency,Minable,LSD,,"$6,248",$0.01,"767,911",$113,http://blockexperts.com/lsd,https://coinmarketcap.com/currencies/lightspeed/
MozzShare,https://coinmarketcap.com/static/img/coins/16x16/mozzshare.png,Cryptocurrency,Minable,MLS,,"$397,279",$0.01,"56,072,160","$1,735",http://blockexperts.com/mls,https://coinmarketcap.com/currencies/mozzshare/
Viking Coin,https://coinmarketcap.com/static/img/coins/16x16/viking-coin.png,Cryptocurrency,Minable,VIK,,"$2,974",$1.29,"2,312",Low,http://blockexperts.com/vik,https://coinmarketcap.com/currencies/viking-coin/
VolatilityCoin,https://coinmarketcap.com/static/img/coins/16x16/volatilitycoin.png,Cryptocurrency,,VLTY,,"$3,088",$0.00,"2,665,439",$33,http://blockexperts.com/vlt,https://coinmarketcap.com/currencies/volatilitycoin/
Bitcoin Scrypt,https://coinmarketcap.com/static/img/coins/16x16/bitcoin-scrypt.png,Cryptocurrency,Minable,BTCS,,"$3,912",$0.00,"9,286,000",Low,http://blocks.btc2.pw/chain/Bitcoin%20sCrypt/,https://coinmarketcap.com/currencies/bitcoin-scrypt/
BlueCoin,https://coinmarketcap.com/static/img/coins/16x16/bluecoin.png,Cryptocurrency,Minable,BLU,,"$41,923",$0.00,"541,329,584",$527,http://bluecoin.info/,https://coinmarketcap.com/currencies/bluecoin/
Bongger,https://coinmarketcap.com/static/img/coins/16x16/bongger.png,Cryptocurrency,Minable,BGR,,$661,$0.00,"197,281,410",$22,http://bongger.com,https://coinmarketcap.com/currencies/bongger/
Boolberry,https://coinmarketcap.com/static/img/coins/16x16/boolberry.png,Cryptocurrency,Minable,BBR,,"$3,106",$0.12,"25,967","$7,346",http://boolberry.com/,https://coinmarketcap.com/currencies/boolberry/
BritCoin,https://coinmarketcap.com/static/img/coins/16x16/britcoin.png,Cryptocurrency,Minable,BRIT,,"$18,955",$0.00,"10,825,202",$74,http://britcoin.io,https://coinmarketcap.com/currencies/britcoin/
GlobalBoost-Y,https://coinmarketcap.com/static/img/coins/16x16/globalboost-y.png,Cryptocurrency,Minable,BSTY,,"$5,670",$0.00,"1,870,379",$217,http://bsty.explorer.ssdpool.com:9095/,https://coinmarketcap.com/currencies/globalboost-y/
Bytecoin (BTE),https://coinmarketcap.com/static/img/coins/16x16/bytecoin-bte.png,Cryptocurrency,Minable,BTE,,Unknown,$0.01,Unknown,Low,http://bte.cryptocoinexplorer.com,https://coinmarketcap.com/currencies/bytecoin-bte/
CryptoBuk,https://coinmarketcap.com/static/img/coins/16x16/cryptobuk.png,Cryptocurrency,Minable,BUK,,"$12,346",$0.01,"896,905",Low,http://buk.cryptocoinexplorer.com/,https://coinmarketcap.com/currencies/cryptobuk/
BunnyCoin,https://coinmarketcap.com/static/img/coins/16x16/bunnycoin.png,Cryptocurrency,Minable,BUNNY,,"$4,006",$0.00,"54,774,808,379",Low,http://bunnycoin.org/,https://coinmarketcap.com/currencies/bunnycoin/
BurnerCoin,https://coinmarketcap.com/static/img/coins/16x16/burnercoin.png,Cryptocurrency,Minable,BURN,,"$6,255",$0.00,"2,181,453",Low,http://burn.blockexplorer.cc/chain/BurnerCoin,https://coinmarketcap.com/currencies/burnercoin/
CacheCoin,https://coinmarketcap.com/static/img/coins/16x16/cachecoin.png,Cryptocurrency,Minable,CACH,,"$1,272",$0.00,"332,373",$51,http://cachecoin.org/,https://coinmarketcap.com/currencies/cachecoin/
CageCoin,https://coinmarketcap.com/static/img/coins/16x16/cagecoin.png,Cryptocurrency,Minable,CAGE,,"$3,123",$0.00,"80,058,305,254",Low,http://cagechain.info/chain/Cagecoin,https://coinmarketcap.com/currencies/cagecoin/
CannabisCoin,https://coinmarketcap.com/static/img/coins/16x16/cannabiscoin.png,Cryptocurrency,Minable,CANN,,"$3,817,483",$0.04,"91,863,135","$108,370",http://cannabiscoin.net,https://coinmarketcap.com/currencies/cannabiscoin/
Cannacoin,https://coinmarketcap.com/static/img/coins/16x16/cannacoin.png,Cryptocurrency,Minable,CCN,,"$148,316",$0.04,"3,667,464","$14,859",http://cannacoin.cc/,https://coinmarketcap.com/currencies/cannacoin/
CAPTcoin,https://coinmarketcap.com/static/img/coins/16x16/captcoin.png,Cryptocurrency,,CAPT,,"$7,224",$0.00,"3,139,290",$71,http://captcoin.com,https://coinmarketcap.com/currencies/captcoin/
Carboncoin,https://coinmarketcap.com/static/img/coins/16x16/carboncoin.png,Cryptocurrency,Minable,CARBON,,"$51,400",$0.00,"14,397,760,993",Low,http://carboncoin.cc,https://coinmarketcap.com/currencies/carboncoin/
CasinoCoin,https://coinmarketcap.com/static/img/coins/16x16/casinocoin.png,Cryptocurrency,Minable,CSC,,"$24,361",$0.00,"29,499,715",$47,http://casinoco.in,https://coinmarketcap.com/currencies/casinocoin/
Pennies,https://coinmarketcap.com/static/img/coins/16x16/pennies.png,Cryptocurrency,Minable,CENT,,Unknown,$0.00,Unknown,$63,http://centcoin.org/,https://coinmarketcap.com/currencies/pennies/
Cryptographic Anomaly,https://coinmarketcap.com/static/img/coins/16x16/cryptographic-anomaly.png,Cryptocurrency,Minable,CGA,,"$1,326",$0.03,"40,931",Low,http://cganomaly.com/,https://coinmarketcap.com/currencies/cryptographic-anomaly/
Cryptogenic Bullion,https://coinmarketcap.com/static/img/coins/16x16/cryptogenic-bullion.png,Cryptocurrency,Minable,CGB,,"$119,758",$0.13,"955,276",$40,http://cgb.holdings/,https://coinmarketcap.com/currencies/cryptogenic-bullion/
Bytecoin (BCN),https://coinmarketcap.com/static/img/coins/16x16/bytecoin-bcn.png,Cryptocurrency,Minable,BCN,,"$2,125,624",$0.00,"163,801,851,968","$6,976",http://chainradar.com/bcn/blocks,https://coinmarketcap.com/currencies/bytecoin-bcn/
Dashcoin,https://coinmarketcap.com/static/img/coins/16x16/dashcoin.png,Cryptocurrency,Minable,DSH,,"$19,403",$0.00,"45,539,474,247",$158,http://chainradar.com/dsh/blocks,https://coinmarketcap.com/currencies/dashcoin/
Fantomcoin,https://coinmarketcap.com/static/img/coins/16x16/fantomcoin.png,Cryptocurrency,Minable,FCN,,"$4,619",$0.00,"1,006,746",$14,http://chainradar.com/fcn/blocks,https://coinmarketcap.com/currencies/fantomcoin/
QuazarCoin,https://coinmarketcap.com/static/img/coins/16x16/quazarcoin.png,Cryptocurrency,Minable,QCN,,"$9,724",$0.01,"942,032",$56,http://chainradar.com/qcn/blocks,https://coinmarketcap.com/currencies/quazarcoin/
DarkNote,https://coinmarketcap.com/static/img/coins/16x16/darknote.png,Cryptocurrency,Minable,XDN,,"$438,525",$0.00,"6,512,340,676","$11,355",http://chainradar.com/xdn/blocks,https://coinmarketcap.com/currencies/darknote/
Chancecoin,https://coinmarketcap.com/static/img/coins/16x16/chancecoin.png,Cryptocurrency,,CHA,,"$128,957",$0.25,"516,550",Low,http://chancecoin.com/,https://coinmarketcap.com/currencies/chancecoin/
CHNCoin,https://coinmarketcap.com/static/img/coins/16x16/chncoin.png,Cryptocurrency,Minable,CNC,,Unknown,$0.00,Unknown,$143,http://chncoin.org/,https://coinmarketcap.com/currencies/chncoin/
CHCCoin,https://coinmarketcap.com/static/img/coins/16x16/chccoin.png,Cryptocurrency,Minable,CHCC,,"$1,545",$0.00,"31,094,206",Low,http://choic.org,https://coinmarketcap.com/currencies/chccoin/
CoinmarketsCoin,https://coinmarketcap.com/static/img/coins/16x16/coinmarketscoin.png,Cryptocurrency,Minable,JBS,,"$27,755",$0.01,"3,299,469",$503,http://coinmarketscoin.com,https://coinmarketcap.com/currencies/coinmarketscoin/
ConcealCoin,https://coinmarketcap.com/static/img/coins/16x16/concealcoin.png,Cryptocurrency,,CNL,,"$2,836",$0.00,"10,026,047",Low,http://concealcoin.pw,https://coinmarketcap.com/currencies/concealcoin/
Conspiracycoin,https://coinmarketcap.com/static/img/coins/16x16/conspiracycoin.png,Cryptocurrency,Minable,CYC,,"$4,732",$0.00,"3,746,921",$72,http://conspiracycoin.org/,https://coinmarketcap.com/currencies/conspiracycoin/
ContinuumCoin,https://coinmarketcap.com/static/img/coins/16x16/continuumcoin.png,Cryptocurrency,Minable,CTM,,"$17,657",$0,"88,538,349,156",Low,http://continuumcoin.com/,https://coinmarketcap.com/currencies/continuumcoin/
CorgiCoin,https://coinmarketcap.com/static/img/coins/16x16/corgicoin.png,Cryptocurrency,Minable,CORG,,"$2,949",$0.00,"82,468,900,621",Low,http://corgicoin.com/,https://coinmarketcap.com/currencies/corgicoin/
CrackCoin,https://coinmarketcap.com/static/img/coins/16x16/crackcoin.png,Cryptocurrency,,CRACK,,"$2,065",$0.00,"6,004,132",$18,http://crackco.in,https://coinmarketcap.com/currencies/crackcoin/
CraftCoin,https://coinmarketcap.com/static/img/coins/16x16/craftcoin.png,Cryptocurrency,Minable,CRC,,Unknown,$0.01,Unknown,$12,http://craftcoin.net/,https://coinmarketcap.com/currencies/craftcoin/
HTMLCOIN,https://coinmarketcap.com/static/img/coins/16x16/htmlcoin.png,Cryptocurrency,Minable,HTML5,,"$81,057",$0.00,"39,760,335,000",$566,http://crawler.htmlcoin.com,https://coinmarketcap.com/currencies/htmlcoin/
CRTCoin,https://coinmarketcap.com/static/img/coins/16x16/crtcoin.png,Cryptocurrency,"Minable, Premined",CRT,,"$5,591",$0.08,"71,213",$247,http://crtcoin.com/,https://coinmarketcap.com/currencies/crtcoin/
CryptCoin,https://coinmarketcap.com/static/img/coins/16x16/cryptcoin.png,Cryptocurrency,Minable,CRYPT,,"$41,302",$0.01,"5,045,661",$941,http://cryptco.org/,https://coinmarketcap.com/currencies/cryptcoin/
Crypti,https://coinmarketcap.com/static/img/coins/16x16/crypti.png,Cryptocurrency,,XCR,,"$352,676",$0.00,"100,000,000",$867,http://crypti.me,https://coinmarketcap.com/currencies/crypti/
PinkCoin,https://coinmarketcap.com/static/img/coins/16x16/pinkcoin.png,Cryptocurrency,,PINK,,"$87,781",$0.00,"364,188,086","$1,588",http://crypto.pink,https://coinmarketcap.com/currencies/pinkcoin/
AurumCoin,https://coinmarketcap.com/static/img/coins/16x16/aurumcoin.png,Cryptocurrency,Minable,AU,,"$1,526",$0.04,"35,733",$287,http://cryptobe.com/chain/AurumCoin,https://coinmarketcap.com/currencies/aurumcoin/
Checkcoin,https://coinmarketcap.com/static/img/coins/16x16/checkcoin.png,Cryptocurrency,Minable,CKC,,"$73,131",$0.01,"14,327,330","$1,485",http://cryptobe.com/chain/CheckCoin,https://coinmarketcap.com/currencies/checkcoin/
RescueCoin,https://coinmarketcap.com/static/img/coins/16x16/rescuecoin.png,Cryptocurrency,Minable,RSCC,,$835,$0.00,"10,918,950",Low,http://cryptobe.com/chain/RescueCoin/,https://coinmarketcap.com/currencies/rescuecoin/
UtilityCoin,https://coinmarketcap.com/static/img/coins/16x16/utilitycoin.png,Cryptocurrency,,UTIL,,"$116,962",$0.03,"3,706,927","$12,049",http://cryptobe.com/chain/UtilityCoin,https://coinmarketcap.com/currencies/utilitycoin/
Credits,https://coinmarketcap.com/static/img/coins/16x16/credits.png,Cryptocurrency,Minable,CR,,"$1,524",$0.00,"323,268,148",Low,http://cryptocredits.org/,https://coinmarketcap.com/currencies/credits/
VorteX,https://coinmarketcap.com/static/img/coins/16x16/vortex.png,Cryptocurrency,Minable,VTX,,"$3,089",$0.00,"897,764",$46,http://cryptocuttlefish.cc/vtx/,https://coinmarketcap.com/currencies/vortex/
Cryptonite,https://coinmarketcap.com/static/img/coins/16x16/cryptonite.png,Cryptocurrency,Minable,XCN,,"$53,905",$0.00,"29,030,371",$198,http://cryptonite.info,https://coinmarketcap.com/currencies/cryptonite/
LemurCoin,https://coinmarketcap.com/static/img/coins/16x16/lemurcoin.png,Cryptocurrency,Minable,LMR,,"$8,243",$0.08,"100,000",$213,http://cryptotrends.info/LMR/,https://coinmarketcap.com/currencies/lemurcoin/
MidasCoin,https://coinmarketcap.com/static/img/coins/16x16/midascoin.png,Cryptocurrency,Minable,MID,,Unknown,$0.00,Unknown,$69,http://cryptotrends.info/MID,https://coinmarketcap.com/currencies/midascoin/
CureCoin,https://coinmarketcap.com/static/img/coins/16x16/curecoin.png,Cryptocurrency,"Minable, Premined",CURE,,"$19,659",$0.01,"1,568,026",$37,http://curecoin.net/,https://coinmarketcap.com/currencies/curecoin/
Datacoin,https://coinmarketcap.com/static/img/coins/16x16/datacoin.png,Cryptocurrency,Minable,DTC,,"$25,888",$0.02,"1,713,492",$15,http://datacoin.info/,https://coinmarketcap.com/currencies/datacoin/
Devcoin,https://coinmarketcap.com/static/img/coins/16x16/devcoin.png,Cryptocurrency,Minable,DVC,,"$323,866",$0.00,"7,903,820,000",$155,http://devcoin.org,https://coinmarketcap.com/currencies/devcoin/
Digitalcoin,https://coinmarketcap.com/static/img/coins/16x16/digitalcoin.png,Cryptocurrency,Minable,DGC,,"$193,842",$0.01,"17,508,028",$186,http://digitalcoin.co,https://coinmarketcap.com/currencies/digitalcoin/
Digit,https://coinmarketcap.com/static/img/coins/16x16/digit.png,Cryptocurrency,Minable,DIG,,"$1,089",$0.00,"21,906,864",Low,http://digitpayment.org/,https://coinmarketcap.com/currencies/digit/
Ringo,https://coinmarketcap.com/static/img/coins/16x16/ringo.png,Cryptocurrency,Minable,RIN,,"$31,872",$0.00,"89,091,018",Low,http://dkwzjw.github.io/ringo,https://coinmarketcap.com/currencies/ringo/
DNotes,https://coinmarketcap.com/static/img/coins/16x16/dnotes.png,Cryptocurrency,Minable,NOTE,,"$489,185",$0.01,"92,181,351","$2,783",http://dnotescoin.com/,https://coinmarketcap.com/currencies/dnotes/
Dogecoin,https://coinmarketcap.com/static/img/coins/16x16/dogecoin.png,Cryptocurrency,Minable,DOGE,,"$24,515,547",$0.00,"94,306,163,777","$275,071",http://dogecoin.com/,https://coinmarketcap.com/currencies/dogecoin/
Doubloons,https://coinmarketcap.com/static/img/coins/16x16/doubloons.png,Cryptocurrency,Minable,DBL,,Unknown,$0.00,Unknown,$11,http://doubloons.net,https://coinmarketcap.com/currencies/doubloons/
eToken,https://coinmarketcap.com/static/img/coins/16x16/etoken.png,Cryptocurrency,Minable,ETOK,,$180,$0.00,"304,607",Unknown,http://e-token.org/,https://coinmarketcap.com/currencies/etoken/
EarthCoin,https://coinmarketcap.com/static/img/coins/16x16/earthcoin.png,Cryptocurrency,Minable,EAC,,"$40,614",$0.00,"4,986,132,648",$121,http://earthcoin.biz/,https://coinmarketcap.com/currencies/earthcoin/
EBTCoin,https://coinmarketcap.com/static/img/coins/16x16/ebtcoin.png,Cryptocurrency,Minable,EBT,,Unknown,$0.00,Unknown,Low,http://ebtcoin.wordpress.com/,https://coinmarketcap.com/currencies/ebtcoin/
Einsteinium,https://coinmarketcap.com/static/img/coins/16x16/einsteinium.png,Cryptocurrency,Minable,EMC2,,"$35,629",$0.00,"145,127,936",$85,http://einsteinium.org/,https://coinmarketcap.com/currencies/einsteinium/
Ekrona,https://coinmarketcap.com/static/img/coins/16x16/ekrona.png,Cryptocurrency,Minable,KRN,,"$3,941",$0.00,"3,668,240",Low,http://ekrona.org/,https://coinmarketcap.com/currencies/ekrona/
Elacoin,https://coinmarketcap.com/static/img/coins/16x16/elacoin.png,Cryptocurrency,Minable,ELC,,"$6,339",$0.02,"392,877",$205,http://elacoin.cc,https://coinmarketcap.com/currencies/elacoin/
ElephantCoin,https://coinmarketcap.com/static/img/coins/16x16/elephantcoin.png,Cryptocurrency,Minable,ELP,,Unknown,$0.00,Unknown,Low,http://elephantcoin.wordpress.com/,https://coinmarketcap.com/currencies/elephantcoin/
EmerCoin,https://coinmarketcap.com/static/img/coins/16x16/emercoin.png,Cryptocurrency,Minable,EMC,,"$332,002",$0.01,"33,400,428",$833,http://emercoin.com/,https://coinmarketcap.com/currencies/emercoin/
Emucoin,https://coinmarketcap.com/static/img/coins/16x16/emucoin.png,Cryptocurrency,Minable,EMU,,"$2,365",$0.00,"43,319,049,189",Low,http://emucoin.info/,https://coinmarketcap.com/currencies/emucoin/
Energycoin,https://coinmarketcap.com/static/img/coins/16x16/energycoin.png,Cryptocurrency,Minable,ENRG,,"$38,731",$0.00,"112,564,638",$956,http://energycoin.pw/,https://coinmarketcap.com/currencies/energycoin/
ESportsCoin,https://coinmarketcap.com/static/img/coins/16x16/esportscoin.png,Cryptocurrency,,ESC,,"$1,115",$0.00,"1,307,265","$10,025",http://esportscoin.info,https://coinmarketcap.com/currencies/esportscoin/
Ethancoin,https://coinmarketcap.com/static/img/coins/16x16/ethancoin.png,Cryptocurrency,,ETHAN,,"$4,131",$0.00,"67,535,492",$292,http://ethancoin.info/,https://coinmarketcap.com/currencies/ethancoin/
Execoin,https://coinmarketcap.com/static/img/coins/16x16/execoin.png,Cryptocurrency,Minable,EXE,,"$17,799",$0.00,"17,769,628",$145,http://execoin.net/,https://coinmarketcap.com/currencies/execoin/
CraigsCoin,https://coinmarketcap.com/static/img/coins/16x16/craigscoin.png,Cryptocurrency,,CRAIG,,"$41,059",$0.00,"30,003,590",$621,http://explorer.craigscoin.info/chain/CraigsCoin,https://coinmarketcap.com/currencies/craigscoin/
Ethercoin,https://coinmarketcap.com/static/img/coins/16x16/ethercoin.png,Cryptocurrency,,ETC,,"$709,189",$0.71,"1,000,000","$4,177",http://explorer.ethercoin.cc/chain/Ethercoin,https://coinmarketcap.com/currencies/ethercoin/
Abundance2,https://coinmarketcap.com/static/img/coins/16x16/abundance2.png,Cryptocurrency,,ABC2,,"$12,518",$0.02,"686,736",$36,http://explorer.qibuck.com/blocks.php?chain=2,https://coinmarketcap.com/currencies/abundance2/
ShadowCash,https://coinmarketcap.com/static/img/coins/16x16/shadowcoin.png,Cryptocurrency,,SDC,,"$470,460",$0.07,"6,440,274","$1,055",http://explorer.sdcoin.co,https://coinmarketcap.com/currencies/shadowcoin/
SocialxBot,https://coinmarketcap.com/static/img/coins/16x16/socialxbot.png,Cryptocurrency,,XBOT,,"$9,873",$0.01,"1,074,409",$181,http://explorer.socialxbot.com,https://coinmarketcap.com/currencies/socialxbot/
Solcoin,https://coinmarketcap.com/static/img/coins/16x16/solcoin.png,Cryptocurrency,Minable,SOL,,"$125,279",$0.00,"226,116,060","$35,536",http://explorer.solcoin.net/chain/Solcoin,https://coinmarketcap.com/currencies/solcoin/
Trollcoin,https://coinmarketcap.com/static/img/coins/16x16/trollcoin.png,Cryptocurrency,Minable,TRL,,"$15,680",$0.00,"4,133,930,001",$49,http://explorer.trollcoinbase.com:2750/chain/TrollCoin,https://coinmarketcap.com/currencies/trollcoin/
Extremecoin,https://coinmarketcap.com/static/img/coins/16x16/extremecoin.png,Cryptocurrency,Minable,EXC,,Unknown,$0.01,Unknown,$16,http://extremecoin.org/,https://coinmarketcap.com/currencies/extremecoin/
Faircoin,https://coinmarketcap.com/static/img/coins/16x16/faircoin.png,Cryptocurrency,,FAIR,,"$284,563",$0.01,"50,722,929",Unknown,http://fair-coin.org/,https://coinmarketcap.com/currencies/faircoin/
Feathercoin,https://coinmarketcap.com/static/img/coins/16x16/feathercoin.png,Cryptocurrency,Minable,FTC,,"$2,113,958",$0.04,"58,175,330","$12,020",http://feathercoin.com,https://coinmarketcap.com/currencies/feathercoin/
FedoraCoin,https://coinmarketcap.com/static/img/coins/16x16/fedoracoin.png,Cryptocurrency,Minable,TIPS,,"$70,687",$0.00,"280,846,322,360","$1,166",http://fedoraco.in/,https://coinmarketcap.com/currencies/fedoracoin/
FlappyCoin,https://coinmarketcap.com/static/img/coins/16x16/flappycoin.png,Cryptocurrency,Minable,FLAP,,"$13,139",$0.00,"56,230,509,048",$77,http://flappycoin.info/,https://coinmarketcap.com/currencies/flappycoin/
FoxCoin,https://coinmarketcap.com/static/img/coins/16x16/foxcoin.png,Cryptocurrency,Minable,FOX,,$261,$0.00,"44,707,628",Unknown,http://foxcoin.info/,https://coinmarketcap.com/currencies/foxcoin/
Fractalcoin,https://coinmarketcap.com/static/img/coins/16x16/fractalcoin.png,Cryptocurrency,Minable,FRAC,,"$2,556",$0.00,"735,422",Low,http://fractalco.in/,https://coinmarketcap.com/currencies/fractalcoin/
Franko,https://coinmarketcap.com/static/img/coins/16x16/franko.png,Cryptocurrency,Minable,FRK,,"$12,950",$0.04,"290,140",$30,http://frankos.org,https://coinmarketcap.com/currencies/franko/
Freicoin,https://coinmarketcap.com/static/img/coins/16x16/freicoin.png,Cryptocurrency,Minable,FRC,,"$99,275",$0.00,"45,962,594",$371,http://freico.in,https://coinmarketcap.com/currencies/freicoin/
