Player,Team(s) when fined/suspended,Role when fined/suspended,Number of fines,Days of suspensions,Fined Amount,Age first fine (approximate),Date first fine,Date of Birth,Biography,Wikipedia Profile,Image
Maurice Purify,Cincinnati Bengals,Wide Receiver,1,1,$0,24.6,30/08/2010,17/01/1986,"Maurice Purify (born January 17, 1986) is an American football wide receiver for the Arizona Rattlers of the Arena Football League (AFL). He was signed by the Cincinnati Bengals as an undrafted free agent in 2008. He played college football at Nebraska .",http://en.wikipedia.org/wiki/Maurice_Purify,
Nick Miller,St. Louis Rams,Wide Receiver,1,4,$0,24.9,15/02/2012,29/03/1987,"Nickelous ""Nick"" Miller (born March 29, 1987 in Mesa, Arizona ) is a former American football wide receiver . He was signed by the Oakland Raiders as an undrafted free agent in 2009. He played college football at Southern Utah .",http://en.wikipedia.org/wiki/Nick_Miller_(American_football),//upload.wikimedia.org/wikipedia/commons/8/83/Nick_Miller_%28American_football%29.JPG
Pat Williams,Minnesota Vikings,Defensive Tackle,1,2,$0,38.9,03/09/2011,24/10/1972,"Patrick ""Pat"" Williams Sr. (born October 24, 1972) is a former American football defensive tackle who played in the National Football League (NFL) for fourteen seasons. He played college football for Texas A&M University . He was signed by the Buffalo Bills as an undrafted free agent in 1997. Williams also played for the Minnesota Vikings . He was a three-time Pro Bowl selection.",http://en.wikipedia.org/wiki/Pat_Williams_(American_football),//upload.wikimedia.org/wikipedia/commons/3/3c/Pat_Williams_at_2009_Pro_Bowl.jpg
Ramon Humber,New Orleans Saints,Inside Linebacker,1,3,$0,24.8,07/06/2012,10/08/1987,"Ramon Humber (born August 10, 1987) is an American football linebacker for the New Orleans Saints of the National Football League (NFL). He was signed by the Indianapolis Colts as an undrafted free agent in 2009. He attended Champlin Park High School in Brooklyn Park, Minnesota , then played college football at North Dakota State . ",http://en.wikipedia.org/wiki/Ramon_Humber,
Taitusi Lutui,Tennessee Titans,Guard,1,4,$0,29.9,13/03/2013,05/05/1983,"Taitusi ""Deuce"" Lutui (born May 5, 1983) is a Tongan -born former American football player who was a guard in the National Football League (NFL) for seven seasons. He played college football for the University of Southern California (USC), and received consensus All-American honors. He was selected by the Arizona Cardinals in the second round of the 2006 NFL Draft , and also played for the NFL's Tennessee Titans . One of several Tongans who have played in the NFL, he is a cousin of Vai Sikahema , the first Tongan ever to play in the NFL.",http://en.wikipedia.org/wiki/Taitusi_Lutui,//upload.wikimedia.org/wikipedia/commons/2/29/Deuce_Lutui_2009_Pros_vs._GI_Joes_Sept._22%2C_2009.jpg
Tim Couch,Green Bay Packers,Quarterback,1,6,$0,30.2,05/10/2007,31/07/1977,"Timothy Scott Couch (born July 31, 1977) is a former American college and professional football player who was a quarterback in the National Football League (NFL) for five seasons. He played college football for the University of Kentucky and earned All-America honors. He was selected first overall by the Cleveland Browns in the 1999 NFL Draft , and he threw for over 11,000 passing yards during his NFL career.",http://en.wikipedia.org/wiki/Tim_Couch,
Tom Zbikowski,Chicago Bears,Safety,1,2,$0,28.3,13/09/2013,22/05/1985,"Thomas Michael Zbikowski (born May 22, 1985) is a former American football safety . He is also a professional boxer . He was drafted by the Baltimore Ravens in the third round (86th overall) of the 2008 NFL Draft . He earned All-American honors playing college football for the University of Notre Dame from 2003 to 2007.",http://en.wikipedia.org/wiki/Tom_Zbikowski,//upload.wikimedia.org/wikipedia/commons/7/7c/Tommy_Zbikowski.jpg
Robaire Smith,Tennessee Titans,Defensive Tackle,1,0,$600,26.0,15/11/2003,15/11/1977,"Robaire Fredrick Smith (born November 15, 1977) is a former American football player.",http://en.wikipedia.org/wiki/Robaire_Smith,
Kevin McCadam,Atlanta Falcons,Safety,1,0,"$1,000",26.5,15/09/2005,06/03/1979,"Kevin Edward McCadam (born March 6, 1979 in La Mesa, California ) is an American football safety in the National Football League who is a Free agent . He was drafted by the Atlanta Falcons in the fifth round (148th overall) of the 2002 NFL Draft . He graduated from Virginia Tech after playing college football at Grossmont College and Colorado State University . He attended El Capitan High School in Lakeside, California (1997).",http://en.wikipedia.org/wiki/McCadam,
Allen Rossum,Atlanta Falcons,Cornerback,1,0,"$2,500",29.9,15/09/2005,22/10/1975,"Allen Bonshaca Lamont Rossum (born October 22, 1975) is a retired American football cornerback and return specialist . He was drafted by the Philadelphia Eagles in the third round of the 1998 NFL Draft . He played college football at Notre Dame .",http://en.wikipedia.org/wiki/Allen_Rossum,//upload.wikimedia.org/wikipedia/commons/f/fa/Allen_Rossum_in_2006.jpg
Jason Short,Philadelphia Eagles,Linebacker,1,0,"$2,500",27.2,15/09/2005,16/07/1978,"Jason Michael Short (born July 16, 1978) is a retired American football linebacker in the National Football League . He played college football at Eastern Michigan University .",http://en.wikipedia.org/wiki/Jason_Short,
Keion Carpenter,Atlanta Falcons,Safety,1,0,"$2,500",27.9,15/09/2005,31/10/1977,"Keion Eric Carpenter (born October 31, 1977 in Baltimore , Maryland ) is a former American football defensive back . He played for the Buffalo Bills and the Atlanta Falcons of the National Football League .",http://en.wikipedia.org/wiki/Keion_Carpenter,
Keith Adams,Philadelphia Eagles,Linebacker,1,0,"$2,500",25.8,15/09/2005,22/11/1979,"Keith A. Adams (born November 22, 1979) is an American former college and professional football player who was a linebacker in the National Football League (NFL) for seven seasons. He played college football for Clemson University , and received consensus All-American honors. The Tennessee Titans chose him in the seventh round of the 2001 NFL Draft , and he played professionally for the Dallas Cowboys , Philadelphia Eagles , Miami Dolphins and Cleveland Browns of the NFL.",http://en.wikipedia.org/wiki/Keith_Adams_(American_football),
Mike Labinjo,Philadelphia Eagles,Linebacker,1,0,"$2,500",25.2,15/09/2005,08/07/1980,"Mike Labinjo aka ""Binjo"" (born July 8, 1980) is a former professional Canadian football defensive end for the Calgary Stampeders of the Canadian Football League .",http://en.wikipedia.org/wiki/Mike_Labinjo,
Adam Koets,New York Giants,Tackle,1,0,"$5,000",26.7,01/10/2010,07/01/1984,"Adam Koets ( /ˈkoʊts/ ; born January 7, 1984 in Santa Ana, California ) is a former American football offensive tackle . He was drafted by the Giants in the sixth round of the 2007 NFL Draft . He played college football at Oregon State .",http://en.wikipedia.org/wiki/Adam_Koets,//upload.wikimedia.org/wikipedia/commons/7/70/AdamKoets.JPG
Al Harris,Green Bay Packers,Cornerback,1,0,"$5,000",34.9,06/11/2009,07/12/1974,"Alshinard ""Al"" Harris (born December 7, 1974) is an American football coach and former cornerback . Harris played for fourteen seasons in the National Football League (NFL) from 1998 to 2011. He is currently the defensive backs coach for the Kansas City Chiefs . Harris played for the Tampa Bay Buccaneers , Philadelphia Eagles , Green Bay Packers , Miami Dolphins and St. Louis Rams . He was selected for the Pro Bowl after his 2006 and 2007 seasons in Green Bay. The AP also named him a second-team All-Pro in 2007.",http://en.wikipedia.org/wiki/Al_Harris_(cornerback),//upload.wikimedia.org/wikipedia/commons/2/22/Al_Harris_%28Packers_CB%2C_2006%29.jpg
Alan Ball,Dallas Cowboys,Cornerback,1,0,"$5,000",24.6,16/10/2009,29/03/1985,"Alan Sheffield Ball (born March 29, 1985) is an American football cornerback for the Jacksonville Jaguars of the National Football League . He was drafted by the Dallas Cowboys in the seventh round of the 2007 NFL Draft . He played college football at Illinois . Ball has also played for the Houston Texans and the Jacksonville Jaguars .",http://en.wikipedia.org/wiki/Alan_Ball_(American_football),
Alex Mack,Cleveland Browns,Center,1,0,"$5,000",24.8,24/09/2010,19/11/1985,"Javon Alexander ""Alex"" Mack (born November 19, 1985) is an American football center for the Cleveland Browns of the National Football League (NFL). He played college football for the University of California , and was drafted by the Cleveland Browns 21st overall in the 2009 NFL Draft .",http://en.wikipedia.org/wiki/Alex_Mack,//upload.wikimedia.org/wikipedia/commons/5/50/Alex_Mack_at_March_to_Victory_10-25-08.JPG
Antuan Edwards,Green Bay Packers,Safety,1,0,"$5,000",25.6,13/12/2002,26/05/1977,"Antuan Edwards (born May 26, 1977 in Starkville , Mississippi ) is a retired American football player. He played safety in the National Football League . Edwards was drafted by the Green Bay Packers in the first round (25th overall) of the 1999 NFL Draft out of Clemson University .",http://en.wikipedia.org/wiki/Antuan_Edwards,
Antwan Barnes,San Diego Chargers,Outside Linebacker,1,0,"$5,000",26.0,22/10/2010,19/10/1984,"Antwan Edward Barnes (born October 19, 1984) is an American football outside linebacker who is currently a free agent. He was drafted by the Baltimore Ravens in the fourth round of the 2007 NFL Draft . He played college football at Florida International .",http://en.wikipedia.org/wiki/Antwan_Barnes,//upload.wikimedia.org/wikipedia/commons/f/f4/Antwan_Barnes.JPG
Arian Foster,Houston Texans,Running Backs,1,0,"$5,000",24.1,17/09/2010,24/08/1986,"Arian Isa Foster (born August 24, 1986) is an American football running back for the Houston Texans of the National Football League (NFL). He played college football for the University of Tennessee . He was signed by the Texans as an undrafted free agent in 2009, and was added to their active roster from the practice squad on November 17, 2009. Foster is known for his vision in finding rushing lanes and his signature Namaste bow, which he frequently performs after scoring touchdowns. Foster holds the Texans franchise records for rushing yards and rushing touchdowns. He is considered one of the best running backs in the league. ",http://en.wikipedia.org/wiki/Arian_Foster,//upload.wikimedia.org/wikipedia/commons/f/f3/Arian_Foster.jpg
Arthur Jones,Baltimore Ravens,Defensive Tackle,1,0,"$5,000",24.2,18/08/2010,03/06/1986,"Arthur Willis Jones III (born June 3, 1986) is an American football defensive end for the Indianapolis Colts of the National Football League. He was drafted by the Baltimore Ravens in the fifth round of the 2010 NFL Draft. He played college football at Syracuse. He is also the older brother of UFC Light Heavyweight Champion Jon Jones, and New England Patriots defensive end, Chandler Jones. ",http://en.wikipedia.org/wiki/Arthur_Jones_(American_football),//upload.wikimedia.org/wikipedia/commons/6/62/Arthur_Jones_%28American_football%29.JPG
Artis Hicks,Minnesota Vikings,Guard,1,0,"$5,000",30.9,16/10/2009,28/11/1978,"Artis Hicks (born November 28, 1978) is an American football guard for the Miami Dolphins of the National Football League . He was signed by the Philadelphia Eagles as an undrafted free agent in 2002. He played college football at Memphis .",http://en.wikipedia.org/wiki/Artis_Hicks,
Barrett Green,New York Giants,Linebacker,1,0,"$5,000",26.9,01/10/2004,29/10/1977,"Barrett Nicholas Green (born October 29, 1977) is a former professional American football linebacker in the National Football League . He played college football for West Virginia and was drafted in the second round (50th overall) by the Detroit Lions in the 2000 NFL Draft .",http://en.wikipedia.org/wiki/Barrett_Green,
Benny Sapp,Minnesota Vikings,Cornerback,1,0,"$5,000",28.9,05/12/2008,20/01/1980,"Benjamin Lee Sapp, II (born January 20, 1981 in Ft. Lauderdale, Florida ) is an American football cornerback who is currently a free agent . He was signed by the Kansas City Chiefs as an undrafted free agent in 2004. He played college football at Northern Iowa .",http://en.wikipedia.org/wiki/Benny_Sapp,//upload.wikimedia.org/wikipedia/commons/4/4f/Benny_Sapp.jpg
Brodney Pool,Cleveland Browns,Safety,1,0,"$5,000",23.3,23/09/2007,24/05/1984,"Brodney Depaul Pool (born May 24, 1984) is an American football safety who is currently a free agent . He played college football at Oklahoma and was drafted by the Cleveland Browns in the second round of the 2005 NFL Draft .",http://en.wikipedia.org/wiki/Brodney_Pool,
Chris Gardocki,Cleveland Browns,Punter,1,0,"$5,000",32.6,12/09/2002,07/02/1970,"Christopher Allen Gardocki (born February 7, 1970) is a former punter in the National Football League . Gardocki played for the Chicago Bears , Indianapolis Colts , Cleveland Browns , and Pittsburgh Steelers from 1991 to 2006. He was a member of the Steelers Super Bowl XL championship team.",http://en.wikipedia.org/wiki/Chris_Gardocki,//upload.wikimedia.org/wikipedia/commons/2/22/Chris_Gardocki.jpg
Chris Hovan,Minnesota Vikings,Defensive Tackle,1,0,"$5,000",24.5,21/11/2002,12/05/1978,"Christopher James Hovan (born May 12, 1978) is an arena football coach and former defensive tackle who is the defensive line coach for the Tampa Bay Storm of the Arena Football League (AFL). He played college football at Boston College , and was an National Football League (NFL) defensive tackle from 2000 to 2010. He was drafted by the Minnesota Vikings in the first round of 2000 NFL Draft .",http://en.wikipedia.org/wiki/Chris_Hovan,//upload.wikimedia.org/wikipedia/commons/3/34/Chris_Hovan_2006.jpg
Chris Walsh,Minnesota Vikings,Wide Receiver,1,0,"$5,000",34.0,13/12/2002,12/12/1968,"Christopher Lee Walsh (born December 12, 1968 in Cleveland, Ohio ) is a former American football wide receiver who played 11 seasons in the National Football League for the Buffalo Bills and Minnesota Vikings . He played college football at Stanford University . Nicknamed the undertaker, he once played an entire game with a broken jaw. He also was known for giving back to the community by visiting with fans & signing autographs at local Minnesota McDonald's restaurants.",http://en.wikipedia.org/wiki/Chris_Walsh_(American_football),
Clint Session,Indianapolis Colts,Linebacker,1,0,"$5,000",25.1,06/11/2009,22/09/1984,"Clint Session (born September 22, 1984) is an American football linebacker who is currently a free agent in the National Football League . He was drafted by the Indianapolis Colts in the fourth round of the 2007 NFL Draft . He also played for the Jacksonville Jaguars for two seasons before being waived near the end of the 2012 NFL season after rarely playing for the team due to lingering concussions. He played college football at Pittsburgh .",http://en.wikipedia.org/wiki/Clint_Session,
Clinton Portis,Washington Redskins,Running Backs,1,0,"$5,000",23.3,11/12/2004,01/09/1981,"Clinton Earl Portis (born September 1, 1981) is a former American football running back who played in the National Football League (NFL) for nine seasons. He played college football for the University of Miami . He was drafted by the Denver Broncos in the second round of the 2002 NFL Draft . Portis is best known for being the starting running back for the Washington Redskins for seven seasons in which he gained an average of 81.2 yards rushing per game, for which a select panel of celebrities included him on a list of the best Redskins in history .",http://en.wikipedia.org/wiki/Clinton_Portis,//upload.wikimedia.org/wikipedia/commons/1/1f/Clinton_portis_2011.jpg
Danario Alexander,St. Louis Rams,Wide Receiver,1,0,"$5,000",23.1,30/09/2011,07/08/1988,"Danario Alexander (born August 7, 1988) is an American football wide receiver who is currently a free agent . While considered by some to be a prime wide receiver prospect for the 2010 NFL Draft , Alexander was not drafted. On August 22, 2010, the St. Louis Rams signed Alexander promoted him to the active roster on October 11. On August 27, 2012, Alexander was cut by the team. ",http://en.wikipedia.org/wiki/Danario_Alexander,//upload.wikimedia.org/wikipedia/commons/8/89/Danario_Alexander.JPG
Daniel Graham,Tennessee Titans,Tight End,1,0,"$5,000",32.9,28/09/2011,16/11/1978,"Daniel Lawrence Graham (born November 16, 1978) is a former American football tight end in the National Football League (NFL). He played college football for the University of Colorado , and was recognized as a consensus All-American . He was drafted by the New England Patriots in the first round of the 2002 NFL Draft , and also played professionally for the Denver Broncos , Tennessee Titans and New Orleans Saints .",http://en.wikipedia.org/wiki/Daniel_Graham,//upload.wikimedia.org/wikipedia/commons/5/55/Daniel_Graham_2010.JPG
Dave Ball,Tennessee Titans,Defense,1,0,"$5,000",29.8,22/10/2010,04/01/1981,"David Stewart Ball (born January 4, 1981) is an American former college and professional football player who was a defensive end in the National Football League (NFL) for eight seasons. He played college football for the University of California, Los Angeles (UCLA), and earned unanimous All-American honors. He was drafted by the San Diego Chargers in the fifth round of the 2004 NFL Draft , and has also played for the New York Jets and Tennessee Titans of the NFL.",http://en.wikipedia.org/wiki/Dave_Ball_(defensive_end),
David Diehl,New York Giants,Right Tackle,1,0,"$5,000",30.0,01/10/2010,15/09/1980,"David Diehl ( /ˈdiːl/ ; born September 15, 1980) is a former American football offensive lineman who played his entire career with the New York Giants of the National Football League . He was the Giants starting left guard on two Superbowl championship teams. He played college football for the University of Illinois . The Giants selected him in the fifth round of the 2003 NFL Draft .",http://en.wikipedia.org/wiki/David_Diehl,//upload.wikimedia.org/wikipedia/commons/d/de/%21Daved.JPG
Donald Driver,Green Bay Packers,Wide Receiver,1,0,"$5,000",28.9,19/12/2003,02/02/1975,"Donald Jerome Driver (born February 2, 1975) is a retired American football wide receiver , New York Times bestselling author and season 14 Dancing with the Stars champion. After playing college football for Alcorn State University , Driver was picked by the Green Bay Packers in the seventh round of the 1999 NFL Draft . Driver spent his entire 14-season National Football League (NFL) career with the Packers and holds the franchise's all-time records for most career receptions and receiving yards.",http://en.wikipedia.org/wiki/Donald_Driver,//upload.wikimedia.org/wikipedia/commons/8/8a/Donald_Driver%2C_Disney_Social_Media_Moms_Conference%2C_2014.jpg
Dwayne Rudd,Cleveland Browns,Linebacker,1,0,"$5,000",26.6,12/09/2002,03/02/1976,"Dwayne Rudd (born February 3, 1976) is a retired American football linebacker who played in the National Football League . During his career he played for the Minnesota Vikings , the Cleveland Browns and the Tampa Bay Buccaneers . Rudd was a teammate of Pittsburgh Steelers cornerback Deshea Townsend in both high school and college , at South Panola High School and the University of Alabama , respectively. Derek Pegues , a South Panola alum and an All- SEC Defensive Back for Mississippi State , is his cousin.",http://en.wikipedia.org/wiki/Dwayne_Rudd,
Eric Weems,Atlanta Falcons,Wide Receiver,1,0,"$5,000",23.2,31/08/2008,04/07/1985,"Eric Grant Weems (born July 4, 1985) is an American football wide receiver , special teamer , and return specialist for the Atlanta Falcons . He played college football at Bethune-Cookman and was signed by the Atlanta Falcons as an undrafted free agent in 2007.",http://en.wikipedia.org/wiki/Eric_Weems,//upload.wikimedia.org/wikipedia/en/0/03/Eric_Weems_with_Atlanta_Falcons.jpg
Eugene Wilson,Houston Texans,Cornerback,1,0,"$5,000",29.2,14/11/2009,17/08/1980,"Eugene W. Wilson, II (born August 17, 1980) is a former American football Safety . He played college football at Illinois and was drafted by the New England Patriots in the second round of the 2003 NFL Draft .",http://en.wikipedia.org/wiki/Eugene_Wilson_(American_football),//upload.wikimedia.org/wikipedia/commons/a/a6/Eugenewilson.jpg
Frank Trotter,Philadelphia Eagles,Defense,1,0,"$5,000",,15/09/2005,,,,
Grant Wistrom,St. Louis Rams,Defense,1,0,"$5,000",27.5,19/12/2003,03/07/1976,"Grant Alden Wistrom (born July 3, 1976) is a former American college and professional football player who was a defensive end in the National Football League (NFL) for nine seasons. Wistrom played college football for the University of Nebraska and was a two-time All-American . He was drafted in the first round of the 1998 NFL Draft , and played professionally for the St. Louis Rams and Seattle Seahawks of the NFL.",http://en.wikipedia.org/wiki/Grant_Wistrom,
Izell Reese,Denver Broncos,Safety,1,0,"$5,000",28.4,20/09/2002,07/05/1974,"Izell Reese (born May 7, 1974 in Fort Lauderdale , Florida ) is a former professional American football safety in the National Football League , who played seven seasons for the Dallas Cowboys , the Buffalo Bills , and the Denver Broncos . He played college football at the University of Alabama at Birmingham .",http://en.wikipedia.org/wiki/Izell_Reese,
Jacob Ford,Tennessee Titans,Defense,1,0,"$5,000",26.2,16/10/2009,20/07/1983,"Jacob Ford (born July 20, 1983 in Memphis, Tennessee ) is a former American football defensive end . He was originally selected by the Tennessee Titans as the 204th overall pick in the 6th round of the 2007 NFL Draft . He played college football at Central Arkansas . PRO: Now in his fifth NFL season, former sixth-round draft pick Jacob Ford is one of the most established pass rushers on the squad. From 2008 through 2010, no other Titans defender had more than Ford’s 15.5 total sacks. The athletically-gifted Ford was one of the fastest defensive ends available in the 2007 rookie pool, but his talents were only briefly on display for the Titans before a left Achilles’ injury in his first training camp resulted in his placement on injured reserve. He returned from the injury in 2008 to post seven sacks and followed that with a team-high 5.5 sacks in 2009 and three sacks in 2010.",http://en.wikipedia.org/wiki/Jacob_Ford,
Jake Plummer,Denver Broncos,Quarterback,1,0,"$5,000",30.0,18/12/2004,19/12/1974,"Jason Steven ""Jake"" Plummer (born December 19, 1974) is a former professional football player, a quarterback for ten seasons in the National Football League (NFL). He was selected by the Arizona Cardinals in the second round of the 1997 NFL Draft , and spent his first six seasons with the Cardinals and the last four with the Denver Broncos . Plummer played college football at Arizona State University .",http://en.wikipedia.org/wiki/Jake_Plummer,//upload.wikimedia.org/wikipedia/commons/6/6d/Jake_Plummer_%28cropped%29.jpg
Jamie Winborn,Denver Broncos,Linebacker,1,0,"$5,000",29.4,24/10/2008,14/05/1979,"Jamie Winborn (born May 14, 1979 in Wetumpka, Alabama ) is a former American football linebacker . He was drafted by the San Francisco 49ers in the second round of the 2001 NFL Draft . He played college football at Vanderbilt .",http://en.wikipedia.org/wiki/Jamie_Winborn,
Johnny Jolly,Green Bay Packers,Defense,2,48,"$5,000",26.7,06/11/2009,21/02/1983,"Johnny Ray Jolly, Jr. (born February 21, 1983) is an American football defensive end . He has previously played for the Green Bay Packers . He was drafted in the sixth round (183rd overall) of the 2006 NFL Draft out of Texas A&M University .",http://en.wikipedia.org/wiki/Johnny_Jolly,//upload.wikimedia.org/wikipedia/commons/a/a4/Johnny_Jolly_2007.jpg
Jon Kitna,Cincinnati Bengals,Quarterback,1,0,"$5,000",31.2,19/12/2003,21/09/1972,"Jon Kelly Kitna (born September 21, 1972) is a semi-retired American football quarterback who last played for the National Football League (NFL) Dallas Cowboys . After playing college football for Central Washington University , he signed with the Seattle Seahawks in 1996 and was allocated to the Barcelona Dragons of NFL Europe in 1997. He led the Dragons to a World Bowl championship, and became the starting quarterback for the Seahawks in 1998 after spending the 1997 and most of the 1998 seasons as the backup to Warren Moon . Following a four-year stint with Seattle, Kitna signed with the Cincinnati Bengals in 2001 . He played for the Bengals from 2001 to 2005 as their starting quarterback, and, later, the mentor to Carson Palmer . He was a member of the Detroit Lions from 2006 to 2008, and the Dallas Cowboys from 2009 to 2011. Kitna was re-signed by the Cowboys as a third string quarterback on December 24, 2013.",http://en.wikipedia.org/wiki/John_Kitna,//upload.wikimedia.org/wikipedia/commons/6/65/Jon_Kitna_2010.jpg
Kareem McKenzie,New York Giants,Tackle,1,0,"$5,000",31.4,01/10/2010,24/05/1979,"Kareem Michael McKenzie (born May 24, 1979) is an American football offensive tackle .",http://en.wikipedia.org/wiki/Kareem_McKenzie,//upload.wikimedia.org/wikipedia/commons/2/25/Kareem_McKenzie_at_2007_Giants_training_camp.jpg
Kendrick Lewis,Kansas City Chiefs,Safety,1,0,"$5,000",22.3,24/09/2010,16/06/1988,"Kendrick Lewis (born June 16, 1988) is an American football safety for the Houston Texans of the National Football League (NFL). He was drafted by the Kansas City Chiefs in the fifth round of the 2010 NFL Draft . He played college football at the University of Mississippi .",http://en.wikipedia.org/wiki/Kendrick_Lewis,//upload.wikimedia.org/wikipedia/commons/8/8f/Kendrick_Lewis_2014.JPG
Kenny Mixon,Minnesota Vikings,Defense,1,0,"$5,000",28.5,28/11/2003,31/05/1975,"Kenneth Jermaine Mixon (born May 31, 1975 in Sun Valley, California ) is a former NFL defensive end for the Minnesota Vikings and the Miami Dolphins .",http://en.wikipedia.org/wiki/Kenny_Mixon,
Kerry Rhodes,New York Jets,Safety,1,0,"$5,000",27.3,04/12/2009,02/08/1982,"Kerry Rhodes (born August 2, 1982) is an American football safety who is currently a free agent . He was drafted by the New York Jets in the fourth round of the 2005 NFL Draft , and most recently played for the Arizona Cardinals in 2012 . Rhodes was named to All-Pro teams by three publications after the 2006 NFL season . He played college football at Louisville .",http://en.wikipedia.org/wiki/Kerry_Rhodes,//upload.wikimedia.org/wikipedia/commons/2/2e/Kerry_Rhodes_2008_%28cropped%29.jpg
