Name,Brand,Decade,Image.src,Find more here
Alexander O’neal Photo Christmas Album (1988),Alexander O’Neal,1980,http://file.vintageadbrowser.com/n0l5905k45wugi.jpg,http://www.vintageadbrowser.com/xmas-ads-1980s
Almond Roca Candy Santa Christmas to Remember (1947),Almond Roca,1940,http://file.vintageadbrowser.com/prfe9h7nau08gh.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/13
Amaretto Di Saronno Liqueur Christmas Holiday (1985),Amaretto Di Saronno,1980,http://file.vintageadbrowser.com/p7mc8t7qwvgs2k.jpg,http://www.vintageadbrowser.com/xmas-ads-1980s/2
American Airline’s Gift certificate – Santa always goes by air – So take his timely tip: There is no finer Xmas gift than an American Flagship trip (1947),American Airline,1940,http://file.vintageadbrowser.com/yc8l0bvnyng2zv.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/3
American Airline’s Holiday / Business Travel – More important than saving money this Christmas (1953),American Airline,1950,http://file.vintageadbrowser.com/9ipb0bduoqzet7.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/2
American Airlines Christmas – System Map (1940),American Airline,1940,http://file.vintageadbrowser.com/aem1aha9oh9ijo.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/6
Christmas Santa Elves American Express (1979),American Express,1970,http://file.vintageadbrowser.com/8zliu0vbm25drf.jpg,http://www.vintageadbrowser.com/xmas-ads-1970s/2
American Greeting Christmas Cards (1945),American Greeting,1940,http://file.vintageadbrowser.com/3g505v3o4fk7tw.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/15
American Made Toys: Santa’s Partner,American Made Toys,1920,http://file.vintageadbrowser.com/mq98hbr9bn8sut.jpg,http://www.vintageadbrowser.com/xmas-ads-1920s/2
"AMF Christmas gift idea ads Voit, Roadmaster, Bowling, more (1961)",AMF,1960,http://file.vintageadbrowser.com/z1khtg9gilitoj.jpg,http://www.vintageadbrowser.com/xmas-ads-1960s/2
AMF Roadmaster Luxury Liner Bicycle (1952),AMF,1950,http://file.vintageadbrowser.com/an9lhu6gc9y718.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/3
Ancient Age Christmas Whiskey – Look For AA (1948),Ancient Age,1940,http://file.vintageadbrowser.com/yj52aoqe2yr8pd.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/15
Apsco Midget Pencil Sharpener (1951),Apsco,1950,http://file.vintageadbrowser.com/ewn15t0r7ugiyr.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/9
"Arrow Shirts Ad ""Christmas Shopping For.. (1952)",Arrow,1950,http://file.vintageadbrowser.com/zrub15f0mqz0u8.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/6
Arrow Shirts Christmas – Sold (1948),Arrow,1940,http://file.vintageadbrowser.com/bp73a54bhui73q.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/16
Arrow Shirts Christmas for Big Boys (1940),Arrow,1940,http://file.vintageadbrowser.com/ua8fa8zjeojcyr.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/3
Arrow Shirts Christmas with Snowman (1951),Arrow,1950,http://file.vintageadbrowser.com/1wwyejuxunlmvk.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/4
John Falter Art Arrow Shirt Christmas Fashion (1948),Arrow,1940,http://file.vintageadbrowser.com/smff9hgne1820n.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s
Arvin Good things for the home. Christmas theme (1949),Arvin,1940,http://file.vintageadbrowser.com/ty1lh0satjtwhr.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/10
"Atwater Kent Radio, Radios, USA (1920)",Atwater,1920,http://file.vintageadbrowser.com/53hwcdcdhn8v1z.jpg,http://www.vintageadbrowser.com/xmas-ads-1920s
Avon (1947),Avon,1940,http://file.vintageadbrowser.com/ewt92yq5000lgt.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/15
Avon (1950),Avon,1950,http://file.vintageadbrowser.com/8jzfhmikrzmceh.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/9
"Old , Avon’s Gift Window, Xmas (1950)",Avon,1950,http://file.vintageadbrowser.com/0gc7ze8fvorl8y.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/5
Christmas Tree Crockwell Art Avondale Mills (1948),Avondale,1940,http://file.vintageadbrowser.com/eadmhmbr12g1g0.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/2
B.V.D. Brand Christmas (1949),B.V.D Brand,1940,http://file.vintageadbrowser.com/xyvx6gnw6gudij.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/11
Baileys When Friends Drop In Christmas Promo (1988),Baileys,1980,http://file.vintageadbrowser.com/5xha7t47zz8bj7.jpg,http://www.vintageadbrowser.com/xmas-ads-1980s
Barbasol – What To Give Your Gal For Xmas (1944),Barbasol,1940,http://file.vintageadbrowser.com/8y28cac3cnkgrl.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/8
Barbie Doll – Holiday Caroler Barbie (1997),Barbie,1990,http://file.vintageadbrowser.com/r2f64ivd3fuqgr.jpg,http://www.vintageadbrowser.com/xmas-ads-1990s
Barbie Doll – Holiday Gift Barbie (1998),Barbie,1990,http://file.vintageadbrowser.com/g8kvvrf6hoie72.jpg,http://www.vintageadbrowser.com/xmas-ads-1990s
Mattel Christmas Toys Barbie Doll Hot Wheels 6P (1968),Barbie,1960,http://file.vintageadbrowser.com/uzu8x15u6a4vwm.jpg,http://www.vintageadbrowser.com/xmas-ads-1960s
Bell Telephone Holiday – Red Phone (1957),Bell,1950,http://file.vintageadbrowser.com/vnxcbdhyyzbzup.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/3
Bell Telephone Santa Old Phone Christmas Calling (1946),Bell,1940,http://file.vintageadbrowser.com/baw17fginugnp1.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/13
Bell Telephone System Christmas (1940),Bell,1940,http://file.vintageadbrowser.com/zy0qsseen14zmf.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/4
Bell Telephone System Rotary Dial Phone Xmas (1956),Bell,1950,http://file.vintageadbrowser.com/4a225f3o6f6zvu.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/3
Bell & Howell Movie Camera Keep Christmas (1950),Bell & Howell,1950,http://file.vintageadbrowser.com/hlwliuo54bn988.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/3
Belmont Distilling Company Bourbon Christmas (1948),Belmont,1940,http://file.vintageadbrowser.com/ozh06qv6v7h1qj.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/7
Christmas Gift Bendix Washer Santa Art (1947),Benedix,1940,http://file.vintageadbrowser.com/8sg9otf5z6gmlc.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/14
Berkshire Stockings for Christmas (1958),Berkshire Stockings,1950,http://file.vintageadbrowser.com/lf3e8ncu8v79pm.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/7
"""Nicer at Christmas"" Black & White Scotch (1949)",Black & White,1940,http://file.vintageadbrowser.com/iv77kli1tcpwmj.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/2
Black & White Whiskey Christmas – in Color (1949),Black & White,1940,http://file.vintageadbrowser.com/znckyllx4up3wc.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/2
Black & White Whiskey Holiday (1952),Black & White,1950,http://file.vintageadbrowser.com/rcj28csz2mh77o.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s
"B&w Ad ""A Case of Christmas.."" Westie/scottie (1956)",Black & White,1950,http://file.vintageadbrowser.com/4jzfx5thp7l28o.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s
Dennis Dog Art Mistletoe Black & White Scotch (1950),Black & White,1950,http://file.vintageadbrowser.com/93rf30rmy2u8vh.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/10
Scottish Terrier Westie Christmas B&W Scotch (1957),Black & White,1950,http://file.vintageadbrowser.com/fav2nt9f3z6vn2.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/4
"Bluebird Blue Bird Washing Machines, Gifts Presents, UK (1910)",Blue Bird,1910,http://file.vintageadbrowser.com/vu7152x2vovshi.jpg,http://www.vintageadbrowser.com/xmas-ads-1910s
BluBlocker Sunglasses – Santa Claus (1993),BlueBlocker,1990,http://file.vintageadbrowser.com/xtn2j7lwbp26tz.jpg,http://www.vintageadbrowser.com/xmas-ads-1990s
Bolex Home Movie Camera for Christmas Photo (1957),Bolex,1950,http://file.vintageadbrowser.com/w8o8r9i9rtoduy.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/2
Evening In Paris Xmas Gift Sets (1949),Bourjois,1940,http://file.vintageadbrowser.com/phr12csurbi1ae.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/12
Brach’s Chocolates Christmas Santa Claus (1952),Branch,1950,http://file.vintageadbrowser.com/mr2hkkf116tvvd.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/9
Braniff International Airway’s Havana – put Havana under your Christmas Tree (1950),Braniff International Airway,1950,http://file.vintageadbrowser.com/dp060u0w582a1c.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/5
British Overseas Airways Corporation’s Bermuda – BERMUDA FOR CHRISTMAS (1948),British Overseas Airways Corporation,1940,http://file.vintageadbrowser.com/mzgup8bubwh5nx.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/6
British Overseas Airways Corporation’s Bermuda – Bermuda Offers A Merry Christmas (1949),British Overseas Airways Corporation,1940,http://file.vintageadbrowser.com/gctzsujtmvspv9.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/11
Bucks Cigarette Packs Christmas Sleigh Holiday (1991),Bucks,1990,http://file.vintageadbrowser.com/y15e9992ejkj8a.jpg,http://www.vintageadbrowser.com/xmas-ads-1990s
Budweiser Beer Christmas Decorations Art (1949),Budweiser,1940,http://file.vintageadbrowser.com/36kuzg8u113vwl.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/3
Budweiser Beer Christmas Santa Great Art (1947),Budweiser,1940,http://file.vintageadbrowser.com/jq47yzfl4dlys1.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/4
Budweiser Christmas – Anheuser Busch Inc. (1949),Budweiser,1940,http://file.vintageadbrowser.com/zovpxpxteenhp5.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/12
Bulova Christmas – Gift of a Lifetime (1947),Bulova,1940,http://file.vintageadbrowser.com/4fpr4x4xqt78qt.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/3
Bunte Mi Choice Chocolates Christmas Tree art (1930),Bunte Mi,1930,http://file.vintageadbrowser.com/vsm9ekffmnkh4l.jpg,http://www.vintageadbrowser.com/xmas-ads-1930s/2
For Christmas Buxton Billfolds (1946),Buxton Billfolds,1940,http://file.vintageadbrowser.com/uqayasx11v8amr.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/9
Cadillac Car – Christmas – Burgundy (1955),Cadillac,1950,http://file.vintageadbrowser.com/mnzfk8m02fyibw.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/4
"Cadillac Car Ad ""The Christmas They’ll... (1956)",Cadillac,1950,http://file.vintageadbrowser.com/e13kujt13jbefh.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/5
Calvert Distillers Corp.’s War Stamps – ...for a Christmas touched by War (1943),Calvert,1940,http://file.vintageadbrowser.com/6mc1w0u2npo751.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/5
Calvert Reserve Whiskey Holiday – Snow Scene (1949),Calvert,1940,http://file.vintageadbrowser.com/tk98m33xwdx3wz.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/7
Calvert Whiskey Cocker Puppy Christmas Stocking (1948),Calvert,1940,http://file.vintageadbrowser.com/tux1idrxwcib9m.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/15
Calvert Whiskies Holiday Winter – Bear Cub (1947),Calvert,1940,http://file.vintageadbrowser.com/dj6g7qaxpstbd8.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s
Camel Cigarette Christmas Cartons Prince Albert (1937),Camel,1930,http://file.vintageadbrowser.com/qdxlqi2t1mxvmn.jpg,http://www.vintageadbrowser.com/xmas-ads-1930s
Camel Cigarettes Christmas Almost Here (1926),Camel,1920,http://file.vintageadbrowser.com/4zepffoqml2xbm.jpg,http://www.vintageadbrowser.com/xmas-ads-1920s/2
Camel Prince Albert Smoking Tobacco Christmas – Sold (1949),Camel,1940,http://file.vintageadbrowser.com/d2wuobg548m76y.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/9
1941 (1),Camel,1940,http://file.vintageadbrowser.com/mrjqc3qhd6zbdk.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/8
Prince Albert & Camel’s Christmas – Santa Claus (1947),Camel,1940,http://file.vintageadbrowser.com/js8eebk95m7x2w.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/14
Camels & Prince Albert Christmas with Santa Claus (1940),Camel,1940,http://file.vintageadbrowser.com/z4i9ij9g440wg1.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/3
Christmas Shopping Art Campbell’s Soup (1946),Campbell's,1940,http://file.vintageadbrowser.com/kmqix3qjf4uvsc.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/15
"Campbell’s ""Best Wishes for a Merry Christmas"" (1940)",Campbell's,1940,http://file.vintageadbrowser.com/t3oqkx87tm4oy5.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/10
Campbell’s Soup Christmas – Breeze through the holidays – Sold (1948),Campbell's,1940,http://file.vintageadbrowser.com/89wpch4tx2z3wc.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/5
Campbells Soup Bring Christmas Cheer (1941),Campbell's,1940,http://file.vintageadbrowser.com/xitfosvbufgeca.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/13
Canadian Club Christmas Eggnog Recipe (1979),Canadian Club,1970,http://file.vintageadbrowser.com/ti5vxnjff46e1b.jpg,http://www.vintageadbrowser.com/xmas-ads-1970s
Capehart-Farnsworth Corporation’s various – Now- World Famous Capehart Tone Brings Television To Life Capehart Television for Christmas (1949),Capehart-Farnsworth,1940,http://file.vintageadbrowser.com/q6ial0rgywxs4h.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/16
Caterpillar Tractor Christmas – Grandmother’s House (1952),Catepillar,1950,http://file.vintageadbrowser.com/1md85k2uli8cmv.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/5
CeCo Manufacturing Company’s Radio Tubes – Why not present the home with a Christmas Present? (1930),CeCo,1930,http://file.vintageadbrowser.com/nejbl86gn7v7om.jpg,http://www.vintageadbrowser.com/xmas-ads-1930s
Celanese Christmas – Plastics for toys (1949),Celanese,1940,http://file.vintageadbrowser.com/t3z10tpqbptwbe.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/12
Charles of the Ritz’s Moss Rose Beauty Products – Charles of the Ritz brings you a Merry Moss Rose Christmas (1941),Charles of the Ritz,1940,http://file.vintageadbrowser.com/jm8nojomu0v8u1.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/12
Charter Oak Straight Bourbon Whiskey Christmas (1949),Charter Oak,1940,http://file.vintageadbrowser.com/vlcae9xo995tgv.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/11
Chesapeake and Ohio Railroad Christmas – Sold (1935),Chesapeake and Ohio Railroad,1930,http://file.vintageadbrowser.com/2aa96rt4sydf71.jpg,http://www.vintageadbrowser.com/xmas-ads-1930s/2
Chesterfield,Chesterfield,1920,http://file.vintageadbrowser.com/gvuknr5wzphre5.jpg,http://www.vintageadbrowser.com/xmas-ads-1920s
Chesterfield Cigarettes Christmas – Arthur Godfrey (1949),Chesterfield,1940,http://file.vintageadbrowser.com/z8zv310ij03kuh.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/15
Chesterfield Cigarettes Merry Christmas (1940),Chesterfield,1940,http://file.vintageadbrowser.com/lybhggfc1eglfz.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/5
"Chivas Regal ""Why Wait for Christmas?"" (1978)",Chivas Regal,1970,http://file.vintageadbrowser.com/twrwb8wyhbp9oq.jpg,http://www.vintageadbrowser.com/xmas-ads-1970s/2
Christmas Seals Emphysema Tuburculosis Air pollution (1969),Christmas Seals,1960,http://file.vintageadbrowser.com/1a8panoo8wn0fq.jpg,http://www.vintageadbrowser.com/xmas-ads-1960s/2
Cities Service (1960),Cities Service,1960,http://file.vintageadbrowser.com/brbfdzyxoecz8m.jpg,http://www.vintageadbrowser.com/xmas-ads-1960s/2
Citizens National Bank’s Christmas Banking Club – Christmas Banking Club Department,Citizens National Bank,1900,http://file.vintageadbrowser.com/3qiws7n0d557sd.jpg,http://www.vintageadbrowser.com/xmas-ads-1900s
Coca-cola Ad ’talk About Being Good... (1951),Coca-Cola,1950,http://file.vintageadbrowser.com/yki8922ofcra6l.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/10
Coke Christmas – Santa (1957),Coca-Cola,1950,http://file.vintageadbrowser.com/4825v5zcqp4327.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/5
Coke Christmas – Santa and children (1952),Coca-Cola,1950,http://file.vintageadbrowser.com/ad0bmmhhmmgqq4.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s
Coke Christmas – Santa and elves (1953),Coca-Cola,1950,http://file.vintageadbrowser.com/deg7ri3r66nzku.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s
Coke Christmas – Santa by fireplace (1963),Coca-Cola,1960,http://file.vintageadbrowser.com/laern559qb7dmj.jpg,http://www.vintageadbrowser.com/xmas-ads-1960s
Coke Christmas – Santa enjoying a bottle (1955),Coca-Cola,1950,http://file.vintageadbrowser.com/0u49psnqj5cpfm.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/7
Coke Christmas – Santa making his list – Sold (1951),Coca-Cola,1950,http://file.vintageadbrowser.com/q8l9vysi24ji86.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s
Coke Christmas – Santa sitting by fridge (1947),Coca-Cola,1940,http://file.vintageadbrowser.com/e6ct8ppzm6602n.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/13
Coke Christmas – Sold (1946),Coca-Cola,1940,http://file.vintageadbrowser.com/spmjmxmba7vgt4.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/12
Coke Christmas Santa Claus T (1939),Coca-Cola,1930,http://file.vintageadbrowser.com/5w0neuut0ty41k.jpg,http://www.vintageadbrowser.com/xmas-ads-1930s
Coke Christmas with Santa caught by Little Boy. (1959),Coca-Cola,1950,http://file.vintageadbrowser.com/2o9ssphwmtgxte.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/8
Coke Christmas with Santa with Elves. (1960),Coca-Cola,1960,http://file.vintageadbrowser.com/fzidevau3s4249.jpg,http://www.vintageadbrowser.com/xmas-ads-1960s
Coke Christmas with Santa with Reindeer. (1954),Coca-Cola,1950,http://file.vintageadbrowser.com/cvbf4v72vr0joe.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/10
Coke Christmas with Santa with Reindeer. (1958),Coca-Cola,1950,http://file.vintageadbrowser.com/enfhxb6mvbsca5.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/3
Coke Coca Cola Christmas Decorations (1967),Coca-Cola,1960,http://file.vintageadbrowser.com/ixxiakvu88rlrp.jpg,http://www.vintageadbrowser.com/xmas-ads-1960s/2
Coke Coca Cola Santa Boy G.E General Electric (1959),Coca-Cola,1950,http://file.vintageadbrowser.com/5lubo5zgkxfvs0.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/4
Coke Coca-cola Christmas Decorations Holidays (1967),Coca-Cola,1960,http://file.vintageadbrowser.com/k4whpt381s2uu4.jpg,http://www.vintageadbrowser.com/xmas-ads-1960s
Coke Santa and Terrier (1961),Coca-Cola,1960,http://file.vintageadbrowser.com/wncf6f6aoof8vv.jpg,http://www.vintageadbrowser.com/xmas-ads-1960s/2
1933,Coca-Cola,1930,http://file.vintageadbrowser.com/mvcbrr0h5n6cix.jpg,http://www.vintageadbrowser.com/xmas-ads-1930s/3
1934,Coca-Cola,1930,http://file.vintageadbrowser.com/031m7j29afapto.jpg,http://www.vintageadbrowser.com/xmas-ads-1930s/2
1935,Coca-Cola,1930,http://file.vintageadbrowser.com/vdu6l524fvcfmx.jpg,http://www.vintageadbrowser.com/xmas-ads-1930s/3
1936,Coca-Cola,1930,http://file.vintageadbrowser.com/0guvk5al3f9jtq.jpg,http://www.vintageadbrowser.com/xmas-ads-1930s
1937,Coca-Cola,1930,http://file.vintageadbrowser.com/uieywoavpvtnoq.jpg,http://www.vintageadbrowser.com/xmas-ads-1930s/2
1938,Coca-Cola,1930,http://file.vintageadbrowser.com/b5lo3glt1dqhmi.jpg,http://www.vintageadbrowser.com/xmas-ads-1930s/3
1942,Coca-Cola,1940,http://file.vintageadbrowser.com/91ypj082q9jxet.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/8
1949,Coca-Cola,1940,http://file.vintageadbrowser.com/b8j9j864nep9d3.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/12
500 Miles To Christmas Go Pullman Train (1946),Coca-Cola,1940,http://file.vintageadbrowser.com/emspnke3s1ijr0.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/16
"Colgate & Company – Colgate’s For Christmas. Useful Gifts, not Gimcracks. (1920)",Colgate,1920,http://file.vintageadbrowser.com/bocigqv3nhz4la.jpg,http://www.vintageadbrowser.com/xmas-ads-1920s
Colgate-Palmolive-Peet Company’s Halo Shampoo – June Valli plays Santa Claus to the girl who hated Christmas (1954),Colgate,1950,http://file.vintageadbrowser.com/7hbsybmlhgawku.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/9
Columbia Bicycle Bike Vintage (1946),Columbia,1940,http://file.vintageadbrowser.com/w638uhmvhkk0ck.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/5
Columbia Records Christmas – Santa Flying (1951),Columbia,1950,http://file.vintageadbrowser.com/0p24qa6l3aqq6l.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/6
Columbia Records Christmas (1951),Columbia,1950,http://file.vintageadbrowser.com/feb2crby7em0l9.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/4
Comptometer Holiday – Greetings Goteborg (1948),Comptometer,1940,http://file.vintageadbrowser.com/41skdyyvrbb000.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/17
Corby’s Christmas – In Canada since 1859 – Sold (1949),Corby,1940,http://file.vintageadbrowser.com/8qongfylbs1zad.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/8
Cosco Assorted Carts Stools Santa Gift (1957),Cosco,1950,http://file.vintageadbrowser.com/tgirobo7e7m19i.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/6
Coty Christmas Gifts Asst Perfume (1949),Coty,1940,http://file.vintageadbrowser.com/m10ar51uitqw3l.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/4
Coty Fragrances Perfume Christmas (1954),Coty,1950,http://file.vintageadbrowser.com/wg4zgh508dlr1v.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/9
Coty Perfume Christmas Giftsets (1949),Coty,1940,http://file.vintageadbrowser.com/s4wxssjtxv8qbm.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/9
"Coty, Gift Sets for Christmas (1949)",Coty,1940,http://file.vintageadbrowser.com/jv8vhkqq77bxb0.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/15
Coty’s Cosmetic gifts – merry fragrant christmas (1947),Coty,1940,http://file.vintageadbrowser.com/01nkhq20lqt6o5.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/10
Coty’s Cosmetic gifts – So very Christmas (1948),Coty,1940,http://file.vintageadbrowser.com/it38xbgrhzctac.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/13
Cream of Wheat,Cream of Wheat,1920,http://file.vintageadbrowser.com/vwq5ucbadsuqfg.jpg,http://www.vintageadbrowser.com/xmas-ads-1920s/2
E.T. Cunningham’s Radio Tubes – Make Christmas Jollier (1928),Cunningham’s Radio Tubes,1920,http://file.vintageadbrowser.com/kaz0n4rjazcq8d.jpg,http://www.vintageadbrowser.com/xmas-ads-1920s
Christmas Charles Dickens Ebenezer Cutty Sark (1982),Cutty Sark,1980,http://file.vintageadbrowser.com/z2au9vyyes7cxr.jpg,http://www.vintageadbrowser.com/xmas-ads-1980s/2
"Daniel Green Shoes, Christmas (1949)",Daniel Green Shoes,1940,http://file.vintageadbrowser.com/eubyphsg8px4v3.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/4
Decca Records Christmas Music Santa (1947),Decca Records,1940,http://file.vintageadbrowser.com/uuy8kdwlool4v8.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/10
