ID,City,County,Number of Starbucks,Starbucks per million inhabitants,Starbucks per 10 sq. mile,Median Age,Median Household Income,2010 Population,Percentage of white population,Land Area (Sq. miles),Number of Starbucks (Rank),Starbucks per million inhabitants (Rank),Starbucks per sq. mile (Rank),Median Age (Rank),Median Household Income (Rank),Percentage of white population (Rank)
Oakland - Alameda County,Oakland,Alameda County,17,44,3.05,36.2,"$51,144",390724,35,55.79,413,54,197,207,122,27
Colma - San Mateo County,Colma,San Mateo County,2,1116,10.47,36.4,"$80,972",1792,35,1.91,113,425,411,215,329,28
Buttonwillow - Kern County,Buttonwillow,Kern County,1,663,1.44,26.5,"$33,333",1508,35,6.93,1,417,77,15,11,29
Westminster - Orange County,Westminster,Orange County,7,78,6.97,38.7,"$56,867",89701,36,10.05,339,167,374,269,168,30
Delano - Kern County,Delano,Kern County,1,19,0.70,28.5,"$37,810",53041,36,14.3,1,4,27,28,31,31
Pittsburg - Contra Costa County,Pittsburg,Contra Costa County,4,63,2.32,32.5,"$57,965",63264,37,17.22,247,117,134,110,174,32
Stockton - San Joaquin County,Stockton,San Joaquin County,16,55,2.59,30.8,"$47,365",291707,37,61.67,409,93,158,74,89,33
South San Francisco - San Mateo County,South San Francisco,San Mateo County,3,47,3.28,38.1,"$75,543",63632,37,9.14,190,69,215,258,290,34
San Leandro - Alameda County,San Leandro,Alameda County,6,71,4.50,39.3,"$61,857",84950,38,13.34,309,141,297,282,204,35
Suisun City - Solano County,Suisun City,Solano County,1,36,2.43,33,"$71,411",28111,38,4.11,1,35,146,120,271,36
El Monte - Los Angeles County,El Monte,Los Angeles County,4,35,4.18,31.6,"$41,820",113475,39,9.56,247,34,273,89,49,37
American Canyon - Napa County,American Canyon,Napa County,2,103,4.13,35.5,"$83,581",19454,39,4.84,113,242,269,190,343,38
Marin City - Marin County,Marin City,Marin County,1,375,18.52,35.6,"$46,250",2666,39,0.54,1,404,420,191,81,39
Artesia - Los Angeles County,Artesia,Los Angeles County,1,61,6.17,38.2,"$58,281",16522,39,1.62,1,109,355,262,177,40
Lynwood - Los Angeles County,Lynwood,Los Angeles County,2,29,4.13,27.8,"$43,782",69772,39,4.84,113,19,269,22,66,41
Garden Grove - Orange County,Garden Grove,Orange County,9,53,5.02,35.6,"$60,036",170883,40,17.94,365,86,319,191,189,42
Livingston - Merced County,Livingston,Merced County,1,77,2.69,27.4,"$45,313",13058,40,3.72,1,162,171,21,71,43
Hacienda Heights - Los Angeles County,Hacienda Heights,Los Angeles County,2,37,1.79,40.1,"$72,759",54038,40,11.18,113,38,94,296,277,44
Lathrop - San Joaquin County,Lathrop,San Joaquin County,2,111,0.91,30.5,"$64,732",18023,41,21.93,113,265,42,67,229,45
Newark - Alameda County,Newark,Alameda County,5,117,3.60,35.4,"$81,777",42573,41,13.87,285,280,235,188,333,46
San Marino - Los Angeles County,San Marino,Los Angeles County,1,76,2.65,45.3,"$154,318",13147,41,3.77,1,160,165,388,429,47
Moreno Valley - Riverside County,Moreno Valley,Riverside County,6,31,1.17,28.6,"$56,768",193365,42,51.27,309,23,58,30,166,48
National City - San Diego County,National City,San Diego County,5,85,6.87,30.2,"$36,907",58582,42,7.28,285,190,373,61,25,49
Bellflower - Los Angeles County,Bellflower,Los Angeles County,2,26,3.27,31.9,"$50,244",76616,42,6.12,113,12,212,96,108,50
Signal Hill - Los Angeles County,Signal Hill,Los Angeles County,1,91,4.57,36,"$69,946",11016,42,2.19,1,210,303,200,265,51
Gonzales - Monterey County,Gonzales,Monterey County,1,122,5.21,27,"$52,928",8187,42,1.92,1,289,327,18,139,52
Perris - Riverside County,Perris,Riverside County,3,44,0.96,25.9,"$49,812",68386,42,31.39,190,55,46,13,105,53
Paramount - Los Angeles County,Paramount,Los Angeles County,2,37,4.23,28.6,"$42,831",54098,42,4.73,113,37,277,30,58,54
San Jose - Santa Clara County,San Jose,Santa Clara County,73,77,4.14,35.2,"$80,764",945942,43,176.53,430,164,271,182,326,55
West Covina - Los Angeles County,West Covina,Los Angeles County,6,57,3.74,36,"$68,308",106098,43,16.04,309,98,247,200,254,56
Eastvale - Riverside County,Eastvale,Riverside County,1,19,0.88,30.9,"$115,025",53668,43,11.41,1,2,39,76,406,57
Sunnyvale - Santa Clara County,Sunnyvale,Santa Clara County,11,79,5.00,35.6,"$93,292",140081,43,21.99,385,168,318,191,369,58
Colton - San Bernardino County,Colton,San Bernardino County,3,58,1.96,28.4,"$41,788",52154,43,15.32,190,100,104,26,48,59
Lawndale - Los Angeles County,Lawndale,Los Angeles County,1,31,5.08,31.9,"$48,813",32769,44,1.97,1,22,321,96,98,60
Watsonville - Santa Cruz County,Watsonville,Santa Cruz County,2,39,2.99,29.2,"$46,073",51199,44,6.69,113,42,193,43,78,61
Adelanto - San Bernardino County,Adelanto,San Bernardino County,1,31,0.18,25.3,"$42,208",31765,44,56.01,1,24,2,11,54,62
Baldwin Park - Los Angeles County,Baldwin Park,Los Angeles County,3,40,4.52,30.5,"$52,094",75390,44,6.63,190,43,301,67,129,63
Rialto - San Bernardino County,Rialto,San Bernardino County,2,20,0.89,28.3,"$50,452",99171,44,22.35,113,6,40,25,110,64
Stanton - Orange County,Stanton,Orange County,1,26,3.17,33,"$51,933",38186,44,3.15,1,13,207,120,127,65
Emeryville - Alameda County,Emeryville,Alameda County,4,397,32.00,35,"$69,274",10080,45,1.25,247,407,427,177,259,66
Santa Clara - Santa Clara County,Santa Clara,Santa Clara County,14,120,7.60,34.1,"$89,004",116468,45,18.41,405,285,381,154,361,67
Sacramento - Sacramento County,Sacramento,Sacramento County,65,139,6.64,33,"$50,781",466488,45,97.92,429,317,369,120,116,68
Marina - Monterey County,Marina,Monterey County,2,101,2.25,34,"$51,817",19718,45,8.88,113,239,127,151,126,69
Buena Park - Orange County,Buena Park,Orange County,6,75,5.70,35.1,"$64,809",80530,45,10.52,309,153,347,180,230,70
Hawaiian Gardens - Los Angeles County,Hawaiian Gardens,Los Angeles County,1,70,10.53,28.4,"$42,898",14254,45,0.95,1,139,412,26,59,71
Foster City - San Mateo County,Foster City,San Mateo County,2,65,5.32,39.3,"$115,053",30567,46,3.76,113,122,330,282,407,72
San Bernardino - San Bernardino County,San Bernardino,San Bernardino County,8,38,1.35,28.5,"$40,161",209924,46,59.2,352,39,71,28,41,73
Salinas - Monterey County,Salinas,Monterey County,10,66,4.31,28.8,"$50,568",150441,46,23.18,376,126,286,36,111,74
Santa Ana - Orange County,Santa Ana,Orange County,17,52,6.23,29.1,"$54,399",324528,46,27.27,413,85,357,40,152,75
Fairfield - Solano County,Fairfield,Solano County,8,76,2.14,33.7,"$68,037",105321,46,37.39,352,158,118,142,250,76
Elk Grove - Sacramento County,Elk Grove,Sacramento County,11,72,2.61,34.3,"$78,564",153015,46,42.19,385,144,162,160,315,77
Long Beach - Los Angeles County,Long Beach,Los Angeles County,26,56,5.17,33.2,"$52,945",462257,46,50.29,426,97,326,127,140,78
Pinole - Contra Costa County,Pinole,Contra Costa County,2,109,3.76,42.6,"$80,042",18390,46,5.32,113,259,248,355,325,79
Millbrae - San Mateo County,Millbrae,San Mateo County,2,93,6.15,44.8,"$83,992",21532,47,3.25,113,215,354,380,344,80
Fowler - Fresno County,Fowler,Fresno County,1,180,3.95,31.6,"$54,698",5570,47,2.53,1,362,255,89,159,81
Freedom - Santa Cruz County,Freedom,Santa Cruz County,2,651,18.18,30.2,"$48,958",3070,47,1.1,113,416,419,61,101,82
San Lorenzo - Alameda County,San Lorenzo,Alameda County,1,43,3.62,37.9,"$73,053",23452,47,2.76,1,52,237,250,280,83
Fontana - San Bernardino County,Fontana,San Bernardino County,7,36,1.65,28.7,"$64,058",196069,47,42.43,339,36,90,35,226,84
Loma Linda - San Bernardino County,Loma Linda,San Bernardino County,2,86,2.66,33.2,"$61,116",23261,48,7.52,113,194,167,127,198,85
King City - Monterey County,King City,Monterey County,1,78,2.60,25.9,"$52,634",12874,48,3.84,1,166,159,13,136,86
Pomona - Los Angeles County,Pomona,Los Angeles County,6,40,2.61,29.5,"$50,893",149058,48,22.95,309,45,163,50,118,87
Coachella - Riverside County,Coachella,Riverside County,1,25,0.35,24.5,"$43,357",40704,48,28.95,1,9,5,8,62,88
Oxnard - Ventura County,Oxnard,Ventura County,9,45,3.35,29.9,"$60,191",197899,48,26.89,365,60,221,55,192,89
Seaside - Monterey County,Seaside,Monterey County,2,61,2.16,30.6,"$58,403",33025,48,9.24,113,110,120,70,178,90
San Francisco - San Francisco County,San Francisco,San Francisco County,88,109,18.78,38.5,"$72,947",805235,48,46.87,431,261,422,266,279,91
Victorville - San Bernardino County,Victorville,San Bernardino County,6,52,0.82,29.5,"$52,357",115903,49,73.18,309,84,34,50,133,92
Antioch - Contra Costa County,Antioch,Contra Costa County,6,59,2.12,33.8,"$66,479",102372,49,28.35,309,105,115,147,243,93
Palmdale - Los Angeles County,Palmdale,Los Angeles County,7,46,0.66,29.7,"$55,213",152750,49,105.96,339,62,24,52,160,94
Soledad - Monterey County,Soledad,Monterey County,1,39,2.27,34.9,"$53,140",25738,49,4.41,1,41,129,173,141,95
Norwalk - Los Angeles County,Norwalk,Los Angeles County,6,57,6.18,32.5,"$60,090",105549,49,9.71,309,99,356,110,190,96
Bell Gardens - Los Angeles County,Bell Gardens,Los Angeles County,1,24,4.07,27.3,"$38,971",42072,49,2.46,1,8,262,20,36,97
San Bruno - San Mateo County,San Bruno,San Mateo County,5,122,9.12,38.8,"$77,468",41114,49,5.48,285,287,398,273,310,98
Fresno - Fresno County,Fresno,Fresno County,33,67,2.95,29.3,"$43,440",494665,50,111.96,428,129,191,46,64,99
Lancaster - Los Angeles County,Lancaster,Los Angeles County,5,32,0.53,30.4,"$52,290",156633,50,94.28,285,27,14,65,132,100
Los Angeles - Los Angeles County,Los Angeles,Los Angeles County,221,58,4.72,34.1,"$50,028",3792621,50,468.67,433,102,309,154,107,101
Madera - Madera County,Madera,Madera County,2,33,1.27,26.6,"$41,991",61416,50,15.79,113,28,66,17,53,102
South Gate - Los Angeles County,South Gate,Los Angeles County,3,32,4.14,29.4,"$41,990",94396,50,7.24,190,26,272,48,52,103
Irvine - Orange County,Irvine,Orange County,22,104,3.33,33.9,"$92,599",212375,50,66.11,423,245,218,149,368,104
El Sobrante - Contra Costa County,El Sobrante,Contra Costa County,2,158,7.22,40.6,"$58,706",12669,51,2.77,113,347,377,312,179,105
Alameda - Alameda County,Alameda,Alameda County,6,81,5.66,40.7,"$75,832",73812,51,10.61,309,176,345,317,293,106
San Fernando - Los Angeles County,San Fernando,Los Angeles County,1,42,4.22,30.7,"$52,021",23645,51,2.37,1,51,275,72,128,107
Ontario - San Bernardino County,Ontario,San Bernardino County,10,61,2.00,29.9,"$55,902",163924,51,49.94,376,111,108,55,163,108
Torrance - Los Angeles County,Torrance,Los Angeles County,17,117,8.30,41.3,"$75,885",145438,51,20.48,413,276,389,331,294,109
Huntington Park - Los Angeles County,Huntington Park,Los Angeles County,2,34,6.64,28.9,"$36,788",58114,51,3.01,113,32,370,38,24,110
Dublin - Alameda County,Dublin,Alameda County,6,130,4.02,35.3,"$111,481",46036,51,14.91,309,301,260,184,401,111
Lemon Grove - San Diego County,Lemon Grove,San Diego County,2,79,5.15,35,"$50,353",25320,52,3.88,113,170,324,177,109,112
Duarte - Los Angeles County,Duarte,Los Angeles County,1,47,1.49,39.9,"$64,329",21321,52,6.69,1,67,81,292,227,113
Dinuba - Tulare County,Dinuba,Tulare County,1,47,1.55,27.2,"$40,463",21453,52,6.47,1,64,85,19,42,114
Merced - Merced County,Merced,Merced County,4,51,1.72,28.1,"$37,025",78958,52,23.32,247,80,92,24,26,115
Barstow - San Bernardino County,Barstow,San Bernardino County,3,133,0.72,31.1,"$45,417",22639,52,41.38,190,307,28,81,72,116
Highland - San Bernardino County,Highland,San Bernardino County,1,19,0.53,30.6,"$59,419",53104,52,18.76,1,3,15,70,183,117
Tustin - Orange County,Tustin,Orange County,7,93,6.32,33.4,"$73,231",75540,53,11.08,339,214,358,132,281,118
Anaheim - Orange County,Anaheim,Orange County,22,65,4.41,32.4,"$59,330",336265,53,49.84,423,121,294,107,182,119
Tracy - San Joaquin County,Tracy,San Joaquin County,6,72,2.73,32.3,"$76,739",82922,53,22,309,148,175,106,303,120
Montclair - San Bernardino County,Montclair,San Bernardino County,2,55,3.62,30.7,"$50,959",36664,53,5.52,113,92,237,72,120,121
El Cerrito - Contra Costa County,El Cerrito,Contra Costa County,3,127,8.13,43.5,"$69,301",23549,53,3.69,190,296,387,370,260,122
San Ramon - Contra Costa County,San Ramon,Contra Costa County,8,111,4.43,37.1,"$124,014",72148,54,18.06,352,264,295,234,417,123
Chula Vista - San Diego County,Chula Vista,San Diego County,12,49,2.42,33.7,"$65,526",243916,54,49.63,393,76,143,142,236,124
Montebello - Los Angeles County,Montebello,Los Angeles County,3,48,3.60,34.7,"$52,496",62500,54,8.33,190,70,234,166,134,125
Bell - Los Angeles County,Bell,Los Angeles County,1,28,4.00,28.9,"$37,121",35477,54,2.5,1,17,257,38,27,126
Saratoga - Santa Clara County,Saratoga,Santa Clara County,4,134,3.23,47.8,"$155,182",29926,54,12.38,247,308,211,408,430,127
Fullerton - Orange County,Fullerton,Orange County,13,96,5.82,34.8,"$69,432",135161,54,22.35,400,225,351,170,261,128
Commerce - Los Angeles County,Commerce,Los Angeles County,3,234,4.59,31.2,"$48,878",12823,54,6.54,190,386,305,84,100,129
South Pasadena - Los Angeles County,South Pasadena,Los Angeles County,3,117,8.80,40.1,"$84,914",25619,54,3.41,190,278,396,296,349,130
Brawley - Imperial County,Brawley,Imperial County,2,80,2.60,30.2,"$36,233",24953,54,7.68,113,173,159,61,22,131
Cypress - Orange County,Cypress,Orange County,3,63,4.56,39.9,"$82,954",47802,54,6.58,190,116,302,292,339,132
Albany - Alameda County,Albany,Alameda County,1,54,5.59,37,"$72,479",18539,55,1.79,1,89,342,228,274,133
Lindsay - Tulare County,Lindsay,Tulare County,1,85,3.83,24.6,"$29,750",11768,55,2.61,1,188,253,9,4,134
Pasadena - Los Angeles County,Pasadena,Los Angeles County,23,168,10.01,37.2,"$67,920",137122,56,22.97,425,354,408,237,248,135
Mountain View - Santa Clara County,Mountain View,Santa Clara County,10,135,8.33,35.9,"$91,446",74066,56,12,376,311,390,198,367,136
Lakewood - Los Angeles County,Lakewood,Los Angeles County,6,75,6.38,37.5,"$78,360",80048,56,9.41,309,157,359,243,314,137
Santa Maria - Santa Barbara County,Santa Maria,Santa Barbara County,5,50,2.20,28.6,"$51,664",99553,56,22.76,285,79,122,30,124,138
Chino - San Bernardino County,Chino,San Bernardino County,11,141,3.71,33.2,"$73,400",77983,56,29.64,385,321,244,127,283,139
Fountain Valley - Orange County,Fountain Valley,Orange County,5,90,5.54,42.6,"$81,661",55313,56,9.02,285,208,340,355,331,140
Riverside - Riverside County,Riverside,Riverside County,20,66,2.46,30,"$57,555",303871,56,81.14,419,124,148,58,172,141
Downey - Los Angeles County,Downey,Los Angeles County,3,27,2.42,33.3,"$59,773",111772,57,12.41,190,14,142,130,185,142
Lemoore - Kings County,Lemoore,Kings County,1,41,1.17,28.6,"$58,706",24531,57,8.52,1,46,59,30,179,143
Bakersfield - Kern County,Bakersfield,Kern County,29,83,2.04,30,"$54,656",347483,57,142.16,427,185,110,58,158,144
Port Hueneme - Ventura County,Port Hueneme,Ventura County,1,46,2.25,31.3,"$52,244",21723,57,4.45,1,63,126,85,131,145
San Jacinto - Riverside County,San Jacinto,Riverside County,2,45,0.78,30.3,"$47,645",44199,57,25.72,113,59,31,64,91,146
Fillmore - Ventura County,Fillmore,Ventura County,1,67,2.98,31.9,"$60,605",15002,57,3.36,1,128,192,96,193,147
Mira Loma - Riverside County,Mira Loma,Riverside County,1,46,1.25,30.4,"$66,635",21930,57,8,1,61,62,65,244,148
Stanford - Santa Clara County,Stanford,Santa Clara County,1,72,3.66,22.6,"$60,189",13809,57,2.73,1,149,242,3,191,149
Yuba City - Sutter County,Yuba City,Sutter County,5,77,3.43,33,"$48,830",64925,58,14.58,285,163,227,120,99,150
Azusa - Los Angeles County,Azusa,Los Angeles County,3,65,3.11,29.3,"$53,826",46361,58,9.66,190,118,201,46,146,151
Ceres - Stanislaus County,Ceres,Stanislaus County,2,44,2.50,29.4,"$48,550",45417,58,8.01,113,56,153,48,94,152
Coalinga - Fresno County,Coalinga,Fresno County,1,75,1.63,31.9,"$47,101",13380,58,6.12,1,155,89,96,87,153
San Mateo - San Mateo County,San Mateo,San Mateo County,12,123,9.89,38.9,"$86,772",97207,58,12.13,393,290,406,274,355,154
Los Banos - Merced County,Los Banos,Merced County,3,83,3.00,29.8,"$51,478",35972,58,9.99,190,184,195,53,123,155
Castro Valley - Alameda County,Castro Valley,Alameda County,4,65,2.41,41.2,"$82,370",61388,58,16.63,247,119,140,330,335,156
Desert Hot Springs - Riverside County,Desert Hot Springs,Riverside County,1,39,0.42,31,"$34,606",25938,58,23.62,1,40,8,78,15,157
Reedley - Fresno County,Reedley,Fresno County,1,41,1.97,29.1,"$46,776",24194,58,5.08,1,48,105,40,85,158
La Habra - Orange County,La Habra,Orange County,5,83,6.78,33.6,"$63,356",60239,58,7.37,285,182,372,137,216,159
Covina - Los Angeles County,Covina,Los Angeles County,2,42,2.84,35.7,"$67,638",47796,58,7.03,113,50,185,197,247,160
Irwindale - Los Angeles County,Irwindale,Los Angeles County,1,703,1.13,34,"$65,455",1422,59,8.83,1,420,55,151,234,161
Santa Fe Springs - Los Angeles County,Santa Fe Springs,Los Angeles County,3,185,3.38,35.3,"$53,638",16223,59,8.87,190,366,223,184,144,162
Gilroy - Santa Clara County,Gilroy,Santa Clara County,4,82,2.48,32.4,"$75,483",48821,59,16.15,247,178,150,107,289,163
Porterville - Tulare County,Porterville,Tulare County,4,74,2.27,28.8,"$39,933",54165,59,17.61,247,152,130,36,39,164
San Diego - San Diego County,San Diego,San Diego County,139,106,4.27,33.6,"$63,739",1307402,59,325.19,432,251,283,137,221,165
Industry - Los Angeles County,Industry,Los Angeles County,1,4566,0.85,37.5,"$49,792",219,59,11.78,1,430,36,243,104,166
Lomita - Los Angeles County,Lomita,Los Angeles County,1,49,5.24,39.6,"$61,327",20256,59,1.91,1,77,328,288,202,167
Pico Rivera - Los Angeles County,Pico Rivera,Los Angeles County,2,32,2.41,34,"$55,632",62942,59,8.3,113,25,141,151,161,168
Hollister - San Benito County,Hollister,San Benito County,3,86,4.12,30.8,"$62,570",34928,59,7.29,190,193,267,74,208,169
Spring Valley - San Diego County,Spring Valley,San Diego County,2,71,2.79,35,"$65,822",28205,59,7.17,113,142,179,177,239,170
Berkeley - Alameda County,Berkeley,Alameda County,5,44,4.78,31,"$60,908",112580,60,10.47,285,58,312,78,195,171
Blythe - Riverside County,Blythe,Riverside County,2,96,0.76,38,"$46,235",20817,60,26.19,113,224,30,256,80,172
Sanger - Fresno County,Sanger,Fresno County,1,41,1.81,29.2,"$41,987",24270,60,5.52,1,47,97,43,51,173
El Centro - Imperial County,El Centro,Imperial County,4,94,3.61,31.8,"$38,297",42598,60,11.08,247,218,236,94,34,174
Corona - Riverside County,Corona,Riverside County,12,79,3.09,32.5,"$79,877",152374,60,38.83,393,169,199,110,324,175
Monrovia - Los Angeles County,Monrovia,Los Angeles County,3,82,2.21,37.9,"$68,071",36590,60,13.6,190,179,123,250,252,176
Lake Elsinore - Riverside County,Lake Elsinore,Riverside County,5,96,1.38,29.8,"$63,771",51821,60,36.21,285,226,73,53,224,177
Calexico - Imperial County,Calexico,Imperial County,1,26,1.19,31.8,"$35,988",38572,60,8.39,1,11,60,94,20,178
Redwood City - San Mateo County,Redwood City,San Mateo County,9,117,4.63,36.7,"$77,111",76815,60,19.42,365,279,308,218,307,179
Culver City - Los Angeles County,Culver City,Los Angeles County,5,129,9.78,40.5,"$75,596",38883,60,5.11,285,297,403,308,291,180
Escondido - San Diego County,Escondido,San Diego County,15,104,4.07,32.5,"$50,597",143911,60,36.81,407,246,263,110,112,181
Rancho Cordova - Sacramento County,Rancho Cordova,Sacramento County,8,124,2.39,33.1,"$53,878",64776,60,33.51,352,291,139,125,147,182
La Mirada - Los Angeles County,La Mirada,Los Angeles County,3,62,3.83,37.9,"$81,913",48527,61,7.84,190,114,252,250,334,183
Hesperia - San Bernardino County,Hesperia,San Bernardino County,4,44,0.55,30.5,"$48,624",90173,61,73.1,247,57,17,67,96,184
Lompoc - Santa Barbara County,Lompoc,Santa Barbara County,2,47,1.72,33.9,"$47,592",42434,61,11.6,113,68,93,149,90,185
Tulare - Tulare County,Tulare,Tulare County,2,34,0.96,29.1,"$46,274",59278,61,20.93,113,31,45,40,83,186
Indio - Riverside County,Indio,Riverside County,5,66,1.71,32.2,"$52,199",76036,61,29.18,285,123,91,104,130,187
Chowchilla - Madera County,Chowchilla,Madera County,1,53,1.31,34.7,"$41,858",18720,62,7.66,1,88,69,166,50,188
Rancho Palos Verdes - Los Angeles County,Rancho Palos Verdes,Los Angeles County,2,48,1.49,47.8,"$116,643",41643,62,13.46,113,72,80,408,410,189
Rancho Cucamonga - San Bernardino County,Rancho Cucamonga,San Bernardino County,12,73,3.01,34.5,"$78,782",165269,62,39.85,393,151,196,163,319,190
Fort Irwin - San Bernardino County,Fort Irwin,San Bernardino County,2,226,2.84,23.9,"$52,798",8845,62,7.05,113,385,184,7,138,191
Rosamond - Kern County,Rosamond,Kern County,1,55,0.19,32,"$56,974",18150,62,52.12,1,94,3,100,170,192
Winchester - Riverside County,Winchester,Riverside County,1,395,1.29,34.6,"$69,798",2534,62,7.73,1,406,67,164,263,193
Manteca - San Joaquin County,Manteca,San Joaquin County,5,75,2.82,33.6,"$60,963",67096,62,17.73,285,154,183,137,196,194
Hanford - Kings County,Hanford,Kings County,3,56,1.81,30.9,"$54,421",53967,62,16.59,190,95,96,76,153,195
Susanville - Lassen County,Susanville,Lassen County,2,111,2.52,33.6,"$49,160",17947,63,7.93,113,266,154,137,102,196
Beaumont - Riverside County,Beaumont,Riverside County,2,54,0.65,32.5,"$66,132",36877,63,30.91,113,90,22,110,241,197
Woodland - Yolo County,Woodland,Yolo County,5,90,3.27,33.7,"$56,859",55468,63,15.3,285,207,212,142,167,198
Santa Paula - Ventura County,Santa Paula,Ventura County,2,68,4.36,31.1,"$53,359",29321,63,4.59,113,132,291,81,142,199
North Highlands - Sacramento County,North Highlands,Sacramento County,2,47,2.27,32.1,"$41,774",42694,63,8.83,113,66,128,103,47,200
Vista - San Diego County,Vista,San Diego County,8,85,4.28,31.1,"$50,777",93834,63,18.68,352,189,284,81,115,201
San Marcos - San Diego County,San Marcos,San Diego County,9,107,3.69,32.9,"$55,815",83781,64,24.37,365,256,243,119,162,202
Cathedral City - Riverside County,Cathedral City,Riverside County,3,59,1.40,36,"$45,088",51200,64,21.5,190,104,74,200,68,203
Antelope - Sacramento County,Antelope,Sacramento County,1,22,1.46,31.4,"$71,211",45770,64,6.84,1,7,79,86,268,204
Oakley - Contra Costa County,Oakley,Contra Costa County,1,28,0.63,32,"$78,102",35432,64,15.85,1,18,21,100,313,205
Stevenson Ranch - Los Angeles County,Stevenson Ranch,Los Angeles County,6,342,9.43,36.5,"$114,036",17557,64,6.36,309,401,400,216,404,206
Palo Alto - Santa Clara County,Palo Alto,Santa Clara County,10,155,4.19,41.9,"$122,532",64403,64,23.88,376,341,274,343,415,207
Isla Vista - Santa Barbara County,Isla Vista,Santa Barbara County,1,43,5.41,20.7,"$22,834",23096,64,1.85,1,53,334,1,2,208
Visalia - Tulare County,Visalia,Tulare County,9,72,2.48,31.6,"$54,019",124442,64,36.25,365,147,151,89,149,209
Concord - Contra Costa County,Concord,Contra Costa County,11,90,3.60,37,"$65,769",122067,65,30.55,385,206,233,228,238,210
Whittier - Los Angeles County,Whittier,Los Angeles County,7,82,4.78,35.4,"$68,055",85331,65,14.65,339,180,313,188,251,211
Banning - Riverside County,Banning,Riverside County,2,68,0.87,42.3,"$37,373",29603,65,23.1,113,130,37,351,28,212
