ID,Name,Ownership Type,Phone Number,Address,City,County,Zip,Coordinates,State,Image,Regular hours,Saturday Openint TImes,Sunday Opening Times,24-Hour Service,Starbucks Reserve-Clover Brewed,Oven-Warmed Food,Free Wi-Fi,Verismo System,Mobile Payment,Digital Rewards,La Boulange,Fizzio Handcrafted Sodas,Drive-Thru,Link
11581,1231 Market Street,Company Owned,(415) 522-1438,"1231 Market Street, 94103  San Francisco County, California",San Francisco - San Francisco County,San Francisco County,94103,"37.777957,-122.41494",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.777957,-122.41494&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:30 AM to 10:30 PM,5:30 AM to 10:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/11581/us
14680,"12th & Centennial, Hanford",Company Owned,559-584-7798,"240 N. 12th Avenue, 932305995  Kings County, California",Hanford - Kings County,Kings County,932305995,"36.32551757235,-119.67301486298",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=36.32551757235,-119.67301486298&fov=90&heading=235&pitch=10",4:30 AM to 11:00 PM,4:30 AM to 12:00 AM,5:00 AM to 11:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/14680/us
17033,"12th & Hill, Los Angeles(AT&T Bldg)",Company Owned,213-749-0487,"1149 S. Hill Street, 900152212  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900152212,"34.03948,-118.261337",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.03948,-118.261337&fov=90&heading=235&pitch=10",5:00 AM to 7:00 PM,7:30 AM to 2:00 PM,Closed,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/17033/us
90144,"13th & Main, Ramona",Company Owned,7607890053,"1315 Main Street, 920652126  San Diego County, California",Ramona - San Diego County,San Diego County,920652126,"33.0395812988281,-116.873985290527",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.0395812988281,-116.873985290527&fov=90&heading=235&pitch=10",4:30 AM to 9:00 PM,4:30 AM to 9:30 PM,5:00 AM to 8:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/90144/us
18564,1400 Eureka Way - Redding,Company Owned,530-242-6443,"1400 Eureka Way, 960010614  Shasta County, California",Redding - Shasta County,Shasta County,960010614,"40.587793,-122.392596",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=40.587793,-122.392596&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,5:30 AM to 8:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/18564/us
8721,15600 Hesperian - San Lorenzo,Company Owned,510-317-7433,"15600 Hesperian Boulevard, 945801639  Alameda County, California",San Lorenzo - Alameda County,Alameda County,945801639,"37.686937,-122.129804",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.686937,-122.129804&fov=90&heading=235&pitch=10",3:30 AM to 1:00 AM,4:00 AM to 1:00 AM,4:00 AM to 1:00 AM,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/8721/us
16372,15th & Broadway - Sacramento,Company Owned,916-447-5105,"1429 Broadway, 958182260  Sacramento County, California",Sacramento - Sacramento County,Sacramento County,958182260,"38.562213,-121.494015",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=38.562213,-121.494015&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/16372/us
16756,15th & Montana,Company Owned,(310) 394-3449,"1426 Montana Avenue, 904031763  Los Angeles County, California",Santa Monica - Los Angeles County,Los Angeles County,904031763,"34.032754,-118.494233",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.032754,-118.494233&fov=90&heading=235&pitch=10",5:30 AM to 8:00 PM,5:30 AM to 8:00 PM,6:00 AM to 8:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16756/us
15460,1601 P Street - Sacramento,Company Owned,916-447-1968,"1501 16th Street, 958146072  Sacramento County, California",Sacramento - Sacramento County,Sacramento County,958146072,"38.571603,-121.48787",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=38.571603,-121.48787&fov=90&heading=235&pitch=10",5:30 AM to 8:00 PM,6:30 AM to 8:00 PM,6:30 AM to 6:00 PM,No,No,Yes,No,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/15460/us
1005374,16th & K - Sacramento,Company Owned,916 9300529,"1020 16th Street, 95814  Sacramento County, California",Sacramento - Sacramento County,Sacramento County,95814,"38.5773468017578,-121.485740661621",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=38.5773468017578,-121.485740661621&fov=90&heading=235&pitch=10",5:00 AM to 8:00 PM,5:30 AM to 8:00 PM,6:00 AM to 8:00 PM,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,http://www.starbucks.com/store/1005374/us
9174,175 West Shaw - Clovis,Company Owned,(559) 297-8885,"175 W Shaw, 936123726  Fresno County, California",Clovis - Fresno County,Fresno County,936123726,"36.808711,-119.71271",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=36.808711,-119.71271&fov=90&heading=235&pitch=10",4:30 AM to 10:30 PM,4:30 AM to 10:30 PM,5:30 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/9174/us
15893,1750 Divisadero Street,Company Owned,(415) 346-7193,"1750 Divisadero Street, 941153012  San Francisco County, California",San Francisco - San Francisco County,San Francisco County,941153012,"37.78598,-122.439827",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.78598,-122.439827&fov=90&heading=235&pitch=10",5:00 AM to 8:00 PM,5:00 AM to 6:30 PM,5:00 AM to 6:30 PM,No,No,Yes,No,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/15893/us
15993,176 Gateway Blvd.,Company Owned,(650) 866-3904,"176 Gateway Blvd., 940807049  San Mateo County, California",South San Francisco - San Mateo County,San Mateo County,940807049,"37.652198,-122.402008",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.652198,-122.402008&fov=90&heading=235&pitch=10",3:30 AM to 10:00 PM,5:00 AM to 6:00 PM,5:00 AM to 6:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/15993/us
68129,"17th & Bristol, Santa Ana",Company Owned,7145507048,"1702 N. Bristol Street, 927063327  Orange County, California",Santa Ana - Orange County,Orange County,927063327,"33.760641,-117.88562",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.760641,-117.88562&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,6:00 AM to 9:30 PM,7:00 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/68129/us
12326,17th & El Camino - San Mateo,Company Owned,650-357-8176,"1701 South El Camino Real, 944023025  San Mateo County, California",San Mateo - San Mateo County,San Mateo County,944023025,"37.55219,-122.31384",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.55219,-122.31384&fov=90&heading=235&pitch=10",4:45 AM to 8:30 PM,4:45 AM to 8:30 PM,5:30 AM to 8:00 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/12326/us
18516,"17th & Grand, Santa Ana",Company Owned,714-836-6975,"1248 East 17th Street, 927012621  Orange County, California",Santa Ana - Orange County,Orange County,927012621,"33.759676,-117.852846",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.759676,-117.852846&fov=90&heading=235&pitch=10",4:30 AM to 11:30 PM,4:30 AM to 11:30 PM,4:30 AM to 11:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/18516/us
16378,17th & Newport Blvd. - Costa Mesa,Company Owned,(949) 631-2187,"1696 Newport Blvd., 926273787  Orange County, California",Costa Mesa - Orange County,Orange County,926273787,"33.636883,-117.921528",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.636883,-117.921528&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,5:00 AM to 10:30 PM,5:00 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16378/us
12055,"17th & Tustin, Santa Ana",Company Owned,714-568-9884,"2302 E. 17th Street, 927058609  Orange County, California",Santa Ana - Orange County,Orange County,927058609,"33.759548,-117.833694",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.759548,-117.833694&fov=90&heading=235&pitch=10",12:00 AM to 12:00 AM,12:00 AM to 12:00 AM,12:00 AM to 12:00 AM,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/12055/us
17034,17th & Westminster,Company Owned,(949) 642-3792,"250 E. 17th Street, Suite A, 926273853  Orange County, California",Costa Mesa - Orange County,Orange County,926273853,"33.634149,-117.916588",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.634149,-117.916588&fov=90&heading=235&pitch=10",6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 7:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/17034/us
8843,1800 Irving Street,Company Owned,415-242-7970,"1800 Irving Street, 941221818  San Francisco County, California",San Francisco - San Francisco County,San Francisco County,941221818,"37.763719,-122.477464",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.763719,-122.477464&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/8843/us
11138,1875 Century Park E.,Company Owned,(310) 553-8226,"1875 Century Park East, 900672501  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900672501,"34.061043,-118.414938",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.061043,-118.414938&fov=90&heading=235&pitch=10",5:00 AM to 7:00 PM,Closed,Closed,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11138/us
7079,18th & A - Antioch,Company Owned,925-522-8207,"1896 A Street, 945092602  Contra Costa County, California",Antioch - Contra Costa County,Contra Costa County,945092602,"38.004002,-121.806169",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=38.004002,-121.806169&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,5:30 AM to 9:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/7079/us
12309,190th & Anza,Company Owned,310-542-1072,"5050 190th Street, 905031004  Los Angeles County, California",Torrance - Los Angeles County,Los Angeles County,905031004,"33.85776,-118.36518",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.85776,-118.36518&fov=90&heading=235&pitch=10",4:30 AM to 12:00 AM,5:00 AM to 12:00 AM,5:00 AM to 12:00 AM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12309/us
11077,199 Fremont @ Howard - SF,Company Owned,415-615-0458,"199 Fremont Street, 941052245  San Francisco County, California",San Francisco - San Francisco County,San Francisco County,941052245,"37.789909,-122.394571",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.789909,-122.394571&fov=90&heading=235&pitch=10",5:00 AM to 7:30 PM,Closed,Closed,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/11077/us
12305,"1990 Cliff Drive, Santa Barbara",Company Owned,805-884-1811,"1990 Cliff Drive, 931091504  Santa Barbara County, California",Santa Barbara - Santa Barbara County,Santa Barbara County,931091504,"34.402152,-119.723166",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.402152,-119.723166&fov=90&heading=235&pitch=10",5:00 AM to 9:30 PM,5:00 AM to 9:30 PM,5:00 AM to 9:30 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12305/us
11947,1999 Ave. of the Stars,Company Owned,(310) 557-0785,"1999 Avenue of the Stars, 900676022  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900676022,"34.058748,-118.416168",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.058748,-118.416168&fov=90&heading=235&pitch=10",4:30 AM to 7:00 PM,Closed,Closed,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11947/us
9130,19th & J Street - Sacramento,Company Owned,(916) 444-1892,"1901 J Street, 958113019  Sacramento County, California",Sacramento - Sacramento County,Sacramento County,958113019,"38.577149,-121.480939",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=38.577149,-121.480939&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:30 AM to 9:00 PM,6:00 AM to 7:00 PM,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/9130/us
7862,1st & Military - Benicia,Company Owned,707-746-6473,"90 Solano Square, 945102712  Solano County, California",Benicia - Solano County,Solano County,945102712,"38.054595,-122.155573",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=38.054595,-122.155573&fov=90&heading=235&pitch=10",4:30 AM to 9:00 PM,4:30 AM to 9:30 PM,5:00 AM to 8:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/7862/us
12056,1st Street & Trimble - San Jose,Company Owned,408-428-9887,"2579 North First Street, 951311003  Santa Clara County, California",San Jose - Santa Clara County,Santa Clara County,951311003,"37.385351,-121.927919",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.385351,-121.927919&fov=90&heading=235&pitch=10",5:00 AM to 7:30 PM,5:30 AM to 3:30 PM,Closed,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/12056/us
12484,200 Saratoga Ave,Company Owned,408-296-6808,"200 Saratoga Ave, 950506629  Santa Clara County, California",Santa Clara - Santa Clara County,Santa Clara County,950506629,"37.328332,-121.966114",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.328332,-121.966114&fov=90&heading=235&pitch=10",4:30 AM to 11:00 PM,5:00 AM to 11:00 PM,5:00 AM to 10:30 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/12484/us
12062,2000 El Camino - Palo Alto,Company Owned,650-320-8125,"2000 El Camino Real, 943061123  Santa Clara County, California",Palo Alto - Santa Clara County,Santa Clara County,943061123,"37.42739,-122.149271",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.42739,-122.149271&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,6:00 AM to 11:00 PM,6:00 AM to 10:00 PM,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/12062/us
16445,201 Powell Street - San Francisco,Company Owned,415-835-2470,"201 Powell Street, 941022205  San Francisco County, California",San Francisco - San Francisco County,San Francisco County,941022205,"37.786167,-122.409156",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.786167,-122.409156&fov=90&heading=235&pitch=10",12:00 AM to 12:00 AM,12:00 AM to 12:00 AM,12:00 AM to 12:00 AM,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/16445/us
11946,2049 Century Park E.,Company Owned,(310) 286-3023,"2049 Century Park East, 900673101  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900673101,"34.0593,-118.412792",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.0593,-118.412792&fov=90&heading=235&pitch=10",5:00 AM to 7:00 PM,Closed,Closed,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11946/us
11397,2059 Mountain Blvd. - Oakland,Company Owned,510-338-1090,"2059 Mountain Blvd, 946112815  Alameda County, California",Oakland - Alameda County,Alameda County,946112815,"37.82651,-122.209557",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.82651,-122.209557&fov=90&heading=235&pitch=10",5:30 AM to 6:30 PM,6:00 AM to 7:00 PM,6:00 AM to 6:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/11397/us
8918,20th & Forest - Chico,Company Owned,530-894-7533,"2009 Forest, 95926  Butte County, California",Chico - Butte County,Butte County,95926,"39.7264,-121.80117",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=39.7264,-121.80117&fov=90&heading=235&pitch=10",4:30 AM to 9:30 PM,5:00 AM to 10:00 PM,5:00 AM to 9:00 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/8918/us
10972,"20th St West & Avenue I, Lancaster",Company Owned,661-723-5708,"1845 W. Avenue I, 935341453  Los Angeles County, California",Lancaster - Los Angeles County,Los Angeles County,935341453,"34.704169,-118.165055",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.704169,-118.165055&fov=90&heading=235&pitch=10",4:30 AM to 10:30 PM,4:30 AM to 11:00 PM,4:30 AM to 10:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/10972/us
18556,2128 Oxford St.,Company Owned,(510) 486-1840,"2128 Oxford Street, 947041311  Alameda County, California",Berkeley - Alameda County,Alameda County,947041311,"37.870446,-122.266046",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.870446,-122.266046&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,6:00 AM to 8:30 PM,6:00 AM to 8:30 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/18556/us
14844,2224 Shattuck - Berkeley,Company Owned,(510) 843-6806,"2224 Shattuck Avenue, 947041416  Alameda County, California",Berkeley - Alameda County,Alameda County,947041416,"37.868869,-122.268201",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.868869,-122.268201&fov=90&heading=235&pitch=10",5:00 AM to 10:30 PM,5:00 AM to 10:30 PM,5:00 AM to 10:30 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/14844/us
9503,"24th & L Street, Bakersfield",Company Owned,661-324-1267,"1201 24th Street, 933012300  Kern County, California",Bakersfield - Kern County,Kern County,933012300,"35.380878,-119.016164",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=35.380878,-119.016164&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,4:30 AM to 11:00 PM,4:30 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/9503/us
12166,24th & Noe,Company Owned,(415) 826-1118,"3995 24th Street, 941143703  San Francisco County, California",San Francisco - San Francisco County,San Francisco County,941143703,"37.75134,-122.431704",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.75134,-122.431704&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,5:30 AM to 9:00 PM,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/12166/us
7924,"24th & Ysabel, Paso Robles",Company Owned,(805) 226-7482,"1205 24th Street, 934461310  San Luis Obispo County, California",Paso Robles - San Luis Obispo County,San Luis Obispo County,934461310,"35.641867,-120.687022",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=35.641867,-120.687022&fov=90&heading=235&pitch=10",4:30 AM to 11:00 PM,4:30 AM to 11:00 PM,4:30 AM to 11:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/7924/us
11764,2535 Pacific Ave. - Stockton,Company Owned,(209) 463-8877,"2535 Pacific Avenue, 952044437  San Joaquin County, California",Stockton - San Joaquin County,San Joaquin County,952044437,"37.973508,-121.302098",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.973508,-121.302098&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 10:30 PM,5:00 AM to 10:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11764/us
16777,267 E. Campbell Ave.,Company Owned,408-364-0846,"267 E. Campbell Avenue, 950082075  Santa Clara County, California",Campbell - Santa Clara County,Santa Clara County,950082075,"37.287195,-121.945056",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.287195,-121.945056&fov=90&heading=235&pitch=10",5:30 AM to 9:00 PM,6:00 AM to 10:00 PM,6:00 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/16777/us
9160,27 Drumm Street,Company Owned,415-392-3825,"27 Drumm Street, 941114805  San Francisco County, California",San Francisco - San Francisco County,San Francisco County,941114805,"37.794137,-122.396856",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.794137,-122.396856&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:00 AM to 10:00 PM,5:30 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/9160/us
13358,2843 Lenwood Blvd. - Barstow,Company Owned,(760) 253-4474,"2849 Lenwood Blvd., 923119438  San Bernardino County, California",Barstow - San Bernardino County,San Bernardino County,923119438,"34.849552,-117.082926",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.849552,-117.082926&fov=90&heading=235&pitch=10",6:00 AM to 9:00 PM,5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/13358/us
8326,"28th & B Street, San Diego",Company Owned,619-231-7637,"1206 28th Street, 921022206  San Diego County, California",San Diego - San Diego County,San Diego County,921022206,"32.71813,-117.134032",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=32.71813,-117.134032&fov=90&heading=235&pitch=10",5:00 AM to 10:30 PM,5:00 AM to 10:30 PM,6:00 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/8326/us
