State,Total Homeless Persons,"Rate of Homeless Population per 10,000",Chronic individuals (% Homeless population),Chronic Persons in Families (% Homeless population),"Chronic Homeless Persons, Total (% Homeless population)",Persons in families (% Homeless population),Unaccompanied Children and youth (% Homeless population),Veterans (% Homeless population),Unsheltered persons (% Homeless population),Change from Last Year,Population,Source for population,Source for Homeless Statistics,Notes on Population
Kentucky,5245,11.93,7.5%,2.8%,10.3%,37.0%,7.3%,11.6%,14.4%,0.29%,4395295,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Louisiana,5226,11.30,19.4%,1.9%,21.3%,25.2%,9.3%,11.0%,30.1%,-32.76%,4625470,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Maine,3016,22.71,5.3%,0.6%,5.8%,48.2%,10.2%,5.4%,2.1%,26.03%,1328302,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Maryland,8205,13.84,15.2%,2.8%,18.0%,36.4%,4.7%,8.2%,23.4%,-13.21%,5928814,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Massachusetts,19029,28.43,8.3%,2.8%,11.1%,64.8%,2.7%,6.6%,4.5%,8.73%,6692824,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Michigan,11527,11.65,8.4%,1.2%,9.6%,37.2%,9.4%,9.5%,19.0%,-8.46%,9895622,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Minnesota,8214,15.15,11.1%,5.3%,16.4%,54.6%,8.9%,4.2%,11.1%,6.07%,5420380,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Mississippi,2403,8.03,17.0%,2.8%,19.8%,27.0%,13.9%,8.7%,54.9%,-0.41%,2991207,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Missouri,8581,14.20,8.1%,4.0%,12.1%,45.8%,7.4%,9.8%,24.2%,-16.18%,6044171,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Montana,1878,18.50,11.2%,0.9%,12.1%,35.5%,8.8%,16.5%,41.7%,2.45%,1015165,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Nebraska,3145,16.83,10.8%,2.4%,13.2%,39.8%,9.0%,5.8%,5.5%,-17.00%,1868516,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Nevada,8443,30.26,10.5%,0.1%,10.5%,10.0%,22.8%,11.3%,56.2%,-14.94%,2790136,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
New Hampshire,1447,10.93,15.6%,2.0%,17.6%,44.9%,8.0%,8.6%,14.0%,-3.28%,1323459,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
New Jersey,12002,13.49,8.3%,2.0%,10.3%,49.2%,5.8%,4.5%,11.7%,-7.85%,8899339,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
New Mexico,2819,13.52,14.2%,4.5%,18.6%,36.6%,14.3%,8.6%,15.2%,-13.13%,2085287,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
New York,77430,39.40,5.2%,2.9%,8.2%,59.7%,4.7%,6.0%,5.4%,11.30%,19651127,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
North Carolina,12168,12.36,11.9%,3.2%,15.1%,38.1%,7.2%,9.2%,25.9%,-10.03%,9848060,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
North Dakota,2069,28.60,5.3%,3.3%,8.7%,40.6%,10.0%,11.6%,67.4%,200.73%,723393,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Ohio,12325,10.65,13.6%,0.6%,14.2%,38.2%,7.4%,9.8%,10.9%,-11.82%,11570808,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Oklahoma,4408,11.45,14.0%,2.3%,16.3%,27.9%,10.9%,9.9%,26.0%,-12.40%,3850568,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Oregon,13822,35.17,17.7%,4.3%,22.0%,34.9%,8.7%,10.8%,53.5%,-12.67%,3930065,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Pennsylvania,15086,11.81,10.2%,1.0%,11.1%,47.1%,5.6%,9.7%,9.0%,2.38%,12773801,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Puerto Rico,4128,11.42,39.5%,12.1%,51.6%,15.9%,3.7%,2.0%,66.0%,28.52%,3615086,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Rhode Island,1384,13.16,17.6%,0.6%,18.1%,37.7%,5.3%,7.0%,8.5%,8.38%,1051511,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
South Carolina,6544,13.71,6.9%,0.5%,7.4%,27.6%,4.9%,9.7%,47.9%,33.14%,4774839,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
South Dakota,1094,12.95,10.7%,9.1%,19.8%,49.1%,5.8%,11.4%,31.0%,27.36%,844877,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Tennessee,9528,14.67,20.2%,3.0%,23.3%,27.5%,6.3%,10.4%,33.7%,1.08%,6495978,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Texas,29615,11.20,16.1%,2.6%,18.7%,29.9%,7.0%,13.1%,40.8%,-13.03%,26448193,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
US Virgin Islands,482,45.30,18.0%,0.0%,18.0%,7.9%,3.9%,6.8%,75.3%,-0.41%,106405,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,Population from 2010 census
Utah,3277,11.30,10.6%,3.3%,13.9%,40.2%,4.3%,10.0%,12.8%,-7.09%,2900872,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Vermont,1454,23.20,12.6%,2.3%,14.9%,51.8%,5.9%,8.8%,12.7%,25.34%,626630,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Virginia,7625,9.23,16.6%,1.2%,17.8%,40.6%,4.1%,9.4%,13.4%,-9.48%,8260405,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Washington,17760,25.48,10.9%,1.5%,12.4%,40.2%,6.4%,7.4%,28.5%,-13.38%,6971406,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
West Virginia,2240,12.08,17.4%,1.9%,19.3%,31.1%,11.3%,14.7%,28.0%,-7.05%,1854304,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Wisconsin,6104,10.63,7.4%,1.2%,8.5%,50.8%,6.3%,9.0%,6.0%,1.28%,5742713,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Wyoming,953,16.36,23.2%,2.4%,25.6%,29.0%,11.2%,14.4%,47.4%,-47.44%,582658,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
