ID,State,Variable,2013,2012,%  Change from 2012,Percentage of Total Homeless Populaiton (2013),"Rate per 10,000"
South Dakota - Chronic individuals,South Dakota,Chronic individuals,117,113,3.54%,10.7%,1.38
Nebraska - Chronic individuals,Nebraska,Chronic individuals,339,396,-14.39%,10.8%,1.81
Idaho - Chronic individuals,Idaho,Chronic individuals,193,200,-3.50%,10.8%,1.20
Washington - Chronic individuals,Washington,Chronic individuals,"1,927","2,041",-5.59%,10.9%,2.76
Minnesota - Chronic individuals,Minnesota,Chronic individuals,915,"1,004",-8.86%,11.1%,1.69
Montana - Chronic individuals,Montana,Chronic individuals,210,304,-30.92%,11.2%,2.07
Kansas - Chronic individuals,Kansas,Chronic individuals,304,307,-0.98%,11.3%,1.05
North Carolina - Chronic individuals,North Carolina,Chronic individuals,"1,451","1,465",-0.96%,11.9%,1.47
Vermont - Chronic individuals,Vermont,Chronic individuals,183,190,-3.68%,12.6%,2.92
Ohio - Chronic individuals,Ohio,Chronic individuals,"1,677","1,788",-6.21%,13.6%,1.45
Colorado - Chronic individuals,Colorado,Chronic individuals,"1,354","1,612",-16.00%,13.9%,2.57
Oklahoma - Chronic individuals,Oklahoma,Chronic individuals,617,481,28.27%,14.0%,1.60
New Mexico - Chronic individuals,New Mexico,Chronic individuals,399,973,-58.99%,14.2%,1.91
Arkansas - Chronic individuals,Arkansas,Chronic individuals,565,361,56.51%,14.8%,1.91
Maryland - Chronic individuals,Maryland,Chronic individuals,"1,249","1,259",-0.79%,15.2%,2.11
New Hampshire - Chronic individuals,New Hampshire,Chronic individuals,226,237,-4.64%,15.6%,1.71
Georgia - Chronic individuals,Georgia,Chronic individuals,"2,713","3,016",-10.05%,16.0%,2.72
Texas - Chronic individuals,Texas,Chronic individuals,"4,770","6,115",-22.00%,16.1%,1.80
Florida - Chronic individuals,Florida,Chronic individuals,"7,778","8,682",-10.41%,16.3%,3.98
Hawaii - Chronic individuals,Hawaii,Chronic individuals,"1,031",910,13.30%,16.3%,7.34
Alabama - Chronic individuals,Alabama,Chronic individuals,768,910,-15.60%,16.4%,1.59
Virginia - Chronic individuals,Virginia,Chronic individuals,"1,262","1,531",-17.57%,16.6%,1.53
Mississippi - Chronic individuals,Mississippi,Chronic individuals,408,450,-9.33%,17.0%,1.36
West Virginia - Chronic individuals,West Virginia,Chronic individuals,390,346,12.72%,17.4%,2.10
Rhode Island - Chronic individuals,Rhode Island,Chronic individuals,243,148,64.19%,17.6%,2.31
Oregon - Chronic individuals,Oregon,Chronic individuals,"2,444","2,782",-12.15%,17.7%,6.22
US Virgin Islands - Chronic individuals,US Virgin Islands,Chronic individuals,87,193,-54.92%,18.0%,8.18
Louisiana - Chronic individuals,Louisiana,Chronic individuals,"1,015","2,743",-63%,19.4%,2.19
Connecticut - Chronic individuals,Connecticut,Chronic individuals,872,924,-5.63%,19.6%,2.42
Tennessee - Chronic individuals,Tennessee,Chronic individuals,"1,929","2,114",-8.75%,20.2%,2.97
Wyoming - Chronic individuals,Wyoming,Chronic individuals,221,375,-41.07%,23.2%,3.79
District of Columbia - Chronic individuals,District of Columbia,Chronic individuals,"1,764","1,870",-5.67%,25.7%,27.29
California - Chronic individuals,California,Chronic individuals,"35,386","33,422",5.88%,25.9%,9.23
Puerto Rico - Chronic individuals,Puerto Rico,Chronic individuals,"1,629","1,597",2.00%,39.5%,4.51
US Virgin Islands - Chronic Families,US Virgin Islands,Chronic Persons in Families,0,,,0.0%,
Nevada - Chronic Families,Nevada,Chronic Persons in Families,6,,,0.1%,
South Carolina - Chronic Families,South Carolina,Chronic Persons in Families,30,,,0.5%,
Maine - Chronic Families,Maine,Chronic Persons in Families,17,,,0.6%,
Rhode Island - Chronic Families,Rhode Island,Chronic Persons in Families,8,,,0.6%,
Ohio - Chronic Families,Ohio,Chronic Persons in Families,76,,,0.6%,
Delaware - Chronic Families,Delaware,Chronic Persons in Families,6,,,0.6%,
Montana - Chronic Families,Montana,Chronic Persons in Families,17,,,0.9%,
Alaska - Chronic Families,Alaska,Chronic Persons in Families,18,,,0.9%,
Pennsylvania - Chronic Families,Pennsylvania,Chronic Persons in Families,145,,,1.0%,
Arkansas - Chronic Families,Arkansas,Chronic Persons in Families,37,,,1.0%,
Indiana - Chronic Families,Indiana,Chronic Persons in Families,69,,,1.1%,
Arizona - Chronic Families,Arizona,Chronic Persons in Families,124,,,1.2%,
Wisconsin - Chronic Families,Wisconsin,Chronic Persons in Families,72,,,1.2%,
Michigan - Chronic Families,Michigan,Chronic Persons in Families,137,,,1.2%,
Virginia - Chronic Families,Virginia,Chronic Persons in Families,94,,,1.2%,
Illinois - Chronic Families,Illinois,Chronic Persons in Families,171,,,1.3%,
Washington - Chronic Families,Washington,Chronic Persons in Families,269,,,1.5%,
Iowa - Chronic Families,Iowa,Chronic Persons in Families,50,,,1.6%,
West Virginia - Chronic Families,West Virginia,Chronic Persons in Families,42,,,1.9%,
Louisiana - Chronic Families,Louisiana,Chronic Persons in Families,100,,,1.9%,
Alabama - Chronic Families,Alabama,Chronic Persons in Families,90,,,1.9%,
Kansas - Chronic Families,Kansas,Chronic Persons in Families,52,,,1.9%,
New Jersey - Chronic Families,New Jersey,Chronic Persons in Families,235,,,2.0%,
New Hampshire - Chronic Families,New Hampshire,Chronic Persons in Families,29,,,2.0%,
Georgia - Chronic Families,Georgia,Chronic Persons in Families,369,,,2.2%,
Oklahoma - Chronic Families,Oklahoma,Chronic Persons in Families,102,,,2.3%,
Vermont - Chronic Families,Vermont,Chronic Persons in Families,34,,,2.3%,
Hawaii - Chronic Families,Hawaii,Chronic Persons in Families,149,,,2.4%,
Nebraska - Chronic Families,Nebraska,Chronic Persons in Families,75,,,2.4%,
Wyoming - Chronic Families,Wyoming,Chronic Persons in Families,23,,,2.4%,
Texas - Chronic Families,Texas,Chronic Persons in Families,765,,,2.6%,
Mississippi - Chronic Families,Mississippi,Chronic Persons in Families,67,,,2.8%,
Kentucky - Chronic Families,Kentucky,Chronic Persons in Families,147,,,2.8%,
Maryland - Chronic Families,Maryland,Chronic Persons in Families,231,,,2.8%,
California - Chronic Families,California,Chronic Persons in Families,"3,864",,,2.8%,
Massachusetts - Chronic Families,Massachusetts,Chronic Persons in Families,538,,,2.8%,
New York - Chronic Families,New York,Chronic Persons in Families,"2,272",,,2.9%,
Tennessee - Chronic Families,Tennessee,Chronic Persons in Families,290,,,3.0%,
North Carolina - Chronic Families,North Carolina,Chronic Persons in Families,391,,,3.2%,
Utah - Chronic Families,Utah,Chronic Persons in Families,107,,,3.3%,
North Dakota - Chronic Families,North Dakota,Chronic Persons in Families,69,,,3.3%,
District of Columbia - Chronic Families,District of Columbia,Chronic Persons in Families,263,,,3.8%,
Florida - Chronic Families,Florida,Chronic Persons in Families,"1,869",,,3.9%,
Connecticut - Chronic Families,Connecticut,Chronic Persons in Families,174,,,3.9%,
Missouri - Chronic Families,Missouri,Chronic Persons in Families,342,,,4.0%,
Oregon - Chronic Families,Oregon,Chronic Persons in Families,599,,,4.3%,
Colorado - Chronic Families,Colorado,Chronic Persons in Families,426,,,4.4%,
Idaho - Chronic Families,Idaho,Chronic Persons in Families,78,,,4.4%,
New Mexico - Chronic Families,New Mexico,Chronic Persons in Families,126,,,4.5%,
Minnesota - Chronic Families,Minnesota,Chronic Persons in Families,435,,,5.3%,
South Dakota - Chronic Families,South Dakota,Chronic Persons in Families,100,,,9.1%,
Puerto Rico - Chronic Families,Puerto Rico,Chronic Persons in Families,501,,,12.1%,
Guam - Chronic Families,Guam,Chronic Persons in Families,239,,,18.8%,
Alabama - Family Households,Alabama,Family Households,495,497,-0.40%,,
Alaska - Family Households,Alaska,Family Households,196,216,-9.26%,,
Arizona - Family Households,Arizona,Family Households,"1,291","1,465",-11.88%,,
Arkansas - Family Households,Arkansas,Family Households,218,266,-18.05%,,
California - Family Households,California,Family Households,"8,267","8,076",2.37%,,
Colorado - Family Households,Colorado,Family Households,"1,444","3,104",-53.48%,,
Connecticut - Family Households,Connecticut,Family Households,475,449,5.79%,,
Delaware - Family Households,Delaware,Family Households,119,128,-7.03%,,
District of Columbia - Family Households,District of Columbia,Family Households,983,"1,014",-3.06%,,
Florida - Family Households,Florida,Family Households,"5,806","6,333",-8.32%,,
Georgia - Family Households,Georgia,Family Households,"1,257","1,779",-29.34%,,
Guam - Family Households,Guam,Family Households,167,165,1.21%,,
Hawaii - Family Households,Hawaii,Family Households,736,792,-7.07%,,
Idaho - Family Households,Idaho,Family Households,211,246,-14.23%,,
Illinois - Family Households,Illinois,Family Households,"1,730","1,905",-9.19%,,
Indiana - Family Households,Indiana,Family Households,739,955,-22.62%,,
Iowa - Family Households,Iowa,Family Households,495,466,6.22%,,
Kansas - Family Households,Kansas,Family Households,387,346,11.85%,,
Kentucky - Family Households,Kentucky,Family Households,672,667,0.75%,,
Louisiana - Family Households,Louisiana,Family Households,415,474,-12.45%,,
Maine - Family Households,Maine,Family Households,494,376,31.38%,,
Maryland - Family Households,Maryland,Family Households,997,"1,300",-23.31%,,
Massachusetts - Family Households,Massachusetts,Family Households,"4,327","3,887",11.32%,,
Michigan - Family Households,Michigan,Family Households,"1,412","1,703",-17.09%,,
Minnesota - Family Households,Minnesota,Family Households,"1,338","1,311",2.06%,,
Mississippi - Family Households,Mississippi,Family Households,192,221,-13.12%,,
Missouri - Family Households,Missouri,Family Households,"1,259","1,745",-27.85%,,
Montana - Family Households,Montana,Family Households,207,192,7.81%,,
Nebraska - Family Households,Nebraska,Family Households,397,514,-22.76%,,
Nevada - Family Households,Nevada,Family Households,319,343,-7.00%,,
New Hampshire - Family Households,New Hampshire,Family Households,229,240,-4.58%,,
New Jersey - Family Households,New Jersey,Family Households,"1,994","2,247",-11.26%,,
New Mexico - Family Households,New Mexico,Family Households,323,348,-7.18%,,
New York - Family Households,New York,Family Households,"13,675","12,170",12.37%,,
North Carolina - Family Households,North Carolina,Family Households,"1,520","1,633",-6.92%,,
North Dakota - Family Households,North Dakota,Family Households,244,70,248.57%,,
Ohio - Family Households,Ohio,Family Households,"1,501","1,943",-22.75%,,
Oklahoma - Family Households,Oklahoma,Family Households,426,519,-17.92%,,
Oregon - Family Households,Oregon,Family Households,"1,524","2,110",-27.77%,,
Pennsylvania - Family Households,Pennsylvania,Family Households,"2,409","2,476",-2.71%,,
Puerto Rico - Family Households,Puerto Rico,Family Households,185,297,-37.71%,,
Rhode Island - Family Households,Rhode Island,Family Households,177,182,-2.75%,,
South Carolina - Family Households,South Carolina,Family Households,640,551,16.15%,,
South Dakota - Family Households,South Dakota,Family Households,154,119,29.41%,,
Tennessee - Family Households,Tennessee,Family Households,880,833,5.64%,,
Texas - Family Households,Texas,Family Households,"2,826","4,511",-37.35%,,
US Virgin Islands - Family Households,US Virgin Islands,Family Households,11,16,-31.25%,,
Utah - Family Households,Utah,Family Households,406,445,-8.76%,,
Vermont - Family Households,Vermont,Family Households,262,172,52.33%,,
Virginia - Family Households,Virginia,Family Households,984,"1,094",-10.05%,,
Washington - Family Households,Washington,Family Households,"2,217","2,871",-22.78%,,
West Virginia - Family Households,West Virginia,Family Households,228,243,-6.17%,,
Wisconsin - Family Households,Wisconsin,Family Households,"1,016",961,5.72%,,
Wyoming - Family Households,Wyoming,Family Households,84,171,-50.88%,,
Alabama - Homeless persons,Alabama,Homeless persons,"4,689","5,209",-9.98%,,9.70
Alaska - Homeless persons,Alaska,Homeless persons,"1,946","1,913",1.73%,,26.47
Arizona - Homeless persons,Arizona,Homeless persons,"10,562","11,302",-6.55%,,15.94
Arkansas - Homeless persons,Arkansas,Homeless persons,"3,812","4,214",-9.54%,,12.88
California - Homeless persons,California,Homeless persons,"136,826","130,898",4.53%,,35.69
Colorado - Homeless persons,Colorado,Homeless persons,"9,754","16,768",-41.83%,,18.51
Connecticut - Homeless persons,Connecticut,Homeless persons,"4,448","4,209",5.68%,,12.37
Delaware - Homeless persons,Delaware,Homeless persons,946,"1,008",-6.15%,,10.22
District of Columbia - Homeless persons,District of Columbia,Homeless persons,"6,865","6,954",-1.28%,,106.20
Florida - Homeless persons,Florida,Homeless persons,"47,862","55,170",-13.25%,,24.48
Georgia - Homeless persons,Georgia,Homeless persons,"16,971","20,516",-17.28%,,16.98
Guam - Homeless persons,Guam,Homeless persons,"1,271","1,301",-2.31%,,79.76
Hawaii - Homeless persons,Hawaii,Homeless persons,"6,335","6,246",1.42%,,45.12
Idaho - Homeless persons,Idaho,Homeless persons,"1,781","1,968",-9.50%,,11.05
Illinois - Homeless persons,Illinois,Homeless persons,"13,425","14,144",-5.08%,,10.42
Indiana - Homeless persons,Indiana,Homeless persons,"6,096","6,259",-2.60%,,9.28
Iowa - Homeless persons,Iowa,Homeless persons,"3,084","2,928",5.33%,,9.98
Kansas - Homeless persons,Kansas,Homeless persons,"2,693","2,684",0.34%,,9.31
Kentucky - Homeless persons,Kentucky,Homeless persons,"5,245","5,230",0.29%,,11.93
Louisiana - Homeless persons,Louisiana,Homeless persons,"5,226","7,772",-32.76%,,11.30
Maine - Homeless persons,Maine,Homeless persons,"3,016","2,393",26.03%,,22.71
Maryland - Homeless persons,Maryland,Homeless persons,"8,205","9,454",-13.21%,,13.84
Massachusetts - Homeless persons,Massachusetts,Homeless persons,"19,029","17,501",8.73%,,28.43
Michigan - Homeless persons,Michigan,Homeless persons,"11,527","12,592",-8.46%,,11.65
Minnesota - Homeless persons,Minnesota,Homeless persons,"8,214","7,744",6.07%,,15.15
Mississippi - Homeless persons,Mississippi,Homeless persons,"2,403","2,413",-0.41%,,8.03
Missouri - Homeless persons,Missouri,Homeless persons,"8,581","10,237",-16.18%,,14.20
Montana - Homeless persons,Montana,Homeless persons,"1,878","1,833",2.45%,,18.50
Nebraska - Homeless persons,Nebraska,Homeless persons,"3,145","3,789",-17.00%,,16.83
Nevada - Homeless persons,Nevada,Homeless persons,"8,443","9,926",-14.94%,,30.26
New Hampshire - Homeless persons,New Hampshire,Homeless persons,"1,447","1,496",-3.28%,,10.93
New Jersey - Homeless persons,New Jersey,Homeless persons,"12,002","13,025",-7.85%,,13.49
New Mexico - Homeless persons,New Mexico,Homeless persons,"2,819","3,245",-13.13%,,13.52
New York - Homeless persons,New York,Homeless persons,"77,430","69,566",11.30%,,39.40
North Carolina - Homeless persons,North Carolina,Homeless persons,"12,168","13,524",-10.03%,,12.36
North Dakota - Homeless persons,North Dakota,Homeless persons,"2,069",688,200.73%,,28.60
Ohio - Homeless persons,Ohio,Homeless persons,"12,325","13,977",-11.82%,,10.65
Oklahoma - Homeless persons,Oklahoma,Homeless persons,"4,408","5,032",-12.40%,,11.45
Oregon - Homeless persons,Oregon,Homeless persons,"13,822","15,828",-12.67%,,35.17
Pennsylvania - Homeless persons,Pennsylvania,Homeless persons,"15,086","14,736",2.38%,,11.81
Puerto Rico - Homeless persons,Puerto Rico,Homeless persons,"4,128","3,212",28.52%,,11.42
Rhode Island - Homeless persons,Rhode Island,Homeless persons,"1,384","1,277",8.38%,,13.16
South Carolina - Homeless persons,South Carolina,Homeless persons,"6,544","4,915",33.14%,,13.71
South Dakota - Homeless persons,South Dakota,Homeless persons,"1,094",859,27.36%,,12.95
Tennessee - Homeless persons,Tennessee,Homeless persons,"9,528","9,426",1.08%,,14.67
Texas - Homeless persons,Texas,Homeless persons,"29,615","34,052",-13.03%,,11.20
US Virgin Islands - Homeless persons,US Virgin Islands,Homeless persons,482,484,-0.41%,,45.30
Utah - Homeless persons,Utah,Homeless persons,"3,277","3,527",-7.09%,,11.30
Vermont - Homeless persons,Vermont,Homeless persons,"1,454","1,160",25.34%,,23.20
Virginia - Homeless persons,Virginia,Homeless persons,"7,625","8,424",-9.48%,,9.23
Washington - Homeless persons,Washington,Homeless persons,"17,760","20,504",-13.38%,,25.48
West Virginia - Homeless persons,West Virginia,Homeless persons,"2,240","2,410",-7.05%,,12.08
Wisconsin - Homeless persons,Wisconsin,Homeless persons,"6,104","6,027",1.28%,,10.63
Wyoming - Homeless persons,Wyoming,Homeless persons,953,"1,813",-47.44%,,16.36
US Virgin Islands - Persons in families,US Virgin Islands,Persons in families,38,46,-17.39%,7.9%,3.57
Nevada - Persons in families,Nevada,Persons in families,846,"1,010",-16.24%,10.0%,3.03
Puerto Rico - Persons in families,Puerto Rico,Persons in families,658,718,-8.36%,15.9%,1.82
Arkansas - Persons in families,Arkansas,Persons in families,638,786,-18.83%,16.7%,2.16
California - Persons in families,California,Persons in families,"25,094","25,210",-0.46%,18.3%,6.55
Georgia - Persons in families,Georgia,Persons in families,"4,091","5,153",-20.61%,24.1%,4.09
Louisiana - Persons in families,Louisiana,Persons in families,"1,318","1,450",-9.10%,25.2%,2.85
Mississippi - Persons in families,Mississippi,Persons in families,650,619,5.01%,27.0%,2.17
Tennessee - Persons in families,Tennessee,Persons in families,"2,619","2,521",3.89%,27.5%,4.03
South Carolina - Persons in families,South Carolina,Persons in families,"1,808","1,588",13.85%,27.6%,3.79
Alabama - Persons in families,Alabama,Persons in families,"1,302","1,384",-5.92%,27.8%,2.69
Oklahoma - Persons in families,Oklahoma,Persons in families,"1,229","1,578",-22.12%,27.9%,3.19
Wyoming - Persons in families,Wyoming,Persons in families,276,511,-45.99%,29.0%,4.74
Texas - Persons in families,Texas,Persons in families,"8,857","13,309",-33.45%,29.9%,3.35
Alaska - Persons in families,Alaska,Persons in families,584,615,-5.04%,30.0%,7.94
Connecticut - Persons in families,Connecticut,Persons in families,"1,347","1,303",3.38%,30.3%,3.75
West Virginia - Persons in families,West Virginia,Persons in families,696,668,4.19%,31.1%,3.75
Florida - Persons in families,Florida,Persons in families,"16,503","18,399",-10.30%,34.5%,8.44
Oregon - Persons in families,Oregon,Persons in families,"4,828","6,040",-20.07%,34.9%,12.28
Montana - Persons in families,Montana,Persons in families,667,667,0.00%,35.5%,6.57
Maryland - Persons in families,Maryland,Persons in families,"2,984","3,727",-19.94%,36.4%,5.03
New Mexico - Persons in families,New Mexico,Persons in families,"1,033","1,109",-6.85%,36.6%,4.95
Kentucky - Persons in families,Kentucky,Persons in families,"1,943","1,948",-0.26%,37.0%,4.42
Michigan - Persons in families,Michigan,Persons in families,"4,291","5,195",-17.40%,37.2%,4.34
Rhode Island - Persons in families,Rhode Island,Persons in families,522,489,6.75%,37.7%,4.96
North Carolina - Persons in families,North Carolina,Persons in families,"4,638","5,044",-8.05%,38.1%,4.71
Ohio - Persons in families,Ohio,Persons in families,"4,714","6,122",-23.00%,38.2%,4.07
Arizona - Persons in families,Arizona,Persons in families,"4,052","4,992",-18.83%,38.4%,6.11
Indiana - Persons in families,Indiana,Persons in families,"2,345","2,943",-20.32%,38.5%,3.57
Idaho - Persons in families,Idaho,Persons in families,697,793,-12.11%,39.1%,4.32
Delaware - Persons in families,Delaware,Persons in families,371,397,-6.55%,39.2%,4.01
Nebraska - Persons in families,Nebraska,Persons in families,"1,253","1,574",-20.39%,39.8%,6.71
Washington - Persons in families,Washington,Persons in families,"7,143","9,231",-22.62%,40.2%,10.25
Utah - Persons in families,Utah,Persons in families,"1,318","1,478",-10.83%,40.2%,4.54
North Dakota - Persons in families,North Dakota,Persons in families,839,203,313.30%,40.6%,11.60
Virginia - Persons in families,Virginia,Persons in families,"3,093","3,340",-7.40%,40.6%,3.74
Illinois - Persons in families,Illinois,Persons in families,"5,467","5,875",-6.94%,40.7%,4.24
New Hampshire - Persons in families,New Hampshire,Persons in families,649,664,-2.26%,44.9%,4.90
Kansas - Persons in families,Kansas,Persons in families,"1,213","1,158",-4.75%,45.0%,4.19
Missouri - Persons in families,Missouri,Persons in families,"3,929","5,382",-27%,45.8%,6.50
District of Columbia - Persons in families,District of Columbia,Persons in families,"3,169","3,187",-0.56%,46.2%,49.02
Hawaii - Persons in families,Hawaii,Persons in families,"2,980","3,116",-4.36%,47.0%,21.22
Pennsylvania - Persons in families,Pennsylvania,Persons in families,"7,113","7,441",-4.41%,47.1%,5.57
Maine - Persons in families,Maine,Persons in families,"1,453","1,106",31.37%,48.2%,10.94
South Dakota - Persons in families,South Dakota,Persons in families,537,347,54.76%,49.1%,6.36
New Jersey - Persons in families,New Jersey,Persons in families,"5,909","6,422",-7.99%,49.2%,6.64
Iowa - Persons in families,Iowa,Persons in families,"1,560","1,482",-5.26%,50.6%,5.05
Wisconsin - Persons in families,Wisconsin,Persons in families,"3,099","2,994",3.51%,50.8%,5.40
Vermont - Persons in families,Vermont,Persons in families,753,507,48.52%,51.8%,12.02
Colorado - Persons in families,Colorado,Persons in families,"5,090","11,667",-56.37%,52.2%,9.66
Minnesota - Persons in families,Minnesota,Persons in families,"4,486","4,204",6.71%,54.6%,8.28
New York - Persons in families,New York,Persons in families,"46,195","39,433",17.15%,59.7%,23.51
Massachusetts - Persons in families,Massachusetts,Persons in families,"12,335","11,212",10.02%,64.8%,18.43
Guam - Persons in families,Guam,Persons in families,975,"1,046",-6.79%,76.7%,61.18
District of Columbia - Unaccompanied Children and youth,District of Columbia,Unaccompanied Children and youth,164,,,2.4%,
Massachusetts - Unaccompanied Children and youth,Massachusetts,Unaccompanied Children and youth,518,,,2.7%,
Guam - Unaccompanied Children and youth,Guam,Unaccompanied Children and youth,35,,,2.8%,
Hawaii - Unaccompanied Children and youth,Hawaii,Unaccompanied Children and youth,209,,,3.3%,
Delaware - Unaccompanied Children and youth,Delaware,Unaccompanied Children and youth,35,,,3.7%,
Puerto Rico - Unaccompanied Children and youth,Puerto Rico,Unaccompanied Children and youth,153,,,3.7%,
Kansas - Unaccompanied Children and youth,Kansas,Unaccompanied Children and youth,101,,,3.8%,
US Virgin Islands - Unaccompanied Children and youth,US Virgin Islands,Unaccompanied Children and youth,19,,,3.9%,
Virginia - Unaccompanied Children and youth,Virginia,Unaccompanied Children and youth,314,,,4.1%,
Utah - Unaccompanied Children and youth,Utah,Unaccompanied Children and youth,140,,,4.3%,
Maryland - Unaccompanied Children and youth,Maryland,Unaccompanied Children and youth,383,,,4.7%,
New York - Unaccompanied Children and youth,New York,Unaccompanied Children and youth,"3,670",,,4.7%,
South Carolina - Unaccompanied Children and youth,South Carolina,Unaccompanied Children and youth,319,,,4.9%,
Colorado - Unaccompanied Children and youth,Colorado,Unaccompanied Children and youth,508,,,5.2%,
Indiana - Unaccompanied Children and youth,Indiana,Unaccompanied Children and youth,319,,,5.2%,
Rhode Island - Unaccompanied Children and youth,Rhode Island,Unaccompanied Children and youth,73,,,5.3%,
Connecticut - Unaccompanied Children and youth,Connecticut,Unaccompanied Children and youth,235,,,5.3%,
Pennsylvania - Unaccompanied Children and youth,Pennsylvania,Unaccompanied Children and youth,850,,,5.6%,
South Dakota - Unaccompanied Children and youth,South Dakota,Unaccompanied Children and youth,63,,,5.8%,
New Jersey - Unaccompanied Children and youth,New Jersey,Unaccompanied Children and youth,696,,,5.8%,
Vermont - Unaccompanied Children and youth,Vermont,Unaccompanied Children and youth,86,,,5.9%,
Wisconsin - Unaccompanied Children and youth,Wisconsin,Unaccompanied Children and youth,382,,,6.3%,
Tennessee - Unaccompanied Children and youth,Tennessee,Unaccompanied Children and youth,598,,,6.3%,
Iowa - Unaccompanied Children and youth,Iowa,Unaccompanied Children and youth,195,,,6.3%,
Arizona - Unaccompanied Children and youth,Arizona,Unaccompanied Children and youth,675,,,6.4%,
Washington - Unaccompanied Children and youth,Washington,Unaccompanied Children and youth,"1,136",,,6.4%,
Georgia - Unaccompanied Children and youth,Georgia,Unaccompanied Children and youth,"1,113",,,6.6%,
Texas - Unaccompanied Children and youth,Texas,Unaccompanied Children and youth,"2,072",,,7.0%,
North Carolina - Unaccompanied Children and youth,North Carolina,Unaccompanied Children and youth,876,,,7.2%,
Florida - Unaccompanied Children and youth,Florida,Unaccompanied Children and youth,"3,461",,,7.2%,
Kentucky - Unaccompanied Children and youth,Kentucky,Unaccompanied Children and youth,384,,,7.3%,
Missouri - Unaccompanied Children and youth,Missouri,Unaccompanied Children and youth,632,,,7.4%,
Ohio - Unaccompanied Children and youth,Ohio,Unaccompanied Children and youth,912,,,7.4%,
Arkansas - Unaccompanied Children and youth,Arkansas,Unaccompanied Children and youth,290,,,7.6%,
Idaho - Unaccompanied Children and youth,Idaho,Unaccompanied Children and youth,138,,,7.7%,
Illinois - Unaccompanied Children and youth,Illinois,Unaccompanied Children and youth,1055,,,7.9%,
New Hampshire - Unaccompanied Children and youth,New Hampshire,Unaccompanied Children and youth,116,,,8.0%,
Alabama - Unaccompanied Children and youth,Alabama,Unaccompanied Children and youth,394,,,8.4%,
Alaska - Unaccompanied Children and youth,Alaska,Unaccompanied Children and youth,168,,,8.6%,
Oregon - Unaccompanied Children and youth,Oregon,Unaccompanied Children and youth,"1,204",,,8.7%,
Montana - Unaccompanied Children and youth,Montana,Unaccompanied Children and youth,165,,,8.8%,
Minnesota - Unaccompanied Children and youth,Minnesota,Unaccompanied Children and youth,733,,,8.9%,
Nebraska - Unaccompanied Children and youth,Nebraska,Unaccompanied Children and youth,282,,,9.0%,
Louisiana - Unaccompanied Children and youth,Louisiana,Unaccompanied Children and youth,486,,,9.3%,
Michigan - Unaccompanied Children and youth,Michigan,Unaccompanied Children and youth,1087,,,9.4%,
North Dakota - Unaccompanied Children and youth,North Dakota,Unaccompanied Children and youth,206,,,10.0%,
Maine - Unaccompanied Children and youth,Maine,Unaccompanied Children and youth,307,,,10.2%,
Oklahoma - Unaccompanied Children and youth,Oklahoma,Unaccompanied Children and youth,480,,,10.9%,
Wyoming - Unaccompanied Children and youth,Wyoming,Unaccompanied Children and youth,107,,,11.2%,
West Virginia - Unaccompanied Children and youth,West Virginia,Unaccompanied Children and youth,252,,,11.3%,
California - Unaccompanied Children and youth,California,Unaccompanied Children and youth,"15,469",,,11.3%,
Mississippi - Unaccompanied Children and youth,Mississippi,Unaccompanied Children and youth,334,,,13.9%,
