Project,Type,Category,Insitution / Company,Developer / Author / Group Lead,Location,Year,Description,Written in,Image,Wikipedia Page,Homepage or Source Code
SNePS,Specialized Projects,Knowledge and Reasoning,State University of New York at Buffalo,Stuart C. Shapiro,United States,,"SNePS is a knowledge representation, reasoning, and acting (KRRA) system developed and maintained by Stuart C. Shapiro and colleagues at the State University of New York at Buffalo. SNePS is simultaneously a logic-based, frame-based, and network-based KRRA system. It uses an assertional model of knowledge, in that a SNePS knowledge base (KB) consists of a set of assertions (propositions) about various entities. Its intended model is of an intensional domain of mental entities---the entities conceived of by some agent, and the propositions believed by it. The intensionality is primarily accomplished by the absence of a built-in equality operator, since any two syntactically different terms might have slightly different Fregean senses.",LISP,,http://en.wikipedia.org/wiki/SNePS,http://www.cse.buffalo.edu/sneps/
Soar,Specialized Projects,Cognitive Architechture,"Carnegie Mellon University, University of Michigan","John Laird, Allen Newell, Paul Rosenbloom",United States,1983,"Soar is a cognitive architecture, created by John Laird, Allen Newell, and Paul Rosenbloom at Carnegie Mellon University, now maintained by John Laird's research group at the University of Michigan. It is both a view of what cognition is and an implementation of that view through a computer programming architecture for artificial intelligence (AI). Since its beginnings in 1983 and its presentation in a paper in 1987, it has been widely used by AI researchers to model different aspects of human behavior.",LISP,,http://en.wikipedia.org/wiki/Soar_(cognitive_architecture),http://soar.eecs.umich.edu/
Cyc,Specialized Projects,Knowledge and Reasoning,Microelectronics and Computer Technology Corporation,Douglas Lenat,United States,1984,"Cyc is an artificial intelligence project that attempts to assemble a comprehensive ontology and knowledge base of everyday common sense knowledge, with the goal of enabling AI applications to perform human-like reasoning. The project was started in 1984 by Douglas Lenat at MCC and is developed by the Cycorp company. Parts of the project are released as OpenCyc, which provides an API, RDF endpoint, and data dump under an open source license.","LISP, CycL",,http://en.wikipedia.org/wiki/Cyc,http://www.cyc.com/
SHRDLU,Specialized Projects,Natural Language Processing,MIT,Terry Winograd,United States,1968,"SHRDLU was an early natural language understanding computer program, developed by Terry Winograd at MIT in 1968–1970. In it, the user carries on a conversation with the computer, moving objects, naming collections and querying the state of a simplified ""blocks world"", essentially a virtual box filled with different blocks.","Micro Planner, LISP",,http://en.wikipedia.org/wiki/SHRDLU,http://hci.stanford.edu/~winograd/shrdlu/
Eurisko,Specialized Projects,Knowledge and Reasoning,"Carnegie Mellon University,  Stanford University",Douglas Lenat,United States,1976,"Eurisko (Gr., I discover) is a program written by Douglas Lenat in RLL-1, a representation language itself written in the Lisp programming language. A sequel to Automated Mathematician, it consists of heuristics, i.e. rules of thumb, including heuristics describing how to use and change its own heuristics. Lenat was frustrated by Automated Mathematician's constraint to a single domain and so developed Eurisko; his frustration with the effort of encoding domain knowledge for Eurisko led to Lenat's subsequent (and, as of 2014, continuing) development of Cyc. Lenat envisions ultimately coupling the Cyc knowledgebase with the Eurisko discovery engine.","RLL-1, LISP",http://wiki.lesswrong.com/mediawiki/images/5/54/EURISKO.jpg,http://en.wikipedia.org/wiki/Eurisko,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.89.1269&rep=rep1&type=pdf
Artificial Linguistic Internet Computer Entity,Specialized Projects,Natural Language Processing,,Richard Wallace,United States,1995,"A.L.I.C.E. (Artificial Linguistic Internet Computer Entity), also referred to as Alicebot, or simply Alice, is a natural language processing chatterbot—a program that engages in a conversation with a human by applying some heuristical pattern matching rules to the human's input, and in its online form it also relies on a hidden third person. It was inspired by Joseph Weizenbaum's classical ELIZA program. It is one of the strongest programs of its type and has won the Loebner Prize, awarded to accomplished humanoid, talking robots, three times (in 2000, 2001, and 2004). However, the program is unable to pass the Turing test, as even the casual user will often expose its mechanistic aspects in short conversations.","SETL, Java, C/C++",,http://en.wikipedia.org/wiki/Artificial_Linguistic_Internet_Computer_Entity,https://code.google.com/p/aiml-en-us-foundation-alice/
ELIZA,Specialized Projects,Natural Language Processing,MIT,Joseph Weizenbaum,United States,1964,"ELIZA is a computer program and an early example of primitive natural language processing. ELIZA operated by processing users' responses to scripts, the most famous of which was DOCTOR, a simulation of a Rogerian psychotherapist. Using almost no information about human thought or emotion, DOCTOR sometimes provided a startlingly human-like interaction. ELIZA was written at MIT by Joseph Weizenbaum between 1964 and 1966.",SLIP,http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/GNU_Emacs_ELIZA_example.png/325px-GNU_Emacs_ELIZA_example.png,http://en.wikipedia.org/wiki/ELIZA,https://github.com/jeffshrager/elizagen
Wolfram Alpha,Specialized Projects,Knowledge and Reasoning,Wolfram Research,,United States,2009,"Wolfram Alpha (also styled WolframAlpha and Wolfram|Alpha) is a computational knowledge engine or answer engine developed by Wolfram Research. It is an online service that answers factual queries directly by computing the answer from externally sourced ""curated data"", rather than providing a list of documents or web pages that might contain the answer as a search engine might. Wolfram Alpha, which was released on May 18, 2009, is based on Wolfram's earlier flagship product Mathematica, a computational platform or toolkit that encompasses computer algebra, symbolic and numerical computation, visualization, and statistics capabilities. Additional data is gathered from both academic and commercial websites such as the CIA's World Factbook, the United States Geological Survey, a Cornell University Library publication called All About Birds, Chambers Biographical Dictionary, Dow Jones, the Catalogue of Life, CrunchBase, Best Buy, and optionally a user's Facebook account.",Wolfram Language,http://upload.wikimedia.org/wikipedia/en/thumb/2/2b/WolframAlpha-logo.svg/200px-WolframAlpha-logo.svg.png,http://en.wikipedia.org/wiki/Wolfram_Alpha,http://www.wolframalpha.com/
Chinook,Specialized Projects,Games,University of Alberta,"Jonathan Schaeffer, Rob Lake, Paul Lu, Martin Bryant, Norman Treloar",Canada,1989,"Chinook is a computer program that plays checkers (also known as draughts). It was developed 1989–2007 at the University of Alberta, by a team led by Jonathan Schaeffer and consisting of Rob Lake, Paul Lu, Martin Bryant, and Norman Treloar.Chinook is the first computer program to win the world champion title in a competition against humans. In 1990 it won the right to play in the human World Championship by being second to Marion Tinsley in the US Nationals. At first the American Checkers Federation and English Draughts Association were against the participation of a computer in a human championship. When Tinsley resigned his title in protest, the ACF and EDA created the new title Man vs. Machine World Championship, and competition proceeded. Tinsley won with four wins to Chinook's two, with 33 draws.",,,http://en.wikipedia.org/wiki/Chinook_(draughts_player),http://webdocs.cs.ualberta.ca/~chinook/
Blue Brain Project,Specialized Projects,Brain Inspired,École Polytechnique Fédérale de Lausanne,"Henry Markram, Felix Schürmann, Sean Hill",Switzerland,2005,"The Blue Brain Project is an attempt to create a synthetic brain by reverse-engineering the mammalian brain down to the molecular level. The aim of the project, founded in May 2005 by the Brain and Mind Institute of the École Polytechnique Fédérale de Lausanne (EPFL) in Switzerland, is to study the brain's architectural and functional principles.",,,http://en.wikipedia.org/wiki/Blue_Brain_Project,http://bluebrain.epfl.ch/
AIBO,Specialized Projects,Motion and Manipulations,Sony,Toshitada Doi,Japan,1998,"AIBO (Artificial Intelligence Robot, homonymous with aibō (相棒?), ""pal"" or ""partner"" in Japanese) is an iconic series of robotic pets designed and manufactured by Sony. Sony announced a prototype robot in mid-1998. The first consumer model was introduced on May 11, 1999. New models were released every year until 2005. Although most models were dog-like, other inspirations included lion-cubs and space explorer, and only the final ERS-7 version was explicitly a ""robot dog"".",,http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/AIBO_ERS-7_following_pink_ball_held_by_child.jpg/220px-AIBO_ERS-7_following_pink_ball_held_by_child.jpg,http://en.wikipedia.org/wiki/AIBO,http://www.sony-aibo.co.uk/
Braina,Specialized Projects,Knowledge and Reasoning,Brainasoft,,India,,"Braina is an intelligent personal assistant application for Windows OS developed by Brainasoft. and speech recognition to interact with its users and allows users to use English language sentences to perform various tasks on their computer. The application can find information from the internet, play songs and videos of user's choice, find and open files, or set alarms and reminders. Braina's Android app can be used to interact with the system remotely over a Wi-Fi network.",,,http://en.wikipedia.org/wiki/Braina,http://www.brainasoft.com/braina/
CALO,Specialized Projects,Cognitive Architechture,SRI International,,United States,2003,"CALO was an artificial intelligence project that attempted to integrate numerous AI technologies into a cognitive assistant. CALO is an acronym for ""Cognitive Assistant that Learns and Organizes"". The name was inspired by the Latin word ""calonis,"" which means ""soldier’s servant"". The project started in May 2003 and ran for five years, ending in 2008. The CALO effort has had many major spin-offs, most notably the Siri intelligent software assistant that is now part of the Apple iOS since iOS 5 in the iPhone 4S, iPhone 5, iPod Touch 5 and the New iPad; Social Kinetics, a social application that learned personalized intervention and treatment strategies for chronic disease patients, sold to RedBrick Health; the Trapit project, which is a web scraper and news aggregator that makes intelligent selections of web content based on user preferences; Tempo AI, a smart calendar; Desti, a personalized travel guide; and Kuato Studios, a game development startup.",,,http://en.wikipedia.org/wiki/CALO,https://pal.sri.com/Plone/framework
CHREST,Specialized Projects,Cognitive Architechture,"Brunel University, University of Hertfordshire","Fernand Gobet, Peter C. Lane",United Kingdom,1992,"CHREST (Chunk Hierarchy and REtrieval STructures) is a symbolic cognitive architecture based on the concepts of limited attention, limited short-term memories, and chunking. Learning, which is essential in the architecture, is modelled as the development of a network of nodes (chunks) which are connected in various ways. This can be contrasted with Soar and ACT-R, two other cognitive architectures, which use productions for representing knowledge. CHREST has often been used to model learning using large corpora of stimuli representative of the domain, such as chess games for the simulation of chess expertise or child-directed speech for the simulation of children’s development of language. In this respect, the simulations carried out with CHREST have a flavor closer to those carried out with connectionist models than with traditional symbolic models.",,,http://en.wikipedia.org/wiki/CHREST,http://chrest.info/
Cleverbot,Specialized Projects,Natural Language Processing,,Rollo Carpenter,United States,1997,"Cleverbot is a web application that uses an artificial intelligence algorithm to have conversations with humans. It was created by the British AI scientist Rollo Carpenter, who also created Jabberwacky, a similar web application. It is unique in the sense that it learns from humans, remembering words within its AI. In its first decade Cleverbot held several thousand conversations with Carpenter and his associates. Since launching on the web in 1997, the number of conversations held has exceeded 150 million. Cleverbot is also now a $0.99 app.[",,,http://en.wikipedia.org/wiki/Cleverbot,http://www.cleverbot.com/
Cog,Specialized Projects,Motion and Manipulations,MIT,,United States,,"Cog was a project at the Humanoid Robotics Group of the Massachusetts Institute of Technology. It was based on the hypothesis that human-level intelligence requires gaining experience from interacting with humans, like human infants do. This in turn required many interactions with humans over a long period. Because Cog's behavior responded to what humans would consider appropriate and socially salient environmental stimuli, the robot was expected to act more human. This behavior also provided the robot with a better context for deciphering and imitating human behavior. This was intended to allow the robot to learn socially, as humans do.",,http://www.ai.mit.edu/projects/cog/Pictures/head.jpg,http://en.wikipedia.org/wiki/Cog_(project),http://groups.csail.mit.edu/lbr/humanoid-robotics-group/cog/
CLARION,Specialized Projects,Cognitive Architechture,"Rensselaer Polytechnic Institute, University of Missouri",Ron Sun,United States,,"Connectionist Learning with Adaptive Rule Induction On-line (CLARION) is a cognitive architecture that has been used to simulate several tasks in cognitive psychology and social psychology, as well as implementing intelligent systems in artificial intelligence applications. An important feature of CLARION is the distinction between implicit and explicit processes and focusing on capturing the interaction between these two types of processes. The system was created by the research group led by Ron Sun.",,,http://en.wikipedia.org/wiki/CLARION_(cognitive_architecture),http://www.cogsci.rpi.edu/~rsun/clarion.html
DUAL,Specialized Projects,Cognitive Architechture,New Bulgarian University,Boicho Kokinov,Bulgaria,,"DUAL is a general cognitive architecture integrating the connectionist and symbolic approaches at the micro level. DUAL is based on decentralized representation and emergent computation. It was inspired by the Society of Mind idea proposed by Marvin Minsky but departs from the initial proposal in many ways. Computations in DUAL emerge from the interaction of many micro-agents each of which is hybrid symbolic/connectionist device. The agents exchange messages and activation via links that can be learnt and modified, they form coalitions which collectively represent concepts, episodes, and facts.",,,http://en.wikipedia.org/wiki/DUAL_(cognitive_architecture),
EPIC,Specialized Projects,Cognitive Architechture,University of Michigan,"David E. Kieras, David E. Meyer",United States,,"EPIC (Executive-Process/Interactive Control) is a cognitive architecture developed by Professors David E. Kieras and David E. Meyer at the University of Michigan. EPIC has components that emulate various parts of the human-information processing system. Among these components are tools for perceptual, cognitive, and motor processing. It has been especially useful for building cognitive models in the domain of Human computer interaction.",,,http://en.wikipedia.org/wiki/EPIC_(cognitive_architecture),
FORR,Specialized Projects,Cognitive Architechture,The City University of New York,,United States,,"FORR (FOr the Right Reasons) is a cognitive architecture for learning and problem solving inspired by Herbert A. Simon's ideas of bounded rationality and satisficing. It was first developed in the early 1990s at the City University of New York. It has been used in game playing, robot pathfinding, recreational park design, spoken dialog systems, and solving NP-hard constraint satisfaction problems, and is general enough for many problem solving applications.",,,http://en.wikipedia.org/wiki/FORR,http://www.compsci.hunter.cuny.edu/~epstein/html/forr.html
FreeHAL,Specialized Projects,Games,,Tobias Schulz,Germany,2006,FreeHAL is a distributed computing project to build a self-learning chatbot. This project is no longer active,,,http://en.wikipedia.org/wiki/FreeHAL,http://freehal.github.io/
Google Brain,Specialized Projects,Brain Inspired,Google,"Andrew Ng,  Jeff Dean",United States,2001,"Google Brain is a deep learning research project at Google. Stanford University professor Andrew Ng who, since around 2006, became interested in using deep learning techniques to crack the problem of artificial intelligence, started a deep learning project in 2011 as one of the Google X projects. He then joined with Google Fellow Jeff Dean to develop ""the Google brain"" as it was first referred to.",,,http://en.wikipedia.org/wiki/Google_Brain,
Grok,Multipurpose Projects,Cloud Services,Numenta,,United States,,Grok for IT Analytics enables insights into IT systems to identify unusual behavior and reduce business downtime,,,http://en.wikipedia.org/wiki/Grok_(company),http://numenta.com/grok/
Procedural Reasoning System,Specialized Projects,Cognitive Architechture,SRI International,,United States,,"In artificial intelligence, a procedural reasoning system (PRS) is a framework for constructing real-time reasoning systems that can perform complex tasks in dynamic environments. It is based on the notion of a rational agent or intelligent agent using the belief–desire–intention software model. A user application is predominately defined, and provided to a PRS system is a set of knowledge areas. Each knowledge area is a piece of procedural knowledge that specifies how to do something, e.g., how to navigate down a corridor, or how to plan a path (in contrast with robotic architectures where the programmer just provides a model of what the states of the world are and how the agent's primitive actions affect them). Such a program, together with a PRS interpreter, is used to control the agent.",,,http://en.wikipedia.org/wiki/Procedural_Reasoning_System,http://www.ai.sri.com/~prs/
Microsoft Cortana,Specialized Projects,Knowledge and Reasoning,Microsoft,,United States,2014,"In computing, Cortana is an intelligent personal assistant on Windows Phone 8.1, Microsoft Band, The name of the software comes from Cortana, the artificial intelligence character in Microsoft's Halo video game series, with Jen Taylor, the character's voice actress, returning to voice the personal assistant's US-specific version. Cortana was demonstrated for the first time at the Microsoft BUILD Developer Conference (April 2–4, 2014) in San Francisco. It has been launched as a key ingredient of Microsoft's planned ""makeover"" of the future operating systems for Windows Phone and Windows. As of 2015 it is available to all users of Windows Phone 8.1 in the United States, China, and the United Kingdom. Users in India, Canada and Australia can also choose to opt-in to the beta for the American English version of Cortana as of August 2014. Microsoft expects Cortana to be available globally by early 2015.",,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Cortana_WP8.1.png/225px-Cortana_WP8.1.png,http://en.wikipedia.org/wiki/Microsoft_Cortana,http://www.windowsphone.com/en-us/how-to/wp8/cortana/meet-cortana
Jabberwacky,Specialized Projects,Natural Language Processing,,Rollo Carpenter,United Kingdom,1988,"Jabberwacky is a chatterbot created by British programmer Rollo Carpenter. Its stated aim is to ""simulate natural human chat in an interesting, entertaining and humorous manner"". It is an early attempt at creating an artificial intelligence through human interaction. The stated purpose of the project is to create an artificial intelligence that is capable of passing the Turing Test. It is designed to mimic human interaction and to carry out conversations with users. It is not designed to carry out any other functions. Unlike more traditional AI programs, the learning technology is intended as a form of entertainment rather than being used for computer support systems or corporate representation. Recent developments do allow a more scripted, controlled approach to sit atop the general conversational AI, aiming to bring together the best of both approaches, and usage in the fields of sales and marketing is underway.",,,http://en.wikipedia.org/wiki/Jabberwacky,http://www.jabberwacky.com/
Open Mind Common Sense,Specialized Projects,Knowledge and Reasoning,MIT,"Marvin Minsky, Push Singh, Catherine Havasi",United States,1999,"Open Mind Common Sense (OMCS) is an artificial intelligence project based at the Massachusetts Institute of Technology (MIT) Media Lab whose goal is to build and utilize a large commonsense knowledge base from the contributions of many thousands of people across the Web. Since its founding in 1999, it has accumulated more than a million English facts from over 15,000 contributors in addition to knowledge bases in other languages. Much of OMCS's software is built on three interconnected representations: the natural language corpus that people interact with directly, a semantic network built from this corpus called ConceptNet, and a matrix-based representation of ConceptNet called AnalogySpace that can infer new knowledge using dimensionality reduction.",,,http://en.wikipedia.org/wiki/Open_Mind_Common_Sense,
P.A.N.,Specialized Projects,Knowledge and Reasoning,,David Benjamin Bowes,,2005,"P.A.N. (A.K.A.: Poetry Analyzer, Textual Analyzer) is a freeware application that allows users to analyze virtually any sort of text (fiction, newspaper, poetry, history text book). It does this by parsing text, determining sentence structure, identifies mood and tones of sentences. Also identifies primary imagery and themes. Poetry Analyzer's website states that a unique analysis of text is accomplished by studying that which is most overlooked, and considered not relevant.",,,http://en.wikipedia.org/wiki/P.A.N.,http://pan.sourceforge.net/
