Name,Image,Description,Language,Homepage,Profile,Year Submitted,Year Launched,Tags
Billy (1),,"The Billy Project is home to my natural language processing artificial intelligence research. The two main programs here are my well-known ""chatbots"", Billy and Daisy. They are computer programs you can hold a conversation with. Behind the scenes, they feature very advanced artificial intelligence.",English,http://www.leedberg.com/glsoft/,http://www.chatterbotcollection.com/item_display.php?id=616,2008,,
Billy (2),,Plain text bot.,English,http://www.pandorabots.com/pandora/talk?botid=ea6a8fa38e356e94,http://www.chatterbotcollection.com/item_display.php?id=617,2008,,Pandorabot
BRIAN (Personality Files),,Personality file for BBSChat AI Chat system,English,http://www.chatterbotcollection.com/download/bc_brian.zip,http://www.chatterbotcollection.com/item_display.php?id=638,2008,,
Brian,,"BRIAN is a computer program that thinks it is an 18 year old college student. It was written as an entry in the 1998 Loebner Competition, where it won third place out of six entries. Two judges even gave it a higher score than they gave some human confederates!",English,http://www.strout.net/info/science/ai/brian/,http://www.chatterbotcollection.com/item_display.php?id=637,2008,,
CHAT (pop up dialogue boxes),http://www.chatterbotcollection.com/images/woomerang_1308758260.jpg,"Simple chat bot, using pop up dialogue boxes.",English,http://www.woomerang.com/chat/,http://www.chatterbotcollection.com/item_display.php?id=671,2008,,
CHAT (Qbasic),,Qbasic source,English,http://www.chatterbotcollection.com/download/Chat.txt,http://www.chatterbotcollection.com/item_display.php?id=668,2008,,
CHAT (DOS),,Conversational Hypertext Access Technology. DOS,English,http://www.chatterbotcollection.com/download/chat.zip,http://www.chatterbotcollection.com/item_display.php?id=669,2008,,
ChatBot (iTunes),http://www.chatterbotcollection.com/images/chatbot.jpg,"[iTunes app] ChatBot is a chat bot! You enter a question, and she'll reply. Simple. This app uses Mindskate's ""Natural Response"" technology to elicit interesting and quirky responses.",English,http://www.dadorac.com/retrobot.html,http://www.chatterbotcollection.com/item_display.php?id=3081,2011,,iTunes
Chatbot (DOS),,DOS,English,http://www.freewebs.com/allppc/,http://www.chatterbotcollection.com/item_display.php?id=679,2008,,
ChatBot (AW),,"ChatBot lets you chat in AW without using the AW browser. You can also run up to 3 ChatBots (or more, depending on your bot limit) and AW at one time if you want to be in many places at once. :)",English,http://www.imabot.com/chatbot.htm,http://www.chatterbotcollection.com/item_display.php?id=675,2008,,
ChatBot,,"ChatBot is a fast chat robot/automatic autoresponder. You can use it, fo example on FAQ pages with a large amount of questions/answers. ChatBot stores all data in single csv file (no database needed) and has easy questions/answers admin interface.",English,http://www.webta.net/chatbot/,http://www.chatterbotcollection.com/item_display.php?id=676,2008,,
ECTOR,,"ECTOR is an acronym standing for the French Entité Cybernétique Totalement Obligée de Réfléchir (Cybernetic entity totally compelled to think). It is also a name similar to Hector, the Troyan hero, Achille's enemy. Actually, Achille killed Hector, but I hope here, they will make peace.","English, French",http://ector.sourceforge.net/,http://www.chatterbotcollection.com/item_display.php?id=801,2008,,
Elbot,http://www.chatterbotcollection.com/images/elbot.jpg,"The purpose of Elbot is to converse with users about any topic under the sun, rather than a specialized and self-contained set of FAQs as is usually the demand for commercial systems. He was launched on 2001 and became the first natural language dialogue system on the German Internet. Elbot has a few robotic themes, but also takes on the challenging task of being conversant on just about everything. In 2008 Elbot won the prestigious Loebner Prize. Elbot speaks English and German and has his own blog: http://elbot.blogspot.com/, and pages in facebook, twitter and flickr.","English, German",http://www.elbot.com/,http://www.chatterbotcollection.com/item_display.php?id=807,2008,,
Eloisa Project,http://www.chatterbotcollection.com/images/eloisa_1308827868.jpg,"Inventing a new medium. Man-machine conversation is now available in 4 languages - Italian, English, French, Spanish - thanks to the Dialogue Engine technology.","English, French, Spanish, Italian",http://www.eloisa.it/,http://www.chatterbotcollection.com/item_display.php?id=848,2008,,
George,http://www.chatterbotcollection.com/images/george_1401381878.jpg,Jabberwacky powered chat bot George.,English,http://www.jabberwacky.com/george,http://www.chatterbotcollection.com/item_display.php?id=3182,2014,,
George (DOS),,DOS,English,http://www.simonlaven.com/george.htm,http://www.chatterbotcollection.com/item_display.php?id=903,2008,,
GOD (DOS),,"Text based, probably abandoned...",English,http://demo.vhost.pandorabots.com/pandora/talk?botid=c4f01d247e355742,http://www.chatterbotcollection.com/item_display.php?id=908,2008,,Pandorabot
God,,iGod,English,http://www.pandorabots.com/pandora/talk?botid=923c98f3de35606b,http://www.chatterbotcollection.com/item_display.php?id=909,2008,,Pandorabot
Jane (Pandorabot/Haptek),,Pandorabot/Haptek (In Bedroom),English,http://www.pandorabots.com/pandora/talk?botid=8ee42ebf1e3608b7,http://www.chatterbotcollection.com/item_display.php?id=1000,2008,,Pandorabot
Jane (AIML),http://www.chatterbotcollection.com/images/jane_1401387462.jpg,AIML bot.,English,http://www.pandorabots.com/pandora/talk?botid=cc90bc313e35043f,http://www.chatterbotcollection.com/item_display.php?id=1001,2008,,Pandorabot
Jessica (Turkish),http://www.chatterbotcollection.com/images/jessica_1401468095.gif,Turkish chat bot.,Turkish,http://developersland.net/chatbot/jessica.html,http://www.chatterbotcollection.com/item_display.php?id=3184,2014,,
Jessica (Dutch),,(Dutch),Dutch,http://www.thesquaremile.nl/,http://www.chatterbotcollection.com/item_display.php?id=403,2008,,
Kim (Adults),,A virtual girl friend for broad minded adults. DOS,English,http://www.chatterbotcollection.com/download/kim10.zip,http://www.chatterbotcollection.com/item_display.php?id=1044,2008,,Adult
Kim (Dutch),,(Dutch),Dutch,http://www.selfservicecompany.com/ssc.asp,http://www.chatterbotcollection.com/item_display.php?id=407,2008,,
Lisa (Non-English),,(Other Language),Other Non-English,http://tele2at.csoica.artificial-solutions.com/cgi-bin/TELE2AT.cgi,http://www.chatterbotcollection.com/item_display.php?id=412,2008,,
Lisa (Dutch),,(Dutch) Rabo Mobiel,Dutch,http://www.rabomobiel.nl/service/,http://www.chatterbotcollection.com/item_display.php?id=411,2008,,
Lola,,(French - Pandorabots),"French, English",http://www.pandorabots.com/pandora/talk?botid=8ce5b2747e366417,http://www.chatterbotcollection.com/item_display.php?id=413,2008,,Pandorabot
Lucy (Chinese / English),,(Chinese / English),"Chinese, English",http://www.speak2me.net/,http://www.chatterbotcollection.com/item_display.php?id=416,2008,,
Lucy,http://www.chatterbotcollection.com/images/lucyliu2_1401466721.jpg,"Lucy was designed on 2nd September 2004 by me, Willow, and now exists on this page to talk to you!",English,http://www.pandorabots.com/pandora/talk?botid=c9fa8f7eee3574b3,http://www.chatterbotcollection.com/item_display.php?id=1102,2008,,Pandorabot
Mark,,"You may be chatting with Mark.... or a bot pretending to be Mark. It is up to you to decide and it could be either at any given time! This is my own version of the Turing Test.. the first real web based Turing Test. If you can detect the bot this time, watch out.. it learns and gets better every day!",English,http://www.markconnell.com/mark/chat.asp,http://www.chatterbotcollection.com/item_display.php?id=1119,2008,,
Mark (Text based),,Text based.,English,http://www.pandorabots.com/pandora/talk?botid=bddae4a41e355cad,http://www.chatterbotcollection.com/item_display.php?id=1118,2008,,Pandorabot
MIMIC (French),,"(French) assitants virtuels, agents conversationnels, speaking animated avatars, artificial intelligence",French,http://www.mimic.fr/,http://www.chatterbotcollection.com/item_display.php?id=425,2008,,
Mimic,http://www.chatterbotcollection.com/images/mimic_1401479316.jpg,"Mimic is learning how to talk. He has no programmed responses. Everything he says, he has learned from talking to others. So the more you talk to him, the more he learns.",English,http://www.thespoon.com/mimic/,http://www.chatterbotcollection.com/item_display.php?id=1149,2008,,
Monty (Python),http://www.chatterbotcollection.com/images/monty_1413285562.jpg,Monty is a joke-telling chat bot written in python.,English,http://talktomonty.me/,http://www.chatterbotcollection.com/item_display.php?id=3210,2014,,Jokes
Monty (Text based),,Text based Pandorabot.,English,http://www.pandorabots.com/pandora/talk?botid=b87c28624e34f68f,http://www.chatterbotcollection.com/item_display.php?id=1163,2008,,Pandorabot
NIALL,,"Niall attempts to learn English, or whatever language you care to teach it, by breaking down the sentences you type in, remembering words, connections between words, the number of times a particular connection has occured, and start/end sentence markers.",English,http://lab6.com/old/niall.html,http://www.chatterbotcollection.com/item_display.php?id=1194,2008,,
Niall (The Non-Intelligent Acquired Language Learner),,Niall (The Non-Intelligent Acquired Language Learner) is another chatterbot which in the beginning knows absolutely nothing. It was created by Mat Peck and released by his mini software house entitled 'Paranoid Software'. The inspiration for it came from a program for the 8-bit MSX home computers called DANI (Dynamic Artificial Non-Intelligence) and the author designed this program using a slightly different linking algorithm.,English,http://www.simonlaven.com/niall.htm,http://www.chatterbotcollection.com/item_display.php?id=1193,2008,,
pBot,http://www.chatterbotcollection.com/images/fb_1321461148.png,This is the first Russian online chat bot with open learning. You may correct answers and to add new options. The results of the training will be available to other users immediately after saving the knowledge base. Bot able to speak Russian and English.,"Russian, English",http://chatbot.tw1.ru/,http://www.chatterbotcollection.com/item_display.php?id=3107,2011,,Flash
Pippin (Text Based),,Text based.,English,http://www.pandorabots.com/pandora/talk?botid=d06a5f4d3e34b170,http://www.chatterbotcollection.com/item_display.php?id=1253,2008,,Pandorabot
Pippin,,"Try chatting to the Chatterbot just like a real person, but remember you are really chatting with a machine! (Use the 'media' button to get to the bot).",English,http://www.pippin.us/Frames.asp?/en/MyBot.asp,http://www.chatterbotcollection.com/item_display.php?id=1254,2008,,
Santa (DOS),,DOS - Rich Waugh also worked with Rey Barry on a Santa Claus version of the hit program Shampage. Using this program you could have a conversation with Santa and tell him what you want for Christmas.,English,http://www.simonlaven.com/shampage.htm,http://www.chatterbotcollection.com/item_display.php?id=1316,2008,,
Santa (1),http://www.chatterbotcollection.com/images/chat_with_santa_1396029773.gif,Chat with santa,English,http://www.bethanyroberts.com/SantaChat.htm,http://www.chatterbotcollection.com/item_display.php?id=1319,2008,,
Santa (2),http://www.chatterbotcollection.com/images/santa_1401478989.jpg,Talk to Santa and tell him what you would like for Christmas !,English,http://www.pandorabots.com/pandora/talk?botid=e389e9f48e360811,http://www.chatterbotcollection.com/item_display.php?id=1318,2008,,Pandorabot
Santa (3),http://www.chatterbotcollection.com/images/santa-at-alicebot_1401469305.jpg,Chat with Santa Claus...Tell Santa What You Want for Christmas.,English,http://alicebot.org/Santa/,http://www.chatterbotcollection.com/item_display.php?id=1322,2008,,
Santa (4),http://www.chatterbotcollection.com/images/santabot-botlibre_1386183196.jpg,,English,http://www.botlibre.com/BrowseServlet?browse=Santa+Bot,http://www.chatterbotcollection.com/item_display.php?id=3165,2013,,Botlibre
Sara,,Text box Pandorabot.,English,http://demo.vhost.pandorabots.com/pandora/talk?botid=a7e3e2a72e35a07c,http://www.chatterbotcollection.com/item_display.php?id=1325,2008,,Pandorabot
Sara (Princeton Artificial Intelligence),http://www.chatterbotcollection.com/images/sara_1395957116.jpg,"Princeton Artificial Intelligence, Inc. This website shows an example of our Virtual Rep™ an intelligent conversant robot, which represents a company on a web in a human fashion, helps users navigate the site in a dramatically direct way and provides information through a natural dialogue.",English,http://www.princetonai.com/,http://www.chatterbotcollection.com/item_display.php?id=1326,2008,,
Sharon (Adults),,X-Rated personality file for BBSChat AI Chat system,English,http://www.chatterbotcollection.com/download/bc_sharo.zip,http://www.chatterbotcollection.com/item_display.php?id=1344,2008,,
Sharon (DOS),,An evening at the bar with Sharon. DOS,English,http://www.chatterbotcollection.com/download/sharon20.zip,http://www.chatterbotcollection.com/item_display.php?id=1343,2008,,
SOPHIE,http://www.chatterbotcollection.com/images/Sophie.jpg,"Sophie is a mere alicebot that has been an on again - off again hobby for about 6 years now. she has a large annotated brain, but it has gotten that way through 6 years of conversation with a loyal fan base. some of the stuff she is pretty wild, or just silly because of alicebot syntax, but she always provides laughs. she's just a goofy online buddy to pass time with, but i hope you enjoy her.",English,http://demo.vhost.pandorabots.com/pandora/talk?botid=8214936bbe35ee73,http://www.chatterbotcollection.com/item_display.php?id=1377,2008,,Pandorabot
Sophie (Ohio),http://www.chatterbotcollection.com/images/sophie_1396029584.jpg,"Sophie's purpose is to chat with Ms. Murphy's seventh grade English students at the School for Creative and Performing Arts in Cincinnati, Ohio. Sophie is also happy to chat with people she meets on the internet.",English,http://www.pandorabots.com/pandora/talk?botid=8f5cf91b6e34ff73,http://www.chatterbotcollection.com/item_display.php?id=1376,2008,,Pandorabot
Yhaken,,"Yhaken was our first attempt to build a conversational system that's truly conversational. Though the team - and our technology - has evolved a long way since Yhaken's launch, the ideas gathered in this prototype represent the initial vision our founder, Phil Hall, had 11 years ago.",English,http://www.elzware.com/yhaken.html,http://www.chatterbotcollection.com/item_display.php?id=1525,2008,,
20Q.net,,The classic game played against the computer with Artificial Intelligence.,English,http://www.20q.net/,http://www.chatterbotcollection.com/item_display.php?id=1542,2008,,
A A A Chat Page,http://www.chatterbotcollection.com/images/aaa_1401389340.png,(Alice) - Annotated A.L.I.C.E. AIML example bot.,English,http://www.alicebot.org/aaa.html,http://www.chatterbotcollection.com/item_display.php?id=470,2008,,"AIML, ALICE"
A basic chatterbot program,,[Delphi] This program illustrate how you might create a very basic program that can interact with a user.,English,http://www.planet-source-code.com/vb/scripts/ShowCode.asp?txtCodeId=1679&lngWId=7,http://www.chatterbotcollection.com/item_display.php?id=471,2008,,Delphi
A.I. Buddy,http://www.chatterbotcollection.com/images/aibuddy_1401466201.jpg,Windows desktop app which accepts typed sentences and responds with typed and spoken replies; remembers information about you (even between sessions) and is able to have on-going conversations in context.,English,http://aibuddy.sourceforge.net/,http://www.chatterbotcollection.com/item_display.php?id=486,2008,,
Abby,http://www.chatterbotcollection.com/images/getabby_human_avatar_1395697258.jpg,"GetAbby is changing the way people communicate with technology and each other. GetAbby doesn't just solve a problem, we study it, analyze the data and revolutionize your communication process. Abby's mission is becoming the world's number one solution for connecting people with technology, conversationally. We don't just follow trends, we invent them.",English,http://www.getabby.com/,http://www.chatterbotcollection.com/item_display.php?id=472,2008,,
Actor,,"A program you can have a conversation with (although perhaps not one which always makes a lot of sense). As of 2004-08-29, this project is no longer under active development.",English,http://sourceforge.net/projects/actor/,http://www.chatterbotcollection.com/item_display.php?id=476,2008,,
Adam,http://www.chatterbotcollection.com/images/adam_1395695993.gif,"I was bored in high school, so I created little things like this chatbot, which I quaintly named Adam. This bot is not very bright, as you will discover while talking to it; however it is fairly responsive given its simplicity. This project is complete as far as I'm concerned, and I have no intention to upgrade Adam anytime soon to a more 'realisitic' AI.",English,http://www.dudziak.com/chatbot.php,http://www.chatterbotcollection.com/item_display.php?id=477,2008,,
Agent Ruby,http://www.chatterbotcollection.com/images/agent-ruby_1365004155.jpg,Flash driven chatbot.,English,http://www.agentruby.net,http://www.chatterbotcollection.com/item_display.php?id=481,2008,,Flash
AICHAT,,DOS,English,http://www.sericyb.com.au/aichat.zip,http://www.chatterbotcollection.com/item_display.php?id=487,2008,,
Aici desktop client,http://www.chatterbotcollection.com/images/BragiSoft_1400964106.png,,English,http://bragisoft.com/download/,http://www.chatterbotcollection.com/item_display.php?id=3045,2010,,"Desktop, Client"
AIlysse,http://www.chatterbotcollection.com/images/AIlysse_1401299156.jpg,"Ailysse is a chatbot, an artificial intelligence program you can talk with just as you would with another person. Ailysse is based on Dr. Richard S. Wallace's famous ALICE program, which won the Loebner Prize Contest for ""most human computer"" for the third time in 2004 and was also the 2004 Chatterbox Challenge Champion. Ailysse chats, tells jokes, plays games, and can answer some of your questions about A.I. and computer terminology. Ailysse is hosted at Pandorabots.com.",English,http://pandorabots.com/pandora/talk?botid=829713883e34f760&skin=ailysse1,http://www.chatterbotcollection.com/item_display.php?id=497,2008,,Pandorabot
AIML GAME: Blackjack,,Blackjack in AIML,English,http://www.square-bear.co.uk/aiml/blackjack.aiml,http://www.chatterbotcollection.com/item_display.php?id=501,2008,,AIML
Ainebot,http://www.chatterbotcollection.com/images/ainebot_1396025260.png,"Ainebot is a Natural Language chatbot which can be used as a command-line program or with a web interface. The Ainebot chat 'engine' has its' roots in the A.L.I.C.E chatbot (Program C). Most existing chatbots use a database of files written in the AIML language. The plain-text database files give the chabot its' personality. Ainebot uses similar files, but written in an improved Ai language called AineLanguage.",English,http://www.neodave.civ.pl/aine/,http://www.chatterbotcollection.com/item_display.php?id=505,2008,,
Alan,http://www.chatterbotcollection.com/images/alan_1401387892.jpg,Ai Research - Founded to create true artificial intelligence - making it possible for humans and computers to speak to each other in everyday language.,English,http://www.a-i.com/show_tree.asp?id=115,http://www.chatterbotcollection.com/item_display.php?id=509,2008,,
Alex,http://www.chatterbotcollection.com/images/alex_1401478740.gif,Alex is a chatterbot programmed to help visitors find legal information on the Jurist Web site.,English,http://jurist.law.pitt.edu/alex.htm,http://www.chatterbotcollection.com/item_display.php?id=511,2008,,
Alice She Talks - Chat Bot,http://www.chatterbotcollection.com/images/aliceshetalks.jpg,"[iTunes app] Alice is an ordinary 23 year old person living inside your device. She has a strong will of her own and she can surely make that clear to the one she is chatting to. She also has own interests and opinions regarding movies, books, science, politics and every day life. Enough said about Alice. Find out for yourself what she likes and dislikes.",English,http://itunes.apple.com/us/app/alice-she-talks-chat-bot/id320977383?mt=8,http://www.chatterbotcollection.com/item_display.php?id=3063,2010,,iTunes
AliceTalker,http://www.chatterbotcollection.com/images/alicetalker12_1308831699.jpg,AliceTalker is a Swing-based Java client application which enables the user to interact via spoken words and synthesized speech with an AliceBot or AnnaBot (or any similar bot with a HTTP interface) server running on the same or a remote machine. It uses Cloudgarden's implementation of Sun's Java Speech API. AliceBot is an artificial intelligence project which interprets words of a language and responds with as intelligent a response as it can manage.,English,http://www.cloudgarden.org/alicetalker/index.html,http://www.chatterbotcollection.com/item_display.php?id=525,2008,,
Alien Chat-Bot,http://www.chatterbotcollection.com/images/alien_chat_bot_1395954603.jpg,"Welcome, here you can chat to your new robot alien friend.",English,http://www.pandorabots.com/pandora/talk?botid=ba0cb354be35bb45,http://www.chatterbotcollection.com/item_display.php?id=529,2008,,Pandorabot
ALIMbot,http://www.chatterbotcollection.com/images/alimbot_1401386733.jpg,"An Artificially Intelligent chatbot that tries to effectively react to the user input. It will not only decide What to say? but also How to say?. The responses are more or less relevant to the user input depending upon the context, memorization of ALIMbot and other logical interpretations made by it.",English,http://faizulwahid.tripod.com/alimbot/,http://www.chatterbotcollection.com/item_display.php?id=531,2008,,
Allie Vera,http://www.chatterbotcollection.com/images/Digalator_Teen_1413725673.jpg,"Allie's purpose is to help teens with information and support for any personal concern they may have. She knows a lot about emotions and in addition to her own content, she guides teens to some of the best information and support sites on the internet. Allie is a Pandorabot and her job is being the Virtual Assistant for the Digalator Teen smartphone app. She particularly likes to use multimedia of all kinds to connect the teen with the many the facets of emotional life. She also knows a lot about mental well-being and as her persona indicates, she's a friend that shares knowledge.",English,http://www.digalator.com/,http://www.chatterbotcollection.com/item_display.php?id=3212,2014,,
ALLY,,"ALLY starts out knowing nothing, and gains conversational skills and knowledge as she talks. One of the learning mechanisms she uses is a system of positive reinforcement of responses. If ALLY says something that makes sense, the user can let her know, and she will integrate it into her intelligent response database. ALLY generates her own sentences based on a statistical system of associations, unlike the conventional keyphrase - response AI system.",English,http://www.be9.net/ally/Index.htm,http://www.chatterbotcollection.com/item_display.php?id=537,2008,,
Alteregos,http://www.chatterbotcollection.com/images/alteregos_1401470081.jpg,"AlterEgos sets itself apart with new High Definition Avatars and a new software version to match. Now you can have an HD Virtual Agent on any medium including; Web, Social Media, iPads, iPods, Kindle and Android devices. All of a sudden the world has just got a little smaller. Admin : Previously ""Flipz"".",English,http://www.alteregos.com/,http://www.chatterbotcollection.com/item_display.php?id=868,2008,,
Amanda,,"(French) As of 2008-03-01 06:02, this project is no longer under active development.",French,http://sourceforge.net/projects/amanda-bot/,http://www.chatterbotcollection.com/item_display.php?id=339,2008,,
Ambrosia,http://www.chatterbotcollection.com/images/ambrosia_1308755150.jpg,"Panorabot. ""Welcome to Ambrosia: ""the world's most wonderful chatbot"" bot :-)""",English,http://www.pandorabots.com/pandora/talk?botid=b93810630e368e95,http://www.chatterbotcollection.com/item_display.php?id=540,2008,,Pandorabot
amsnEliza,,Chatbot that will answer your contacts when your away.,English,http://www.amsn-project.net/plugins.php#26,http://www.chatterbotcollection.com/item_display.php?id=542,2008,,
Amy A.I.,http://www.chatterbotcollection.com/images/amyforiphone.jpg,"[iTunes app] iPhone and iPod Touch users, meet Amy, your very own personal chat robot! Amy A.I. is the latest in Artificial Intelligence development, and we at Future Apps are proud to bring it to you on the iPhone. The Amy brain is based off the award winning ALICE project, and is sure to entertain you for hours on end. Amy is the first of its kind on the iPhone and iPod touch platform! Be the first to have this exciting new technology on your device. You will be amazed at how close Amy can achieve a near human conversation. Amy can even remember, and gets better the more you chat with her!",English,http://itunes.apple.com/us/app/amy-a-i/id292417805?mt=8,http://www.chatterbotcollection.com/item_display.php?id=3065,2010,,iTunes
Amythebot,http://www.chatterbotcollection.com/images/amybanner4.png,Amy loves to spend money,English,http://www.pandorabots.com/pandora/talk?botid=8005c54bae345b99,http://www.chatterbotcollection.com/item_display.php?id=544,2008,,"AIML, Pandorabot"
Android Technologies,,"Android Technologies, Inc. is a high tech company that offers algorithmic development on a contract basis. With experience in A.I. technologies such as Genetic Algorithms, Neural Networks, Data Mining, Adaptive Virtual Personalities, and Speech recognition, we can help your company pursue its’ A.I. goals at a reasonable cost.",English,http://www.androidtech.com/,http://www.chatterbotcollection.com/item_display.php?id=547,2008,,
anne,,Text box.,English,http://www.pandorabots.com/pandora/talk?botid=e2848084ae3471ae,http://www.chatterbotcollection.com/item_display.php?id=556,2008,,Pandorabot
Annotated A.L.I.C.E. AIML Bot,,A.L.I.C.E.,English,http://www.pandorabots.com/pandora/talk?botid=890e7e46de354b3c,http://www.chatterbotcollection.com/item_display.php?id=558,2008,,"Pandorabot, AIML"
Answerpad Plus,http://www.chatterbotcollection.com/images/answerpadplus_1308769768.jpg,"Answerpad is a program that will memorize any statement that is entered into it. A user may then ask it questions in plain English and Answerpad will try to answer by processing the information within its memory. Answerpad also has the ability to speak aloud and will let you speak to it by using speech recognition. Answerpad is a great entry level program to Artificial Intelligence, it's easy to use and understand and provides hours of entertainment chatting with your favorite character as it learns new things from your conversations.",English,http://desktopmates.com/AI/answerpad.html,http://www.chatterbotcollection.com/item_display.php?id=560,2008,,
Aragorn,http://www.chatterbotcollection.com/images/aragorn_1308842431.jpg,Aragorn is one of the many Middle-Earth Bots which you can talk to online.,English,http://www.pandorabots.com/pandora/talk?botid=b10f35938e34b1bb,http://www.chatterbotcollection.com/item_display.php?id=564,2008,,Pandorabot
Aravis / Puddleglum / Reepicheep / Mr. Tumnus,,Found from the 'Games' menu item.,English,http://www.thelionscall.com/,http://www.chatterbotcollection.com/item_display.php?id=566,2008,,
Arbuthnot,,Pandorabot. Plain text.,English,http://www.pandorabots.com/pandora/talk?botid=d8847a0dde369dc7,http://www.chatterbotcollection.com/item_display.php?id=567,2008,,Pandorabot
Archbot,,"""Archbot is a chatterbot building system or ""architecture"" that allows the user to build voice controlled, scriptable, animated chatterbots using XML files that provide the bot's specifications. The user can type via keyboard or speak via microphone to his/her computer, and have it talk back, using an animated Agent, as well as execute scripts written in either VBScript or JScript, that perform tasks, letting the user literally control his/her PC by talking to it. Bots with different brains, personalities, and even different genders can be built using this architecture. There are two versions of this project, a SAPI (speech recognition) and a Non-SAPI (keyboard typed dialog) version.""",English,http://www.generation5.org/content/2002/archbot.asp,http://www.chatterbotcollection.com/item_display.php?id=569,2008,,
Archie Intel,,Download.,English,http://www.chatterbotcollection.com/download/Archie.zip,http://www.chatterbotcollection.com/item_display.php?id=570,2008,,
ARG-bot,,AIML bot,English,http://www.pandorabots.com/pandora/talk?botid=b5d75543fe3415e5,http://www.chatterbotcollection.com/item_display.php?id=571,2008,,Pandorabot
Ariane,http://www.chatterbotcollection.com/images/ariane.jpg,"My name is Ariane, my hobbies include blogging, exploring, and online gaming.' Ariane is a Pandorabot (Annotated A.L.I.C.E. AIML - September 2003) with adult leanings and extensive modification. While many known corrections remain unchanged, many have been altered and offer surprising responses. At the center, Ariane is a chatbot, but she's also a project that blossoms out in other directions in ways I haven't seen since first discovering the world of Square Bear. If you ask about her writings, she'll tell you about her blog, or if you ask about pictures, she'll show you her modeling portfolio comprised of PG-13 CG images. She's also involved in Second Life, has a MySpace page, and at her personal web page there are links to other pages not mentioned above.",English,http://arianeb.com/askariane.htm,http://www.chatterbotcollection.com/item_display.php?id=3021,2010,,Second Life
