Company,Reference ID on Irish TImes,Unrepatriated Income (2012),Estimated Tax Bill (2012),Implied tax rate (2012),Discloses Likely Tax Payments from Repatriation,Source
Hewlett-Packard,HP Ireland,"$33,400,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
International Business Machines,IBM,"$44,400,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
Intel,Intel Ireland,"$17,500,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
Johnson&Johnson,Johnson & Johnson,"$49,000,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
Medtronic Inc.,Medtronic,"$17,977,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
Pepsi,PepsiCo,"$32,200,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
Pfizer,Pfizer Global Supply,"$73,000,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
Procter & Gamble (P&G),Procter & Gamble,"$39,000,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
Chevron,,"$26,527,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
Coca-Cola,,"$26,900,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
DuPont,,"$13,179,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
Merck,,"$53,400,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
Wal-Mart Stores,,"$19,200,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
Apache,,"$15,900,000,000",,,No,http://ctj.org/pdf/applenotalone.pdf
