Company,"Know to use the ""Double Irish Arrangement""?",Discloses Likely Tax Payments from Repatriation,Citizen for Tax Justice ID,Category,Description,Turnover,Profit,Employees,Address,Profile on Irish Times,Coordinates,Image,Sources,Sources Link,Homepage,Twitter
Johnson & Johnson,Yes,No,Johnson&Johnson,Health,"Johnson & Johnson has been operating in Ireland since 1935. Its Irish head office has been based at its current site in Tallaght, Dublin since 1952.The company is engaged in the supply of healthcare, personal care and toiletries and over the counter products to the consumer market. The company is also engaged in the distribution of medical devices for use in the hospital and healthcare markets.Johnson & Johnson Ireland Limited is part of Johnson & Johnson, which has more than 250 operating companies in 60 countries employing approximately 118,000 people.The company's worldwide headquarters is in New Brunswick, New Jersey, USA.","€59,700,000","€3,100,000",100,"Airton Road, Tallaght, Dublin 24",http://www.top1000.ie/johnson-johnson,"53.293749,-6.362115",http://www.top1000.ie/images/logo/johnson-johnson,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.jnj.com/,@JNJNews
Microsoft,Yes,Yes,Microsoft Corporation,Technology,"Microsoft Ireland Operations Ltd is a subsidiary of the software giant Microsoft which sells, distributes and markets software globally from Dublin. Microsoft, the world’s biggest software company, established an Irish manufacturing facility in 1985 and now employs over 1,200 staff directly at its operations in south Dublin. About 700 contract staff also work there.Microsoft Ireland Operations Ltd sells Windows, Office and other Microsoft software in about 120 countries worldwide, including Ireland.","€15,000,000,000","€772,000,000","1,200",Building 3  Carmanhall Road  Sandyford Industrial Estate  Dublin 18,http://www.top1000.ie/microsoft,"53.277047,-6.211114",http://www.top1000.ie/images/logo/microsoft,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.microsoft.com/en-ie/default.aspx,@Microsoft
Oracle,Yes,Yes,Oracle Corporation,Business Technology,"The principal activity of Oracle EMEA Ltd is the manufacture and sale of computer software in the European market, together with the provision of associated translation, finance and marketing services. Oracle Corporation, incorporated in 2005, is an enterprise software company. It develops, manufactures, markets, distributes and services database and middleware software, applications software and hardware systems, consisting primarily of computer server and storage products. It operates in three segments, software, hardware systems and services. Its software business comprises two operating segments: new software licenses and software license updates and product support. Its hardware business consists of hardware systems products and hardware systems support. Its services business comprises consulting, Cloud Services and education. In January 2011, Oracle completed the acquisition of Art Technology Group, Inc. a provider of eCommerce software and related on demand commerce optimisation applications. In 2010, the company completed the acquisition of Phase Forward Incorporated a provider of applications for life sciences companies and healthcare providers.","€7,200,000,000","€164,400,000","1,098",Oracle Customer Centre  Block H  East Point Business Park  Clontarf  Dublin 3,http://www.top1000.ie/oracle,"53.367097,-6.186934",http://www.top1000.ie/images/logo/oracle,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.oracle.com/,@oracle
Pfizer Global Supply,Yes,No,Pfizer,Health,"Pfizer is a research-based pharmaceutical multinational. The company was one of the first pharmaceutical companies to locate in Ireland (1969). The Irish operations manufacture some of Pfizer’s best-selling and newest medicines including Viagra (urology), Sutent (oncology), Enbrel (rheumatology) and Prevenar (vaccines). Ireland is a leading manufacturing base for Pfizer globally, exporting to global markets.","€7,000,000,000",,"3,200",Ringaskiddy  Co Cork.,http://www.top1000.ie/pfizer-global-supply,"51.83009,-8.324371",http://www.top1000.ie/images/logo/pfizer-global-supply,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.pfizer.ie/,@pfizer_news
Starbucks Coffee Company Ireland,Yes,,,Food,,"€15,000,000","€700,000",211,,http://www.top1000.ie/starbucks-coffee-company-ireland,,http://www.top1000.ie/images/logo/starbucks-coffee-company-ireland,Known Double Irish Arrangement,http://en.wikipedia.org/wiki/Double_Irish_arrangement,,@Starbucks
Yahoo! Ireland,Yes,,,Technology,"Yahoo! Ireland Services Ltd provides services to Yahoo! group entities in Europe. These services include media services, shared service support and server hosting.","€43,700,000","€3,400,000",165,Block P  East Point Business Park  Clontarf  Dublin 3,http://www.top1000.ie/yahoo-ireland,"53.367097,-6.186934",,Known Double Irish Arrangement,http://en.wikipedia.org/wiki/Double_Irish_arrangement,http://www.yahoo.ie/,
3M Ireland,,,,Consumer Technology,"3M is a diversified technology company serving customers and communities with innovative products and services. It has a worldwide presence in markets such as consumer and office, display and graphics, electro and communications, as well as healthcare and security services.","€32,200,000","€3,300,000",43,,http://www.top1000.ie/3m-ireland,"53.251912,-6.184768",,,,,
4 Aces,,,,Food,"4 Aces is a cash-and-carry distributor to the grocery, catering and licensed trades. It distributes Homestead products and White Hat, as well as promoting Gala. It operates from a distribution facility located in Portlaoise, Co Laois.","€59,600,000","€600,000",77,Clonminham Industrial Estate  Portlaoise  Co Laois ,http://www.top1000.ie/4-aces,"53.025357,-7.313257",,,,http://www.4aceswholesale.ie/,
A.W. Ennis,,,,Agribusiness,The principal activity of the company is the manufacture and distribution of animal foodstuffs from its mill at Virginia in Co. Cavan.,"€64,800,000","-€16,200,000",45,A.W. Ennis  Virginia Mills  Virginia  Co.Cavan  Eire,http://www.top1000.ie/aw-ennis,"53.842894,-7.088135",,,,http://www.awennis.ie/,
A&L Goodbody,,,,Professional Services Law,"With over 400 legal staff and a total headcount of approximately 640, A&L Goodbody advises on business law for the domestic and international corporate sector.It has offices in both Dublin and Belfast, as well as London, New York, San Francisco and Palo Alto.","€96,700,000",,640,A&L Goobody Head Office  28 North Wall Quay  Dublin 1,http://www.top1000.ie/al-goodbody,"53.348051,-6.242688",http://www.top1000.ie/images/logo/al-goodbody,,,http://www.algoodbody.com/,@algoodbody
ABB,,,,Business Technology,"ABB provides power and automation technologies which enable utility and industry customers to improve their performance while lowering environmental impact.In Ireland, ABB operates in five locations around the country employing over 150 people. From its head office on the Belgard Road, Tallaght, it operates five divisions: power systems, power products, low voltage products, discrete automation & motion and process automation where staff are involved in sales, technical support, engineering and project management. Cork and Lisburn provide regional support to company customers while ABB Waterford is a regional office for ABB’s global transformers business. ABB Dundalk is a sales, marketing and R&D centre that supports the pulp & paper industry.","€73,600,000","€5,000,000",147,Belgard Road  Tallaght  Dublin 24,http://www.top1000.ie/abb,"53.299656,-6.372639",http://www.top1000.ie/images/logo/abb,,,http://new.abb.com/ie,@ABBgroupnews
Abbey,,,,Construction,"Abbey plc is quoted on the ESM in Dublin, and the AIM Market in London.The company’s main activities are residential housing development in the United Kingdom, Ireland and Prague. It also has a plant hire division, M&J Engineers Ltd., based in the United Kingdom.","€70,400,000","€12,100,000",173,9 Abbey House  Main Street  Clonee  Co. Meath,http://www.top1000.ie/abbey,"53.409603,-6.438918",,,,http://www.abbeyplc.ie/,
Abbey Travel,,,,Tourism,"The principal activity of Travelplan Partners (Abbey Travel Ltd) is the operation of a travel agency and a tour operator. Abbey Travel have been arranging quality holidays and leisure breaks for Irish travellers for over 30 years. The company offers holidays, short breaks and sports packages. It is an official agent for Disneyland® Resort Paris.FCm Travel Solutions in Ireland is part of the Abbey Travel Group and plays a full part in the FCm Global network.","€46,100,000","-€43,489",101,43 - 45 Middle Abbey Street  Dublin 1,http://www.top1000.ie/abbey-travel,"53.347908,-6.263184",http://www.top1000.ie/images/logo/abbey-travel,,,http://www.abbeytravel.ie/,@abbey_travel
Abbott,,,,Health,"Abbott Vascular is a healthcare company focused on advancing the treatment of vascular disease. The company's line of vascular devices–which includes vessel closure, endovascular and coronary technologies–are used to treat vessel diseases of the heart, carotid arteries and peripheral blood vessels. Abbott Vascular in Clonmel manufactures a broad range of vascular devices including stent delivery systems.","€270,000,000",,"4,000",Cashel Road  Clonmel  Co Tipperary.,http://www.top1000.ie/abbott,"52.364246,-7.715772",http://www.top1000.ie/images/logo/abbott,Known Double Irish Arrangement,http://en.wikipedia.org/wiki/Double_Irish_arrangement,http://www.abbott.ie/locations-aivdclonmel,@abbottnews
Ability West,,,,Resources,"Ability West is a charity providing services and supports to children and adults with intellectual disabilities. It relies on fundraising to provides its services. It has a head office in Blackrock House, Salthill, Co Galway.","€22,400,000","€400,000",,Blackrock House  Salthill  Galway,http://www.top1000.ie/ability-west,"53.264183,-9.075927",,,,http://www.abilitywest.ie/,
ABP Food Group,,,,Agribusiness,"ABP is one of Europe’s leading privately owned food processors. Today the group operates across many businesses, spanning Ireland, the UK and Continental Europe and consists of 5 separate divisions: ABP Beef, ABP Proteins, ABP Convenience Foods, ABP Pet Foods and ABP Renewables. The company is controlled by its founder Larry Goodman","€2,300,000,000",,"8,000",14 Castle Street  Ardee  Co Louth.,http://www.top1000.ie/abp-food-group,"53.855907,-6.539502",,,,http://www.abpfoodgroup.com/,
Abrakebabra,,,,Food,"Abrakebabra Investments is a franchise businesses and has been trading for over 28 years. The company has strategically grown its portfolio of brands to include the Bagel Factory, Yo! Sushi, Chick King and Gourmet Burger Kitchen, and more recently it acquired the O'Brien's Sandwich chain in the Republic of Ireland.The chain and its franchised operations employs about 1,600 people.","€60,000,000",,"1,600",11 Rathgar Road  Rathmines  Dublin 6,http://www.top1000.ie/abrakebabra,"53.321651,-6.266849",http://www.top1000.ie/images/logo/abrakebabra,,,http://www.abrakebabra.com/,@Abrakebabra
Abtran,,,,Professional Services Consultancy,Abtran is one of the largest indigenous business process outsourcer (BPO) in the Irish market. It provides customer management solutions to the public and private sectors.,"€40,000,000",,"1,100",Building 4  University Technology Centre  Curraheen Road  Bishopstown  Cork,http://www.top1000.ie/abtran,"51.874107,-8.541958",,,,http://abtran.com/,
Accenture,,,,Financial Services Banking,"Accenture is a global management consulting, technology services and outsourcing company, with more than 289,000 people serving clients in more than 120 countries.The company began operating in Ireland in 1969 and is incorporated here employing almost 1,400 people. Since 2005 the Irish operation has been led by Mark Ryan, country managing director for Ireland.","€200,000,000",,"1,400",1 Grand Canal Square  Grand Canal Harbour  Dublin 2,http://www.top1000.ie/accenture,"53.339501,-6.239051",http://www.top1000.ie/images/logo/accenture,,,http://www.accenture.com/,@accenture
Acra Control,,,,Transport,"Acra Control is a supplier of airborne data acquisition networks and recording systems, and real-time data processing ground stations to the aerospace industry. Its customers include all of the major aerospace prime contractors and test agencies, with products supplied to over 300 platforms in 40 countries worldwide. Since 2011, Acra Control has been part of US-listed company Curtiss-Wright Controls, which offers comprehensive subsystem solutions for motion control requirements.","€20,600,000","€4,100,000",123,Landscape House  Landscape Road  Dublin 14,http://www.top1000.ie/acra-control,"53.299318,-6.268404",,,,http://www.cwc-ae.com/acra-control,
Adidas,,,,Retailing,Adidas Ireland sells sportswear wholesale from its Dublin office where it employs 28 people. It is a subsidiary of German sports clothing manufacturer Adidas AG.,"€35,500,000","€900,000",34,Block 4  Leopardstown Business Park  Sandyford  Dublin 14,http://www.top1000.ie/adidas,"53.269878,-6.199465",http://www.top1000.ie/images/logo/adidas,,,http://www.adidas-group.com/,@adidas
ADM Ireland,,,,Agribusiness,"ADM began operations in Ireland in 1981 and today conducts business through five subsidiaries: ADM Ringaskiddy Unlimited Liability Co, ADM Ireland Holdings Ltd, Arkady Feed Ltd, Arkady Grain Ltd and ADM Investments Ireland Ltd. ADM's business in Ireland involves importing and distributing ingredients for food and animal feed to commercial customers throughout the country. Its operations in Ireland comprise more than a dozen employees working in the areas of administration, trading and treasury services at offices in Cork and Dublin.","€90,000,000",,12,Callaghan House  13/16 Dame Street  Dublin,http://www.top1000.ie/adm-ireland,"53.344088,-6.265482",http://www.top1000.ie/images/logo/adm-ireland,,,http://www.adm.com/en-US/worldwide/ireland/Pages/default.aspx,@ADMupdates
Advance Pitstop,,,,Retailing,Advance pitstop (Advance Tyre Company Ltd) sells tyres and vehicle accessories. It also provides vehicle servicing. It operates 30 locations in Ireland and employs 227 people.,"€33,800,000","-€1,600,000",222,Advance House  John F. Kennedy Drive  Naas Road  Dublin 12,http://www.top1000.ie/advance-pitstop,"53.326686,-6.346587",,,,http://www.advancepitstop.com/,
Aer Lingus,,,,Transport,"Aer Lingus is an Irish low-cost airline providing both long-haul and short-haul passenger transportation services and cargo services. The airline operates over 80 routes throughout the UK and Europe, from its bases at Dublin, Cork, Shannon, Belfast and London Gatwick Airports. Aer Lingus also operates to four gateways in the US including New York-JFK, Boston, Chicago and Orlando.The airline operates 43 aircraft and carries on average 10 million passengers a year. Aer Lingus also provides cargo transportation services to the UK, continental Europe and the USA. Aer Lingus airline partners include United Airlines.","€1,400,000,000","€39,600,000","3,566",Aer Lingus  Head Office Building  Dublin Airport,http://www.top1000.ie/aer-lingus,"53.421265,-6.250475",http://www.top1000.ie/images/logo/aer-lingus,,,http://www.aerlingus.com/,@alingus
Aes Ballylumford,,,,Energy,"Aes Ballylumford is the company which owns and operates the electricity generation plant on Islandmagee, Co Antrim.The power plant was purchased by the Aes Corporation for £102 million in August 2010.","€150,900,000","€27,700,000",159,Ballylumford  Larne  Co Antrim.  BT40 3RS,http://www.top1000.ie/aes-ballylumford,"54.84561,-5.78083",,,,http://www.aes.com/,
Afilias,,,,Business Technology,Afilias is a provides registration services for internet domains. The company has its headquarters in Dublin and has offices in London and Vancouver. The company is the registry operator for the .info domains and also provides services to operators of generic and country code top level domains. It has an agreement with the .org registry operator to provide services to mange the .org domains.,"€56,300,000","€20,200,000",199,2 La Touche House  IFSC  Dublin 1,http://www.top1000.ie/afilias,"53.347946,-6.243826",http://www.top1000.ie/images/logo/afilias,,,http://www.afilias.info/,@Afilias
Agnew Group,,,,Transport,"The Agnew group consists of 14 dealerships, the Agnew body repair centre, the Agnew trade centre and trade parts specialists. Isaac Agnew was acquired in early 2012 by UK-based Sytner Group for an undisclosed price.","€390,000,000",,819,18 Boucher Way Belfast BT12 6RE,http://www.top1000.ie/agnew-group,"54.585429,-5.959012",,,,http://www.agnewcars.com/,
Air BnB,,,,Tourism,"Founded in August of 2008 and based in San Francisco, California, Airbnb is a community marketplace for people to list, discover, and book unique accommodations around the world — online or from a mobile phone.","€21,800,000",,100,,http://www.top1000.ie/air-bnb,,,,,,
Air Contractors,,,,Transport,"Air Contractors is a freight and passenger airline specialising in the provision of air transport services for global parcel carriers, major postal agencies and passenger airlines. In 2010 the company started operating it’s first passenger flights in conjunction with sister company Europe Airpost. With headquarters in Dublin, Ireland, Air Contractors maintains bases in eight European countries, operating a fleet of 31 passenger and freight aircraft across a network of over 40 regular destinations in Europe, Asia and North America.","€57,500,000","€4,100,000",338,3 Malahide Road  Swords  Co Dublin.,http://www.top1000.ie/air-contractors,"53.455964,-6.220231",,,,http://www.aslaviationgroup.com/,
Air Products Ireland,,Yes,Air Products & Chemicals,Energy,"Air Products Ireland Ltd serves customers in industrial, energy, technology and healthcare markets worldwide with a portfolio of atmospheric gases, process and specialty gases, performance materials, and equipment and services.The wider Air Products Group has 18,900 employees and operations in more than 40 countries, supplying to customers in the food and beverage; health and personal care; energy; and transportation and semiconductors industries.","€40,300,000","€14,000,000",96,Unit 950  Western Industrial Estate  Killeen Road  Dublin 12,http://www.top1000.ie/air-products-ireland,"53.325736,-6.353691",http://www.top1000.ie/images/logo/air-products-ireland,Citizen For Tax Justice 2013,http://ctj.org/pdf/applenotalone.pdf,https://www.airproducts.ie/,@airproducts
Airspeed Communications,,,,Business Technology,"With offices in Dublin and Cork, AirSpeed Telecom provides fast reliable voice and data services to a range of businesses across Ireland. It designs, installs, manages and supports telecommunications services including LAN extension, WAN, leased line, internet connectivity and VOIP over our carrier grade licensed radio network.","€10,000,000","€1,600,000",33,15c Magna Drive  Citywest  Dublin 24,http://www.top1000.ie/airspeed-communications,"53.280841,-6.415952",http://www.top1000.ie/images/logo/airspeed-communications,,,http://airspeed.ie/,@AirSpeedTelco
Airtricity NI,,,,Energy,"SSE Airtricity is Ireland’s second largest and fastest growing energy provider, supplying over 800,000 domestic and commercial gas, electricity and home energy services customers in the Republic and Northern Ireland. Around 40% of the electricity SSE Airtricity supplies to its customers on an island basis is generated from renewable sources – the greenest energy supply of any provider on the island and over three times the average on an all-island basis.","€133,400,000","€2,100,000",50,83 - 85 Great Victoria Street  Belfast  BT2 7AF.,http://www.top1000.ie/airtricity-ni,"54.590844,-5.934332",http://www.top1000.ie/images/logo/airtricity-ni,,,http://www.airtricity.com/uk/home/,@SSEAirtricity
Alcatel-Lucent,,,,Business Technology,"Alcatel-Lucent is a provider of mobile, fixed, IP and optics technologies. It includes Bell Labs, one of the world's foremost centres of research and innovation in communications technology.The company has operations in 130 countries and is head-quartered in Paris.","€17,800,000","-€3,700,000",129,Blanchardstown Industrial Park  Blanchardstown  Dublin 15,http://www.top1000.ie/alcatellucent,"53.403915,-6.367375",http://www.top1000.ie/images/logo/alcatellucent,,,http://www.alcatel-lucent.ie/,@Alcatel_Lucent
Alcon,,,,Pharma,"Alcon manufactures intraocular lenses (IOLs), which are used to replace the natural lens removed during cataract surgery. It is owned by Swiss group Novartis. In 2013, Alcon employed 383 people in Ireland.","€30,500,000","€2,300,000",341,Cork Business & Technology Park  Model Farm Road  Cork,http://www.top1000.ie/alcon,"51.8889,-8.52254",,,,http://www.alcon.com/,
Aldi,,,,Retailing,"Aldi is a German-owned discount supermarket chain and it opened its first supermarket in Ireland in 1999. The company does not disclose its sales or profits in Ireland,. It has over 8,000 stores worldwide.","€843,800,000",,"2,500",Newbridge Road  Naas  County Kildare,http://www.top1000.ie/aldi,"53.214715,-6.67691",http://www.top1000.ie/images/logo/aldi,,,http://www.aldi.ie/,@aldi_com
Alere International,,,,Health,"Alere provides health management solutions, health monitoring products, and well-being services for patients and healthcare professionals. Alere's Galway operation sells medical diagnostics products. It also oversees the commercial operation of its parent company, Alere Inc, outside of the US.","€112,900,000","€8,000,000",70,Parkmore East Business Park  Ballybrit  Galway,http://www.top1000.ie/alere-international,"53.290426,-8.99729",,,,http://www.alerehealth.ie/,
Alkermes,,,,Health,,"€114,000,000","-€13,300,000",465,Connaught House  1 Burlington Road  Dublin 4,http://www.top1000.ie/alkermes,"53.332691,-6.247335",,,,http://www.alkermes.com/About-Us/Locations,
Allied Foods,,,,Food,Alllied Foods is a frozen food distributor in Ireland.,"€37,000,000","-€600,000",115,Kinsale Road  Cork,http://www.top1000.ie/allied-foods,"51.85849,-8.470828",,,,,
Allstate NI,,,,Professional Services Consultancy,"Allstate Northern Ireland, the new name for Northbrook Technology, was established in Belfast in 1998 and provides high quality software development services and business process outsourcing solutions in support of its US parent's global operations.Allstate NI plays a strategic role in developing, transforming and maintaining the various technology platforms used within Allstate, to support it in its day to day business, looking after the different systems that you might expect one of the world's largest insurance giants to run.","€88,300,000","€6,600,000","2,005",9 Lanyon Place  Belfast  BT1 3LZ,http://www.top1000.ie/allstate-ni,"54.59615,-5.920144",http://www.top1000.ie/images/logo/allstate-ni,,,http://www.allstate.com/,@AllstateNI
Alltech Ireland,,,,Health,"Founded in 1980 by Dr. Pearse Lyons, Alltech improves the health and performance of people, animals and plants through natural nutrition and scientific innovation. With more than 3,000 employees and a presence in 128 countries, the company has developed a strong regional presence in Europe, North America, Latin America, the Middle East, Africa and Asia.","€79,700,000","€19,500,000",99,Sarney  Summerhill Road  Dunboyne  Co Meath,http://www.top1000.ie/alltech-ireland,"53.428576,-6.500812",,,,http://www2.alltech.com/ireland/Pages/default.aspx,
