Name,Role,Motive,Sex,Date Killed,Year of Death,Month of Death,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,Tortured,Profile on CPJ,Image,Description
Abdelkader Hireche,Journalist,Motive Confirmed,Male,"February 28, 1994",1994,February,Algeria,Algerian Television,Algeria,Television,Broadcast,Politics,No,Foreign,Unknown Fire,Murder,Partial,No,No,No,http://cpj.org/killed/1994/abdelkader-hireche.php,,"Hireche, a journalist with Algerian Television (ENTV), was shot and killed in an eastern suburb of Algiers by three men bearing automatic weapons."
Abderrahmane Chergou,Journalist,Motive Confirmed,Male,"September 28, 1993",1993,September,Algeria,Freelance,Algeria,Print,Print Reporter,Politics,Yes,Local,Unknown Fire,Murder,Yes,No,No,No,http://cpj.org/killed/1993/abderrahmane-chergou.php,,"Chergou, a freelance journalist and official of the leftist PAGS party, was stabbed to death outside his home in the Algiers suburb of Mohammedia."
Abdihared Osman Aden,Journalist,Motive Confirmed,Male,"January 18, 2013",2013,January,Somalia,Shabelle Media Network,Somalia,"Radio, Television",Producer,"Culture, Politics",Yes,Local,Unknown Fire,Murder,Yes,No,No,No,http://cpj.org/killed/2013/abdihared-osman-aden.php,http://cpj.org/killed/Abdihared%20Osman%20Adan%20%28Shabelle%29croppedcap.jpg,"Unidentified gunmen shot Abdihared, a producer for the Shabelle Media Network, at around 7 a.m. while he was walking to work in the Wadajir district of Mogadishu, according to local journalists and news reports. The journalist, who was shot at least three times, died at a local hospital, the sources said.Shabelle released a statement after the attack, calling Abdihared a veteran TV and radio producer and ""outstanding colleague."" Abdihared was the fifth Shabelle journalist to be killed in 13 months.In November 2012, Somali President Hassan Sheikh Mohamoud said he would be setting up a task force to investigate the cases of journalist murders in the country. News reports quoted the president as saying, ""The era of impunity must stop immediately."" But the president had not followed through on the pledge by January 2013, according to local journalists.Abdihared, 45, was survived by his wife and two children."
Abdirahman Yasin Ali,Journalist,Motive Confirmed,Male,"September 20, 2012",2012,September,Somalia,Radio Hamar,Somalia,Radio,Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,No,No,http://cpj.org/killed/2012/abdirahman-yasin-ali.php,http://cpj.org/killed/Killed.abdirahman.Yasin%28SOMJA%29.jpg,"Abdirahman, director of Radio Hamar, was among three journalists killed in a suicide bomb attack in a Mogadishu café, according to news reports and local journalists.Two unidentified men entered The Village café at around 5:30 p.m. and detonated bombs, killing a total of 14 people and injuring 20, according to news reports and local journalists. Four journalists were among the wounded.Ali Mohamud Rage, a spokesman for Al-Shabaab, said the bombing was carried out by supporters of the militant insurgent group, according to Agence France-Presse. ""We did not directly order the attacks, but there are lots of angry people in Somalia who support our fight,"" AFP quoted Ali as saying.The café was frequented by the press and civil servants, leading local journalists to speculate that they were the targets of the attack. ""If anyone wanted to kill journalists en masse, that was the place and the time,"" said one journalist who spoke on condition of anonymity for fear of reprisal.The blast also killed Abdisatar Daher Sabriye, head of news for Radio Mogadishu, and Liban Ali Nur, head of news for Somali National TV, according to news reports and local journalists.The attack took place across the street from the National Theater, where a bomb blast in April 2010 wounded at least 10 journalists, news reports said."
Abdirisak Mohamed Warsame,Journalist,Motive Confirmed,Male,"May 22, 2009",2009,May,Somalia,Radio Shabelle,Somalia,Radio,Producer,"Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,No,http://cpj.org/killed/2009/abdirisak-mohamed-warsame.php,,"Warsame, 24, was shot in crossfire between Transitional Federal Government forces and hard-line Islamic insurgents in the capital as he was walking to Radio Shabelle for his morning broadcast, local journalists told CPJ.According to local journalists, the fighting was so intense that no one could attend to Warsame for more than half an hour. The reporter, described as a “workaholic” by colleagues, was survived by his wife of six months."
Abdisalan Sheikh Hassan,Journalist,Motive Confirmed,Male,"December 18, 2011",2011,December,Somalia,Freelance,Somalia,"Radio, Television",Broadcast,"Human Rights, Politics",Yes,Local,"Government Officials, Military Officials",Murder,Yes,No,Yes,No,http://cpj.org/killed/2011/abdisalan-sheikh-hassan.php,http://cpj.org/killed/Abdisalan1%20%28Horncable%20TV%29.jpg,"A gunman wearing a military uniform shot Hassan, 38, a freelance broadcast journalist, according to news accounts and CPJ interviews. Hassan was driving from the offices of Horn Cable TV to a press conference when the uniformed gunman intercepted his vehicle and opened fire, according to the station's director, Abdulle Haj Ali.Hassan, shot in the head, died at a local hospital; a colleague riding in the car was unhurt. The shooting occurred around 4 p.m. in Mogadishu's central district of Hamar Jabar, local journalists told CPJ.Hassan told colleagues that he had received several recent death threats via cell phone. Days before the shooting, Hassan had covered a tense session of the Transitional Federal Parliament during which violence broke out between supporters and opponents of Speaker Sharif Hassan Sheikh Adan, local journalists told CPJ.Hassan contributed to Horn Cable TV and radio stations Hamar Radio and Voice of Democracy. Ali said Hassan was known for his courageous and balanced reporting. He was survived by a wife and four children."
Abdisatar Daher Sabriye,Journalist,Motive Confirmed,Male,"September 20, 2012",2012,September,Somalia,Radio Mogadishu,Somalia,Radio,Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,No,No,http://cpj.org/killed/2012/abdisatar-daher-sabriye.php,http://cpj.org/killed/killed.Abdisatar%20Daher%20Sabriye%20%28SOMJA%29.jpg,"Abdisatar, head of news for Radio Mogadishu, was among three journalists killed in a suicide bomb attack in a Mogadishu café, according to news reports and local journalists.Two unidentified men entered The Village café at around 5:30 p.m. and detonated bombs, killing a total of 14 people and injuring 20, according to news reports and local journalists. Four journalists were among the wounded.Ali Mohamud Rage, a spokesman for Al-Shabaab, said the bombing was carried out by supporters of the militant insurgent group, according to Agence France-Presse. ""We did not directly order the attacks, but there are lots of angry people in Somalia who support our fight,"" AFP quoted Ali as saying.The café was frequented by the press and civil servants, leading local journalists to speculate that they were the targets of the attack. ""If anyone wanted to kill journalists en masse, that was the place and the time,"" said one journalist who spoke on condition of anonymity for fear of reprisal.The blast also killed Abdirahman Yasin Ali, director of Radio Hamar, and Liban Ali Nur, head of news for Somali National TV, according to news reports and local journalists.The attack took place across the street from the National Theater, where a bomb blast in April 2010 wounded at least 10 journalists, news reports said."
Abdul Aziz Shaheen,Journalist,Motive Confirmed,Male,"August 29, 2008",2008,August,Pakistan,Azadi,Pakistan,Print,Print Reporter,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,Yes,No,No,http://cpj.org/killed/2008/abdul-aziz-shaheen.php,,"A Pakistani airstrike hit the lockup where Shaheen was being held by a local Taliban group in the Swat Valley, according to local news reports citing a Taliban spokesman. The spokesman, Muslim Khan, said Shaheen was among at least 25 people killed in the strike, according to the Daily Times newspaper. The precise location of the Taliban hideout was not reported.Militants abducted Shaheen, who worked for the local Urdu-language daily Azadi and sometimes filed for other papers, on August 27, 2008, according to local news reports. Owais Aslam Ali, secretary-general of the Pakistan Press Foundation, told CPJ that local journalists believed the Taliban abducted the journalist because of his work.Shaheen's car was set on fire a week before he was abducted, although it was not clear whether the Taliban were responsible for that attack, the group reported. It said the journalist was kidnapped from the Peuchar area of the Matta Tehsil subdivision of Swat."
Abdul Haq Baloch,Journalist,Motive Confirmed,Male,"September 29, 2012",2012,September,Pakistan,ARY Television,Pakistan,Television,Broadcast,"Crime, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,No,http://cpj.org/killed/2012/abdul-haq-baloch.php,http://www.thebalochhal.com/wp-content/uploads/2012/09/Abdul-haq.jpg,"Unidentified assailants shot Haq as he was leaving the Khuzdar Press Club in the city of Khuzdar in Baluchistan province. Haq was the secretary-general of the press club and a longtime local correspondent for ARY Television.ARY Television said it was not aware of any threats directed at Haq. But Hamid Mir, a prominent Pakistani journalist, wrote after Haq's death that the journalist had been threatened by the Baluch Musalah Diffa Army (BMDA, or the Armed Baluch Defense) in November 2011 and had subsequently been named on a hit list issued by a BMDA spokesman.Tensions with the press had escalated after the Baluchistan High Court barred news coverage of banned groups in October 2011. Several of the banned groups began threatening local journalists for not reporting on their militant operations.Haq's family declined to discuss widespread assertions by his colleagues that he had been killed because security forces were angry that he was working with the families of missing Baluchis on presenting cases before the Quetta bench of the Supreme Court of Pakistan. At the time of Haq's death, the court was hearing more than 100 missing-person cases in Baluchistan. Of those cases, 19 were from Khuzdar."
Abdul Qadir Hajizai,Journalist,Motive Confirmed,Male,"May 28, 2012",2012,May,Pakistan,WASH TV,Pakistan,Television,Broadcast,"Politics, War",Yes,Local,Political Group,Murder,Yes,No,No,No,http://cpj.org/killed/2012/abdul-qadir-hajizai.php,,"Armed men shot Hajizai, a headmaster of a middle school who also worked at WASH TV, a private Baluchi-language TV channel, according to local news reports. The journalist was taken to a hospital, where he died, the reports said.Hajizai was killed in the Basima area of Washik district, home of the Shamsi Air Field, which was used by the United States as a base for surveillance and drone operations against militants in Pakistan's Federally Administered Tribal Areas.Two days after Hajizai's death, the Baluch Liberation Front, an armed separatist group, claimed responsibility for his killing and called him a government informer. The journalist's colleagues said they were unaware of any threats made against him.The Baluchistan Union of Journalists issued a statement protesting the killing and appealed to the Supreme Court and the Baluchistan High Court to address the rising level of threats to journalists."
Abdul Qodus,Journalist,Motive Confirmed,Male,"July 22, 2006",2006,July,Afghanistan,Aryana TV,Afghanistan,Television,Camera Operator,War,No,Local,Political Group,Dangerous Assignment,,No,No,No,http://cpj.org/killed/2006/abdul-qodus.php,,"Qodus, a cameraman for the private station, was killed in a double suicide bombing in the city of Kandahar. He had arrived at the scene of a suicide car bomb when a second attacker with explosives strapped to his body blew himself up, according to the Kabul-based Committee to Protect Afghan Journalists (CPAJ) and news reports. Qodus died of head injuries at a local hospital. A Taliban spokesman claimed responsibility for the two explosions, which also killed two Canadian soldiers and several civilians, according to international news reports.Qodus, 25, had worked for the Kabul-based station for eight months, according to CPAJ. Fighting between Taliban militants and U.S.-led coalition forces, which invaded Afghanistan in 2001, had led to the deaths of hundreds of people in the preceding months, according to news reports."
Abdul Raheem Kour Hassan,Journalist,Motive Confirmed,Male,Unknown,Unknown,Unknown,Syria,Watan FM,Syria,Radio,"Broadcast, Photographer, Publisher","Human Rights, Politics, War",No,Local,Government Officials,Dangerous Assignment,,Yes,No,Yes,http://cpj.org/killed/2013/abdul-raheem-kour-hassan.php,,"The Syrian government on April 1, 2013, informed Hassan's family about his death, but did not offer details on the circumstances or exact date of his death. The journalist had been arrested in January in Damascus, according to the local opposition station Watan FM.Hassan died while being held at Palestine Branch, a feared prison of Syria's Military Intelligence Security that is known for the severe abuse of prisoners, according to Watan FM. The station, local opposition groups, and press freedom groups including the Syrian Journalists Association said he had been tortured to death.Hassan, who was also known as ""Mohammed al-Ghazali,"" was the director of broadcasting for Watan FM."
Abdul Razzak Johra,Journalist,Motive Confirmed,Male,"November 3, 2008",2008,November,Pakistan,Royal TV,Pakistan,Television,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,No,No,http://cpj.org/killed/2008/abdul-razzak-johra.php,,"Six armed men dragged reporter Johra from his home in the Mianwali district of Punjab and shot him, according to the Pakistan Federal Union of Journalists. The attack came a day after his report on local drug trafficking was aired nationally.Colleagues said Johra, 45, who had done earlier reports on the drug trade, had received threats telling him to stop covering the issue. Police took no evident steps to investigate the murder, according to local journalists."
Abdul Samad Rohani,Journalist,Motive Confirmed,Male,"June 7 or 8, 2008",2008,June,Afghanistan,"BBC, Pajhwok Afghan News",Afghanistan,"Print, Radio","Broadcast, Print Reporter",Crime,No,Local,Criminal Group,Murder,Yes,No,No,No,http://cpj.org/killed/2008/abdul-samad-rohani.php,http://cpj.org/killed/photos/rohani_afghanistan_2008.jpg,"Rohani disappeared on the evening of June 7. His body was found with multiple bullet wounds the next day in a cemetery near Lashkar Gah, capital of Helmand province, according to local and international news reports. Rohani was the Helmand reporter for BBC's Pashto service and contributed to the Pajhwok Afghan News agency, the country's largest independent news service.A native of Helmand, Rohani had distinguished himself as a well-connected and eloquent reporter, according to colleagues. Rohani, 25, the oldest son in a family of seven children, was married with two children.Pajhwok Director Danish Karokhel, who reviewed the reporter's phone records and laptop, said he believed Rohani was killed for his reporting on drug trafficking and its possible ties to government officials.Helmand province, which lies along the restive border with Pakistan, is home to Taliban and al-Qaeda militants, as well as a flourishing opium trade. Some Afghan news reports quoted an unidentified government spokesman as saying that Rohani was killed by Taliban militants. A Taliban spokesman told The Associated Press that his group was not behind the reporter's death."
Abdul Shariff,Journalist,Motive Confirmed,Male,"January  9, 1994",1994,January,South Africa,Freelance,South Africa,Print,Photographer,"Human Rights, Politics",Yes,Local,Paramilitary Group,Crossfire/Combat-Related,,No,No,No,http://cpj.org/killed/1994/abdul-shariff.php,http://cpj.org/killed/Shariff.SouthAfrica.1994.2.jpg,"Shariff, a freelance photographer on assignment for the Associated Press, was killed in cross fire while covering an African National Congress tour in the township of Katlehong. He died of a bullet wound to the chest"
Abdul Wahab,Journalist,Motive Confirmed,Male,"December  6, 2010",2010,December,Pakistan,Express News,Pakistan,Television,"Broadcast, Camera Operator","Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,No,http://cpj.org/killed/2010/abdul-wahab.php,,"Abdul Wahab, a reporter for Express News, and Pervez Khan, a Waqt TV journalist, were among 50 people killed in a double-suicide bomb attack in the Mohmand tribal district, according to international news reports.The journalists were covering a meeting of tribal leaders and government officials in Ghalanai, the administrative center of the region, when two suicide bombers wearing police uniforms detonated explosives. News reports said the meeting was called to discuss the formation of an anti-Taliban militia. Agence France-Presse said a Pakistani Taliban group took credit for the attack, which injured more than 100 people.The journalists worked as both cameramen and reporters."
Abdul-Rahim Nasrallah al-Shimari,Journalist,Motive Confirmed,Male,"October 12, 2006",2006,October,Iraq,Al-Shaabiya,Iraq,Television,Producer,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,No,No,http://cpj.org/killed/2006/abdul-rahim-nasrallah-al-shimari.php,,"Masked gunmen in at least five vehicles drove up to the fledgling satellite TV channel Al-Shaabiya in the eastern district of Zayouna around 7 a.m., burst into the offices, executed 11 people, and wounded two others. It was the deadliest single assault on the press in Iraq since the U.S.-led invasion in March 2003. Five of the victims were journalists: Hussein Ali, Abdul-Rahim Nasrallah al-Shimari, Noufel al-Shimari, Thaker al-Shouwili, and Ahmad Sha'ban. Al-Shaabiya is owned by the National Justice and Progress Party, headed by Abdul-Rahim Nasrallah al-Shimari, who was killed in the attack, according to Reuters and CPJ sources. The small party ran in the preceding election but failed to win any seats. Al-Shaabiya had not yet gone on the air and had run only test transmissions. Executive Manager Hassan Kamil told Reuters that the station had no political agenda and that the staff had been a mix of Sunnis, Shiites, and Kurds. The station had not been threatened previously.Kamil said some of the gunmen wore police uniforms, and all were masked. News reports said the gunmen's cars resembled police vehicles.A local press freedom group, The Journalistic Freedoms Observatory, named the dead as Chairman and General Manager Abdul-Rahim Nasrallah al-Shimari and his bodyguard, Ali Jabber; Deputy General Manager Noufel al-Shimari; presenters Thaker al-Shouwili and Ahmad Sha'ban; administrative manager Sami Nasrallah al-Shimari; video mixer Hussein Ali; and three guards identified by first names only: Maher, Ahmad and Hassan. The station's generator operator, whose name was not available, was also killed. A source at Al-Shaabiya confirmed the names. Program Manager Mushtak al-Ma'mouri and news chief Muhammad Kathem were hospitalized with multiple gunshot wounds."
Abdulai Jumah Jalloh,Journalist,Motive Confirmed,Male,"February  3, 1999",1999,February,Sierra Leone,African Champion,Sierra Leone,Print,Editor,War,No,Local,Military Officials,Murder,Yes,No,No,No,http://cpj.org/killed/1999/abdulai-jumah-jalloh.php,,"Jalloh, news editor of the independent newspaper African Champion, was killed by a West African peacekeeping force (ECOMOG) soldier in central Freetown, according to local journalists. Jalloh and the newspaper's editor, Mohammed D. Koroma, were on their way to a printing company near the state house when a passerby claimed-in the presence of ECOMOG soldiers-that Jalloh was a Revolutionary United Front (RUF) rebel and accused him of arson. Jalloh denied the charge, as did Koroma, who told the ECOMOG soldiers that RUF rebels had burned Jalloh's house.The soldiers warned Koroma not to continue defending Jalloh. An unidentified ECOMOG officer then took Jalloh aside and executed him at point-blank range."
Abdulkadir Mahad Moallim Kaskey,Journalist,Motive Confirmed,Male,"August 24, 2007",2007,August,Somalia,Radio Banadir,Somalia,Radio,Broadcast,Politics,Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,No,http://cpj.org/killed/2007/abdulkadir-mahad-moallim-kaskey.php,,"Kaskey, a correspondent for private Radio Banadir, was shot in the southwestern city of Bardera while returning from a journalism training workshop in Mogadishu, according to the National Union of Somali Journalists and local journalist Mohamed Gaarane.Kaskey died of a single bullet to the chest when local clan gunmen opened fired on a Toyota truck carrying 15 people, Gaarane said. At least two passengers were wounded in the incident, which occurred just after midnight.Gaarane reported that officials of the local Geledle sub-clan, to which the gunmen allegedly belonged, announced they would hand over the perpetrators to provincial authorities.Kaskey, 20, was an active reporter respected by his colleagues, according to Radio Banadir producer Ali Moalim. A day before his death, he had visited the offices of the press union in Mogadishu to discuss the working conditions of journalists in southwestern Somalia. He was also a correspondent for Radio Maandeeq in Gedo and Radio Daljir in the northeastern semi-autonomous region of Puntland, according to local media reports."
Abdulkhafar Abdulkadir,Journalist,Motive Confirmed,Male,"December  3, 2009",2009,December,Somalia,Freelance,Somalia,Print,Photographer,"Culture, War",Yes,Local,Political Group,Crossfire/Combat-Related,,,,,http://cpj.org/killed/2009/abdulkhafar-abdulkadir.php,,"Three journalists were killed in a suicide bomb attack at a BenadirUniversity graduation ceremony in the capital, Mogadishu. In all, the explosion claimed the lives of at least 23 people, including several top government officials, according to news reports. Hassan Zubeyr, a cameraman for Al-Arabiya television, and Mohamed Amin, a Radio Shabelle reporter, were pronounced dead at the scene. Abdulkadir, a freelance photographer, died at a local hospital later in the day.Minister of Information Dahir Mohamud Gelle told reporters that the suicide bomber was a suspected Al-Shabaab insurgent who was targeting government ministers attending the ceremony at the Hotel Shamo. Gelle said Health Minister Qamar Aden, Education Minister Ahmed Abdullahi, and Higher Education Minister Ibrahim Hassan were killed. The minister of sports and tourism, Suleiman Olad Roble, died two days later from injuries suffered in the attack.Abdulkadir, 28, had gained attention in September, when he was the sole photojournalist to cover a suicide attack against African Union peacekeepers."
Abdullahi Madkeer,Journalist,Motive Confirmed,Male,"January 24, 2003",2003,January,Somalia,DMC,Somalia,Radio,Broadcast,Politics,No,Local,Paramilitary Group,Dangerous Assignment,,No,No,No,http://cpj.org/killed/2003/abdullahi-madkeer.php,,"Madkeer, a journalist with DMC Radio, was accidentally shot in the stomach by members of the Rahanweyn Resistance Army (RRA) militia while covering the reopening of Baidoa Airport in the southwest of the country, according to the Somali Journalists' Network (SOJON) and the Action Alert Group, a press freedom organization. He was taken to a hospital and died that day after doctors refused to operate on him because he was HIV positive.The shooting occurred while militia belonging to the RRA faction of Shaykh Adan Madobe fired on the airport crowd to drive them back from an aircraft with a cargo of the narcotic khat. The airport had just reopened after months of war between rival RRA factions in the region.SOJON quoted Madkeer's father as saying that there has been no investigation into his son's death because of civil war and lawlessness in Baidoa Region. According to SOJON, Madkeer's death has left his family destitute.Madkeer's station, DMC Radio, has since been forced to close after local fighters from RRA factions requisitioned the stations' offices."
