ID,Service Provider,Year,Period,Country,User Data Requests,Number of Requests where some data was disclosed (content or non content),Percentage of Requests where some data was disclosed (content or non content),Users/Accounts Specified
"Brazil - Google, 2010 (1st half)",Google,2010,2010 (1st half),Brazil,2435,,,
"Chile - Google, 2010 (1st half)",Google,2010,2010 (1st half),Chile,115,,,
"France - Google, 2010 (1st half)",Google,2010,2010 (1st half),France,1017,,,
"Germany - Google, 2010 (1st half)",Google,2010,2010 (1st half),Germany,668,,,
"Hong Kong - Google, 2010 (1st half)",Google,2010,2010 (1st half),Hong Kong,50,,,
"India - Google, 2010 (1st half)",Google,2010,2010 (1st half),India,1430,,,
"Israel - Google, 2010 (1st half)",Google,2010,2010 (1st half),Israel,30,,,
"Italy - Google, 2010 (1st half)",Google,2010,2010 (1st half),Italy,651,,,
"Japan - Google, 2010 (1st half)",Google,2010,2010 (1st half),Japan,56,,,
"Portugal - Google, 2010 (1st half)",Google,2010,2010 (1st half),Portugal,73,,,
"Singapore - Google, 2010 (1st half)",Google,2010,2010 (1st half),Singapore,106,,,
"South Korea - Google, 2010 (1st half)",Google,2010,2010 (1st half),South Korea,170,,,
"Spain - Google, 2010 (1st half)",Google,2010,2010 (1st half),Spain,372,,,
"Switzerland - Google, 2010 (1st half)",Google,2010,2010 (1st half),Switzerland,35,,,
"Taiwan - Google, 2010 (1st half)",Google,2010,2010 (1st half),Taiwan,130,,,
"Turkey - Google, 2010 (1st half)",Google,2010,2010 (1st half),Turkey,51,,,
"United Kingdom - Google, 2010 (1st half)",Google,2010,2010 (1st half),United Kingdom,1343,,,
"United States - Google, 2010 (1st half)",Google,2010,2010 (1st half),United States,4287,,,
"Hungary - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Hungary,68,0,0,
"Turkey - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Turkey,45,0,0,
"Mexico - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Mexico,34,19,56,
"Canada - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Canada,38,21,55,
"Netherlands - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Netherlands,43,29,67,
"Poland - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Poland,272,33,12,
"Portugal - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Portugal,92,40,43,
"Israel - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Israel,54,41,76,
"Argentina - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Argentina,127,51,40,
"Hong Kong - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Hong Kong,90,53,59,
"Belgium - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Belgium,85,62,73,
"Japan - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Japan,72,65,90,
"Chile - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Chile,121,80,66,
"South Korea - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),South Korea,190,86,45,
"Taiwan - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Taiwan,156,101,65,
"Singapore - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Singapore,118,104,88,
"Spain - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Spain,359,219,61,
"Australia - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Australia,345,279,81,
"Italy - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Italy,837,502,60,
"France - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),France,1021,572,56,
"Germany - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Germany,768,584,76,
"United Kingdom - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),United Kingdom,1162,837,72,
"India - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),India,1699,1342,79,
"Brazil - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),Brazil,1804,1371,76,
"United States - Google, 2010 (2nd half)",Google,2010,2010 (2nd half),United States,4601,4325,94,
"Hungary - Google, 2011 (1st half)",Google,2011,2011 (1st half),Hungary,81,0,0,82
"Russia - Google, 2011 (1st half)",Google,2011,2011 (1st half),Russia,42,0,0,47
"Turkey - Google, 2011 (1st half)",Google,2011,2011 (1st half),Turkey,73,0,0,74
"United States - Sonic.net, 2011 (1st half)",Sonic.net,2011,2011 (1st half),United States,11,4.5,41,
"Mexico - Google, 2011 (1st half)",Google,2011,2011 (1st half),Mexico,48,20,42,73
"Canada - Google, 2011 (1st half)",Google,2011,2011 (1st half),Canada,50,24,48,75
"Switzerland - Google, 2011 (1st half)",Google,2011,2011 (1st half),Switzerland,36,25,69,42
"Poland - Google, 2011 (1st half)",Google,2011,2011 (1st half),Poland,266,29,11,319
"Netherlands - Google, 2011 (1st half)",Google,2011,2011 (1st half),Netherlands,64,31,48,213
"Israel - Google, 2011 (1st half)",Google,2011,2011 (1st half),Israel,60,36,60,67
"Argentina - Google, 2011 (1st half)",Google,2011,2011 (1st half),Argentina,134,43,32,188
"Chile - Google, 2011 (1st half)",Google,2011,2011 (1st half),Chile,118,50,42,143
"Hong Kong - Google, 2011 (1st half)",Google,2011,2011 (1st half),Hong Kong,123,52,42,123
"Belgium - Google, 2011 (1st half)",Google,2011,2011 (1st half),Belgium,90,60,67,111
"Japan - Google, 2011 (1st half)",Google,2011,2011 (1st half),Japan,75,65,87,82
"Singapore - Google, 2011 (1st half)",Google,2011,2011 (1st half),Singapore,106,80,75,126
"Portugal - Google, 2011 (1st half)",Google,2011,2011 (1st half),Portugal,161,81,50,323
"South Korea - Google, 2011 (1st half)",Google,2011,2011 (1st half),South Korea,259,96,37,530
"Taiwan - Google, 2011 (1st half)",Google,2011,2011 (1st half),Taiwan,155,126,81,267
"Australia - Google, 2011 (1st half)",Google,2011,2011 (1st half),Australia,361,264,73,412
"Spain - Google, 2011 (1st half)",Google,2011,2011 (1st half),Spain,460,290,63,709
"Italy - Google, 2011 (1st half)",Google,2011,2011 (1st half),Italy,934,560,60,1263
"Brazil - Google, 2011 (1st half)",Google,2011,2011 (1st half),Brazil,703,612,87,1822
"France - Google, 2011 (1st half)",Google,2011,2011 (1st half),France,1312,617,47,1552
"Germany - Google, 2011 (1st half)",Google,2011,2011 (1st half),Germany,1065,703,66,1759
"United Kingdom - Google, 2011 (1st half)",Google,2011,2011 (1st half),United Kingdom,1279,806,63,1444
"India - Google, 2011 (1st half)",Google,2011,2011 (1st half),India,1739,1217,70,2439
"United States - Google, 2011 (1st half)",Google,2011,2011 (1st half),United States,5950,5534,93,11057
"France - LinkedIn, 2011 (2nd half)",LinkedIn,2011,2011 (2nd half),France,2,0,0,4
"Hungary - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Hungary,73,0,0,79
"India - LinkedIn, 2011 (2nd half)",LinkedIn,2011,2011 (2nd half),India,2,0,0,5
"Russia - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Russia,58,0,0,65
"Spain - LinkedIn, 2011 (2nd half)",LinkedIn,2011,2011 (2nd half),Spain,1,0,0,1
"Turkey - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Turkey,88,0,0,92
"United Kingdom - LinkedIn, 2011 (2nd half)",LinkedIn,2011,2011 (2nd half),United Kingdom,3,0,0,3
"United States - Sonic.net, 2011 (2nd half)",Sonic.net,2011,2011 (2nd half),United States,11,4.5,41,
"Canada - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Canada,41,10,24,49
"Mexico - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Mexico,67,17,25,115
"Netherlands - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Netherlands,37,22,59,49
"Israel - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Israel,51,31,61,79
"Norway - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Norway,49,34,69,61
"Portugal - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Portugal,147,43,29,196
"Switzerland - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Switzerland,69,46,67,76
"Argentina - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Argentina,141,47,33,201
"Chile - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Chile,117,50,43,186
"Japan - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Japan,90,53,59,117
"Poland - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Poland,241,53,22,297
"United States - LinkedIn, 2011 (2nd half)",LinkedIn,2011,2011 (2nd half),United States,65,55,84,84
"Belgium - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Belgium,99,66,67,124
"Singapore - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Singapore,102,85,83,186
"South Korea - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),South Korea,257,95,37,393
"Hong Kong - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Hong Kong,202,103,51,202
"Taiwan - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Taiwan,224,168,75,303
"Spain - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Spain,388,198,51,610
"Australia - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Australia,444,289,65,496
"Italy - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Italy,844,430,51,1124
"France - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),France,1404,618,44,1779
"Germany - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Germany,1426,642,45,2027
"United Kingdom - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),United Kingdom,1455,931,64,1764
"Brazil - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),Brazil,1615,1454,90,2222
"India - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),India,2207,1457,66,3427
"United States - Google, 2011 (2nd half)",Google,2011,2011 (2nd half),United States,6321,5879,93,12243
"Austria - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Austria,5.5,0,0,5.5
"Brazil - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Brazil,5.5,0,0,5.5
"Bulgaria - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Bulgaria,5.5,0,0,5.5
"France - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),France,5.5,0,0,5.5
"Germany - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Germany,5.5,0,0,5.5
"Hungary - Google, 2012 (1st half)",Google,2012,2012 (1st half),Hungary,92,0,0,139
"India - LinkedIn, 2012 (1st half)",LinkedIn,2012,2012 (1st half),India,1,0,0,1
"India - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),India,5.5,0,0,5.5
"Indonesia - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Indonesia,5.5,0,0,5.5
"Italy - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Italy,5.5,0,0,5.5
"Mexico - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Mexico,5.5,0,0,5.5
"Peru - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Peru,5.5,0,0,5.5
"Portugal - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Portugal,5.5,0,0,5.5
"Russia - Google, 2012 (1st half)",Google,2012,2012 (1st half),Russia,58,0,0,58
"Slovenia - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Slovenia,0.5,0,0,0.5
"South Korea - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),South Korea,5.5,0,0,5.5
"Spain - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Spain,5.5,0,0,12
"Sweden - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Sweden,5.5,0,0,5.5
"Switzerland - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Switzerland,5.5,0,0,5.5
"Turkey - Google, 2012 (1st half)",Google,2012,2012 (1st half),Turkey,112,0,0,120
"Turkey - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Turkey,5.5,0,0,5.5
"United Kingdom - LinkedIn, 2012 (1st half)",LinkedIn,2012,2012 (1st half),United Kingdom,2,0,0,2
"Uruguay - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Uruguay,0.5,0.5,100,0.5
"Guatemala - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Guatemala,1,1,100,2
"United States - Sonic.net, 2012 (1st half)",Sonic.net,2012,2012 (1st half),United States,8,1.5,19,
"Canada - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Canada,11,2,18,12
"Ireland - Google, 2012 (1st half)",Google,2012,2012 (1st half),Ireland,34,2,6,34
"United Kingdom - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),United Kingdom,11,2,18,11
"Greece - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Greece,4.5,3,67,5.5
"Iceland - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Iceland,4,3.5,88,4.5
"El Salvador - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),El Salvador,4.5,4,89,5
"Venezuela - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Venezuela,5.5,5,91,10.5
"Australia - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Australia,5.5,5.5,33,5.5
"Greece - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Greece,5.5,5.5,33,5.5
"Netherlands - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Netherlands,5.5,5.5,50,5.5
"Czech Republic - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Czech Republic,9.5,8,84,13.5
"Dominican Republic - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Dominican Republic,8.5,8.5,100,114
"Canada - Google, 2012 (1st half)",Google,2012,2012 (1st half),Canada,50,12,24,50
"Panama - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Panama,13,12,92,16
"Slovakia - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Slovakia,14,12.5,89,14.5
"Czech Republic - Google, 2012 (1st half)",Google,2012,2012 (1st half),Czech Republic,44,14,32,44
"Japan - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),Japan,98,20,20,147
"Israel - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Israel,27,23,85,70.5
"New Zealand - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),New Zealand,32,23.5,73,64
"Luxembourg - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Luxembourg,27.5,24,87,40.5
"Denmark - Google, 2012 (1st half)",Google,2012,2012 (1st half),Denmark,32,25,78,32
"Ireland - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Ireland,36,25.5,71,111
"Norway - Google, 2012 (1st half)",Google,2012,2012 (1st half),Norway,37,26,70,37
"Portugal - Google, 2012 (1st half)",Google,2012,2012 (1st half),Portugal,184,26,14,247
"Finland - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Finland,28,27,96,164
"Poland - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Poland,35,27.5,79,55
"Ecuador - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Ecuador,29.5,28.5,97,47.5
"Mexico - Google, 2012 (1st half)",Google,2012,2012 (1st half),Mexico,71,32,45,136
"Israel - Google, 2012 (1st half)",Google,2012,2012 (1st half),Israel,55,33,60,55
"Malta - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Malta,37.5,33.5,89,39.5
"Thailand - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Thailand,41.5,36.5,88,52.5
"Peru - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Peru,42,39,93,128.5
"United States - Dropbox, 2012 (1st half)",Dropbox,2012,2012 (1st half),United States,43.5,41,94,82
"Chile - Google, 2012 (1st half)",Google,2012,2012 (1st half),Chile,101,45,45,143
"Netherlands - Google, 2012 (1st half)",Google,2012,2012 (1st half),Netherlands,59,45,76,59
"Costa Rica - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Costa Rica,49,45.5,93,76
"Canada - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Canada,51.5,48.5,94,192.5
"Hungary - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Hungary,61.5,51,83,87.5
"United States - LinkedIn, 2012 (1st half)",LinkedIn,2012,2012 (1st half),United States,64,51,79,96
"Argentina - Google, 2012 (1st half)",Google,2012,2012 (1st half),Argentina,137,52,38,178
"Denmark - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Denmark,64,55.5,87,95.5
"Switzerland - Google, 2012 (1st half)",Google,2012,2012 (1st half),Switzerland,82,56,68,113
"Singapore - Google, 2012 (1st half)",Google,2012,2012 (1st half),Singapore,89,62,70,97
"Hong Kong - Google, 2012 (1st half)",Google,2012,2012 (1st half),Hong Kong,192,63,33,192
"Belgium - Google, 2012 (1st half)",Google,2012,2012 (1st half),Belgium,107,72,67,127
"Poland - Google, 2012 (1st half)",Google,2012,2012 (1st half),Poland,351,74,21,458
"Norway - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Norway,93.5,84,90,213
"Singapore - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Singapore,89.5,84,94,276.5
"Japan - Google, 2012 (1st half)",Google,2012,2012 (1st half),Japan,104,89,86,133
"Colombia - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Colombia,113.5,94.5,83,311.5
"Sweden - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Sweden,163,146.5,90,276
"South Korea - Google, 2012 (1st half)",Google,2012,2012 (1st half),South Korea,423,148,35,917
"Taiwan - Google, 2012 (1st half)",Google,2012,2012 (1st half),Taiwan,271,171,63,307
"India - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),India,209,185,89,297
"Chile - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Chile,265,223.5,84,395.5
"Portugal - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Portugal,274,234.5,86,355
"North Korea - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),North Korea,308,250.5,81,545.5
"Japan - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Japan,286,269,94,383
"Spain - Google, 2012 (1st half)",Google,2012,2012 (1st half),Spain,531,276,52,1037
"Italy - Google, 2012 (1st half)",Google,2012,2012 (1st half),Italy,841,286,34,1054
"Belgium - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Belgium,363.5,314.5,87,570
"Argentina - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Argentina,384.5,329.5,86,639.5
"Australia - Google, 2012 (1st half)",Google,2012,2012 (1st half),Australia,523,335,64,841
"Netherlands - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Netherlands,429.5,335.5,78,719
"Hong Kong - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Hong Kong,520.5,411,79,524.5
"United States - Twitter, 2012 (1st half)",Twitter,2012,2012 (1st half),United States,679,509,75,948
"Mexico - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Mexico,661.5,597,90,1489.5
"Germany - Google, 2012 (1st half)",Google,2012,2012 (1st half),Germany,1533,598,39,2007
"Italy - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Italy,759.5,630.5,83,1049
"France - Google, 2012 (1st half)",Google,2012,2012 (1st half),France,1546,649,42,1880
"Spain - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Spain,990.5,834,84,1700
"United Kingdom - Google, 2012 (1st half)",Google,2012,2012 (1st half),United Kingdom,1425,912,64,1732
"Brazil - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Brazil,1107,934.5,84,2088
"Australia - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Australia,1119,949.5,85,1540.5
"Brazil - Google, 2012 (1st half)",Google,2012,2012 (1st half),Brazil,1566,1190,76,2640
"India - Google, 2012 (1st half)",Google,2012,2012 (1st half),India,2319,1484,64,3467
"Taiwan - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Taiwan,2190.5,1889.5,86,4152.5
"United Kingdom - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),United Kingdom,4613,3528.5,76,7150.5
"Germany - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Germany,4209.5,3544,84,6613
"France - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),France,4301.5,3688.5,86,8986.5
"United States - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),United States,5536.5,4370,79,12282.5
"Turkey - Microsoft, 2012 (1st half)",Microsoft,2012,2012 (1st half),Turkey,5717,4498.5,79,7038.5
"United States - Google, 2012 (1st half)",Google,2012,2012 (1st half),United States,7969,7172,90,16281
"Germany - LeaseWeb, 2012 (1st half)",LeaseWeb,2012,2012 (1st half),Germany,116.5,,,
"Netherlands - LeaseWeb, 2012 (1st half)",LeaseWeb,2012,2012 (1st half),Netherlands,46,,,
"United States - LeaseWeb, 2012 (1st half)",LeaseWeb,2012,2012 (1st half),United States,12,,,
"Argentina - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Argentina,5.5,0,0,13
"Denmark - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Denmark,5.5,0,0,5.5
"France - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),France,12,0,0,54
"Germany - LinkedIn, 2012 (2nd half)",LinkedIn,2012,2012 (2nd half),Germany,1,0,0,1
"Germany - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Germany,5.5,0,0,5.5
"Greece - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Greece,5.5,0,0,15
"Hungary - Google, 2012 (2nd half)",Google,2012,2012 (2nd half),Hungary,95,0,0,151
"India - LinkedIn, 2012 (2nd half)",LinkedIn,2012,2012 (2nd half),India,1,0,0,1
"India - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),India,5.5,0,0,5.5
"Indonesia - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Indonesia,5.5,0,0,5.5
"Ireland - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Ireland,5.5,0,0,5.5
"Israel - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Israel,5.5,0,0,5.5
"Italy - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Italy,5.5,0,0,5.5
"Mexico - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Mexico,5.5,0,0,5.5
"Qatar - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Qatar,5.5,0,0,5.5
"Slovenia - Microsoft, 2012 (2nd half)",Microsoft,2012,2012 (2nd half),Slovenia,0.5,0,0,0.5
"South Sudan - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),South Sudan,5.5,0,0,5.5
"Spain - LinkedIn, 2012 (2nd half)",LinkedIn,2012,2012 (2nd half),Spain,1,0,0,1
"Spain - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Spain,5.5,0,0,5.5
"Switzerland - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Switzerland,5.5,0,0,5.5
"Turkey - Google, 2012 (2nd half)",Google,2012,2012 (2nd half),Turkey,149,0,0,144
"Turkey - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Turkey,5.5,0,0,5.5
"Uruguay - Microsoft, 2012 (2nd half)",Microsoft,2012,2012 (2nd half),Uruguay,0.5,0.5,100,0.5
"Canada - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Canada,15,1,7,22
"Guatemala - Microsoft, 2012 (2nd half)",Microsoft,2012,2012 (2nd half),Guatemala,1,1,100,2
"Russia - Google, 2012 (2nd half)",Google,2012,2012 (2nd half),Russia,97,1,1,123
"United Kingdom - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),United Kingdom,25,1,4,27
"United States - Sonic.net, 2012 (2nd half)",Sonic.net,2012,2012 (2nd half),United States,8,1.5,19,
"Greece - Microsoft, 2012 (2nd half)",Microsoft,2012,2012 (2nd half),Greece,4.5,3,67,5.5
"Japan - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Japan,62,3,5,75
"Iceland - Microsoft, 2012 (2nd half)",Microsoft,2012,2012 (2nd half),Iceland,4,3.5,88,4.5
"Brazil - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Brazil,34,4,12,43
"El Salvador - Microsoft, 2012 (2nd half)",Microsoft,2012,2012 (2nd half),El Salvador,4.5,4,89,5
"Venezuela - Microsoft, 2012 (2nd half)",Microsoft,2012,2012 (2nd half),Venezuela,5.5,5,91,10.5
"Australia - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Australia,5.5,5.5,20,5.5
"Netherlands - Twitter, 2012 (2nd half)",Twitter,2012,2012 (2nd half),Netherlands,5.5,5.5,33,5.5
"Czech Republic - Microsoft, 2012 (2nd half)",Microsoft,2012,2012 (2nd half),Czech Republic,9.5,8,84,13.5
"Dominican Republic - Microsoft, 2012 (2nd half)",Microsoft,2012,2012 (2nd half),Dominican Republic,8.5,8.5,100,114
"Canada - Google, 2012 (2nd half)",Google,2012,2012 (2nd half),Canada,38,9,24,77
