Name,Wikipedia Page,Description,Image,Birth Year,Age Term Began (approx.),Term Began,Year Term Began,Term Ended,Year Term Ended,Term length,Days in Term,Royal?,Current?,Birth Place (current city),Country of Birth (current country),Ruler of,Country of Ruled Territory (Current),Political Party,Studies,Role,Religion
"Philipp I, Count of Nassau-Weilburg","http://en.wikipedia.org/wiki/Philipp_I,_Count_of_Nassau-Weilburg","Count Philipp I of Nassau-Weilburg (1368 – 2 July 1429) was Count of Nassau in Weilburg, Count of Saarbrücken and Seigneur of Commercy Château bas in 1371–1429.",http://commons.wikimedia.org/wiki/Special:FilePath/Wappen_Stadtverband_Saarbruecken.png?width=300,1368,3,20 September 1371,1371,2 July 1429,1429,"57 years,285 days",21104,Yes,No,"Weilburg, Germany",Germany,Nassau-Weilburg ,Germany,,,Count,
Ivan IV de Russie,http://en.wikipedia.org/wiki/Ivan_IV_of_Russia,"Ivan IV Vasilyevich (Russian: Ива́н Васи́льевич, tr. Ivan Vasilevich; 25 August 1530 – 28 March [O.S. 18 March] 1584), commonly known as Ivan the Terrible (Russian: Ива́н Гро́зный​(help·info), Ivan Grozny ), was the Grand Prince of Moscow from 1533 to 1547 and Tsar of All the Russias from 1547 until his death. His long reign saw the conquest of the Khanates of Kazan, Astrakhan, and Siberia, transforming Russia into a multiethnic and multiconfessional state spanning almost one billion acres, approximately 4,046,856 km 2 (1,562,500 sq mi). Ivan managed countless changes in the progression from a medieval state to an empire and emerging regional power, and became the first ruler to be crowned as Tsar of All the Russians.",http://commons.wikimedia.org/wiki/Special:FilePath/Ivan-Groznyi-Parsuna.jpg?width=300,1530,3,3 December 1533,1533,18 March 1584,1584,"50 years,116 days",18378,Yes,No,"Moscow, Russia",Russia,Russia,Russia,,,Tsar,
"Frederick V, Landgrave of Hesse-Homburg","http://en.wikipedia.org/wiki/Frederick_V,_Landgrave_of_Hesse-Homburg","Frederick V Louis William Christian, Landgrave of Hesse-Homburg (30 January 1748, Bad Homburg vor der Höhe – 20 January 1820, Bad Homburg vor der Höhe) was from 1751 to his death landgrave of Hesse-Homburg. He was the son of Frederick IV, Landgrave of Hesse-Homburg and Ulrike Louise of Solms-Braunfels (1731–1792), daughter of Frederick William, Prince of Solms-Braunfels .",,1748,3,7 February 1751,1751,20 January 1820,1820,"68 years,347 days",25183,Yes,No,Bad Homburg vor der Höhe,Germany,Hesse-Homburg,Germany,,,Landgrave,
"Bernhard II, Duke of Saxe-Meiningen","http://en.wikipedia.org/wiki/Bernhard_II,_Duke_of_Saxe-Meiningen","Bernhard II Erich Freund, Duke of Saxe-Meiningen (17 December 1800, in Meiningen – 3 December 1882, in Meiningen) was a Duke of Saxe-Meiningen.",http://commons.wikimedia.org/wiki/Special:FilePath/Bernhardiihosenbandorden.JPG?width=300,1800,3,24 December 1803,1803,20 September 1866,1866,"62 years,270 days",22915,Yes,No,"Meiningen, Germany",Germany,Saxe-Meiningen,Germany,,,Duke,"Lutheranism, Christianism"
Alfonso VIII de Castilla,http://en.wikipedia.org/wiki/Alfonso_VIII_of_Castile,"Alfonso VIII (11 November 1155 – 5 October 1214), called the Noble or el de las Navas, was the King of Castile from 1158 to his death and King of Toledo.  He is most remembered for his part in the Reconquista and the downfall of the Almohad Caliphate. After having suffered a great defeat with his own army at Alarcos against the Almohads, he led the coalition of Christian princes and foreign crusaders who broke the power of the Almohads in the Battle of the Navas de Tolosa in 1212, an event which marked the arrival of a tide of Christian supremacy on the Iberian peninsula .",http://commons.wikimedia.org/wiki/Special:FilePath/Alfons8Kastilie.jpg?width=300,1155,3,31 August 1158,1158,5 October 1214,1214,"56 years, 35 days",20489,Yes,No,"Soria, Spain",Spain,Castile ,Spain,,,King,
"Henry Frederick, Count of Hohenlohe-Langenburg","http://en.wikipedia.org/wiki/Henry_Frederick,_Count_of_Hohenlohe-Langenburg","Henry Frederick, Count of Hohenlohe-Langenburg (born 7 September 1625 in Langenburg; died: 2 June 1699 ibid) was the youngest child of Count Philip Ernest of Hohenlohe-Langenburg and his wife Countess Anna Maria of Solms-Sonnewalde .",,1625,3,29 January 1628,1628,5 August 1699,1699,"71 years,188 days",26120,Yes,No,"Langenburg, Germany",Germany,Hohenlohe-Langenburg ,Germany,,,Count,
"Gustav Adolph, Duke of Mecklenburg-Güstrow","http://en.wikipedia.org/wiki/Gustav_Adolph,_Duke_of_Mecklenburg-G%C3%BCstrow","Gustav Adolph, Duke of Mecklenburg [-Güstrow] (26 February 1633 – 6 October 1695) was the last ruler of Mecklenburg-Güstrow from 1636 until his death and last Lutheran Administrator of the Prince-Bishopric of Ratzeburg from 1636 to 1648.",http://commons.wikimedia.org/wiki/Special:FilePath/Gustav_Adolf_von_Mecklenburg-Güstrow.jpg?width=300,1633,3,23 April 1636,1636,6 October 1695,1695,"59 years,166 days",21715,Yes,No,"Güstrow, Germany",Germany,Mecklenburg-Güstrow ,Germany,,,Duke,
Christian Karl Reinhard (Leiningen-Dagsburg-Falkenburg),http://en.wikipedia.org/wiki/Christian_Karl_Reinhard_of_Leiningen-Dachsburg-Falkenburg-Heidesheim,"Count Christian Karl Reinhard of Leiningen-Dachsburg-Falkenburg-Heidesheim (17 July 1695, Mülheim an der Ruhr – 17 November 1766, Heidesheim) was a German nobleman.",http://commons.wikimedia.org/wiki/Special:FilePath/Christian_Carl_Reinhard_von_Leiningen-Dagsburg.jpg?width=300,1695,3,3 November 1698,1698,17 November 1766,1766,"68 years, 14 days",24850,Yes,No,"Mülheim, Germany",Germany,Leiningen-Dagsburg ,Germany,,,Count,
"George William, Prince of Schaumburg-Lippe","http://en.wikipedia.org/wiki/George_William,_Prince_of_Schaumburg-Lippe","Georg Wilhelm, Prince of Schaumburg-Lippe (20 December 1784 – 21 November 1860) was a Count and later Prince of Schaumburg-Lippe .",http://commons.wikimedia.org/wiki/Special:FilePath/Georg_Wilhelm_of_Schaumburg-Lippe.jpg?width=300,1784,3,13 February 1787,1787,21 November 1860,1860,"73 years,282 days",26945,Yes,No,,,Schaumburg-Lippe,Germany,,,Prince,
Mwambutsa IV,http://en.wikipedia.org/wiki/Mwambutsa_IV_Bangiriceng_of_Burundi,"King Mwambutsa IV Bangiricenge (1912 – 26 April 1977), succeeded on the death of his father Mutaga IV Mbikije, 30 November 1915.",http://commons.wikimedia.org/wiki/Special:FilePath/Mwambutsa_-_Ben_Zvi_1962.jpg?width=300,1912,3,16 December 1915,1915,8 July 1966,1966,"50 years,204 days",18466,Yes,No,,,Burundi,Burundi,,,King,
Oyo Nyimba Kabamba Iguru Rukidi IV de Toro,http://wikipedia.org/wiki/Rukidi_IV_of_Toro,"Rukirabasaija Oyo Nyimba Kabamba Iguru Rukidi IV, King Oyo, is the reigning Omukama of Toro, in Uganda. He was born on 16 April 1992 to King Patrick David Mathew Kaboyo Olimi III and Queen Best Kemigisa Kaboyo. Three and half years later in 1995, Oyo ascended the throne and succeeded his father to become the 12th ruler of the 180 year old Kingdom of Toro. He is currently the world's youngest ruling monarch, taking the place of previous record holder, King Mswati of Swaziland, who was crowned at 18 years of age.",http://commons.wikimedia.org/wiki/Special:FilePath/King_Oyo_Nyimba_Kabamba_Iguru_Rukidi_IV.jpg?width=300,1992,3,13 September 1995,1995,,,"19 years,58 days",7002 (on 14th of November),Yes,Yes,,,Toro ,Uganda,,,Omukama,
"Henry IV, Holy Roman Emperor","http://en.wikipedia.org/wiki/Henry_IV,_Holy_Roman_Emperor","Henry IV (German: Heinrich IV; 11 November 1050 – 7 August 1106) ascended to King of the Germans in 1056 [citation needed]. From 1084 until his forced abdication in 1105, he was also referred to as the King of the Romans and Holy Roman Emperor. He was the third emperor of the Salian dynasty and one of the most powerful and important figures of the 11th century. His reign was marked by the Investiture Controversy with the Papacy and several civil wars over his throne both in Italy and Germany. He died of illness, soon after defeating his son's army near Visé, in Lorraine.",http://commons.wikimedia.org/wiki/Special:FilePath/Heinrich_4_g.jpg?width=300,1050,4,17 July 1054,1054,31 December 1105,1105,"51 years,167 days",18794,Yes,No,"Goslar, Germany",Germany,Germany ,Germany ,,,Emperor,
Adolf III of Holstein,http://en.wikipedia.org/wiki/Adolf_III_of_Holstein,"Adolf III, Count of Schauenburg and Holstein (1160 – 3 January 1225) was the ruler of the Counties of Schauenburg and Holstein. He is particularly remembered for his establishment of a new settlement for traders on the banks of the Alster near the Neue Burg in Hamburg .",,1160,4,6 July 1164,1164,3 January 1225,1225,"60 years,181 days",22096,Yes,No,,,Schauenburg and Holstein ,Germany,,,Count,
"John I, Duke of Brittany","http://en.wikipedia.org/wiki/John_I,_Duke_of_Brittany","John I the Red (Breton: Yann Iañ ar Ruz, French: Jean I le Roux; c. 1217/18 – 8 October 1286), known as John the Red due to the colour of his beard, was Duke of Brittany from 1237 to his death and 2nd Earl of Richmond in 1268. He was the son of Duke Peter I, Duke of Brittany jure uxoris and Alix of Thouars, hereditary Duchess of Brittany.",http://commons.wikimedia.org/wiki/Special:FilePath/Jean_Ier_le_Roux.png?width=300,1217,4,21 October 1221,1221,8 October 1286,1286,"64 years,352 days",23727,Yes,No,,,Brittany,France,,,Duke,
"Georg Friedrich I, Margrave of Brandenburg-Ansbach","http://en.wikipedia.org/wiki/George_Frederick,_Margrave_of_Brandenburg-Ansbach","George Frederick of Brandenburg-Ansbach (German: Georg Friedrich der Ältere; 5 April 1539, Ansbach – 25 April 1603) was Margrave of Ansbach and Bayreuth, as well as Regent of Prussia. He was the son of George, Margrave of Brandenburg-Ansbach and a member of the House of Hohenzollern. He married firstly, in 1559, Elisabeth of Brandenburg-Küstrin (29 August 1540 – 8 March 1578). He married secondly, in 1579, Sophie of Brunswick-Lüneburg (30 October 1563 – 1639), daughter of William of Brunswick-Lüneburg and Dorothea of Denmark .",,1539,4,27 December 1543,1543,25 April 1603,1603,"59 years,119 days",21668,Yes,No,,,Brandenburg-Ansbach ,Germany,,,Magrave,
Bhagvat Singh,http://en.wikipedia.org/wiki/Bhagvat_Singh,"Bhagvatsingh Sahib (24 October 1865 – 9 March 1944) was the ruling Maharaja of the princely state of Gondal from 1869 till his death in 1944, in whose reign the state was raised to 11-gun salute state. He was the only Maharaja to take a medical degree and other degrees.","http://commons.wikimedia.org/wiki/Special:FilePath/H.H._Maharaja_Thakore_Shri_Sir_Bhagwant_Singhji_Sagramji_Sahib_Bahadur,_Maharaja_of_Gondal,_GCSI,_GCIE,_1911.jpg?width=300",1865,4,14 December 1869,1869,10 March 1944,1944,"74 years, 87 days",27115,Yes,No,"Dhoraji, India",India,Gondal state ,India,,,Maharaja,Hinduist
James I of Aragon,http://en.wikipedia.org/wiki/James_I_of_Aragon,"James I the Conqueror (Catalan: Jaume el Conqueridor, Occitan: Jacme lo Conquistaire, Aragonese: Chaime lo Conqueridor, Spanish: Jaime el Conquistador; 2 February 1208 – 27 July 1276) was King of Aragon, Valencia and Majorca, Count of Barcelona and Lord of Montpellier from 1213 to 1276. His long reign saw the expansion of the House of Aragón on all sides: into Valencia to the south, Languedoc to the north, and the Balearic Islands to the east. By a treaty with Louis IX of France, he wrested the county of Barcelona from nominal French suzerainty and integrated it into his crown. His part in the Reconquista was similar in Mediterranean Spain to that of his contemporary Ferdinand III of Castile in Andalusia .",http://commons.wikimedia.org/wiki/Special:FilePath/Jaume_I_Palma.jpg?width=300,1208,5,12 September 1213,1213,27 July 1276,1276,"62 years,319 days",22964,Yes,No,"Montpellier, France",France,Aragon ,Spain,,,King,
"Philip I, Landgrave of Hesse","http://en.wikipedia.org/wiki/Philip_I,_Landgrave_of_Hesse","Philip I of Hesse, (13 November 1504 – 31 March 1567), nicknamed der Großmütige (the "" magnanimous "") was a leading champion of the Protestant Reformation and one of the most important of the early Protestant rulers in Germany .",http://commons.wikimedia.org/wiki/Special:FilePath/Wartburg-Philipp.von.Hessen.JPG?width=300,1504,5,11 July 1509,1509,31 March 1567,1567,"57 years,263 days",21082,Yes,No,,,Hesse ,Germany,,,Landgrave,
Louis XIV of France,http://en.wikipedia.org/wiki/Louis_XIV_of_France,"Louis XIV (5 September 1638 – 1 September 1715), known as Louis the Great (Louis le Grand) or the Sun King (le Roi-Soleil ), was a monarch of the House of Bourbon who ruled as King of France and Navarre from 1643 until his death. His reign of 72 years and 110 days is the longest of any monarch of a major country in European history. ",http://commons.wikimedia.org/wiki/Special:FilePath/Louis_XIV_of_France.jpg?width=300,1638,5,14 May 1643,1643,1 September 1715,1715,"72 years,110 days",26407,Yes,No,"Saint-Germain-en-Laye, France",France,France,France,,,King,"Catholicism, Christianism"
Mummadi Krishnaraja Wodeyar,http://en.wikipedia.org/wiki/Mummadi_Krishnaraja_Wodeyar,"Sriman Rajadhiraja Raja Paramesvara Praudha-pratapa Apratima-vira Narapati Birud-antembara-ganda Maharaja Sir Krishnaraja Wadiyar III Bahadur (14 July 1794 – 27 March 1868) or Krishnaraja wadiyar III (Kannada: ಮುಮ್ಮಡಿ ಕೃಷ್ಣರಾಜ ಒಡೆಯರ್) was the ruling Maharaja of the princely state of Mysore in India. Also known as Mummadi Krishnaraja Wadiyar, he belonged to the Wadiyar dynasty and ruled his state for nearly seventy years, from 30 June 1799 to 27 March 1868. He is known for his contribution and patronage to different arts and music during his reign. He was succeeded by his grandson, Chamarajendra Wadiyar X .",,1794,5,30 June 1799,1799,27 March 1868,1868,"68 years,271 days",25107,Yes,No,,,Mysore ,India,,,Maharaja,
Jagatjit Singh Bahadur,http://en.wikipedia.org/wiki/Jagatjit_Singh_Bahadur,Jagatjit Singh Bahadur (24 November 1872 – 19 June 1949) was the ruling Maharaja of the princely state of Kapurthala in the British Empire of India from 1877 until his death in 1949.He ascended the throne of Kapurthala state on 16 October 1877. He assumed full ruling powers in November 1890 and then commenced a career as a world traveller and Francophile. He received the title of Maharaja in 1911. He built palaces and gardens in the city of Kapurthala; his main palace there was modelled on the Versailles Palace.,,1872,5,3 September 1877,1877,5 May 1948,1948,"70 years,245 days",25812,Yes,No,,,Kapurthala ,India,,,Maharaja,
"Hugh IV, Duke of Burgundy","http://en.wikipedia.org/wiki/Hugh_IV,_Duke_of_Burgundy","Hugh IV of Burgundy (9 March 1213 – 27 or 30 October 1272) was Duke of Burgundy between 1218 and 1272. Hugh was the son of Odo III, Duke of Burgundy and Alice de Vergy .","http://commons.wikimedia.org/wiki/Special:FilePath/Hugh_IV,_Duke_of_Burgundy.jpg?width=300",1213,5,6 July 1218,1218,27 October 1271,1271,"53 years,113 days",19471,Yes,No,"Villaines-en-Duesmois, France",France,Burgundy ,France,,,Duke,
"Henry IV, Duke of Mecklenburg","http://en.wikipedia.org/wiki/Henry_IV,_Duke_of_Mecklenburg","Henry IV, Duke of Mecklenburg (1417 – 9 March 1477) was from 1422 to 1477 Duke of Mecklenburg .",http://commons.wikimedia.org/wiki/Special:FilePath/Heinrich_der_dicke.jpg?width=300,1417,5,16 October 1422,1422,9 March 1477,1477,"54 years,144 days",19867,Yes,No,,,Mecklenburg-Schwerin ,Germany,,,Duke,
