Car,Car Name,Image,Manufacturer,Model Year,Serial umber,Date Auctioned,Auction House,Locale,Original Price,Adjusted Price,Wikipedia Profile,Description
Aston Martin DB5 1964 DB5/1486/R,Aston Martin DB5,http://www.supercars.net/gallery/119513/2532/966163.jpg,Aston Martin,1964,DB5/1486/R,27/10/2010,RM Auctions,"London, United Kingdom","$4,620,000","$4,996,481",http://en.wikipedia.org/wiki/Aston_Martin_DB5,"The Aston Martin DB5 is a luxury grand tourer that was made by Aston Martin and designed by the Italian coachbuilder Carrozzeria Touring Superleggera. Released in 1963, it was an evolution of the final series of DB4. The DB series was named honouring David Brown (the head of Aston Martin from 1947–1972). Although not the first, the DB5 is famous for being the most recognised cinematic James Bond car, first appearing in Goldfinger (1964)."
Batmobile 1966 1,Batmobile,http://www.blogcdn.com/www.autoblog.com/media/2013/01/1966-batmobile-bj.jpg,,1966,1,19/01/2013,Barrett-Jackson,"Scottsdale, Arizona, United States","$4,620,000","$4,677,420",http://en.wikipedia.org/wiki/Batmobile,"The Batmobile/ˈbætməˌbiːl/ is the automobile of DC ComicssuperheroBatman. The car has evolved along with the character from comic books to television and films reflecting evolving car technologies. Kept in the Batcave accessed through a hidden entrance, the gadget-laden car is used by Batman in his crime-fighting activities."
"Bentley 4 Litre ""The Green Hornet"" 1931 SM3916","Bentley 4 Litre ""The Green Hornet""",http://www.sportscardigest.com/wp-content/uploads/1931_Bentley_4_1-2L_Boattail-014.jpg,Bentley,1931,SM3916,19/08/2007,Gooding & Company,"Pebble Beach, California, United States","$4,510,000","$5,129,573",http://en.wikipedia.org/wiki/Bentley_4_Litre,"The Bentley 4 Litre was a motor car built on rolling chassis made by Bentley Motors Limited. The 4 litre chassis was conceived and built in a failed attempt to restore Bentley to a good financial state. Announced 15 May 1931, it used a modified four litre RicardoIOE engine in a shortened 8 litre chassis at two-thirds of the price of the 8 Litre in an attempt to compete with the Rolls-Royce 20/25. Instead, Bentley went into receivership shortly afterward, from which it was purchased by Rolls-Royce Limited."
Bentley 4½ Litre Le Mans Sports 'Bobtail' 1928 KM3088,Bentley 4½ Litre Le Mans Sports 'Bobtail',http://www.sportscardigest.com/wp-content/uploads/020_Bentley_1928_4-1-2-Litre_Le-Mans-Sports-Bobtail_KM3088_900.jpg,Bentley,1928,KM3088,19/08/2012,Goodings & Company,"Pebble Beach, California, United States","$6,050,000","$6,214,864",http://en.wikipedia.org/wiki/Bentley_4%C2%BD_Litre,The Bentley 4½ Litre was a British car based on a rolling chassis built by Bentley Motors.Walter Owen Bentley replaced the Bentley 3 Litre with a more powerful car by increasing its engine displacement to 4.4 L (270 cu in).
Bentley 4½ Litre Supercharged Le Mans 1931 MS 3944,Bentley 4½ Litre Supercharged Le Mans,http://www.artvalue.fr/photos/auction/0/56/56316/bentley-vehicles-1931-bentley-4-liter-superchar-3780920.jpg,Bentley,1931,MS 3944,16/08/2013,Bonhams,"Carmel, California, United States","$4,647,500","$4,705,262",http://en.wikipedia.org/wiki/Bentley_4%C2%BD_Litre,The Bentley 4½ Litre was a British car based on a rolling chassis built by Bentley Motors.Walter Owen Bentley replaced the Bentley 3 Litre with a more powerful car by increasing its engine displacement to 4.4 L (270 cu in).
Bentley 8 Litre Sports Coupe Cabriolet 1931 YR5099,Bentley 8 Litre Sports Coupe Cabriolet,http://i.wheelsage.org/pictures/b/bentley/8_litre_sports_coupe_cabriolet_by_barker/bentley_8_litre_sports_coupe_cabriolet_by_barker_6.jpeg,Bentley,1931,YR5099,16/08/2014,RM Auctions,"Monterrey, California, United States","$3,325,000","$3,325,000",http://en.wikipedia.org/wiki/Bentley_8_Litre,"The Bentley 8 Litre was a luxury car based on the largest rolling chassis made by Bentley Motors Limited at Cricklewood, London. Announced 15 September 1930, it was also the last completely new model by Bentley before the company's financial collapse and forced sale to Rolls-Royce Limited; a 4-Litre engine in a shortened chassis was announced on 15 May 1931. Intended to provide the basis for a super-luxury car for very wealthy buyers, the 8 Litre chassis was introduced a year into the Great Depression. Sales of the 8-litre were too slow to turn the company's finances around and, less than nine months after the 8-litre's introduction, Bentley Motors was placed into receivership."
Bentley Speed Six Tourer 1930 HM2868,Bentley Speed Six Tourer,http://www.supercars.net/gallery/119513/3150/1089530small.jpg,Bentley,1930,HM2868,23/07/2004,Christie's,"Le Mans, Sarthe, France","$5,109,665","$6,379,879",http://en.wikipedia.org/wiki/Bentley_Speed_Six,"The regular Bentley 6½ Litre and the high-performance Bentley Speed Six were sports and luxury cars based on Bentleyrolling chassis in production from 1926 to 1930. The Speed Six, introduced in 1928, would become the most successful racing Bentley. Two Bentley Speed Sixes became known as the Blue Train Bentleys after their owner Woolf Barnatos involvement in the Blue Train Races of 1930."
Bugatti Royale Berline de Voyager 1931 41.150,Bugatti Royale Berline de Voyager,http://www.automotoportal.com/media/images/vijesti/100213001.8.jpg,Bugatti,1931,41.150,15/06/1986,Kruse International,"Reno, evada, United States","$6,500,000","$13,984,669",http://en.wikipedia.org/wiki/Bugatti_Royale,"The Bugatti Type 41, better known as the Royale, is a large luxury car with a 4.3 m (169.3 in) wheelbase and 6.4 m (21 ft) overall length. It weighs approximately 3175 kg (7000 lb) and uses a 12.7 L (12763 cc/778 in³) straight-8 engine. For comparison, against the modern Rolls-Royce Phantom (produced from 2003 onward), the Royale is about 20% longer, and more than 25% heavier. This makes the Royale one of the largest cars in the world."
Bugatti Royale Kellner Coupe 1931 41.141,Bugatti Royale Kellner Coupe,http://www.vintagecartalk.com/wp-content/uploads/2013/09/1931-Bugatti-Royale-Kellner-Coupe.jpg,Bugatti,1931,41.141,17/11/1987,Christie's,"London, United Kingdom","$9,800,000","$20,343,468",http://en.wikipedia.org/wiki/Bugatti_Royale,"The Bugatti Type 41, better known as the Royale, is a large luxury car with a 4.3 m (169.3 in) wheelbase and 6.4 m (21 ft) overall length. It weighs approximately 3175 kg (7000 lb) and uses a 12.7 L (12763 cc/778 in³) straight-8 engine. For comparison, against the modern Rolls-Royce Phantom (produced from 2003 onward), the Royale is about 20% longer, and more than 25% heavier. This makes the Royale one of the largest cars in the world."
Bugatti Type 18 5-litre Sports Two-seater 1913 474,Bugatti Type 18 5-litre Sports Two-seater,https://images1.bonhams.com/image?src=Images/live/2008-11/26/7791135-1-6.jpg&width=150,Bugatti,1913,474,7/02/2009,Bonhams,"Paris, France","$3,131,475","$3,442,340",http://en.wikipedia.org/wiki/Bugatti_Type_18,"The Bugatti Type 18, also called the Garros, is an automobile produced from 1912 through 1914. Produced shortly after the start of the business, the design was something of a relic. It had much in common with the cars Ettore Bugatti had designed for Deutz Gasmotoren Fabrik but with the radiator of the Type 13. Only 6 or 7 examples were built."
Bugatti Type 57S Atalante 1937 57502,Bugatti Type 57S Atalante,http://upload.wikimedia.org/wikipedia/en/e/eb/Bugatti_57502_discovery.JPG,Bugatti,1937,57502,7/02/2009,Bonhams,"Paris, France","$4,408,575","$4,846,219",http://en.wikipedia.org/wiki/Bugatti_Type_57,"The Bugatti Type 57 and later variants (including the famous Atlantic and Atalante) was an entirely new design by Jean Bugatti, son of founder Ettore. Type 57s were built from 1934 through 1940, with a total of 710 examples produced."
Bugatti Type 57SC Atalante 1937 57523,Bugatti Type 57SC Atalante,http://files.conceptcarz.com/img/Bugatti/37-Bugatti-Type-57SC_Atalante-DV-09_PBC_dt02.jpg,Bugatti,1937,57523,17/08/2013,Gooding & Company,"Pebble Beach, California, United States","$8,745,000","$8,853,688",http://en.wikipedia.org/wiki/Bugatti_Type_57,"The Bugatti Type 57 and later variants (including the famous Atlantic and Atalante) was an entirely new design by Jean Bugatti, son of founder Ettore. Type 57s were built from 1934 through 1940, with a total of 710 examples produced."
Bugatti Type 57SC Atalante Coupe 1937 57374,Bugatti Type 57SC Atalante Coupe,http://www.bugattibuilder.com/photo/albums/userpics/10012/%252357374-2004_ABC_President_Rally-12.jpg,Bugatti,1937,57374,17/08/2008,Gooding & Company,"Pebble Beach, California, United States","$7,920,000","$8,675,277",http://en.wikipedia.org/wiki/Bugatti_Type_57,"The Bugatti Type 57 and later variants (including the famous Atlantic and Atalante) was an entirely new design by Jean Bugatti, son of founder Ettore. Type 57s were built from 1934 through 1940, with a total of 710 examples produced."
Bugatti Veyron 16.4 Grand Sport 2009 1,Bugatti Veyron 16.4 Grand Sport,http://www.bugattipage.com/newspics2/mullin6.jpg,Bugatti,2009,1,17/08/2008,Gooding & Company,"Pebble Beach, California, United States","$3,190,000","$3,494,209",http://en.wikipedia.org/wiki/Bugatti_Veyron,"The Bugatti Veyron EB 16.4 is a mid-enginedsupercar, designed and developed by the Volkswagen Group and manufactured in Molsheim, France, by Bugatti Automobiles S.A.S."
Chevrolet Corvette L88 1967 194377S115791,Chevrolet Corvette L88,http://barrettjackson.com/staging/carlist/items/Fullsize/Cars/161046/161046_Interior_Web.jpg,Chevrolet,1967,194377S115791,18/01/2014,Barrett-Jackson,"Scottsdale, Arizona, United States","$3,850,000","$3,850,000",http://en.wikipedia.org/wiki/Chevrolet_Corvette_(C2),"The Chevrolet Corvette (C2) (C2 for Second Generation), also known as the Corvette Sting Ray, is a sports car produced by the Chevrolet division of General Motors for the 1963 through 1967 model years."
Chevrolet Corvette L88 Convertible 1967 ,Chevrolet Corvette L88 Convertible,http://o.aolcdn.com/dims-shared/dims3/GLOB/crop/4390x2939+186+0/resize/628x417!/format/jpg/quality/85/http://o.aolcdn.com/hss/storage/adam/aeb3b7bc7c0e6577f25f4096e3204956/1.jpg,Chevrolet,1967,,7/09/2013,Mecum,"Dallas, Texas, United States","$3,200,000","$3,239,771",http://en.wikipedia.org/wiki/Chevrolet_Corvette_(C2),"The Chevrolet Corvette (C2) (C2 for Second Generation), also known as the Corvette Sting Ray, is a sports car produced by the Chevrolet division of General Motors for the 1963 through 1967 model years."
"De Dion, Bouton et Trépardoux Dos-à-Dos Steam Runabout ""La Marquise"" 1884 6 (1st sale)","De Dion, Bouton et Trépardoux Dos-à-Dos Steam Runabout ""La Marquise""",http://www.autoblog.gr/wp-content/gallery/de-dion-bouton-et-trepardoux-dos-a-dos-steam-runabout-1884/de-dion-bouton-et-trepardoux-dos-a-dos-steam-runabout-1884-1.jpg,"De Dion, Bouton et Trépardoux Dos-à-Dos Steam Runabout",1884,6,19/08/2007,Goodings & Company,"Pebble Beach, California, United States","$3,520,000","$4,003,569",http://en.wikipedia.org/wiki/La_Marquise,"La Marquise, is, as of October 2011, thought to be the world's oldest running automobile. It is an 1884 model made by De Dion, Bouton & Trépardoux of France. The car was built as a prototype for future quadricycles, and named for the mother of Albert, the Count of Dion."
"De Dion, Bouton et Trépardoux Dos-à-Dos Steam Runabout ""La Marquise"" 1884 6 (2nd sale)","De Dion, Bouton et Trépardoux Dos-à-Dos Steam Runabout ""La Marquise""",http://www.autoblog.gr/wp-content/gallery/de-dion-bouton-et-trepardoux-dos-a-dos-steam-runabout-1884/de-dion-bouton-et-trepardoux-dos-a-dos-steam-runabout-1884-1.jpg,"De Dion, Bouton et Trépardoux Dos-à-Dos Steam Runabout",1884,6,7/10/2011,RM Auctions,"Hershey, Pennsylvania, United States","$4,620,000","$4,843,482",http://en.wikipedia.org/wiki/La_Marquise,"La Marquise, is, as of October 2011, thought to be the world's oldest running automobile. It is an 1884 model made by De Dion, Bouton & Trépardoux of France. The car was built as a prototype for future quadricycles, and named for the mother of Albert, the Count of Dion."
Delahaye 135 Competition Court Torpedo Roadster 1939 48667,Delahaye 135 Competition Court Torpedo Roadster,http://files.conceptcarz.com/img/Delahaye/37_Delahaye_135_Torpedo_Cabrio_DV-06-PBC_09.jpg,Delahaye,1939,48667,8/03/2014,RM Auctions,"Amelia Island, Florida, United States","$6,600,000","$6,600,000",http://en.wikipedia.org/wiki/Delahaye_135,"Delahaye 135 was an automobile manufactured by Delahaye. Designed by young engineer Jean François, it was produced from 1935 until 1954 in many different body styles. A sporting tourer, it was also popular for racing."
Delahaye Type 175S Roadster 1949 815023,Delahaye Type 175S Roadster,http://www.supercars.net/gallery/119513/910/416344.jpg,Delahaye,1949,815023,14/08/2010,RM Auctions,"Monterey, California, United States","$3,300,000","$3,568,915",http://en.wikipedia.org/wiki/Delahaye_175,"Delahaye 175 was an automobile manufactured by Delahaye between 1947 and 1951. The last of the large Delahayes, the type 175 was essentially a 135 with a larger engine and more modern suspension, with between 120 and 160 hp depending on compression and how many Solex carburettors were fitted. The front end design was by Delahaye's young head designer Philippe Charbonneaux, and marked an effort to develop a particular Delahaye ""face"". Delahaye required coachbuilders to use the corporate front-end, although famous ones such as Figoni et Falaschi were given a certain amount of leeway. The 4.5-litre engine used in these cars carried the ""183"" model code."
Duesenberg Model J Long-Wheelbase Coupe 1931 2478,Duesenberg Model J Long-Wheelbase Coupe,http://files.conceptcarz.com/img/Duesenberg/31-Duesenberg-J_LWB_DV-11-GCP-01.jpg,Duesenberg,1931,2478,21/08/2011,Goodings & Company,"Pebble Beach, California, United States","$10,340,000","$10,840,175",http://en.wikipedia.org/wiki/Duesenberg,"Duesenberg Automobile & Motors Company, Inc. (sometimes referred to as ""Duesy"") was an American manufacturer of luxury automobiles. Founded in Des Moines, Iowa, United States by brothers August Duesenberg and Frederick Duesenberg, the company's principal place of operations moved to Auburn, Indiana. Duesenberg was active in various forms from 1913 to 1937. A distinctive feature of the Duesenberg was the ""bowtie"" style front bumper, which used two pieces of steel, with the top piece bent to resemble a bowtie."
Duesenberg Model SJ Convertible Coupe 1935 2405,Duesenberg Model SJ Convertible Coupe,http://images.conceptcarz.com/imgxra/Duesenberg/35-Duesenberg_SJ_Walker-LaGrande-RM_01.jpg,Duesenberg,1935,2405,9/03/2013,"RM Auctions, Sotheby's","Amelia Island, Florida, United States","$4,510,000","$4,566,053",http://en.wikipedia.org/wiki/Duesenberg_Model_J,The Duesenberg Model J is a luxuryautomobile made by Duesenberg from 1928 to 1937. It was available with a supercharger after 1932.
Duesenberg SJ Roadster 1935 2596,Duesenberg SJ Roadster,http://www.coachbuild.com/gallery/d/42881-2/Bohman_Schwartz_Duesenberg_SJ_Roadster_J509-2596_1935_09.jpg,Duesenberg,1935,2596,16/08/2009,Gooding & Company,"Pebble Beach, California, United States","$3,300,000","$3,627,594",http://en.wikipedia.org/wiki/Duesenberg_Model_SJ,The Duesenberg Model J is a luxuryautomobile made by Duesenberg from 1928 to 1937. It was available with a supercharger after 1932.
"Duesenberg SJ Speedster ""Mormon Meteor"" 1935 ","Duesenberg SJ Speedster ""Mormon Meteor""",https://lh3.googleusercontent.com/-j1cLzPZ1WPk/T77nz9zZHlI/AAAAAAAAGXU/MDwCIRNpIf8/w640-h400-p-k/Duesenburg%252B1935%252BSJ%252BSpeedster%252B-%252BMormon%252BMeteor.jpg,Duesenberg,1935,,15/05/2004,Gooding & Company,"Pebble Beach, California, United States","$4,455,000","$5,562,471",http://en.wikipedia.org/wiki/Mormon_Meteor,The Mormon Meteor I and III were two land speed record cars built in the 1930s by Ab Jenkins.
Ferrari 166 MM Barchetta 1950 0038M,Ferrari 166 MM Barchetta,http://www.supercars.net/gallery/119513/3007/1070072-1024.jpg,Ferrari,1950,0038M,16/08/2013,RM Auctions,"Monterey, California, United States","$3,080,000","$3,118,280",http://en.wikipedia.org/wiki/Ferrari_166_S,"The Ferrari 166 S was an evolution of Ferraris 125 S sports race car that became a sports car for the street in the form of the 166 Inter. Only 39 Ferrari 166 S's were produced, soon followed by the production of the 166 Mille Miglia (MM) which was made in much larger numbers from 1949 to 1952. The 166 MM were in fact updated 166 S and were the cars that score many of Ferrari’s first international victories and made Ferrari a serious competitor on the racing industry. It shared its Aurelio Lampredi-designed tube frame and double wishbone/live axle suspension with the 125. Like the 125, the wheelbase was 2420 mm long. 39 examples were produced from its introduction at the Turin Motor Show in 1948 to its retirement in 1950. It was replaced by the 2.3 L 195 S in 1950. The first 166 Inter was designed by Touring's chief stylist, Carlo Anderloni. 166 S competition models were generally coachbuilt by Carrozzeria Allemano."
Ferrari 212 Export Berlinetta 1951 0088E,Ferrari 212 Export Berlinetta,http://images.conceptcarz.com/imgxra/Ferrari/51-Ferrari-212-Export-DV-14-BS_03.jpg,Ferrari,1951,0088E,17/01/2014,Bonhams,"Scottsdale, Arizona, United States","$3,190,000","$3,190,000",http://en.wikipedia.org/wiki/Ferrari_212_Export,"The Ferrari 212 Export was a sports racing car produced by Ferrari in 1951 to replace the 195 S. It had a shorter wheelbase than the road-oriented Ferrari 212 Inter model, which was a Grand tourer."
Ferrari 250 GT 1957 0703 GT,Ferrari 250 GT,http://images.conceptcarz.com/imgxra/Ferrari/57_Ferrari-250GT_14-Louver-DV-13-GCP-03.jpg,Ferrari,1957,0703 GT,17/01/2014,Gooding & Company,"Scottsdale, Arizona, United States","$9,460,000","$9,460,000",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT Berlinetta Competizione 1955 0415GT,Ferrari 250 GT Berlinetta Competizione,http://www.supercars.net/gallery/119513/3020/1072538-1024.jpg,Ferrari,1955,0415GT,17/08/2013,Gooding & Company,"Pebble Beach, California, United States","$7,150,000","$7,238,864",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT Cabriolet 1959 1181 GT,Ferrari 250 GT Cabriolet,http://montereycarweek.net/wp-content/uploads/2014/07/taillight.jpg,Ferrari,1959,1181 GT,10/05/2014,RM Auctions,"Monte Carlo, Monaco","$6,473,174","$6,473,174",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
