Book or Manuscript,Author,Year of Publish,Date of Sale,Sale Price in Millions of $,Image,Wikipedia Profile,Description
St Cuthbert Gospel,Unknown,600,2012,"$14,300,000",http://upload.wikimedia.org/wikipedia/commons/5/57/St_Cuthbert_Gospel_-_f.1.jpg,http://en.wikipedia.org/wiki/St_Cuthbert_Gospel,"The St Cuthbert Gospel, also known as the Stonyhurst Gospel or the St Cuthbert Gospel of St John, is a 7th-century pocket gospel book, written in Latin. Its finely decorated leather binding is the earliest known Western bookbinding to survive, and both the 94 vellumfolios and the binding are in outstanding condition for a book of this age. With a page size of only 138 by 92 millimetres (5.4 in × 3.6 in) the St Cuthbert Gospel is one of the smallest surviving Anglo-Saxon manuscripts. The essentially undecorated text is the Gospel of John in Latin, written in a script that has been regarded as a model of elegant simplicity."
The Birds of America (1),John James Audubon,1827–1838,2000,"$8,800,000",http://upload.wikimedia.org/wikipedia/commons/3/39/Campephilus_principalisAWP066AA2.jpg,http://en.wikipedia.org/wiki/The_Birds_of_America,"The Birds of America is a book by naturalist and painter John James Audubon, containing illustrations of a wide variety of birds of the United States. It was first published as a series in sections between 1827 and 1838, in Edinburgh and London."
The Birds of America (2),John James Audubon,1827–1838,2012,"$7,900,000",http://upload.wikimedia.org/wikipedia/commons/5/50/Zenaida_macrouraAWP17AA.jpg,http://en.wikipedia.org/wiki/The_Birds_of_America,"The Birds of America is a book by naturalist and painter John James Audubon, containing illustrations of a wide variety of birds of the United States. It was first published as a series in sections between 1827 and 1838, in Edinburgh and London."
The Birds of America (3),John James Audubon,1827–1838,2010,"$11,500,000",http://upload.wikimedia.org/wikipedia/commons/9/9a/Audubon-Flamingo.jpg,http://en.wikipedia.org/wiki/The_Birds_of_America,"The Birds of America is a book by naturalist and painter John James Audubon, containing illustrations of a wide variety of birds of the United States. It was first published as a series in sections between 1827 and 1838, in Edinburgh and London."
The Canterbury Tales - First printed edition,Geoffrey Chaucer,1478,1998,"$7,500,000",http://upload.wikimedia.org/wikipedia/commons/8/80/Wife-of-Bath-ms.jpg,http://en.wikipedia.org/wiki/The_Canterbury_Tales,"The Canterbury Tales (Middle English: Tales of Caunterbury) is a collection of over 20 stories written in Middle English by Geoffrey Chaucer at the end of the 14th century, during the time of the Hundred Years' War. The tales (mostly written in verse, although some are in prose) are presented as part of a story-telling contest by a group of pilgrims as they travel together on a journey from Southwark to the shrine of Saint Thomas Becket at Canterbury Cathedral. The prize for this contest is a free meal at the Tabard Inn at Southwark on their return."
The Federalist,"Alexander Hamilton, John Jay, James Madison",1788,1990,"$1,300,000",http://upload.wikimedia.org/wikipedia/commons/2/23/Federalist.jpg,http://en.wikipedia.org/wiki/Federalist_Papers,"The Federalist Papers are a series of 85 articles and essays written by Alexander Hamilton, James Madison, and John Jay promoting the ratification of the United States Constitution. Seventy-seven were published serially in The Independent Journal and The New York Packet between October of 1787 and August 1788. A compilation of these and eight others, called The Federalist; or, The New Constitution, was published in two volumes in 1788 by J. and A. McLean. The series' correct title is The Federalist; the title The Federalist Papers did not emerge until the twentieth century."
The First Book of Urizen,William Blake,1794,1999,"$2,500,000",http://upload.wikimedia.org/wikipedia/commons/e/e1/The_Book_of_Urizen%2C_copy_G_object_1_The_Book_of_Urizen.jpg,http://en.wikipedia.org/wiki/The_Book_of_Urizen,"The Book of Urizen is one of the major prophetic books of the English writer William Blake, illustrated by Blake's own plates. It was originally published as The First Book of Urizen in 1794. Later editions dropped the ""First"". The book takes its name from the character Urizen in Blake's mythology, who represents alienated reason as the source of oppression. The book describes Urizen as the ""primeaval priest"" and tells how he became separated from the other Eternals to create his own alienated and enslaving realm of religious dogma. Los and Enitharmon create a space within Urizen's fallen universe to give birth to their son Orc, the spirit of revolution and freedom."
The Tales of Beedle the Bard,J. K. Rowling,unknown,2007,"$3,900,000",http://upload.wikimedia.org/wikipedia/en/2/25/The_Tales_of_Beedle_the_Bard.jpg,http://en.wikipedia.org/wiki/The_Tales_of_Beedle_the_Bard,"The Tales of Beedle the Bard is a book of children's stories by British author J. K. Rowling. It purports to be the storybook of the same name mentioned in Harry Potter and the Deathly Hallows, the last book of the Harry Potter series."
Traité des Arbres Fruitiers,Henri-Louis Duhamel du Monceau,1768,2006,"$4,500,000",http://upload.wikimedia.org/wikipedia/commons/d/d0/Pomme_rambour.jpg,http://en.wikipedia.org/wiki/Henri-Louis_Duhamel_du_Monceau,"Henri-Louis Duhamel du Monceau (20 July 1700, Paris - 13 August 1782, Paris), was a French physician, naval engineer and botanist."
United States Declaration of Independence,,1776,1991,"$2,200,000",http://upload.wikimedia.org/wikipedia/commons/8/8f/United_States_Declaration_of_Independence.jpg,http://en.wikipedia.org/wiki/United_States_Declaration_of_Independence,"The Declaration of Independence is the usual name of a statement adopted by the Continental Congress on July 4, 1776, which announced that the thirteen American colonies, then at war with Great Britain, regarded themselves as thirteen newly independent sovereign states, and no longer a part of the British Empire. Instead they formed a new nation—the United States of America. John Adams was a leader in pushing for independence, which was unanimously approved on July 2. A committee of five had already drafted the formal declaration, to be ready when Congress voted on independence. The term ""Declaration of Independence"" is not used in the document itself."
