Movie,Year,Adjusted costs,Nominal Costs,Image,Movie WIkipedia Profile,Description
Iron Man 3,2013,$202000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/d/d5/Iron_Man_3_theatrical_poster.jpg,http://en.wikipedia.org/wiki/Iron_Man_3,"Iron Man 3 (stylized onscreen as Iron Man Three) is a 2013 superhero film featuring the Marvel Comics character Iron Man, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures.1 It is the sequel to 2008's Iron Man and 2010's Iron Man 2, and the seventh installment in the Marvel Cinematic Universe. Shane Black directed a screenplay he co-wrote with Drew Pearce, which uses concepts from the ""Extremis"" story arc by Warren Ellis. The film stars Robert Downey, Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce, Rebecca Hall, Stephanie Szostak, James Badge Dale, Jon Favreau, and Ben Kingsley. In Iron Man 3, Tony Stark tries to recover from posttraumatic stress disorder caused by the events of The Avengers, while investigating a terrorist organization led by the mysterious Mandarin."
John Carter,2012,$257000000,"$250,000,000.00",http://upload.wikimedia.org/wikipedia/en/a/aa/John_carter_poster.jpg,http://en.wikipedia.org/wiki/John_Carter_(film),"John Carter is a 2012 American science fictionadventure film directed by Andrew Stanton and produced by Walt Disney Pictures. It is based on A Princess of Mars, the first book in the Barsoom series of novels by Edgar Rice Burroughs. The film chronicles the first interplanetary adventure of John Carter, portrayed by actor Taylor Kitsch. The film marks the centennial of the character's first appearance. The film is the live-action debut for writer and director Stanton; his previous directorial work includes the Pixar animated films Finding Nemo (2003) and WALL-E (2008). Co-written by Stanton, Mark Andrews and Michael Chabon, it was produced by Jim Morris, Colin Wilson, and Lindsey Collins. The score was composed by Michael Giacchino and released by Walt Disney Records on March 6, 2012. The ensemble cast also features Lynn Collins, Samantha Morton, Mark Strong, Ciarán Hinds, Thomas Haden Church, Dominic West, James Purefoy, and Willem Dafoe."
King Kong,2005,$250000000,"$207,000,000.00",http://upload.wikimedia.org/wikipedia/en/6/6a/Kingkong_bigfinal1.jpg,http://en.wikipedia.org/wiki/King_Kong_(2005_film),"King Kong is a 2005 epicadventure film and remake of the 1933 film of the same name. Directed, co-written and produced by Peter Jackson, it stars Naomi Watts as Ann Darrow, Jack Black as Carl Denham, Adrien Brody as Jack Driscoll and, through motion capture, Andy Serkis as the title character. Set in 1932–33, King Kong tells the story of an overly ambitious filmmaker who coerces his cast and hired ship crew to travel to mysterious Skull Island. There they encounter Kong, a legendary giant gorilla, who they capture and display in New York City, with tragic results."
Man of Steel,2013,$228000000,"$225,000,000.00",http://upload.wikimedia.org/wikipedia/en/8/85/ManofSteelFinalPoster.jpg,http://en.wikipedia.org/wiki/Man_of_Steel_(film),"Man of Steel is a 2013 superhero film based on the DC Comics character Superman, co-produced by Legendary Pictures and Syncopy Films, distributed by Warner Bros. It is the first installment in the DC Cinematic Universe. Directed by Zack Snyder and written by David S. Goyer, the film stars Henry Cavill, Amy Adams, Michael Shannon, Kevin Costner, Diane Lane, Laurence Fishburne, and Russell Crowe. Man of Steel is a reboot of the Superman film series that portrays the character's origin story."
Men in Black 3,2012,$221000000,"$215,000,000.00",http://upload.wikimedia.org/wikipedia/en/8/8a/Men_In_Black_3.jpg,http://en.wikipedia.org/wiki/Men_in_Black_3,"Men in Black 3 (stylized as MIB³ and alternatively spelled Men in Black III) is a 2012 American 3Dscience fictionaction comedy film directed by Barry Sonnenfeld and starring Will Smith, Tommy Lee Jones, and Josh Brolin. It is the third installment in the Men in Black film series based on Lowell Cunninghams The Men in Black comic book series Published by Marvel and Malibu Comics. It was released fifteen years after the original Men in Black (1997) and ten years after the first sequel Men in Black II (2002). Sonnenfeld and Steven Spielberg returned as director and executive producer, respectively. At 106 minutes, it is the longest of the franchise."
Monsters University,2013,$202000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/2/2a/Monsters_University_poster_3.jpg,http://en.wikipedia.org/wiki/Monsters_University,"Monsters University is a 2013 American 3Dcomputer-animatedcomedy film produced by Pixar Animation Studios and released by Walt Disney Pictures. It was directed by Dan Scanlon and produced by Kori Rae, with John Lasseter, Pete Docter, Andrew Stanton and Lee Unkrich as executive producers. It is the fourteenth feature film produced by Pixar and is a prequel to 2001's Monsters, Inc., marking the first time Pixar has made a prequel film."
Oz the Great and Powerful,2013,$218000000,"$215,000,000.00",http://upload.wikimedia.org/wikipedia/en/5/52/Oz_-_The_Great_and_Powerful_Poster.jpg,http://en.wikipedia.org/wiki/Oz_the_Great_and_Powerful,"Oz the Great and Powerful is a 2013 American fantasyadventure film directed by Sam Raimi, produced by Joe Roth, and written by David Lindsay-Abaire and Mitchell Kapner. The film stars James Franco as the titular character, Mila Kunis as Theodora, Rachel Weisz as Evanora, and Michelle Williams as Glinda. Zach Braff, Bill Cobbs, Joey King, and Tony Cox are featured in supporting roles."
Pirates of the Caribbean: At World's End,2007,$341000000,"$300,000,000.00",http://upload.wikimedia.org/wikipedia/en/e/e8/Pirates_3_AWE_Poster_International.jpg,http://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_At_World%27s_End,"Pirates of the Caribbean: At World's End is a 2007 American fantasyswashbuckler film and the third film in the Pirates of the Caribbean film series. The plot follows Will Turner (Orlando Bloom), Elizabeth Swann (Keira Knightley), Hector Barbossa (Geoffrey Rush), and the crew of the Black Pearl rescuing Captain Jack Sparrow (Johnny Depp) from Davy Jones' Locker, and then preparing to fight the East India Trading Company, led by Cutler Beckett (Tom Hollander) and Davy Jones (Bill Nighy), who plan to extinguish piracy forever. Gore Verbinski directed the film, as he did with the previous two. It was shot in two shoots during 2005 and 2006, the former simultaneously with the preceding film, Pirates of the Caribbean: Dead Man's Chest."
Pirates of the Caribbean: Dead Man's Chest,2006,$263000000,"$225,000,000.00",http://upload.wikimedia.org/wikipedia/en/2/2d/Pirates_of_the_caribbean_2_poster_b.jpg,http://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_Dead_Man%27s_Chest,"Pirates of the Caribbean: Dead Man's Chest is a 2006 American fantasyswashbuckler film and the second film of the Pirates of the Caribbean film series, following Pirates of the Caribbean: The Curse of the Black Pearl (2003). It was directed by Gore Verbinski, written by Ted Elliott and Terry Rossio, and produced by Jerry Bruckheimer. In the film, the marriage of Will Turner (Orlando Bloom) and Elizabeth Swann (Keira Knightley) is interrupted by Lord Cutler Beckett (Tom Hollander), who wants Turner to acquire the compass of Captain Jack Sparrow (Johnny Depp) in a bid to find the Dead Man's Chest. Sparrow discovers his debt to Davy Jones (Bill Nighy) is due."
Quantum of Solace,2008,$219000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/2/2d/Quantum_of_Solace_-_UK_cinema_poster.jpg,http://en.wikipedia.org/wiki/Quantum_of_Solace,"Quantum of Solace (2008) is the twenty-second James Bond film produced by Eon Productions, and is the direct sequel to the 2006 film Casino Royale. Directed by Marc Forster, it features Daniel Craigs second performance as James Bond. In the film, Bond seeks revenge for the death of his lover, Vesper Lynd (Eva Green), and is assisted by Camille Montes (Olga Kurylenko), who is plotting revenge for the murder of her family. The trail eventually leads them to wealthy businessman Dominic Greene (Mathieu Amalric), a member of the Quantum organisation, who intends to stage a coup d'état in Bolivia to seize control of that country's water supply."
Spider-Man 2,2004,$250000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/0/02/Spider-Man_2_Poster.jpg,http://en.wikipedia.org/wiki/Spider-Man_2,"Spider-Man 2 is a 2004 American superhero film directed by Sam Raimi and written by Alvin Sargent from a story by Alfred Gough, Miles Millar, and Michael Chabon. The sequel to the 2002 film Spider-Man, it is the second film in Raimi's Spider-Man film trilogy based on the fictional Marvel Comics character of the same name. Tobey Maguire, Kirsten Dunst, and James Franco reprise their respective roles as Peter Parker/Spider-Man, Mary Jane Watson, and Harry Osborn."
Spider-Man 3,2007,$293000000,"$258,000,000.00",http://upload.wikimedia.org/wikipedia/en/7/7a/Spider-Man_3%2C_International_Poster.jpg,http://en.wikipedia.org/wiki/Spider-Man_3,"Spider-Man 3 is a 2007 American superhero film produced by Marvel Entertainment and Laura Ziskin Productions, and distributed by Columbia Pictures based on the fictionalMarvel Comics character Spider-Man. It was directed by Sam Raimi and scripted by Sam and Ivan Raimi and Alvin Sargent. It is the final film in the Sam Raimi Spider-Man trilogy. The film stars Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, Rosemary Harris, J. K. Simmons, James Cromwell and Cliff Robertson in his final film appearance."
Superman,1978,"$199,500,000","$55,000,000.00",http://upload.wikimedia.org/wikipedia/en/6/6d/Superman_ver1.jpg,http://en.wikipedia.org/wiki/Superman_(1978_film),"Superman (also known as Superman: The Movie) is a 1978 British-American superhero film directed by Richard Donner. It is based on the DC Comics character of the same name and stars Marlon Brando, Gene Hackman, Christopher Reeve, Margot Kidder, Glenn Ford, Phyllis Thaxter, Jackie Cooper, Trevor Howard, Marc McClure, Terence Stamp, Valerie Perrine, and Ned Beatty. The film depicts Superman's origin, including his infancy as Kal-El of Krypton and his youthful years in the rural town of Smallville. Disguised as reporter Clark Kent, he adopts a mild-mannered disposition in Metropolis and develops a romance with Lois Lane, while battling the villainous Lex Luthor."
Superman Returns,2006,$239000000,"$204,000,000.00",http://upload.wikimedia.org/wikipedia/en/1/10/Superman_Returns.jpg,http://en.wikipedia.org/wiki/Superman_Returns,"Superman Returns is a 2006 superhero film directed and produced by Bryan Singer. Based on the DC Comics character Superman, the film serves as a homagesequel to the motion pictures Superman (1978) and Superman II (1980), ignoring the events of Superman III (1983) and Superman IV: The Quest for Peace (1987). It stars Brandon Routh as Superman/Clark Kent, as well as Kate Bosworth, Kevin Spacey, James Marsden, Frank Langella, and Parker Posey, and tells the story of the title character returning to Earth after a five-year absence. He finds that his love interestLois Lane has moved on with her life and that his archenemy Lex Luthor is plotting a scheme that will destroy him and the world."
Tangled,2010,$281000000,"$260,000,000.00",http://upload.wikimedia.org/wikipedia/en/a/a8/Tangled_poster.jpg,http://en.wikipedia.org/wiki/Tangled,"Tangled is a 2010 American computer animatedmusicalfantasy-comedy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures. Loosely based on the German fairy tale ""Rapunzel"" in the collection of folk tales published by the Brothers Grimm, it is the 50th animated feature in the Walt Disney Animated Classics series. Featuring the voices of Mandy Moore, Zachary Levi, and Donna Murphy, the film tells the story of a lost princess with long magical hair who yearns to leave her secluded tower. Against her mother's wishes, she accepts the aid of a handsome intruder to take her out into the world which she has never seen."
Terminator 3: Rise of the Machines,2003,$214000000,"$167,000,000.00",http://upload.wikimedia.org/wikipedia/en/3/39/Terminator_3_Rise_of_the_Machines_movie.jpg,http://en.wikipedia.org/wiki/Terminator_3:_Rise_of_the_Machines,"Terminator 3: Rise of the Machines (commonly abbreviated as T3) is a 2003 American science fictionaction film, directed by Jonathan Mostow and starring Arnold Schwarzenegger, Nick Stahl, Claire Danes and Kristanna Loken. It is the third installment of the Terminator series, following Terminator 2: Judgment Day and the first to not involve franchise creator James Cameron, who directed and wrote the two first installments. The plot follows the events of the second installment. After Skynet fails to kill Sarah Connor before her son is born and to kill John himself as a child, it sends back another Terminator, the T-X, in an attempt to wipe out as many Resistance officers as possible. This includes John's future wife, but not John himself as his whereabouts are unknown to Skynet. John's life is placed in danger when the T-X accidentally finds him. The film was moderately well received by critics and turned out to be a box office success."
Terminator Salvation,2009,$220000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/9/95/Terminator-salvation-poster.jpg,http://en.wikipedia.org/wiki/Terminator_Salvation,"Terminator Salvation is a 2009 American/British science fictionaction film directed by McG and starring Christian Bale and Sam Worthington. It is the fourth installment in the original Terminator series. In a departure from the previous installments, which were set between 1984 and 2004 and used time travel as a key plot element, Salvation is set in 2018 and focuses on the war between Skynet and humanity, with the human Resistance fighting against Skynet's killing machines. Bale portrays John Connor, a Resistance fighter and the franchise's central character, while Worthington portrays cyborg Marcus Wright. Terminator Salvation also features Anton Yelchin as a young Kyle Reese, a character first introduced in The Terminator, and depicts the origin of the T-800 Model 101 Terminator."
The Amazing Spider-Man,2012,$205000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/0/02/The_Amazing_Spider-Man_theatrical_poster.jpeg,http://en.wikipedia.org/wiki/The_Amazing_Spider-Man_(2012_film),"The Amazing Spider-Man is a 2012 American superhero film based on the Marvel Comics character Spider-Man and sharing the title of the character's longest-running comic book of the same name. It is the fourth theatrical Spider-Man film produced by Columbia Pictures and Marvel Entertainment, and a reboot of Sam Raimis 2002–07 trilogy preceding it. The film was directed by Marc Webb, written by James Vanderbilt, Alvin Sargent and Steve Kloves and stars Andrew Garfield as Peter Parker / Spider-Man, Emma Stone as Gwen Stacy, Rhys Ifans as Dr. Curtis Connors, Denis Leary as Captain George Stacy along with Martin Sheen and Sally Field as the uncle and aunt of Peter Parker, Ben Parker and May Parker. The film tells the story of Peter Parker, a teenager from New York City who becomes Spider-Man after being bitten by a genetically altered spider. Parker must stop Dr. Curt Connors as a mutated Lizard from spreading a mutation serum to the city's human population."
The Amazing Spider-Man 2,2014,$200000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/0/02/The_Amazing_Spiderman_2_poster.jpg,http://en.wikipedia.org/wiki/The_Amazing_Spider-Man_2,"The Amazing Spider-Man 2 (released with the subtitle Rise of Electro in some markets) is a 2014 American superhero film featuring the Marvel Comics character Spider-Man, directed by Marc Webb and released by Columbia Pictures. It serves as a sequel to the 2012 film The Amazing Spider-Man and was announced in 2011. The studio hired James Vanderbilt to write the screenplay and Alex Kurtzman and Roberto Orci to rewrite it.Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Campbell Scott, Embeth Davidtz, Colm Feore, Paul Giamatti, and Sally Field star."
The Avengers,2012,$226000000,"$220,000,000.00",http://upload.wikimedia.org/wikipedia/en/f/f9/TheAvengers2012Poster.jpg,http://en.wikipedia.org/wiki/The_Avengers_(2012_film),"Marvel's The Avengers (classified under the name Marvel Avengers Assemble in the United Kingdom and Ireland), or simply The Avengers, is a 2012 American superhero film based on the Marvel Comics superhero team of the same name, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures.1 It is the sixth installment in the Marvel Cinematic Universe. The film was written and directed by Joss Whedon and features an ensemble cast including Robert Downey, Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, and Samuel L. Jackson. In the film, Nick Fury, director of the peacekeeping organization S.H.I.E.L.D., recruits Iron Man, Captain America, the Hulk, and Thor to form a team that must stop Thor's brother Loki from subjugating Earth."
The Chronicles of Narnia: Prince Caspian,2008,$246000000,"$225,000,000.00",http://upload.wikimedia.org/wikipedia/en/5/59/PrinceCaspianposter.jpg,http://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_Prince_Caspian,"The Chronicles of Narnia: Prince Caspian is a 2008 epic fantasy film based on Prince Caspian, the second published, fourth chronological novel in C. S. Lewiss epicfantasy series, The Chronicles of Narnia. It is the second in The Chronicles of Narnia film series from Walden Media, following The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005). The four Pevensie children (William Moseley, Anna Popplewell, Skandar Keynes, and Georgie Henley) return to Narnia to aid Prince Caspian (Ben Barnes) in his struggle for the throne against his corrupt uncle, King Miraz (Sergio Castellitto). The film was released on May 16, 2008 in the United States and on June 26, 2008 in the United Kingdom. The screenplay based on the novel by C. S. Lewis was written by Stephen McFeely and Christopher Markus."
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,$217000000,"$180,000,000.00",http://upload.wikimedia.org/wikipedia/en/6/65/The-chronicles-of-narnia-poster.jpg,"http://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe is a 2005 fantasy adventure film directed by Andrew Adamson and based on The Lion, the Witch and the Wardrobe, the first published and second chronological novel in C. S. Lewiss children's epic fantasy series, The Chronicles of Narnia. It was co-produced by Walden Media and Walt Disney Pictures and distributed by Buena Vista Pictures. William Moseley, Anna Popplewell, Georgie Henley and Skandar Keynes play Peter, Susan, Lucy and Edmund, four British children evacuated during the Blitz to the countryside, who find a wardrobe that leads to the fantasy world of Narnia. There they ally with the Lion Aslan (voiced by Liam Neeson) against the forces of Jadis, the White Witch (Tilda Swinton). The screenplay based on the novel by C. S. Lewis was written by Stephen McFeely and Christopher Markus."
The Dark Knight,2008,$203000000,"$185,000,000.00",http://upload.wikimedia.org/wikipedia/en/8/8a/Dark_Knight.jpg,http://en.wikipedia.org/wiki/The_Dark_Knight_(film),"The Dark Knight is a 2008 superhero film directed, produced, and co-written by Christopher Nolan. Based on the DC Comics character Batman, the film is the second part of Nolan's Batman film series and a sequel to 2005's Batman Begins. Christian Bale reprises the lead role of Bruce Wayne/Batman, with a returning cast of Michael Caine as Alfred Pennyworth, Gary Oldman as James Gordon and Morgan Freeman as Lucius Fox. The film introduces the character of Harvey Dent (Aaron Eckhart), Gotham's newly elected District Attorney and the consort of Bruce Wayne's childhood friend Rachel Dawes (Maggie Gyllenhaal replacing Katie Holmes from the first film), who joins Batman and the police in combating the new rising threat of a criminal mastermind calling himself ""The Joker"" (Heath Ledger)."
The Dark Knight Rises,2012,$236000000,"$230,000,000.00",http://upload.wikimedia.org/wikipedia/en/8/83/Dark_knight_rises_poster.jpg,http://en.wikipedia.org/wiki/The_Dark_Knight_Rises,"The Dark Knight Rises is a 2012 superhero film directed by Christopher Nolan, who co-wrote the screenplay with his brother Jonathan Nolan, and the story, with David S. Goyer. Featuring the DC Comics character Batman, the film is the final installment in Nolan's Batman film trilogy, and the sequel to Batman Begins (2005) and The Dark Knight (2008). Christian Bale reprises the lead role of Bruce Wayne/Batman, with a returning cast of allies: Michael Caine as Alfred Pennyworth, Gary Oldman as James Gordon, and Morgan Freeman as Lucius Fox. The film introduces Selina Kyle (Anne Hathaway), a sly, morally ambiguous cat burglar, and Bane (Tom Hardy), a mercenary bent on destroying Gotham City who forces an older Bruce Wayne to come out of retirement and become Batman again."
The Golden Compass,2007,$205000000,"$180,000,000.00",http://upload.wikimedia.org/wikipedia/en/b/b6/The_Golden_Compass.jpg,http://en.wikipedia.org/wiki/The_Golden_Compass_(film),"The Golden Compass is a 2007 fantasy-adventure film based on Northern Lights, the first novel in Philip Pullman's trilogy His Dark Materials. Directed by Chris Weitz, it stars Dakota Blue Richards, Daniel Craig, Eva Green, Tom Courtenay, Christopher Lee, Nicole Kidman and Sam Elliot. The project was announced in February 2002, following the success of recent adaptations of other fantasy epics, but troubles over the script and the selection of a director caused significant delays. At US$180 million, it was one of New Line Cinemas most expensive projects ever, and its middling success in the US contributed to New Line's February 2008 restructuring."
The Hobbit: An Unexpected Journey,2012,$205000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/b/b3/The_Hobbit-_An_Unexpected_Journey.jpeg,http://en.wikipedia.org/wiki/The_Hobbit:_An_Unexpected_Journey,"The Hobbit: An Unexpected Journey is a 2012 epic fantasyadventure film directed by Peter Jackson. It is the first installment in a three-part film adaptation based on the 1937 novel The Hobbit by J. R. R. Tolkien. It is followed by The Desolation of Smaug (2013) and The Battle of the Five Armies (2014), and together they will act as a prequel to Jackson's The Lord of the Rings film trilogy. The film's screenplay was written by Peter Jackson, his longtime collaborators Fran Walsh and Philippa Boyens, and Guillermo del Toro, who was originally chosen to direct the film before leaving the project in 2010."
The Hobbit: The Desolation of Smaug,2013,$228000000,"$225,000,000.00",http://upload.wikimedia.org/wikipedia/en/4/4f/The_Hobbit_-_The_Desolation_of_Smaug_theatrical_poster.jpg,http://en.wikipedia.org/wiki/The_Hobbit:_The_Desolation_of_Smaug,The Hobbit: The Desolation of Smaug is a 2013 epic fantasyadventure film directed by Peter Jackson. It was produced by WingNut Films in collaboration with New Line Cinema and Metro-Goldwyn-Mayer. It was distributed by Warner Bros. Entertainment Inc. and is the second installment in the three-part film series based on the novel The Hobbit by J. R. R. Tolkien. The film was preceded by An Unexpected Journey (2012) and will be followed by The Battle of the Five Armies (2014).
The Lone Ranger,2013,$228000000,"$225,000,000.00",http://upload.wikimedia.org/wikipedia/en/0/0d/TheLoneRanger2013Poster.jpg,http://en.wikipedia.org/wiki/The_Lone_Ranger_(2013_film),"The Lone Ranger is a 2013 American action western film produced by Walt Disney Pictures and Jerry Bruckheimer Films and directed by Gore Verbinski. Based on the radio series of the same name, the film stars Johnny Depp as Tonto, the narrator of the events, and Armie Hammer as John Reid (The Lone Ranger). It relates Tonto's memories of the duo's earliest efforts to subdue the immoral actions of the corrupt and bring justice in the American Old West. William Fichtner, Barry Pepper, Ruth Wilson, James Badge Dale, Tom Wilkinson and Helena Bonham Carter also are featured in supporting roles. It is the first theatrical film featuring the Lone Ranger and Tonto characters in more than 32 years."
