ID,Country,Male,Female,Female-to-Male Ratio,Rank,Sub-Index,Main Index
United States - Labor Force Participation,United States,67,78,0.86,47,Labor Force Participation,Economic Participation
United Kingdom - Labor Force Participation,United Kingdom,70,82,0.85,48,Labor Force Participation,Economic Participation
Ukraine - Labor Force Participation,Ukraine,63,73,0.85,49,Labor Force Participation,Economic Participation
Zambia - Labor Force Participation,Zambia,73,86,0.85,50,Labor Force Participation,Economic Participation
Australia - Labor Force Participation,Australia,70,83,0.85,51,Labor Force Participation,Economic Participation
Belgium - Labor Force Participation,Belgium,61,72,0.85,52,Labor Force Participation,Economic Participation
Spain - Labor Force Participation,Spain,68,81,0.85,53,Labor Force Participation,Economic Participation
Guinea - Labor Force Participation,Guinea,67,80,0.84,54,Labor Force Participation,Economic Participation
Croatia - Labor Force Participation,Croatia,58,69,0.84,55,Labor Force Participation,Economic Participation
China - Labor Force Participation,China,70,84,0.84,56,Labor Force Participation,Economic Participation
Cyprus - Labor Force Participation,Cyprus,66,79,0.83,57,Labor Force Participation,Economic Participation
Mongolia - Labor Force Participation,Mongolia,59,71,0.83,58,Labor Force Participation,Economic Participation
Hungary - Labor Force Participation,Hungary,58,70,0.83,59,Labor Force Participation,Economic Participation
Jamaica - Labor Force Participation,Jamaica,62,74,0.83,60,Labor Force Participation,Economic Participation
Luxembourg - Labor Force Participation,Luxembourg,62,75,0.83,61,Labor Force Participation,Economic Participation
Angola - Labor Force Participation,Angola,64,78,0.83,62,Labor Force Participation,Economic Participation
Thailand - Labor Force Participation,Thailand,71,86,0.83,63,Labor Force Participation,Economic Participation
Chad - Labor Force Participation,Chad,65,79,0.82,64,Labor Force Participation,Economic Participation
Poland - Labor Force Participation,Poland,60,74,0.82,65,Labor Force Participation,Economic Participation
Ireland - Labor Force Participation,Ireland,62,77,0.81,66,Labor Force Participation,Economic Participation
Lesotho - Labor Force Participation,Lesotho,60,75,0.81,67,Labor Force Participation,Economic Participation
Bolivia - Labor Force Participation,Bolivia,66,82,0.8,68,Labor Force Participation,Economic Participation
Slovak Republic - Labor Force Participation,Slovak Republic,62,77,0.8,69,Labor Force Participation,Economic Participation
Czech Republic - Labor Force Participation,Czech Republic,63,79,0.8,70,Labor Force Participation,Economic Participation
Peru - Labor Force Participation,Peru,69,87,0.8,71,Labor Force Participation,Economic Participation
Singapore - Labor Force Participation,Singapore,65,82,0.79,72,Labor Force Participation,Economic Participation
Montenegro - Labor Force Participation,Montenegro,52,66,0.79,73,Labor Force Participation,Economic Participation
Uruguay - Labor Force Participation,Uruguay,67,86,0.78,74,Labor Force Participation,Economic Participation
Romania - Labor Force Participation,Romania,57,72,0.78,75,Labor Force Participation,Economic Participation
Tajikistan - Labor Force Participation,Tajikistan,62,80,0.77,76,Labor Force Participation,Economic Participation
Serbia - Labor Force Participation,Serbia,53,69,0.77,77,Labor Force Participation,Economic Participation
Georgia - Labor Force Participation,Georgia,60,78,0.77,78,Labor Force Participation,Economic Participation
South Africa - Labor Force Participation,South Africa,49,63,0.77,79,Labor Force Participation,Economic Participation
Nigeria - Labor Force Participation,Nigeria,48,64,0.76,80,Labor Force Participation,Economic Participation
Brazil - Labor Force Participation,Brazil,65,85,0.76,81,Labor Force Participation,Economic Participation
Greece - Labor Force Participation,Greece,59,77,0.76,82,Labor Force Participation,Economic Participation
Japan - Labor Force Participation,Japan,64,84,0.75,83,Labor Force Participation,Economic Participation
Senegal - Labor Force Participation,Senegal,67,90,0.75,84,Labor Force Participation,Economic Participation
Maldives - Labor Force Participation,Maldives,58,79,0.73,85,Labor Force Participation,Economic Participation
"Korea, Rep. - Labor Force Participation","Korea, Rep.",55,76,0.72,86,Labor Force Participation,Economic Participation
Trinidad and Tobago - Labor Force Participation,Trinidad and Tobago,59,82,0.72,87,Labor Force Participation,Economic Participation
Italy - Labor Force Participation,Italy,53,74,0.72,88,Labor Force Participation,Economic Participation
Kyrgyz Republic - Labor Force Participation,Kyrgyz Republic,59,82,0.72,89,Labor Force Participation,Economic Participation
Colombia - Labor Force Participation,Colombia,59,82,0.72,90,Labor Force Participation,Economic Participation
Armenia - Labor Force Participation,Armenia,56,77,0.72,91,Labor Force Participation,Economic Participation
Brunei Darussalam - Labor Force Participation,Brunei Darussalam,56,79,0.71,92,Labor Force Participation,Economic Participation
Albania - Labor Force Participation,Albania,52,74,0.7,93,Labor Force Participation,Economic Participation
Bangladesh - Labor Force Participation,Bangladesh,60,87,0.7,94,Labor Force Participation,Economic Participation
Chile - Labor Force Participation,Chile,55,79,0.69,95,Labor Force Participation,Economic Participation
Ecuador - Labor Force Participation,Ecuador,58,85,0.67,96,Labor Force Participation,Economic Participation
Argentina - Labor Force Participation,Argentina,55,82,0.67,97,Labor Force Participation,Economic Participation
Dominican Republic - Labor Force Participation,Dominican Republic,56,83,0.67,98,Labor Force Participation,Economic Participation
Paraguay - Labor Force Participation,Paraguay,58,88,0.66,99,Labor Force Participation,Economic Participation
"Macedonia, FYR - Labor Force Participation","Macedonia, FYR",51,77,0.66,100,Labor Force Participation,Economic Participation
Venezuela - Labor Force Participation,Venezuela,55,83,0.66,101,Labor Force Participation,Economic Participation
Philippines - Labor Force Participation,Philippines,53,81,0.65,102,Labor Force Participation,Economic Participation
Cuba - Labor Force Participation,Cuba,52,80,0.65,103,Labor Force Participation,Economic Participation
Côte d'Ivoire - Labor Force Participation,Côte d'Ivoire,53,82,0.65,104,Labor Force Participation,Economic Participation
Cape Verde - Labor Force Participation,Cape Verde,55,86,0.64,105,Labor Force Participation,Economic Participation
Mali - Labor Force Participation,Mali,52,82,0.63,106,Labor Force Participation,Economic Participation
Swaziland - Labor Force Participation,Swaziland,45,73,0.62,107,Labor Force Participation,Economic Participation
El Salvador - Labor Force Participation,El Salvador,51,82,0.62,108,Labor Force Participation,Economic Participation
Indonesia - Labor Force Participation,Indonesia,53,86,0.62,109,Labor Force Participation,Economic Participation
Panama - Labor Force Participation,Panama,53,86,0.62,110,Labor Force Participation,Economic Participation
Belize - Labor Force Participation,Belize,52,85,0.61,111,Labor Force Participation,Economic Participation
Suriname - Labor Force Participation,Suriname,45,74,0.61,112,Labor Force Participation,Economic Participation
Mauritius - Labor Force Participation,Mauritius,49,80,0.61,113,Labor Force Participation,Economic Participation
Malta - Labor Force Participation,Malta,47,78,0.61,114,Labor Force Participation,Economic Participation
Costa Rica - Labor Force Participation,Costa Rica,51,84,0.6,115,Labor Force Participation,Economic Participation
Nicaragua - Labor Force Participation,Nicaragua,49,82,0.6,116,Labor Force Participation,Economic Participation
Malaysia - Labor Force Participation,Malaysia,47,79,0.59,117,Labor Force Participation,Economic Participation
Mexico - Labor Force Participation,Mexico,48,83,0.58,118,Labor Force Participation,Economic Participation
Guatemala - Labor Force Participation,Guatemala,51,90,0.57,119,Labor Force Participation,Economic Participation
Qatar - Labor Force Participation,Qatar,52,96,0.54,120,Labor Force Participation,Economic Participation
Guyana - Labor Force Participation,Guyana,44,83,0.54,121,Labor Force Participation,Economic Participation
Kuwait - Labor Force Participation,Kuwait,45,85,0.53,122,Labor Force Participation,Economic Participation
Fiji - Labor Force Participation,Fiji,39,74,0.53,123,Labor Force Participation,Economic Participation
Honduras - Labor Force Participation,Honduras,44,85,0.52,124,Labor Force Participation,Economic Participation
United Arab Emirates - Labor Force Participation,United Arab Emirates,47,91,0.51,125,Labor Force Participation,Economic Participation
Sri Lanka - Labor Force Participation,Sri Lanka,39,81,0.48,126,Labor Force Participation,Economic Participation
Bahrain - Labor Force Participation,Bahrain,41,89,0.46,127,Labor Force Participation,Economic Participation
Turkey - Labor Force Participation,Turkey,32,76,0.43,128,Labor Force Participation,Economic Participation
Mauritania - Labor Force Participation,Mauritania,29,80,0.37,129,Labor Force Participation,Economic Participation
India - Labor Force Participation,India,30,84,0.36,130,Labor Force Participation,Economic Participation
Tunisia - Labor Force Participation,Tunisia,27,75,0.36,131,Labor Force Participation,Economic Participation
Oman - Labor Force Participation,Oman,30,84,0.36,132,Labor Force Participation,Economic Participation
Yemen - Labor Force Participation,Yemen,26,74,0.35,133,Labor Force Participation,Economic Participation
Morocco - Labor Force Participation,Morocco,27,79,0.34,134,Labor Force Participation,Economic Participation
Lebanon - Labor Force Participation,Lebanon,26,76,0.34,135,Labor Force Participation,Economic Participation
Egypt - Labor Force Participation,Egypt,26,79,0.32,136,Labor Force Participation,Economic Participation
Pakistan - Labor Force Participation,Pakistan,25,86,0.3,137,Labor Force Participation,Economic Participation
Saudi Arabia - Labor Force Participation,Saudi Arabia,19,77,0.25,138,Labor Force Participation,Economic Participation
Jordan - Labor Force Participation,Jordan,16,69,0.23,139,Labor Force Participation,Economic Participation
"Iran, Islamic Rep. - Labor Force Participation","Iran, Islamic Rep.",17,76,0.23,140,Labor Force Participation,Economic Participation
Algeria - Labor Force Participation,Algeria,16,76,0.21,141,Labor Force Participation,Economic Participation
Syria - Labor Force Participation,Syria,14,76,0.19,142,Labor Force Participation,Economic Participation
Burundi - Wage Equality Survey,Burundi,,,0.83,1,Wage Equality Survey,Economic Participation
Mongolia - Wage Equality Survey,Mongolia,,,0.82,2,Wage Equality Survey,Economic Participation
Qatar - Wage Equality Survey,Qatar,,,0.81,3,Wage Equality Survey,Economic Participation
Thailand - Wage Equality Survey,Thailand,,,0.81,4,Wage Equality Survey,Economic Participation
Malaysia - Wage Equality Survey,Malaysia,,,0.81,5,Wage Equality Survey,Economic Participation
Zambia - Wage Equality Survey,Zambia,,,0.79,6,Wage Equality Survey,Economic Participation
United Arab Emirates - Wage Equality Survey,United Arab Emirates,,,0.79,7,Wage Equality Survey,Economic Participation
Norway - Wage Equality Survey,Norway,,,0.79,8,Wage Equality Survey,Economic Participation
Philippines - Wage Equality Survey,Philippines,,,0.79,9,Wage Equality Survey,Economic Participation
Singapore - Wage Equality Survey,Singapore,,,0.79,10,Wage Equality Survey,Economic Participation
Sri Lanka - Wage Equality Survey,Sri Lanka,,,0.78,11,Wage Equality Survey,Economic Participation
Egypt - Wage Equality Survey,Egypt,,,0.78,12,Wage Equality Survey,Economic Participation
Algeria - Wage Equality Survey,Algeria,,,0.78,13,Wage Equality Survey,Economic Participation
Nigeria - Wage Equality Survey,Nigeria,,,0.76,14,Wage Equality Survey,Economic Participation
Botswana - Wage Equality Survey,Botswana,,,0.76,15,Wage Equality Survey,Economic Participation
Finland - Wage Equality Survey,Finland,,,0.76,16,Wage Equality Survey,Economic Participation
Malawi - Wage Equality Survey,Malawi,,,0.76,17,Wage Equality Survey,Economic Participation
Albania - Wage Equality Survey,Albania,,,0.75,18,Wage Equality Survey,Economic Participation
Iceland - Wage Equality Survey,Iceland,,,0.74,19,Wage Equality Survey,Economic Participation
Barbados - Wage Equality Survey,Barbados,,,0.74,20,Wage Equality Survey,Economic Participation
Oman - Wage Equality Survey,Oman,,,0.74,21,Wage Equality Survey,Economic Participation
Luxembourg - Wage Equality Survey,Luxembourg,,,0.74,22,Wage Equality Survey,Economic Participation
Lao PDR - Wage Equality Survey,Lao PDR,,,0.74,23,Wage Equality Survey,Economic Participation
Zimbabwe - Wage Equality Survey,Zimbabwe,,,0.74,24,Wage Equality Survey,Economic Participation
Azerbaijan - Wage Equality Survey,Azerbaijan,,,0.74,25,Wage Equality Survey,Economic Participation
Uganda - Wage Equality Survey,Uganda,,,0.73,26,Wage Equality Survey,Economic Participation
Canada - Wage Equality Survey,Canada,,,0.72,27,Wage Equality Survey,Economic Participation
Belgium - Wage Equality Survey,Belgium,,,0.72,28,Wage Equality Survey,Economic Participation
Georgia - Wage Equality Survey,Georgia,,,0.72,29,Wage Equality Survey,Economic Participation
Kyrgyz Republic - Wage Equality Survey,Kyrgyz Republic,,,0.72,30,Wage Equality Survey,Economic Participation
Ireland - Wage Equality Survey,Ireland,,,0.72,31,Wage Equality Survey,Economic Participation
Honduras - Wage Equality Survey,Honduras,,,0.72,32,Wage Equality Survey,Economic Participation
New Zealand - Wage Equality Survey,New Zealand,,,0.72,33,Wage Equality Survey,Economic Participation
"Macedonia, FYR - Wage Equality Survey","Macedonia, FYR",,,0.71,34,Wage Equality Survey,Economic Participation
Montenegro - Wage Equality Survey,Montenegro,,,0.71,35,Wage Equality Survey,Economic Participation
Tajikistan - Wage Equality Survey,Tajikistan,,,0.71,36,Wage Equality Survey,Economic Participation
Tunisia - Wage Equality Survey,Tunisia,,,0.71,37,Wage Equality Survey,Economic Participation
Denmark - Wage Equality Survey,Denmark,,,0.71,38,Wage Equality Survey,Economic Participation
Kazakhstan - Wage Equality Survey,Kazakhstan,,,0.71,39,Wage Equality Survey,Economic Participation
Bahrain - Wage Equality Survey,Bahrain,,,0.71,40,Wage Equality Survey,Economic Participation
Moldova - Wage Equality Survey,Moldova,,,0.7,41,Wage Equality Survey,Economic Participation
Cyprus - Wage Equality Survey,Cyprus,,,0.7,42,Wage Equality Survey,Economic Participation
Kenya - Wage Equality Survey,Kenya,,,0.7,43,Wage Equality Survey,Economic Participation
Cambodia - Wage Equality Survey,Cambodia,,,0.7,44,Wage Equality Survey,Economic Participation
Malta - Wage Equality Survey,Malta,,,0.69,45,Wage Equality Survey,Economic Participation
Ukraine - Wage Equality Survey,Ukraine,,,0.69,46,Wage Equality Survey,Economic Participation
Ethiopia - Wage Equality Survey,Ethiopia,,,0.69,47,Wage Equality Survey,Economic Participation
United Kingdom - Wage Equality Survey,United Kingdom,,,0.69,48,Wage Equality Survey,Economic Participation
Bhutan - Wage Equality Survey,Bhutan,,,0.69,49,Wage Equality Survey,Economic Participation
Swaziland - Wage Equality Survey,Swaziland,,,0.69,50,Wage Equality Survey,Economic Participation
Indonesia - Wage Equality Survey,Indonesia,,,0.69,51,Wage Equality Survey,Economic Participation
Russian Federation - Wage Equality Survey,Russian Federation,,,0.68,52,Wage Equality Survey,Economic Participation
Japan - Wage Equality Survey,Japan,,,0.68,53,Wage Equality Survey,Economic Participation
Cape Verde - Wage Equality Survey,Cape Verde,,,0.68,54,Wage Equality Survey,Economic Participation
Latvia - Wage Equality Survey,Latvia,,,0.68,55,Wage Equality Survey,Economic Participation
Netherlands - Wage Equality Survey,Netherlands,,,0.67,56,Wage Equality Survey,Economic Participation
Senegal - Wage Equality Survey,Senegal,,,0.67,57,Wage Equality Survey,Economic Participation
Slovenia - Wage Equality Survey,Slovenia,,,0.67,58,Wage Equality Survey,Economic Participation
Switzerland - Wage Equality Survey,Switzerland,,,0.67,59,Wage Equality Survey,Economic Participation
Mauritania - Wage Equality Survey,Mauritania,,,0.66,60,Wage Equality Survey,Economic Participation
Armenia - Wage Equality Survey,Armenia,,,0.66,61,Wage Equality Survey,Economic Participation
Burkina Faso - Wage Equality Survey,Burkina Faso,,,0.66,62,Wage Equality Survey,Economic Participation
Australia - Wage Equality Survey,Australia,,,0.66,63,Wage Equality Survey,Economic Participation
Trinidad and Tobago - Wage Equality Survey,Trinidad and Tobago,,,0.66,64,Wage Equality Survey,Economic Participation
United States - Wage Equality Survey,United States,,,0.66,65,Wage Equality Survey,Economic Participation
Yemen - Wage Equality Survey,Yemen,,,0.66,66,Wage Equality Survey,Economic Participation
Tanzania - Wage Equality Survey,Tanzania,,,0.65,67,Wage Equality Survey,Economic Participation
Greece - Wage Equality Survey,Greece,,,0.65,68,Wage Equality Survey,Economic Participation
Panama - Wage Equality Survey,Panama,,,0.65,69,Wage Equality Survey,Economic Participation
Mauritius - Wage Equality Survey,Mauritius,,,0.65,70,Wage Equality Survey,Economic Participation
Mozambique - Wage Equality Survey,Mozambique,,,0.64,71,Wage Equality Survey,Economic Participation
Sweden - Wage Equality Survey,Sweden,,,0.64,71,Wage Equality Survey,Economic Participation
Guatemala - Wage Equality Survey,Guatemala,,,0.64,73,Wage Equality Survey,Economic Participation
Jordan - Wage Equality Survey,Jordan,,,0.63,74,Wage Equality Survey,Economic Participation
Dominican Republic - Wage Equality Survey,Dominican Republic,,,0.63,75,Wage Equality Survey,Economic Participation
Venezuela - Wage Equality Survey,Venezuela,,,0.63,76,Wage Equality Survey,Economic Participation
China - Wage Equality Survey,China,,,0.63,77,Wage Equality Survey,Economic Participation
Kuwait - Wage Equality Survey,Kuwait,,,0.63,78,Wage Equality Survey,Economic Participation
Vietnam - Wage Equality Survey,Vietnam,,,0.63,79,Wage Equality Survey,Economic Participation
Germany - Wage Equality Survey,Germany,,,0.63,80,Wage Equality Survey,Economic Participation
Jamaica - Wage Equality Survey,Jamaica,,,0.62,81,Wage Equality Survey,Economic Participation
Bulgaria - Wage Equality Survey,Bulgaria,,,0.62,82,Wage Equality Survey,Economic Participation
South Africa - Wage Equality Survey,South Africa,,,0.62,83,Wage Equality Survey,Economic Participation
Namibia - Wage Equality Survey,Namibia,,,0.62,84,Wage Equality Survey,Economic Participation
Nepal - Wage Equality Survey,Nepal,,,0.62,85,Wage Equality Survey,Economic Participation
Lithuania - Wage Equality Survey,Lithuania,,,0.62,86,Wage Equality Survey,Economic Participation
Turkey - Wage Equality Survey,Turkey,,,0.62,87,Wage Equality Survey,Economic Participation
Costa Rica - Wage Equality Survey,Costa Rica,,,0.62,88,Wage Equality Survey,Economic Participation
Serbia - Wage Equality Survey,Serbia,,,0.61,89,Wage Equality Survey,Economic Participation
Côte d'Ivoire - Wage Equality Survey,Côte d'Ivoire,,,0.61,90,Wage Equality Survey,Economic Participation
Mali - Wage Equality Survey,Mali,,,0.61,91,Wage Equality Survey,Economic Participation
Madagascar - Wage Equality Survey,Madagascar,,,0.61,92,Wage Equality Survey,Economic Participation
Nicaragua - Wage Equality Survey,Nicaragua,,,0.61,93,Wage Equality Survey,Economic Participation
Guyana - Wage Equality Survey,Guyana,,,0.61,94,Wage Equality Survey,Economic Participation
Estonia - Wage Equality Survey,Estonia,,,0.6,95,Wage Equality Survey,Economic Participation
Chad - Wage Equality Survey,Chad,,,0.6,96,Wage Equality Survey,Economic Participation
Portugal - Wage Equality Survey,Portugal,,,0.59,97,Wage Equality Survey,Economic Participation
"Iran, Islamic Rep. - Wage Equality Survey","Iran, Islamic Rep.",,,0.59,98,Wage Equality Survey,Economic Participation
Ghana - Wage Equality Survey,Ghana,,,0.59,99,Wage Equality Survey,Economic Participation
Guinea - Wage Equality Survey,Guinea,,,0.59,100,Wage Equality Survey,Economic Participation
Romania - Wage Equality Survey,Romania,,,0.58,101,Wage Equality Survey,Economic Participation
Morocco - Wage Equality Survey,Morocco,,,0.58,102,Wage Equality Survey,Economic Participation
Lesotho - Wage Equality Survey,Lesotho,,,0.58,103,Wage Equality Survey,Economic Participation
Lebanon - Wage Equality Survey,Lebanon,,,0.58,104,Wage Equality Survey,Economic Participation
Bangladesh - Wage Equality Survey,Bangladesh,,,0.57,105,Wage Equality Survey,Economic Participation
Colombia - Wage Equality Survey,Colombia,,,0.56,106,Wage Equality Survey,Economic Participation
Croatia - Wage Equality Survey,Croatia,,,0.56,107,Wage Equality Survey,Economic Participation
Saudi Arabia - Wage Equality Survey,Saudi Arabia,,,0.56,108,Wage Equality Survey,Economic Participation
India - Wage Equality Survey,India,,,0.56,109,Wage Equality Survey,Economic Participation
Paraguay - Wage Equality Survey,Paraguay,,,0.55,110,Wage Equality Survey,Economic Participation
Pakistan - Wage Equality Survey,Pakistan,,,0.55,111,Wage Equality Survey,Economic Participation
Argentina - Wage Equality Survey,Argentina,,,0.55,112,Wage Equality Survey,Economic Participation
El Salvador - Wage Equality Survey,El Salvador,,,0.55,113,Wage Equality Survey,Economic Participation
Suriname - Wage Equality Survey,Suriname,,,0.54,114,Wage Equality Survey,Economic Participation
Peru - Wage Equality Survey,Peru,,,0.54,115,Wage Equality Survey,Economic Participation
Mexico - Wage Equality Survey,Mexico,,,0.54,116,Wage Equality Survey,Economic Participation
Spain - Wage Equality Survey,Spain,,,0.54,117,Wage Equality Survey,Economic Participation
Uruguay - Wage Equality Survey,Uruguay,,,0.53,118,Wage Equality Survey,Economic Participation
Czech Republic - Wage Equality Survey,Czech Republic,,,0.53,119,Wage Equality Survey,Economic Participation
Poland - Wage Equality Survey,Poland,,,0.53,120,Wage Equality Survey,Economic Participation
Bolivia - Wage Equality Survey,Bolivia,,,0.52,121,Wage Equality Survey,Economic Participation
Austria - Wage Equality Survey,Austria,,,0.52,122,Wage Equality Survey,Economic Participation
Slovak Republic - Wage Equality Survey,Slovak Republic,,,0.51,123,Wage Equality Survey,Economic Participation
Brazil - Wage Equality Survey,Brazil,,,0.51,124,Wage Equality Survey,Economic Participation
"Korea, Rep. - Wage Equality Survey","Korea, Rep.",,,0.51,125,Wage Equality Survey,Economic Participation
France - Wage Equality Survey,France,,,0.5,126,Wage Equality Survey,Economic Participation
Hungary - Wage Equality Survey,Hungary,,,0.5,127,Wage Equality Survey,Economic Participation
Chile - Wage Equality Survey,Chile,,,0.5,128,Wage Equality Survey,Economic Participation
Italy - Wage Equality Survey,Italy,,,0.48,129,Wage Equality Survey,Economic Participation
Israel - Wage Equality Survey,Israel,,,0.47,130,Wage Equality Survey,Economic Participation
Angola - Wage Equality Survey,Angola,,,0.4,131,Wage Equality Survey,Economic Participation
Bahamas - Wage Equality Survey,Bahamas,,,—,—,Wage Equality Survey,Economic Participation
Belarus - Wage Equality Survey,Belarus,,,—,—,Wage Equality Survey,Economic Participation
Belize - Wage Equality Survey,Belize,,,—,—,Wage Equality Survey,Economic Participation
Brunei Darussalam - Wage Equality Survey,Brunei Darussalam,,,—,—,Wage Equality Survey,Economic Participation
Cuba - Wage Equality Survey,Cuba,,,—,—,Wage Equality Survey,Economic Participation
Ecuador - Wage Equality Survey,Ecuador,,,—,—,Wage Equality Survey,Economic Participation
Fiji - Wage Equality Survey,Fiji,,,—,—,Wage Equality Survey,Economic Participation
Liberia - Wage Equality Survey,Liberia,,,—,—,Wage Equality Survey,Economic Participation
Maldives - Wage Equality Survey,Maldives,,,—,—,Wage Equality Survey,Economic Participation
Rwanda - Wage Equality Survey,Rwanda,,,—,—,Wage Equality Survey,Economic Participation
Syria - Wage Equality Survey,Syria,,,—,—,Wage Equality Survey,Economic Participation
Denmark - Estimated Earned Income,Denmark,43316,42226,1.03,1,Estimated Earned Income,Economic Participation
Australia - Estimated Earned Income,Australia,43023,44621,0.96,2,Estimated Earned Income,Economic Participation
Tanzania - Estimated Earned Income,Tanzania,1618,1748,0.93,3,Estimated Earned Income,Economic Participation
Kenya - Estimated Earned Income,Kenya,2054,2238,0.92,4,Estimated Earned Income,Economic Participation
Botswana - Estimated Earned Income,Botswana,13382,15998,0.84,5,Estimated Earned Income,Economic Participation
Vietnam - Estimated Earned Income,Vietnam,4510,5498,0.82,6,Estimated Earned Income,Economic Participation
Slovenia - Estimated Earned Income,Slovenia,25544,31443,0.81,7,Estimated Earned Income,Economic Participation
Mozambique - Estimated Earned Income,Mozambique,883,1098,0.8,8,Estimated Earned Income,Economic Participation
Sweden - Estimated Earned Income,Sweden,37788,47978,0.79,9,Estimated Earned Income,Economic Participation
Burundi - Estimated Earned Income,Burundi,661,841,0.79,10,Estimated Earned Income,Economic Participation
Norway - Estimated Earned Income,Norway,58109,74157,0.78,11,Estimated Earned Income,Economic Participation
Thailand - Estimated Earned Income,Thailand,12157,15559,0.78,12,Estimated Earned Income,Economic Participation
Malawi - Estimated Earned Income,Malawi,659,844,0.78,13,Estimated Earned Income,Economic Participation
Moldova - Estimated Earned Income,Moldova,3701,4794,0.77,14,Estimated Earned Income,Economic Participation
Rwanda - Estimated Earned Income,Rwanda,1217,1598,0.76,15,Estimated Earned Income,Economic Participation
