ID Number,Department,Contracting Agency,Year Contract Signed,Year Contract Effective,Current Contract Value,Major Program,Vendor,Vendor DBA,Date Contract Signed,Date Contract Effective,Current Completion Date,Amount Obligated,Base and all options value,Extent Competed,Reason Not Competed,Purchase Card Payment Method,Type of Contract Pricing,Place of Manufacture,CCR Exception Type,Reason for Modification,Product/Service Description,Requirement Description,Place of Performance,Place of Performance - City,Place of Performance - State,Award / IDV,Award Type,Location of Vendo,Location of Vendor - City,Location of Vendor - State,Small Business?,Small Disadvantaged Business?,Historically Underutilized Business Zone?,Sheltered Workshop?,Women Owned Business?,Veteran Owned Business?,Service Related Disabled Veteran Owned Business?,Minority Owned Business?,Minority Institution?,Black American Owned Business?,Historic Black College Or University?,Native American Owned Business?,Hispanic American Owned Business?,Asian Pacific American Owned Business?,Asian Indian Owned Business?,Subcontinent Asian (Asian-Indian) American Owned Business?,Eight?,Local Government?,Hospital?,Nonprofit Organization?,Educational Institution?,Federal Government?,State Government?,Tribal Government?
Contract ID n. 1397,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"8,298.00",,GM Systems,,7/6/2010,7/6/2010,7/13/2010,"8,298.00","8,298.00",Competed Under Sap,,No,Fixed Price,U.S.,,,Elect Electronic Measuring Instrumt,Oil Content Meter For Noaa Ship Nancy Foster,"Norfolk, Virginia, United States",Norfolk,Virginia,Award,Purchase Order,"Garden City, New York, United States",Garden City,New York,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 435,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"6,665.15",,Govconnection,,11/4/2010,11/4/2010,11/12/2010,"6,665.15","6,665.15",Full And Open Competition,,No,Fixed Price,U.S.,,,Adp Support Equipment,Plotter,"Derwood, Maryland, United States",Derwood,Maryland,Award,Delivery Order,"Rockville, Maryland, United States",Rockville,Maryland,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 545,Department Of Homeland Security,Office Of Procurement Operations,2010,2010,"220,605.87",Web Portal For Gulf Cost Response And Recovery Effort,Government Acquisitions,,8/11/2010,8/11/2010,8/11/2012,"220,605.87","317,427.87",Full And Open Competition After Exclusion Of Sources,,No,Labor Hours,Not A Manufactured End Product,,,Other Adp & Telecommunications Svcs,"The Purpose Of This Procurement Is To Provide Rapid Design, Configuration, Development, And Deployment Of The Government's Consolidated Web Portal For Gulf Coast Recovery - Restorethegulf.Gov.","Cincinnati, Ohio, United States",Cincinnati,Ohio,Award,Delivery Order,"Cincinnati, Ohio, United States",Cincinnati,Ohio,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Contract ID n. 660,Department Of Homeland Security,U.S. Coast Guard,2010,2010,"5,751.00",,Government Acquisitions,,8/9/2011,8/9/2011,8/26/2011,"5,751.00","5,751.00",Full And Open Competition After Exclusion Of Sources,,No,Fixed Price,U.S.,,,Adp Central Processing Unit-digital,Dell Precision M6600,"New Orleans, Louisiana, United States",New Orleans,Louisiana,Award,Purchase Order,"Cincinnati, Ohio, United States",Cincinnati,Ohio,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1230,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"13,724.59",,Government Scientific Source,,8/15/2013,8/15/2013,12/30/2013,"13,724.59","13,724.59",Competed Under Sap,,No,Fixed Price,U.S.,,,Refrigeration Equipment,Igf::cl::igf,"Key Biscayne, Florida, United States",Key Biscayne,Florida,Award,Purchase Order,"Reston, Virginia, United States",Reston,Virginia,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 663,Department Of Homeland Security,U.S. Coast Guard,2010,2010,"2,498.54",,Graybar Electric,,9/28/2012,9/28/2012,10/12/2012,"2,498.54","2,498.54",Not Competed Under Sap,Micro Purchase Threshold,No,Fixed Price,U.S.,,,Miscellaneous Electrical And Electronic Components,Graybar Supply Order For Gc-imt (it Support Unit),"New Orleans, Louisiana, United States",New Orleans,Louisiana,Award,Purchase Order,"Harahan, Louisiana, United States",Harahan,Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 151,Department Of The Interior,Geological Survey,2010,2010,"7,067.50",,Greg Lewis,,6/27/2013,6/27/2013,1/29/2015,"7,067.50","7,067.50",Competed Under Sap,,No,Fixed Price,Not A Manufactured End Product,,Change Order,Support- Professional: Other,Igf::ot::igf,"Lafayette, Louisiana, United States",Lafayette,Louisiana,Award,Purchase Order,"Lafayette, Louisiana, United States",Lafayette,Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 214,Department Of The Interior,National Park Service,2010,2010,"2,970.00",,Grove Hotel Group,,6/22/2010,6/23/2010,7/22/2010,"2,970.00","2,970.00",Not Competed Under Sap,Sap Non-competition,No,Fixed Price,Not A Manufactured End Product,,Change Order,Lodging - Hotel/motel,Reduce Cost Of Daily Lodging To $99/night,"Homestead, Florida, United States",Homestead,Florida,Award,Purchase Order,"Miami, Florida, United States",Miami,Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 215,Department Of The Interior,National Park Service,2010,2010,"3,510.00",,Grove Hotel Group,,6/22/2010,6/23/2010,7/22/2010,"3,510.00","3,510.00",Not Competed Under Sap,Sap Non-competition,No,Fixed Price,Not A Manufactured End Product,,,Lodging - Hotel/motel,Lodging For Staff Working On Bp Oil Spill Incident,"Homestead, Florida, United States",Homestead,Florida,Award,Purchase Order,"Miami, Florida, United States",Miami,Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 993,Department Of Defense,Department Of The Army,2010,2010,"-35,834.00",,GS Development,,8/30/2010,8/20/2010,8/19/2010,"-35,834.00","-35,834.00",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,Funding Only Action,Lodging - Hotel/motel,Deepwater Horizon Rooms,"Panama City, Florida, United States",Panama City,Florida,Award,Purchase Order,"Panama City, Florida, United States",Panama City,Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
