Vendors,Number of Contracts,Total Value of Contracts,Average Value of Contracts,Location,Location - State,Small Business?,Small Disadvantaged Business?,Historically Underutilized Business Zone?,Sheltered Workshop?,Women Owned Business?,Veteran Owned Business?,Service Related Disabled Veteran Owned Business?,Minority Owned Business?,Minority Institution?,Black American Owned Business?,Historic Black College Or University?,Native American Owned Business?,Hispanic American Owned Business?,Asian Pacific American Owned Business?,Asian Indian Owned Business?,Subcontinent Asian (Asian-Indian) American Owned Business?,Local Government?,Hospital?,Nonprofit Organization?,Educational Institution?,Federal Government?,State Government?,Tribal Government?,Eight?
Agilent Technologies,4,"455,868.71","113,967.18","Santa Clara, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Airsis,1,"49,991.43","49,991.43","San Diego, California, United States",California,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Alabama Dept Of Conservation & Natural Resources,1,"9,250.00","9,250.00","Montgomery, Alabama, United States",Alabama,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Alexander & Jones Services,1,"46,353.67","46,353.67","Shreveport, Louisiana, United States",Louisiana,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Alfa Laval,3,"8,582.33","2,860.78","Warminster, Pennsylvania, United States",Pennsylvania,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Alion Science And Technology Corporation,1,"375,000.00","375,000.00","Chicago, Illinois, United States",Illinois,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
All Star Chevrolet,1,"3,119.55","3,119.55","Baton Rouge, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
All-clean Water Solutions,4,"12,661.00","3,165.25","Solvang, California, United States",California,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Alutiiq Diversified Services,3,"335,000.00","111,666.67","Anchorage, Alaska, United States",Alaska,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Alyssa Mitchell,2,"8,995.00","4,497.50","Lafayette, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Amea,3,"115,560.00","38,520.00","West Monroe, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
American Covers,2,"9,125.00","4,562.50","Harvey, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
American Marine,3,"29,573.18","9,857.73","Cocoa, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Amirix Systems,4,"231,330.02","57,832.51","Halifax, , United States",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Analytic Focus,2,"425,000.00","212,500.00","Birmingham, Alabama, United States",Alabama,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Andree's Wine Cheese & Things,11,"66,027.50","6,002.50","Fairhope, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Anna Pottebau,1,300.00,300.00,"Grimes, Iowa, United States",Iowa,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Appleton Marine,1,"12,950.00","12,950.00","Appleton, Wisconsin, United States",Wisconsin,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Applied Fabric Technologies,5,"254,918.51","50,983.70","Orchard Park, New York, United States",New York,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Applied Industrial Technologies - Dixie,1,"4,320.00","4,320.00","Mobile, Alabama, United States",Alabama,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Applied Science Associates,1,"65,000.00","65,000.00","Wakefield, Rhode Island, United States",Rhode Island,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Archer Daniels Midland,1,"260,550.00","260,550.00","Decatur, Illinois, United States",Illinois,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ardl,1,"15,750.00","15,750.00","Mount Vernon, Illinois, United States",Illinois,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Arrae,8,"694,195.74","86,774.47","Midlothian, Texas, United States",Texas,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Assure Controls,1,"16,074.44","16,074.44","Vista, California, United States",California,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
AT&T,2,"52,880.00","26,440.00","Vienna, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Atmost Refrigeration Company,1,"15,160.86","15,160.86","Hudson, New York, United States",New York,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Audio Visual Services Group,1,"33,085.00","33,085.00","Schaumburg, Illinois, United States",Illinois,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
B & B Hose And Rubber,1,"10,131.10","10,131.10","Chesapeake, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bakercorp,2,"4,036.00","2,018.00","Seal Beach, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bald Mountain Air Service,4,0.00,0.00,"Homer, Alaska, United States",Alaska,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Barksdale & Associates,1,"28,752.50","28,752.50","Pensacola, Florida, United States",Florida,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bath Iron Works,1,0.00,0.00,"Bath, Maine, United States",Maine,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bay Diesel,2,"48,810.71","24,405.36","Chesapeake, Virginia, United States",Virginia,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bay Inn & Suites,2,"91,746.00","45,873.00","Loxley, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bayside Canvas Upholstery,1,"4,815.00","4,815.00","Panama City, Florida, United States",Florida,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Bell, Katrell",1,"6,425.00","6,425.00","Opelousas, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ben Nelson Golf & Utility Vehicles,1,550.00,550.00,"Pearl, Mississippi, United States",Mississippi,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Benedicts Of Mandeville,1,"78,096.15","78,096.15","Mandeville, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bernard Cap,1,"18,900.00","18,900.00","Hialeah, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
beverly Tippie,1,"11,000.00","11,000.00","Hutchinson, Kansas, United States",Kansas,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Biocorp,1,"7,638.00","7,638.00","Redondo Beach, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Biodiversity Research Institute,13,"4,904,435.33","377,264.26","Gorham, Maine, United States",Maine,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Biomark,1,"11,725.00","11,725.00","Boise, Idaho, United States",Idaho,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bishop Lifting Products,1,"3,480.00","3,480.00","Houston, Texas, United States",Texas,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bizco,2,"49,357.64","24,678.82","Lincoln, Nebraska, United States",Nebraska,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Blue Heron Of Navarre,2,"140,770.00","70,385.00","Navarre, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Boccaccio Productions,1,"15,000.00","15,000.00","Baton Rouge, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bollinger Fourchon,7,"1,196,814.00","170,973.43","Golden Meadow, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Booz Allen Hamilton,1,"646,707.01","646,707.01","Mc Lean, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bottom Line Equipment,2,"38,195.00","19,097.50","Saint Rose, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brettly C. Wilson,1,"8,352.50","8,352.50","Lafayette, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bright Flying Service,1,"46,000.00","46,000.00","Manila, Arkansas, United States",Arkansas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brodee J. Landry,1,"7,710.00","7,710.00","Scott, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brookfield Relocation,1,"-3,918.60","-3,918.60","Washington, District Of Columbia, United States",District Of Columbia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brunson Net & Supply,1,"7,638.50","7,638.50","Foley, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Buccaneer Inn Of St. George,4,"14,540.00","3,635.00","Eastpoint, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Budget Inn Of Daphne,7,"75,407.52","10,772.50","Daphne, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
C & C Technologies,1,"10,880.00","10,880.00","Lafayette, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
C Tech Industries,1,"7,615.58","7,615.58","Camas, Washington, United States",Washington,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Caci Incorporated Commercial,34,"42,453,044.37","1,248,618.95","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Cahall's Deli & More,6,"90,450.60","15,075.10","Foley, Alabama, United States",Alabama,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Cajun Lodging,3,"134,563.62","44,854.54","La Place, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Cambridge Isotope Laboratories,1,"4,950.00","4,950.00","Andover, Massachusetts, United States",Massachusetts,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Capital Project Management,1,"996,823.00","996,823.00","Blue Bell, Pennsylvania, United States",Pennsylvania,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Capitol Furniture Distributing,1,28.93,28.93,"Sunrise, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Carahsoft Technology,2,"103,786.04","51,893.02","Reston, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Cardinal Health 414,1,"100,000.00","100,000.00","Dublin, Ohio, United States",Ohio,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Cardinal Maintenance Service,1,"-622,772.73","-622,772.73","Grand Rapids, Michigan, United States",Michigan,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Career Management Assoc Of Iowa,1,"1,943.76","1,943.76","Ankeny, Iowa, United States",Iowa,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Careerstone Group,1,"15,461.66","15,461.66","Washington, District Of Columbia, United States",District Of Columbia,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Carlton & Associates,2,"13,472.00","6,736.00","Davis, California, United States",California,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Carnitech U.S.,1,"21,450.00","21,450.00","Seattle, Washington, United States",Washington,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Carter Machinery,1,"4,149.00","4,149.00","Chesapeake, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Case Marine,1,"4,808.36","4,808.36","Seattle, Washington, United States",Washington,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
CDW Government,5,"128,438.89","25,687.78","Vernon Hills, Illinois, United States",Illinois,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Cellco Partnership,28,"34,063.64","1,216.56","Bedminster, New Jersey, United States",New Jersey,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Central Digital,1,"21,498.00","21,498.00","Brooklyn, New York, United States",New York,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Central Florida Yamaha,1,"56,265.36","56,265.36","Lake Placid, Florida, United States",Florida,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Central Power Systems & Services,13,"194,894.65","14,991.90","Liberty, Missouri, United States",Missouri,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Century 21 Island Realty,2,"1,092,897.23","546,448.62","Grand Isle, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Chad M. Hebert,1,"-2,763.77","-2,763.77","Sunset, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Chartech,1,"4,017.20","4,017.20","Centre, Alabama, United States",Alabama,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Chef Rob,12,"187,191.00","15,599.25","Mobile, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Chick & Sea Foods,8,"69,090.00","8,636.25","Foley, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Christopher Timmins,1,"50,000.00","50,000.00","Chapel Hill, North Carolina, United States",North Carolina,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
City Of Gulf Shores,1,"31,650.00","31,650.00","Gulf Shores, Alabama, United States",Alabama,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
City Of Orange Beach,1,"12,775.00","12,775.00","Orange Beach, Alabama, United States",Alabama,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Clean Harbors Environmental Services,4,"154,675.80","38,668.95","Norwell, Massachusetts, United States",Massachusetts,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
CNA Corporation,1,"-22,924.07","-22,924.07","Alexandria, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Cole-Parmer Instrument,1,"13,405.17","13,405.17","Vernon Hills, Illinois, United States",Illinois,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Colette Foret,2,"148,400.00","74,200.00","Grand Isle, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
College Of William & Mary - The,2,"588,447.00","294,223.50","Williamsburg, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Comfort Suites,3,"75,458.40","25,152.80","Mobile, Alabama, United States",Alabama,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Communications Professionals,1,"5,696.00","5,696.00","Farmington Hills, Michigan, United States",Michigan,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Complete Packaging & Shipping Supplies,2,"149,688.00","74,844.00","Freeport, New York, United States",New York,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Cite,4,"98,863.20","24,715.80","Vacaville, California, United States",California,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Sciences,3,"50,000.00","16,666.67","Falls Church, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Conlon & Sons Refrigeration,3,"7,000.00","2,333.33","Taunton, Massachusetts, United States",Massachusetts,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Conservian,4,"329,065.00","82,266.25","Big Pine Key, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Consolidated Safety Services,3,"4,500,536.00","1,500,178.67","Fairfax, Virginia, United States",Virginia,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Control Analytics,1,"15,614.55","15,614.55","Greensburg, Pennsylvania, United States",Pennsylvania,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Cornell University,1,"14,877.00","14,877.00","Ithaca, New York, United States",New York,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Cost & Performance Solutions,7,"1,009,290.96","144,184.42","Bethesda, Maryland, United States",Maryland,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Countertrade Products,1,"5,298.96","5,298.96","Arvada, Colorado, United States",Colorado,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Coys Contemp Cuisine,4,"624,006.50","156,001.63","Hammond, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Craft Oil,1,"8,732.40","8,732.40","Avoca, Pennsylvania, United States",Pennsylvania,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Creative Engineering,1,53.00,53.00,"Plymouth, Michigan, United States",Michigan,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Creative Map,1,"24,000.00","24,000.00","Amesbury, Massachusetts, United States",Massachusetts,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Crew Training International,1,"528,057.00","528,057.00","Memphis, Tennessee, United States",Tennessee,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Crystal Ryder,1,"13,750.00","13,750.00","Pittsville, Virginia, United States",Virginia,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Custom Networks,1,"20,017.00","20,017.00","Littleton, Massachusetts, United States",Massachusetts,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Cytec Engineered Materials,1,"27,507.90","27,507.90","Havre De Grace, Maryland, United States",Maryland,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Danny's Cajun Catering,1,"31,664.00","31,664.00","White Castle, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Davison Fuels.,3,"9,155.80","3,051.93","Mobile, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Defenders Of Wildlife,3,"281,812.83","93,937.61","Washington, District Of Columbia, United States",District Of Columbia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Del-jen,1,"100,000.00","100,000.00","Rolling Hills Estates, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Delaware State University,3,"147,585.17","49,195.06","Dover, Delaware, United States",Delaware,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
Dell Federal Systems,2,"36,016.22","18,008.11","Round Rock, Texas, United States",Texas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dell Marketing,8,"535,059.25","66,882.41","Round Rock, Texas, United States",Texas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Delmar Systems,1,"49,000.00","49,000.00","Broussard, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Delta 21 Resources,1,0.00,0.00,"Knoxville, Tennessee, United States",Tennessee,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Delta Sanitation,2,203.62,101.81,"Ocean Springs, Mississippi, United States",Mississippi,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Department Of Agriculture And Forestry - Louisiana,2,"24,139.79","12,069.90","Baton Rouge, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Department Of Public Safety - Mississippi,1,"51,248.00","51,248.00","Jackson, Mississippi, United States",Mississippi,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Department Of Public Safety Services - Louisiana,1,"33,578.00","33,578.00","Baton Rouge, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Department Of Wildlife And Fisheries - Louisiana,1,"8,673.00","8,673.00","Baton Rouge, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Detyens Shipyards,3,"1,028,873.80","342,957.93","North Charleston, South Carolina, United States",South Carolina,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Diesel America West,1,"4,899.54","4,899.54","Friday Harbor, Washington, United States",Washington,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dionex,1,"58,771.63","58,771.63","Sunnyvale, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
