ID,Date,Month,Narration,Actual or Attempted Attack?,Type of Attack,Status of Vessel,Name of Vessel(s),Type of Vessel(s),Category of Vessel(s),Flag of Vessel,Gross register tonnage,IMO,"Time  (local, unless specified)",Coordinates,Area,Location of Incident,Country of Incident,Year,Ref,*DELETE Name of Ship SPLITType/Flag/Grt/ SPLITIMO Number,Position
Alpine Mia - 24/02/2014,24/02/2014,February,"Ten robbers in an unlit wooden boat armed with knives approached an anchored tanker. Two robbers boarded the tanker using grappling hooks and stole ship’s stores and property. The duty A/B noticed the robbers and informed the bridge. Alarm raised, ship’s whistle sounded and crew rushed to the location. Seeing the alert crew, the robbers jumped overboard with the stolen items and escaped in their boat with their accomplices.",Actual Attack,Boarded,Anchored,Alpine Mia,Chemical Tanker,Tanker,Hong Kong,29266,9391426,22:45,"N22°15'8"",E091°43'2""",Indian Sub Continent,"Chittagong, Bangladesh",Bangladesh,2014,4,Alpine Mia Chemical Tanker Hong Kong 29266 9391426,"22:15.8N – 091:43.2E, Chittagong Anchorage, Bangladesh"
Alpine Monique - 29/05/2014,29/05/2014,May,"Deck watchmen on board an anchored tanker sighted one robber on the poop deck and another attempting to board. OOW notified, alarm raised and crew mustered. Seeing the crew alertness, the robbers jumped overboard and escaped without stealing anything.",Actual Attack,Boarded,Anchored,Alpine Monique,Product Tanker,Tanker,Singapore,29130,9451707,21:50,"N21°43',E091°47'",Indian Sub Continent,"Kutubdia, Bangladesh",Bangladesh,2014,10,Alpine Monique Product Tanker Singapore 29130 9451707,"21:43N – 091:47E, Kutubdia Anchorage, Bangladesh"
Amber Sun - 01/12/2013,01/12/2013,December,"One robber armed with a knife boarded an anchored tanker during STS operations. The duty O/S on routine rounds noticed the robber and informed the OOW. Alarm raised and all crew mustered. Seeing the crew alertness, the robber escaped empty handed in a wooden boat.",Actual Attack,Boarded,Anchored,Amber Sun,Tanker,Tanker,Liberia,58100,9281891,05:12,"N01°06',E103°38'",South Asia (Excluding Malacca Straits),"Nipah, Indonesia",Indonesia,2013,107,Amber Sun SPLITTanker SPLITLiberia SPLIT58100 SPLIT9281891,"01:06N – SPLIT103:38E, SPLITNipah Anchorage, SPLITIndonesia"
Amber Sun - 27/11/2013,27/11/2013,November,"Three robbers armed with knives boarded an anchored tanker. Duty A/B on routine rounds noticed the robbers near the paint store and informed the OOW who raised the alarm. Seeing the alerted crew, the robbers escaped without stealing anything.",Actual Attack,Boarded,Anchored,Amber Sun,Tanker,Tanker,Liberia,58100,9281891,04:38,"N01°06',E103°38'",South Asia (Excluding Malacca Straits),"Nipah, Indonesia",Indonesia,2013,106,Amber Sun SPLITTanker SPLITLiberia SPLIT58100 SPLIT9281891,"01:06N – SPLIT103:38E, SPLITNipah Anchorage, SPLITIndonesia"
Amur River - 31/07/2014,31/07/2014,July,"Seven robbers armed with knives in a fishing boat approached and boarded an anchored ship via the poop deck.  Duty crew spotted the robbers stealing ship’s stores and raised the alarm. As the crew mustered and approached the robbers, they jumped into their boat and escaped with the stolen stores. Incident reported to the Coast Guard who advised the Master to be vigilant and report any suspicious movement. A patrol boat came and searched the area.",Actual Attack,Boarded,Anchored,Amur River,Container,Cargo,Cyprus,9940,9378943,21:30,"Chittagong, Bangladesh",Indian Sub Continent,"Chittagong, Bangladesh",Bangladesh,2014,16,Amur River Container Cyprus 9940 9378943,"Chittagong Anchorage, Bangladesh"
An Ho - 09/11/2013,09/11/2013,November,Robbers boarded an anchored ship unnoticed. They broke into the bosun store and escaped with ship’s stores and properties. The duty crew noticed the theft during routine rounds.,Actual Attack,Boarded,Anchored,An Ho,Bulk Carrier,Cargo,Panama,41372,9290713,02:50,"S03°40',E114°26'",South Asia (Excluding Malacca Straits),"Taboneo, Indonesia",Indonesia,2013,99,An Ho SPLITBulk Carrier SPLITPanama SPLIT41372 SPLIT9290713,"03:40S – SPLIT114:26E, SPLITTaboneo SPLITAnchorage, SPLITIndonesia"
Andrea - 13/02/2014,13/02/2014,February,"Five persons armed with guns chased and fired upon the ship underway. The on board armed security team returned fire and after around 20 minutes, the persons aborted the attempt and moved away. The containers on deck were damaged due to the firing. Ship and crew safe.",Attempted Attack,Fired upon,Steaming,Andrea,Ro-Ro,Cargo,Sierra Leone,4291,8209690,14:30 UTC,"N01°07',E044°34'",Africa (Somalia),"Barawe, Somalia",Somalia,2014,2,Andrea Ro-Ro Sierra Leone 4291 8209690,"01:07N – 044:34E, 32nm East of Barawe, Somalia"
Anna- Barbara - 24/05/2013,24/05/2013,May,"Three robbers armed with machetes in a speedboat boarded an anchored ship. Alert duty crew noticed the robbers and raised the alarm resulting in the robbers escaping. Upon investigation, it was found that engine spares were stolen. Port control informed.",Actual Attack,Boarded,Anchored,Anna- Barbara,Bulk Carrier,Cargo,Liberia,30811,9407500,18:50 UTC,"S05°59',E105°57'",South Asia (Excluding Malacca Straits),"Cigading, Indonesia",Indonesia,2013,40,Anna- Barbara SPLITBulk Carrier SPLITLiberia SPLIT30811 SPLIT9407500,"05:59S – SPLIT105:57E, SPLITCigading SPLITAnchorage, SPLITIndonesia"
APJ Jad - 30/06/2013,30/06/2013,June,"Three to four robbers in a boat boarded an anchored ship. Duty Officer noticed the boarding and immediately raised the alarm. On hearing the alarm, the robbers escaped in their waiting boat. Upon investigation, it was discovered that stores were ship’s stolen. Port control informed.",Actual Attack,Boarded,Anchored,APJ Jad,Bulk Carrier,Cargo,India,30053,9254496,04:00,"N22°58',E070°14'",Indian Sub Continent,"Kandla, India",India,2013,12,APJ Jad SPLITBulk Carrier SPLITIndia SPLIT30053 SPLIT9254496,"22:58N – SPLIT070:14E, SPLITKandla Inner SPLITAnchorage, SPLITIndia"
APL Bahrain - 18/02/2013,18/02/2013,February,D/O on board the ship underway noticed two masked pirates on the bridge wing attempting to enter the bridge. Alarm raised and crew mustered on bridge. The pirates could not enter the locked bridge and escaped upon seeing the crew alertness.,Actual Attack,Boarded,Steaming,APL Bahrain,Container,Cargo,Liberia,40741,9395927,23:10,"N00°08'9"",E106°18'9""",South Asia (Excluding Malacca Straits),"Penjantan Island, Indonesia",Indonesia,2013,12,APL Bahrain SPLITContainer SPLITLiberia SPLIT40741 SPLIT9395927,"00:08.9N – SPLIT106:18.9E, 52nm SPLITWest of Pulau SPLITPenjantan, SPLITIndonesia"
APL Le Havre - 21/05/2013,21/05/2013,May,"Duty officer on board an anchored ship noticed on CCTV, three robbers in boiler suits near the forecastle. Alarm raised and foghorn sounded. Seeing crew alertness, the robbers escaped. On inspection, it was noticed that five container seals had been broken and contents of one container pilfered. Port control informed.",Actual Attack,Boarded,Anchored,APL Le Havre,Container,Cargo,Singapore,113735,9461881,02:15,"N29°50',E032°33'",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Suez, Egypt",Egypt,2013,19,APL Le Havre SPLITContainer SPLITSingapore SPLIT113735 SPLIT9461881,"29:50N – SPLIT032:33E, SPLITSuez E16 SPLITAnchorage, SPLITEgypt"
APL Los Angeles - 26/07/2013,26/07/2013,July,"An unknown number of robbers boarded an anchored ship unnoticed and escaped with ship’s properties. Duty crew on routine rounds noticed foot prints on the forecastle deck and informed the D/O who reported to the Captain, raised the alarm and informed Manila VTMS and Coast Guard. A patrol boat was sent out to search the area and boarded the ship for investigations.",Actual Attack,Boarded,Anchored,APL Los Angeles,Container,Cargo,Gibraltar,43071,9345958,02:25,"N14°33',E120°55'",South Asia (Excluding Malacca Straits),"Manila South Harbour, Philippines",Philippines,2013,62,APL Los Angeles SPLITContainer SPLITGibraltar SPLIT43071 SPLIT9345958,"14:33N – SPLIT120:55E, SPLITManila South SPLITHarbour SPLITQuarantine SPLITAnchorage, SPLITPhilippines"
Apollogracht - 06/03/2014,06/03/2014,March,Two armed robbers boarded an anchored ship using a rope. They stole ship’s properties and escaped when the duty crew spotted them.,Actual Attack,Boarded,Anchored,Apollogracht,General Cargo,Cargo,Netherlands,7949,9014896,01:30,"S04°44'4"",E011°44'9""",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Pointe Noire, Republic of the Congo",Republic of the Congo,2014,9,Apollogracht General Cargo Netherlands 7949 9014896,"04:44.4S – 011:44.9E, Pointe Noire Anchorage, The Congo"
Ardmore Capella - 24/05/2013,24/05/2013,May,"Alert duty watchman on board an anchored tanker noticed robbers on the deck who tried to catch him. The watchman fought back and escaped and raised the alarm. Seeing the alerted crew, the robbers escaped without stealing anything.",Actual Attack,Boarded,Anchored,Ardmore Capella,Chemical Tanker,Tanker,Marshall Islands,11290,9512111,02:26,"S04°34',W081°18'",Americas,"Talara, Peru",Peru,2013,10,Ardmore Capella SPLITChemical Tanker SPLITMarshall Islands SPLIT11290 SPLIT9512111,"04:34S – SPLIT081:18W, SPLITTalara SPLITAnchorage, SPLITPeru"
Armada Ali - 06/10/2013,06/10/2013,October,"Six robbers in black attire were seen on board an anchored tanker trying to find a way into the accommodation. Alert D/O raised the alarm and sounded ship’s whistle. On hearing the alarm, the robbers jumped overboard and escaped in their wooden boat with an orange canopy. Vessels in the vicinity alerted via VHF. Crew mustered, head count taken and a search carried out.",Actual Attack,Boarded,Anchored,Armada Ali,Tanker,Tanker,Marshall Islands,160279,9178757,04:10,"N01°08',E103°35'",South Asia (Excluding Malacca Straits),"Nipah, Indonesia",Indonesia,2013,81,Armada Ali SPLITTanker SPLITMarshall Islands SPLIT160279 SPLIT9178757,"01:08N – SPLIT103:35E, SPLITNipah Anchorage, SPLITIndonesia"
Armada Ali - 23/09/2013,23/09/2013,September,"Three robbers armed with knives boarded an anchored tanker during STS operations. Duty crew challenged the robbers, who threw bolts, nuts, and a knife at the crew. D/O raised the alarm, all crew mustered, and a search was carried out. No robbers were found on board. The Capt. requested from the Mooring Master to inform the local navy to do a search around the tanker.",Actual Attack,Boarded,Anchored,Armada Ali,Tanker,Tanker,Marshall Islands,160279,9178757,02:30,"N01°07',E103°37'",South Asia (Excluding Malacca Straits),"Nipah, Indonesia",Indonesia,2013,75,Armada Ali SPLITTanker SPLITMarshall Islands SPLIT160279 SPLIT9178757,"01:07N – SPLIT103:37E, SPLITNipah Anchorage, SPLITIndonesia"
Armada Tuah 101 - 17/02/2013,17/02/2013,February,Armed pirates attacked and boarded the vessel underway. They kidnapped six crewmembers and escaped from the vessel. The remaining 12-crew members were unharmed and were escorted to Port Harcourt. Negotiations took place between the owners and the pirates and on 25.02.2013; the pirates released the six-crew members who were reported healthy and unharmed.,Actual Attack,Boarded,Steaming,Armada Tuah 101,Offshore Supply Ship,Supply Vessel,Malaysia,2147,9387293,07:00 UTC,"N03°57'4"",E005°20'8""",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Brass, Nigeria",Nigeria,2013,8,Armada Tuah 101 SPLITOffshore Supply SPLITShip SPLITMalaysia SPLIT2147 SPLIT9387293,"03:57.4N – SPLIT005:20.8E, SPLITAround 55nm SPLITWSW of Brass, SPLITNigeria"
Armada Tugas 1 - 07/02/2013,07/02/2013,February,"Around 17 pirates armed with AK47 rifles attacked, boarded and hijacked an offshore supply vessel underway and tried to use it as a mother vessel. The vessel was released on 11.02.2013 with no injury to crew. Ship’s stores and equipment were stolen and some communication equipment was damaged.",Actual Attack,Hijacked,Steaming,Armada Tugas 1,Offshore Supply Ship,Supply Vessel,Liberia,499,9293181,07:00,"N03°40'48"",E005°53'12""",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Brass, Nigeria",Nigeria,2013,5,Armada Tugas 1 SPLITOffshore Supply SPLITShip SPLITLiberia SPLIT499 SPLIT9293181,"03:40.48N – SPLIT005:53.12E, SPLIT40nm SSW of SPLITBrass Terminal, SPLITNigeria"
Athos - 31/07/2013,31/07/2013,July,"Robbers boarded the ship at anchor using a long pole with a hook.  The crew spotted them and raised the alarm. On hearing this, robbers escaped on a wooden boat. All crew safe and nothing stolen.",Actual Attack,Boarded,Anchored,Athos,Bulk Carrier,Cargo,Cayman Islands,30012,9274460,23:00,"N05°13',W004°03'",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Abidjan, Ivory Coast",Ivory Coast,2013,34,Athos SPLITBulk Carrier SPLITCayman Islands SPLIT30012 SPLIT9274460,"05:13N – SPLIT004:03W, SPLITAbidjan SPLITAnchorage, SPLITIvory Coast"
Atlantic Canyon - 03/06/2013,03/06/2013,June,Robbers in a small boat attempted to board an anchored tanker via the anchor chain. Alert duty crew spotted the robbers and raised the alarm resulting in the robbers aborting the attempt. Port control informed.,Attempted Attack,Attempted,Anchored,Atlantic Canyon,Chemical Tanker,Tanker,Hong Kong,23342,9383974,13:10,"N03°55'47"",E098°46'93""",South Asia (Excluding Malacca Straits),"Belawan, Indonesia",Indonesia,2013,3,Atlantic Canyon SPLITChemical Tanker SPLITHong Kong SPLIT23342 SPLIT9383974,"03:55.47N – SPLIT098:46.93E, SPLITBelawan SPLITAnchorage, SPLITIndonesia"
Atlantic Latvia - 14/02/2013,14/02/2013,February,Three robbers boarded an anchored tanker. Duty officer noticed movement on the forecastle deck and raised the alarm. On hearing the alarm and seeing crew alertness the robbers were seen jumping overboard. Upon investigation it was discovered that ship’s stores were stolen.,Actual Attack,Boarded,Anchored,Atlantic Latvia,Chemical Tanker,Tanker,Liberia,23740,9222168,01:00,"N09°54',E076°08'",Indian Sub Continent,"Cochin, India",India,2013,5,Atlantic Latvia SPLITChemical Tanker SPLITLiberia SPLIT23740 SPLIT9222168,"09:54N – SPLIT076:08E, SPLITCochin SPLITAnchorage, SPLITIndia"
Atlantic Star - 03/09/2013,03/09/2013,September,"Six robbers disguised as fishermen boarded the tanker at anchor. Duty A/B sighted and shouted at the robbers and informed bridge. Alarm raised and crew moved forward.  On seeing the alert crew, robbers jumped overboard and escaped with ship's stores.  All crew safe.",Actual Attack,Boarded,Anchored,Atlantic Star,Chemical Tanker,Tanker,Hong Kong,29266,9337523,14:10 UTC,"N10°13',E107°02'",Far East,"Vung Tau, Vietnam",Vietnam,2013,11,Atlantic Star SPLITChemical Tanker SPLITHong Kong SPLIT29266 SPLIT9337523,"10:13N – SPLIT107:02E, SPLITVung Tau, SPLITVietnam"
Au Co 01 - 16/01/2014,16/01/2014,January,"Four robbers armed with a gun and long knives in a small speedboat approached and boarded an anchored ship. They took hostage the duty watchman, entered into the engine room and held the duty engine room crew. The robbers stole engine spares and managed to escape in their boat upon hearing the alarm raised by the duty officer.",Actual Attack,Boarded,Anchored,Au Co 01,General Cargo,Cargo,Vietnam,4095,9346196,03:15,"S06°02',E106°53'",South Asia (Excluding Malacca Straits),"Tanjung Priok, Indonesia",Indonesia,2014,7,Au Co 01 General Cargo Vietnam 4095 9346196,"06:02S – 106:53E, Tanjung Priok Anchorage, Jakarta, Indonesia"
Avra - 31/05/2014,31/05/2014,May,"While enroute from Port Klang to Gresik, robbers boarded the ship unnoticed. Chief Engineer found the engine room stores burgled and reported engine spares missing.",Actual Attack,Boarded,Steaming,Avra,Bulk Carrier,Cargo,Greece,31167,9232187,03:00,"N01°20',E104°23'",South Asia (Excluding Malacca Straits),"LIma Island, Malaysia",Malaysia,2014,46,Avra Bulk Carrier Greece 31167 9232187,"01:20N – 104:23E, Around 5.7nm ESE of Pulau Lima, Johor, Malaysia"
B Elephant - 23/05/2013,23/05/2013,May,Crew on board an anchored tanker noticed the forecastle door and rope hatch opened and ship’s equipment and stores stolen.  It was suspected the theft occurred during the night. Robbers likely boarded via anchor chain.,Actual Attack,Boarded,Anchored,B Elephant,Tanker,Tanker,Marshall Islands,161969,9421415,05:45,"N31°12',E029°42'",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Alexandria, Egypt",Egypt,2013,20,B Elephant SPLITTanker SPLITMarshall Islands SPLIT161969 SPLIT9421415,"31:12N – SPLIT029:42E, SPLITAlexandria SPLITWaiting Area SPLITAnchorage, SPLITEgypt"
Baizo - 10/12/2013,10/12/2013,December,Five robbers boarded an anchored tanker while crew were busy performing tank cleaning procedures. 2/E on duty in the engine room noticed the robbers and informed bridge who raised the alarm. The robbers escaped immediately upon hearing the alarm with stolen engine spares.,Actual Attack,Boarded,Anchored,Baizo,Tanker,Tanker,Panama,28517,9263916,01:20,"N01°25'2"",E104°41'5""",South Asia (Excluding Malacca Straits),"Bintan Island, Indonesia",Indonesia,2013,109,Baizo SPLITTanker SPLITPanama SPLIT28517 SPLIT9263916,"01:25.2N – SPLIT104:41.5E, Off SPLITPulau Bintan, SPLITIndonesia"
Baltic Galaxy - 12/05/2014,12/05/2014,May,"3/Eng on board an anchored tanker spotted three to four robbers in the steering gear room. He immediately informed the bridge, raised the alarm and the crew were alerted.  Seeing the alerted crew, the robbers escaped without stealing anything.",Actual Attack,Boarded,Anchored,Baltic Galaxy,Tanker,Tanker,Panama,59408,9402237,05:15,"N01°35'6"",E104°32'2""",South Asia (Excluding Malacca Straits),Malaysia,Malaysia,2014,38,Baltic Galaxy Tanker Panama 59408 9402237,"01:35.6N – 104:32.2E, Malaysia"
Bandai V - 08/06/2013,08/06/2013,June,"Two robbers armed with knives boarded the tanker using a hook attached to a long pole. Alert duty crew noticed the robbers attempting to enter the paint store and raised the alarm. Seeing crew alertness, the robbers aborted their attempt and escaped in their boat.",Actual Attack,Boarded,Anchored,Bandai V,Chemical Tanker,Tanker,Panama,2826,9540170,11:54,"N03°54'7"",E098°46'6""",South Asia (Excluding Malacca Straits),"Belawan, Indonesia",Indonesia,2013,42,Bandai V SPLITChemical Tanker SPLITPanama SPLIT2826 SPLIT9540170,"03:54.7N – SPLIT098:46.6E, SPLITBelawan SPLITAnchorage, SPLITIndonesia"
Barcelona - 30/06/2014,30/06/2014,June,"Five robbers armed with guns boarded an anchored ship. They entered into the engine room, took hostage the duty oiler, tied him and blindfolded him. They stole engine spares and escaped. The duty oiler managed to free himself and informed the D/O who raised the alarm. Master reported the incident to Pilot Station. The Indonesian Marine Police boarded the ship for investigation.",Actual Attack,Boarded,Anchored,Barcelona,Vehicle Carrier,Cargo,Panama,47367,9078232,23:45,"S05°59'47"",E106°54'24""",South Asia (Excluding Malacca Straits),"Tanjung Priok, Indonesia",Indonesia,2014,61,Barcelona Vehicle Carrier Panama 47367 9078232,"05:59.47S – 106:54.24E, Tg. Priok Anchorage, Indonesia"
Belsize Park - 01/10/2013,01/10/2013,October,"Four robbers in a wooden boat approached and boarded an anchored tanker. Alert duty crew noticed the robbers, raised the alarm and all crew mustered. Seeing the crew alertness, the robbers threatened the duty crew with a long knife and escaped in their wooden boat. Nothing was reported stolen.",Actual Attack,Boarded,Anchored,Belsize Park,Chemical Tanker,Tanker,United Kingdom,11590,9276250,03:55,"Batam, Indonesia",South Asia (Excluding Malacca Straits),"Batam, Indonesia",Indonesia,2013,79,Belsize Park SPLITChemical TankerSPLITUnited Kingdom SPLIT11590 SPLIT9276250,"Batam SPLITAnchorage,SPLITIndonesia"
Blackfin - 09/04/2014,09/04/2014,April,"Nine robbers armed with knives in two wooden boats approached and boarded an anchored ship. Duty crew on routine rounds spotted the robbers and informed the bridge who raised the alarm, sounded ship’s whistle and crew mustered. Seeing the crew alertness, the robbers escaped with the stolen ship’s properties in their boats. Pilot Station and CSO were informed.",Actual Attack,Boarded,Anchored,Blackfin,Bulk Carrier,Cargo,Bahamas,25498,9110365,06:00,"N03°54',E098°46'",South Asia (Excluding Malacca Straits),"Belawan, Indonesia",Indonesia,2014,27,Blackfin Bulk Carrier Bahamas 25498 9110365,"03:54N – 098:46E, Belawan Anchorage, Indonesia"
Blizzard - 20/08/2014,20/08/2014,August,"Three robbers in a canoe approached and boarded an anchored offshore tug. Duty AB on routine rounds noticed the robbers attempting to steal the outboard engine of the vessel’s rescue boat. He immediately informed bridge who raised the alarm and crew mustered. Upon hearing the alarm and seeing the crew alertness, the robbers escaped empty handed. Incident reported to Port Control and a Marine Police patrol boat came for investigation.",Actual Attack,Boarded,Anchored,Blizzard,Offshore Tug,Tug,Netherlands,2311,8516952,02:55,"N04°54'8"",W001°43'1""",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Takoradi, Indonesia",Indonesia,2014,20,Blizzard Offshore Tug Netherlands 2311 8516952,"04:54.8N – 001:43.1W, Takoradi Anchorage, Ghana"
